"Sélectif Régional - Porcieu Amblagnieu  sur  Sault Brénaz - 2012-03-10","Course 1","2012-03-10","Régional","199"
"Alain Ferry","K1H","120.58","-","276.42",""
"Anthony Oudot","K1H","121.27","284.17","283.08",""
"Willy Hugedet","K1H","121.42","92.32","284.52",""
"Guillaume Pit","K1H","121.88","267.36","288.96",""
"Valentin Vibert","K1H","122.7","148.69","296.87",""
"Christophe Billaud","K1H","123.35","223.45","303.14",""
"Adrien Kaiser","K1H","124.99","284.64","318.95",""
"Mathias Guillot","K1H","125.48","427.32","323.68",""
"Cedric Mace","K1H","126.03","245.23","328.98",""
"Maxime Bottex","K1H","126.11","316.84","329.76",""
"Clement Gourmelon","K1H","126.2","336.49","330.62",""
"Thomas Theunissen","K1H","126.87","323.97","337.09",""
"Sebastien Lepaulard","K1H","126.96","180.22","337.95",""
"Christophe Einsargueix","K1H","128.12","-","349.14",""
"Lilian Querry","K1H","131.52","444.14","381.93",""
"Jean Saez","K1H","133.56","218.84","401.6",""
"Romain Gauthron","K1H","134.51","393.79","410.77",""
"Vincent Cedolini","K1H","134.55","712.76","411.15",""
"Stephane Boulanger","K1H","135.98","-","424.94",""
"Vincent Maire","K1H","136.68","405.04","431.69",""
"Michael Everwyn","K1H","137.31","-","437.77",""
"Jordan Bard","K1H","138.9","417.77","453.1",""
"Benoit Viallon","K1H","139.89","442.55","462.65",""
"Baptiste Mouchet","K1H","140.1","-","464.68",""
"Mathieu Lions","K1H","140.15","322.03","465.16",""
"Keryann Brest","K1H","140.62","497.37","469.69",""
"Maxime Parigot","K1H","141.04","484.96","473.74",""
"Anthony Claveyroles","K1H","142.37","-","486.57",""
"Mathieu Chossat","K1H","144.31","-","505.28",""
"Dylan Bard","K1H","144.96","353.8","511.55",""
"Alexis Chauville","K1H","146.03","410.85","521.87",""
"Loic Burlet","K1H","146.13","-","522.83",""
"Kevin Guyard","K1H","146.64","1807.79","527.75",""
"Benoit Mercier","K1H","148.11","481.67","541.93",""
"Guillaume Jardin","K1H","148.54","320.27","546.07",""
"Lucas Barriere","K1H","151.19","447.5","571.63",""
"Theophile Gaillard","K1H","153.1","470.44","590.05",""
"Jonathan Chapatte","K1H","153.93","70.92","598.06",""
"Sylvain Dandel","K1H","155.8","71.11","616.09",""
"Robin Malenfer","K1H","164.93","337.89","704.14",""
"Maxime Pierre","K1H","165.34","1026.87","708.1",""
"Thomas Neime","K1H","166.68","174.35","721.02",""
"Armand Rakowski","K1H","172.43","172.18","776.47",""
"Paul Roubaud","K1H","177.74","709.37","827.68",""
"Axel Kournwsky","K1H","181.91","283.01","867.9",""
"Yannick Grizaud","K1H","183.91","475.99","887.19",""
"Marco Rodrigues","K1H","184.66","-","894.42",""
"Esteban Le Coz","K1H","190.84","502.33","954.02",""
"Jimmy Peisey","K1H","194.15","378.39","985.94",""
"Corentin Mounier","K1H","194.65","537.06","990.77",""
"Anselm Arnaud","K1H","200.35","652.75","1045.74",""
"Thomas Dandel","K1H","210.02","74.69","1139",""
"Sylvain Gaude","K1H","213.04","-","1168.12",""
"Hippolyte Brunier","K1H","232.22","228.86","1353.1",""
"Gabin Repellin","K1H","249.15","334.94","1516.37",""
"Benoit Renaudier","K1H","251.26","447.62","1536.72",""
"Cyril Audoit","K1H","273.88","2340.56","1754.87",""
"Philippe Cronin","K1H","309.62","-","2099.55",""
"Loic Collard","K1H","366.18","-","2645.03",""
"Morgan Hoarau","K1H","379.74","3451.39","2775.8",""
"Gabriel Millan Castells","K1H","Nt","-","-",""
"Sofiane Morin","K1H","Nt","-","-",""
"Henri Molet","K1H","Nt","-","-",""
"Enzo Bigi","K1H","Nt","-","-",""
"Matteo Dardonville","K1H","Nt","-","-",""
"Maxime Pilard","K1H","Nt","-","-",""
"Ollivier Paumier","K1H","Nt","-","-",""
"Elie Miquel","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Thibaut Bernot","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Virgile Pigache-donnet","K1H","Nt","-","-",""
"Bertrand Bercon","K1H","Nt","-","-",""
"Jules Bevalot","K1H","Nt","-","-",""
