"SÈlectif RÈgional de Slalom AMOU - 40330 Amou - Finale - 2019-02-10","Finale","2019-02-10","RÈgional","233"
"Jonah Hanrahan","K1HM","140.16","724.4","786.8","Finale A"
"Martin Grzeskowiak","K1HM","146.41","1247.66","865.57","Finale A"
"Tao Gautier-araspin","K1HM","146.61","1221.59","868.09","Finale A"
"Xavier Pelliser","K1HM","150.31","844.39","914.73","Finale A"
"Alexandre Arnaud","K1HM","Abs","-","-","Finale A"
"Youlia Estanguet","C1D","129.12","534.59","381.42","Finale B"
"Lea Baldoni","C1D","130.54","476.22","396.33","Finale B"
"Nahia Oteiza","C1D","133.71","618.5","429.63","Finale B"
"Solene Lafitte","C1D","141.24","456.16","508.72","Finale B"
"Chloe Bonnet","C1D","164.39","829.7","751.87","Finale B"
"Alexia Cazala","C1D","180.78","873.54","924.01","Finale B"
"Valentin Courtiade","C1H","110.75","228.13","354.65","Finale B"
"Alex Baldoni","C1H","111.58","384.91","364.62","Finale B"
"Paul Gobert","C1H","115.77","453.87","414.91","Finale B"
"Emilien Courtiade","C1H","116.35","372.95","421.88","Finale B"
"Fantin Delage-garez","C1H","116.92","506.72","428.71","Finale B"
"Fabrice Roy","C1H","119.6","449.42","460.89","Finale B"
"Paul Commenges","C1H","119.71","533.28","462.21","Finale B"
"Yon Dandonneau","C1H","123.67","513.86","509.74","Finale B"
"Julien Coric","C1H","124.72","564.84","522.34","Finale B"
"Thomas Terr…","C1H","132.74","1659.89","618.61","Finale B"
"Francois Mouttou","C1H","134.03","698.88","634.1","Finale B"
"Tristan Ruiz","C1H","141.53","1090.19","724.12","Finale B"
"Mateo Destruel","C1H","145.42","973.44","770.81","Finale B"
"Emeric Nieser","C1H","180.47","570.99","1191.54","Finale B"
"Fabrice Le Bras","C1H","182.86","1974.64","1220.23","Finale B"
"Emilien Courtiade-Loris Shayam Affre","C2H","132.7","3540.04","545.72","Finale B"
"Francois Mouttou-Fabrice Roy","C2H","137","591.17","594.99","Finale B"
"Julien Coric-Esteban Bidegain","C2H","137.01","676.33","595.12","Finale B"
"Matt Vidou-Baptiste Delemotte","C2H","151.03","691.44","755.75","Finale B"
"Charline Berger Martin","K1D","106.09","181.02","208.56","Finale B"
"Stephanie Kaczmarek","K1D","117.4","450.63","334.71","Finale B"
"Juliette Derouineau","K1D","123.11","466.48","398.4","Finale B"
"Solene Lafitte","K1D","125.51","559.66","425.17","Finale B"
"Laurence Pessoni","K1D","128.22","465.68","455.39","Finale B"
"Blandine Xhemajlji","K1D","128.99","519.28","463.97","Finale B"
"Chloe Bonnet","K1D","135.09","939.89","532.02","Finale B"
"Camille Santa Cruz","K1D","135.16","595.64","532.8","Finale B"
"Pauline Rouilhet","K1D","136.91","712.68","552.31","Finale B"
"Daphnee Vuilleumier","K1D","137.42","538.66","558.01","Finale B"
"Emma Angladette","K1D","137.56","894.32","559.57","Finale B"
"Enya Langlume","K1D","139.63","529.96","582.65","Finale B"
"Patricia Lucasson","K1D","140.82","624.6","595.92","Finale B"
"Perrine Dujourd'hui","K1D","146.49","1369.67","659.17","Finale B"
"Jeanne Biscarat","K1D","153.98","553.02","742.71","Finale B"
"Solenn Delpech","K1D","172.9","897.01","953.75","Finale B"
"Mila Dastugue Lavignasse","K1DM","152.1","747.83","721.75","Finale B"
"Camille Vuitton","K1DM","153.08","685.49","732.68","Finale B"
"Suzel Cayrat","K1DM","159.59","725.62","805.29","Finale B"
"Charlotte De Salettes","K1DM","161.07","849.18","821.8","Finale B"
"Maelle Gerbet","K1DM","201.75","852.81","1275.53","Finale B"
"Clara Surier","K1DM","214.48","1644.44","1417.52","Finale B"
"Yon Dandonneau","K1H","100.7","348.83","294.45","Finale B"
"Maxime Texier","K1H","100.88","454.48","296.72","Finale B"
"Fabien Paleau","K1H","102.08","320.88","311.85","Finale B"
"Guillaume Pradalie","K1H","110.08","549.41","412.68","Finale B"
"Jimmy Aguiar","K1H","112.07","633.14","437.76","Finale B"
"Julien Dubarry","K1H","112.83","435.06","447.34","Finale B"
"Matt Vidou","K1H","113.83","423.32","459.94","Finale B"
"Thibault Marque","K1H","113.9","623.12","460.82","Finale B"
"Jean Dayraut","K1H","115.13","616.52","476.33","Finale B"
"Edouard Lapeze","K1H","115.86","520.29","485.53","Finale B"
"Aurelien Blois","K1H","116.85","849.88","498","Finale B"
"Tristan Ruiz","K1H","117.03","472.94","500.27","Finale B"
"Sylvain Lauth","K1H","119.46","581.5","530.9","Finale B"
"Esteban Bidegain","K1H","120.01","514.78","537.83","Finale B"
"Clement Sempe","K1H","120.26","633.9","540.98","Finale B"
"Baptiste Mondin","K1H","121.7","1188.2","559.13","Finale B"
"Eric Vidou","K1H","121.83","503.06","560.77","Finale B"
"Mateo Destruel","K1H","122.02","631.06","563.17","Finale B"
"Nicolas Neveu","K1H","122.48","806.52","568.96","Finale B"
"Compton Cruickshank","K1H","122.75","573.54","572.37","Finale B"
"Maxime Pourret","K1H","123.67","1159.42","583.96","Finale B"
"Jules Maitre","K1H","124.68","682.95","596.69","Finale B"
"J…r…my Nardi","K1H","125.8","622.53","610.81","Finale B"
"Leo Arriau","K1H","127.18","805.5","628.2","Finale B"
"Pierre Dassy","K1H","127.53","703.43","632.61","Finale B"
"Brian Mc Cormack","K1H","127.88","607.62","637.02","Finale B"
"Arsene Labarthe","K1H","129.88","731.14","662.23","Finale B"
"Thomas Bazzano","K1H","132.11","714.82","690.34","Finale B"
"MaÀl Allaire","K1H","133.9","768.36","712.9","Finale B"
"Yanis Allard","K1H","134.51","741.16","720.59","Finale B"
"Hugo Larenjeiro","K1H","134.91","914.24","725.63","Finale B"
"Jean Luc Pessoni","K1H","137.52","1234.22","758.53","Finale B"
"Bastien Darmayan","K1H","138.6","758.38","772.14","Finale B"
"Daniel Lafitte","K1H","138.66","779.87","772.89","Finale B"
"Julien Belz","K1H","139.42","975.69","782.47","Finale B"
"Patrick Parage","K1H","142.91","752.06","826.46","Finale B"
"Cedric Thesmier","K1H","145.51","723.02","859.23","Finale B"
"Dominique Gireaud","K1H","148.27","1695.46","894.02","Finale B"
"Lucas Theil","K1H","155.07","1143.05","979.72","Finale B"
"Bruno Lecomte","K1H","156.02","2664.08","991.7","Finale B"
"Edme Marcotte De Quivieres","K1H","157.07","941.16","1004.93","Finale B"
"Iban Vicassiau","K1H","161.52","1475.91","1061.02","Finale B"
"Jean Francois Mervant","K1H","165.23","1000.05","1107.78","Finale B"
"Nicolas Grzeskowiak","K1H","167.66","1941.53","1138.41","Finale B"
"Maxime Reubrez","K1H","167.75","554.33","1139.54","Finale B"
"Liam Jacquot","K1H","192.04","1318.5","1445.69","Finale B"
"Nicolas Peyroux","K1H","200.16","894.67","1548.03","Finale B"
"Jason Williams","K1H","209.63","735.32","1667.39","Finale B"
"Julien Pajaud","K1H","Abs","-","-","Finale B"
"Camille Luciotto Ribeiro","K1HM","134.9","1362.65","725.5","Finale B"
"Ethan Da Gloria","K1HM","145.77","1718.05","862.51","Finale B"
"Louis Labarthe","K1HM","146.52","1248.99","871.96","Finale B"
"Lilian Dujourd'hui","K1HM","151.99","889.38","940.9","Finale B"
"Eric Vicassiau","K1HM","154.56","1781.08","973.29","Finale B"
"Gabin Monells","K1HM","155.16","928.49","980.86","Finale B"
"Mathieu Pourret","K1HM","157.36","1469.48","1008.59","Finale B"
"Quentin Arnaudin","K1HM","160.35","1273.99","1046.27","Finale B"
"Ylian Dubly","K1HM","167","1186.25","1130.09","Finale B"
"Florian Latapiebayroo","K1HM","170.58","1171.34","1175.21","Finale B"
"Corentin Roger","K1HM","173.83","1275.94","1216.17","Finale B"
"Lilian Varain","K1HM","178.99","1336.93","1281.21","Finale B"
"Julen Clav…","K1HM","285.8","2854.33","2627.42","Finale B"
"Victorien Thomas","K1HM","460.64","2143.48","4831.07","Finale B"
