"Sélection N3 Nord de slalom - Corbeil-Essonnes - 2007-03-24","Course 1","2007-03-24","Nationale 3","128"
"Guillaume Doutreix","K1H","240.84","262","301",""
"Nicolas Dupres","K1H","240.86","293","301",""
"Valentin Casse","K1H","241.16","331","302",""
"Maxime Raux","K1H","243.28","304","313",""
"Jodar Sebastien","K1H","244.33","252","318",""
"Geoffroy Schwentzel","K1H","245.88","287","327",""
"Creuza Jeremy","K1H","247.77","291","336",""
"Julien Signarbieux","K1H","248.66","284","341",""
"Terryn Gilles","K1H","249.49","309","345",""
"Poupart Maxime","K1H","251.58","437","356",""
"Mannier Quentin","K1H","252.09","310","359",""
"Bove Morgan","K1H","252.62","527","362",""
"Gerard Lafargue","K1H","253.07","396","364",""
"Bastien Belembert","K1H","254.15","364","369",""
"Thibault Dhennin","K1H","254.33","373","370",""
"Salinie Sylvain","K1H","254.39","413","370",""
"Burgard Jean Roch","K1H","255.58","471","377",""
"Simon Bonnet","K1H","255.84","383","379",""
"Teddy Poulard","K1H","257.03","364","384",""
"Vincent Richard","K1H","257.23","409","385",""
"Martin Sacleux","K1H","257.56","375","387",""
"Baptiste Anger","K1H","257.64","377","388",""
"Lefort Yann","K1H","258.87","494","393",""
"Le Nevanic Gerald","K1H","259.51","444","397",""
"Florian Pean","K1H","260.22","565","401",""
"Mehdi Rouich","K1H","260.56","512","403",""
"Le Nevanic Axel","K1H","260.70","483","404",""
"Calmon Tom","K1H","264.41","397","422",""
"Sarazin Jean Benoit","K1H","264.56","491","423",""
"Romain Lemaire","K1H","265.59","475","429",""
"Ludovic Lino","K1H","266.24","442","432",""
"Olivier Cornu","K1H","266.60","412","434",""
"Remy Daumont","K1H","266.73","402","434",""
"Thomas Viratelle","K1H","266.83","401","435",""
"Viratelle Vincent","K1H","268.52","333","443",""
"Zawadzki Wilfried","K1H","268.61","409","444",""
"Dupont Pierrick","K1H","270.02","437","452",""
"Denis Parizia","K1H","271.20","493","457",""
"Domenger Paul","K1H","271.24","470","458",""
"Alexandre Peslin","K1H","271.41","385","459",""
"Etienne Carpentier","K1H","272.81","490","465",""
"Jess Masson","K1H","277.30","378","490",""
"Cheron Valentin","K1H","278.14","449","493",""
"Gaspard Vivien","K1H","280.50","530","505",""
"Luc Wojtasiak","K1H","282.18","543","515",""
"Gilles Lucas","K1H","282.82","443","517",""
"Deffebvre Pierre","K1H","282.84","534","517",""
"Camille Mege","K1H","284.58","384","527",""
"Henry Théophile","K1H","293.72","565","574",""
"Mathieu Dutendas","K1H","294.31","548","577",""
"Thomas Andrieux","K1H","299.58","736","604",""
"Frechon Camille","K1H","311.97","617","668",""
"Renard Guillaume","K1H","314.53","375","682",""
"Matthieu Rousseau","K1H","321.10","469","715",""
"Lebar Johnny","K1H","323.75","439","729",""
"Logan Nannette","K1H","325.39","522","737",""
"Sergepatrick Viseur","K1H","326.22","553","742",""
"Roberge Sebastien","K1H","327.54","374","748",""
"Paul Batrel","K1H","329.17","770","758",""
"De Wever Lucas","K1H","335.39","798","789",""
"Kevin Pantofel","K1H","354.95","751","891",""
"Cotinet Angelo","K1H","361.43","739","924",""
