"Finale N3 Nord - Chaumont - Choignes - 2009-06-07","Course 1","2009-06-07","Nationale 3","133"
"Juliette Legendre","K1D","236.16","331","306",""
"Melodie Aiech","K1D","239.04","362","322",""
"Elodie Berrot","K1D","240.72","312","332",""
"Justine Cougnet","K1D","245.22","400","357",""
"Laurence Carrecabe","K1D","248.98","417","378",""
"Camille Andrieux","K1D","251.38","496","391",""
"Marianne Herault","K1D","252.17","452","395",""
"Marion Laurain","K1D","254.79","354","410",""
"Emmanuelle Delrue","K1D","265.42","599","470",""
"Juliette Pitrey","K1D","265.95","526","473",""
"Clothilde Charbeaux","K1D","271.78","539","505",""
"Stephanie Bender","K1D","290.29","383","609",""
"Kevin Lucas Mendes","K1H","190.60","172","190",""
"Guillaume Doutreix","K1H","190.66","270","190",""
"Quentin Vallee","K1H","191.88","206","198",""
"Geoffroy Schwentzel","K1H","192.82","231","204",""
"Mehdi Rouich","K1H","192.90","210","204",""
"Nizar Samlal","K1H","193.67","196","209",""
"Luc Wojtasiak","K1H","196.45","305","227",""
"Guillaume Cochut","K1H","197.14","291","231",""
"Nicolas Dupres","K1H","197.26","223","232",""
"Gaetan Kieffert","K1H","197.35","259","233",""
"Maxime Raux","K1H","197.73","236","235",""
"Teddy Poulard","K1H","199.05","242","243",""
"Leo Capelle","K1H","199.34","267","245",""
"Romain Bertrand","K1H","199.75","292","247",""
"Victor Paulais","K1H","202.10","263","262",""
"Jean-luc Mottais","K1H","202.64","299","266",""
"Etienne Carpentier","K1H","202.80","239","267",""
"Nicolas Leclerc","K1H","202.93","304","268",""
"Jeremy Bretteville","K1H","203.70","252","273",""
"Damien Jacques","K1H","205.32","292","283",""
"Maxime Boisgontier","K1H","206.71","418","291",""
"Quentin Dheilly","K1H","208.14","256","300",""
"Philippe Valeri","K1H","208.57","298","303",""
"Gerard Lafargue","K1H","209.10","328","307",""
"Martin Mottais","K1H","211.45","346","322",""
"Sebastien Delaunay","K1H","211.62","333","323",""
"Jeremy Harel","K1H","212.29","284","327",""
"Lancelot Meillier","K1H","212.35","328","328",""
"Matthieu Rousseau","K1H","213.15","373","333",""
"Gaspard Gindt","K1H","213.22","375","333",""
"Clement Robet","K1H","213.41","321","334",""
"Thibault Dhennin","K1H","213.65","369","336",""
"Paul Batrel","K1H","213.85","322","337",""
"Maxime Cousin","K1H","213.96","323","338",""
"Guilherme Goncalves Maghin","K1H","214.36","321","340",""
"Quentin Chopart","K1H","215.21","368","345",""
"Romain Chane","K1H","216.51","339","353",""
"Matthieu Duval","K1H","218.84","368","368",""
"Samuel Hun","K1H","218.87","300","369",""
"Sami Fossat","K1H","219.49","370","373",""
"Kevin Pantofel","K1H","220.08","518","376",""
"Loic Andre","K1H","220.77","446","381",""
"Stephane Helle","K1H","221.27","379","384",""
"Vincent Richard","K1H","222.22","378","390",""
"Cedric Amar","K1H","222.99","499","394",""
"Olivier Cornu","K1H","224.89","439","406",""
"Robin Poulet","K1H","226.28","535","415",""
"Sylvain Barrois","K1H","226.45","421","417",""
"Yoann Nurit","K1H","227.24","447","422",""
"Antoine Lecocq","K1H","228.16","505","428",""
"Samuel Bonvalet","K1H","231.59","464","449",""
"Xavier Montenoise","K1H","231.77","486","450",""
"Florian Colle","K1H","232.13","495","452",""
"Tom Barthelemy","K1H","234.91","419","470",""
"Olivier Lebreton","K1H","237.01","562","484",""
"Loic Durand","K1H","239.03","623","496",""
"Elie Mahfouz","K1H","239.05","536","496",""
"Guillaume Bourbon","K1H","240.39","688","504",""
"Benjamin Poutonnet","K1H","241.50","580","512",""
"Tristan Lejot","K1H","242.43","264","518",""
"Sebastien Masseline","K1H","243.39","575","524",""
"Quentin Roche","K1H","243.70","669","526",""
"Denis Martin","K1H","244.67","628","532",""
"Vincent Gales","K1H","246.65","612","544",""
"Francois Dupont","K1H","248.15","595","553",""
"Pierre Lecorre","K1H","249.71","654","564",""
"Romain Lemaire","K1H","251.53","256","575",""
"Christophe Gosselin","K1H","257.54","248","613",""
"Johann Sacleux","K1H","257.67","623","614",""
"Adrien Barlier","K1H","272.85","687","710",""
"Fabrice Amar","K1H","280.66","594","759",""
"Remy Daumont","K1H","Abs","-","-",""
"Mathieu Monvoisin","K1H","Dsq","-","-",""
"Aurelien Noiret","K1H","Abs","-","-",""
