"Nationale 3 - Chateauneuf sur Cher - 2013-05-12","Course 2","2013-05-12","Nationale 3","259"
"Emma Jacob","K1D","196.04","263.06","961.52",""
"Delia Forgues","K1D","196.65","311.31","966.95",""
"Oriane Pottier","K1D","197.05","225.46","970.51",""
"Charlene Tabourin","K1D","199.91","253.12","995.92",""
"Jessica Joyau","K1D","246.64","327.04","1411.45",""
"Anais Pignet","K1D","335.63","391.66","2202.77",""
"Lucie Freyssinet","K1D","Nt","-","-",""
"Maud Sourbes","K1D","Nt","-","-",""
"Tifenn Van Delft","K1D","Nt","-","-",""
"Manuel Savels","K1H","97.86","131.97","201.61",""
"Morgan Le Friec","K1H","99.48","158.08","217.89",""
"Julien Dosse","K1H","100.91","137.29","232.26",""
"Pierre Hellard","K1H","101.2","143.84","235.18",""
"Nicolas Ciemniewski","K1H","102.12","157.71","244.42",""
"Vincent Garcia","K1H","102.14","132.02","244.62",""
"Paul Fauchet","K1H","102.22","132.18","245.43",""
"Maxence Auvray","K1H","102.65","154.07","249.74",""
"Adrien Verite","K1H","103.3","168.15","256.27",""
"Remi Vinet","K1H","103.66","156.98","259.89",""
"Pierre De La Morinerie","K1H","103.94","166.9","262.71",""
"Victor Morisset","K1H","104.1","179.93","264.32",""
"Mathieu Cheze","K1H","104.72","171.96","270.54",""
"Corentin Moriniaux","K1H","104.74","164.08","270.74",""
"Simon Seuru","K1H","105.2","139.43","275.37",""
"Timothee Le Mort","K1H","105.3","159","276.38",""
"Vincent Gourmel","K1H","105.36","180.57","276.98",""
"Nathan Hossin","K1H","105.4","212.49","277.37",""
"Hugo Guilleray","K1H","105.7","167.13","280.39",""
"Joris Santoro","K1H","105.75","191.52","280.89",""
"Quentin Chauvin","K1H","105.93","148.77","282.7",""
"Pierre Giudicelli","K1H","106.06","177.1","284",""
"Manuel Coquelin","K1H","106.11","143.33","284.51",""
"Corentin Douady","K1H","106.4","200.88","287.42",""
"Jerome Trousson","K1H","106.71","162.48","290.54",""
"Alexandre Lucas","K1H","106.74","135.69","290.84",""
"Pol Hamon","K1H","106.85","164.18","291.95",""
"Antonin Dalaine","K1H","106.91","171.45","292.55",""
"Romain Gaillard","K1H","107.12","169.32","294.66",""
"Nicolas Mignon","K1H","108.11","171.39","304.61",""
"Jacques Precigout","K1H","108.17","174.18","305.21",""
"Clement Le Moal","K1H","108.42","151.12","307.72",""
"Maxime Lignereux","K1H","108.44","155.79","307.92",""
"Adrien Picco","K1H","109.06","145.78","314.16",""
"Francois Faguet","K1H","109.22","180.57","315.76",""
"Jordan Rocdunos","K1H","109.25","160.93","316.06",""
"Martin Belliot","K1H","109.28","155.6","316.36",""
"Allan Cousset","K1H","109.7","207.2","320.58",""
"Leo Fournier","K1H","109.75","144.86","321.08",""
"David Pordoy","K1H","109.87","209.18","322.3",""
"Eadwin Famechon","K1H","110.19","212.19","325.51",""
"Melaine Colin","K1H","110.31","216.86","326.71",""
"Xavier Le Gallic","K1H","110.67","194.87","330.33",""
"Johann Loiseau","K1H","110.76","204.49","331.23",""
"Thomas Thieblemont","K1H","111.2","345.3","335.66",""
"Dimitri Durannot","K1H","111.24","144.53","336.06",""
"Manuel Legros","K1H","111.3","239.55","336.66",""
"Hugues Moret","K1H","111.67","143.92","340.38",""
"Gaetan Drouin","K1H","111.74","139.13","341.08",""
"Baptiste Podor","K1H","112.86","200.15","352.33",""
"Marc Laborde","K1H","113.33","269.63","357.06",""
"Gijs Zoetbrood","K1H","113.35","223.79","357.26",""
"Jonathan De Coninck","K1H","113.64","251.71","360.17",""
"Yoann Turowsky","K1H","113.78","135.16","361.58",""
"Vincent Acou","K1H","114.6","244.32","369.82",""
"Jules Reix","K1H","114.85","242.41","372.33",""
"Herve Clerc","K1H","115.13","149.15","375.14",""
"Clement Brumont","K1H","115.18","266.46","375.65",""
"Raphael Merlet","K1H","115.58","201.2","379.67",""
"Jeremy Lecollinet","K1H","116","262.86","383.88",""
"Theo Lecomte","K1H","116.07","194.22","384.59",""
"Sylvain Gaude","K1H","116.38","-","387.71",""
"Ronan Nedelec","K1H","116.97","193.52","393.63",""
"Matheo Lebaindre","K1H","117","289.92","393.93",""
"Pierre Dehaudt","K1H","117.2","263.66","395.94",""
"Tom Le Goff","K1H","117.55","244.17","399.46",""
"Thibault Lefebvre","K1H","117.69","304.81","400.87",""
"Quentin Sablayrolles","K1H","117.78","304.04","401.77",""
"Ludovic Couture","K1H","118.31","446.15","407.1",""
"Alexandre Buchet","K1H","118.98","267.97","413.83",""
"Charles Beaumont","K1H","119.31","-","417.15",""
"Theo Desvignes","K1H","119.49","260.51","418.95",""
"Arthur Traquet","K1H","119.54","232.98","419.46",""
"Jerome Blanchet","K1H","119.55","264.09","419.55",""
"Romain Delpui","K1H","119.94","282.92","423.48",""
"Martin Grezard","K1H","120.36","308.9","427.69",""
"Vincent Pelgrin","K1H","120.74","281.41","431.52",""
"Lucas Soudi","K1H","121.19","241.26","436.04",""
"Maxence Briand","K1H","121.23","255.07","436.43",""
"Antoine Delcourt","K1H","121.45","222.75","438.65",""
"Kevin Wos","K1H","122.22","287.06","446.39",""
"Anthony Randisi","K1H","122.39","279.89","448.09",""
"Antoine Dumaye","K1H","122.47","216.33","448.9",""
"Cyril Combreau","K1H","122.56","178.33","449.81",""
"Thibault Gautherot","K1H","122.58","318","450",""
"Alex Piotte","K1H","122.68","199.4","451.01",""
"Cyril Launay","K1H","122.71","268.48","451.31",""
"Augustin Thomas","K1H","123.4","318.14","458.24",""
"Raphael Cuillerdier","K1H","123.41","290.24","458.34",""
"Pablo Guillem","K1H","124.23","293.36","466.58",""
"Gregoire Moury","K1H","125.55","296.2","479.84",""
"Louis Midy","K1H","125.59","278.09","480.24",""
"Guillaume Itou","K1H","127.06","271.2","495.02",""
"Ludovic Le Cointre","K1H","127.16","243.68","496.02",""
"Francois Poirier","K1H","128.5","302.99","509.49",""
"Fabien Leist","K1H","128.58","436.48","510.29",""
"Nicolas Leconte","K1H","128.64","338.16","510.89",""
"Samuel Flament","K1H","129.09","328.08","515.41",""
"Nathaniel Levy","K1H","129.7","413.57","521.54",""
"Quentin Le Duc","K1H","129.75","299.35","522.05",""
"Alexandre Nesonson","K1H","130.14","399.49","525.97",""
"Etienne Klatt","K1H","130.47","301.93","529.28",""
"Clement Bosc","K1H","130.59","329.94","530.49",""
"Axel Delage","K1H","131.27","424.7","537.32",""
"Christophe Einsargueix","K1H","131.4","202.07","538.63",""
"Lucas Lavit","K1H","131.43","347.85","538.92",""
"Thomas Le Gall","K1H","133.79","357.18","562.64",""
"Pierre Louis Ferre","K1H","133.89","600.72","563.65",""
"Arthur Chaumet","K1H","135.32","188.25","578.02",""
"Maxime Benay","K1H","135.52","464.3","580.03",""
"Morgan Hoarau","K1H","135.92","481.7","584.05",""
"Marc Cailhol","K1H","137.52","359.29","600.12",""
"Nathan Dalaine","K1H","138.29","371.19","607.85",""
"Lucas Maurin","K1H","138.42","442.77","609.16",""
"Pioerre-calixte Gaydon-ohl","K1H","138.71","526.16","612.08",""
"Ollivier Paumier","K1H","141.02","358.46","635.29",""
"Wilfried Truffy","K1H","143.11","411.55","656.29",""
"Nicolas Petipez","K1H","145.31","509.29","678.4",""
"Brice Guintard","K1H","147.43","367.82","699.7",""
"Steve Bruniquel","K1H","147.63","514.03","701.7",""
"Gwenael Coadou","K1H","148.34","546.81","708.84",""
"Jeremy Tabourin","K1H","149.67","484.26","722.21",""
"Gerard Lemonnier","K1H","152.18","513.82","747.42",""
"Jeanmichel Regnier","K1H","152.81","138.13","753.76",""
"Paul Ballery","K1H","153.67","480","762.4",""
"Alexandre Nardi","K1H","155.16","535.56","777.37",""
"Jacques Despierres","K1H","156.9","156.9","794.85",""
"Etienne Chauvin","K1H","158.02","153.26","806.1",""
"Guillaume De Fierville","K1H","160.07","248.76","826.71",""
"Nicolas Foulon","K1H","162.45","222.44","850.61",""
"Florian Vinet","K1H","168.26","290.18","909",""
"Benoit Jacquot-bertrand","K1H","168.31","202.83","909.5",""
"Emilien Senneret","K1H","175.09","516.32","977.63",""
"Jean Baptsite Cans","K1H","175.91","307.96","985.87",""
"Micael Rodriguez Alves Lato","K1H","177.56","378.6","1002.44",""
"Maxime Barrault","K1H","181.3","232.16","1040.03",""
"Luc Le Diouron","K1H","183.86","482.91","1065.75",""
"Jerome Saliou","K1H","185.52","327.83","1082.43",""
"Jean Christophe Olivo","K1H","185.63","400.7","1083.53",""
"David Couture","K1H","188.61","342.85","1113.48",""
"Theo Renaud","K1H","189.79","233.49","1125.33",""
"Anthony Burgos","K1H","206.49","427.66","1293.13",""
"Quentin Gaule","K1H","209.25","518.62","1320.87",""
"Julien Money","K1H","209.31","156.54","1321.47",""
"Thibaud Chevalier","K1H","210.37","266.82","1332.13",""
"Theo Ducasse","K1H","210.72","686.15","1335.64",""
"Thierry Le Bonniec","K1H","213.52","628.51","1363.78",""
"Guillaume Affortit","K1H","214.85","196.99","1377.14",""
"Quentin Famechon","K1H","224.47","401.1","1473.8",""
"Paul Roubaud","K1H","243.25","487.73","1662.5",""
"Nicolas Boulesteix","K1H","268.97","274.96","1920.94",""
"Nathan Flageul","K1H","279.27","257.31","2024.43",""
"Valentin Rault","K1H","297.35","555.98","2206.1",""
"Luc Ciappara","K1H","416.88","2299.23","3407.15",""
"Pierrick Meheust","K1H","482.19","361.79","4063.39",""
"Matthieu Demarty","K1H","617.57","386.28","5423.7",""
"Flavien San Augustin","K1H","Nt","-","-",""
"Jonas Mignard","K1H","Nt","-","-",""
"Vincent Laulhe","K1H","Nt","-","-",""
"Jerome Muller","K1H","Nt","-","-",""
"Anthony Broc","K1H","Nt","-","-",""
"Lucas Di Martino","K1H","Nt","-","-",""
"Aurelien Dupreuilh","K1H","Nt","-","-",""
"Florian Perdriau","K1H","Nt","-","-",""
"Nathan Rene Corail","K1H","Nt","-","-",""
"Jules Chaumet","K1H","Nt","-","-",""
"Christophe Sorin","K1H","Nt","-","-",""
"Florian Fargier","K1H","Nt","-","-",""
"Theo Celjo","K1H","Nt","-","-",""
"Julien Richard","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Stephane Debliquy","K1H","Nt","-","-",""
"Antoine Beguer","K1H","Nt","-","-",""
