"Championnat Interrégional Slalom Est (finale N3) - La Pointerie - Demi-finale - 2015-05-31","Demi-finale","2015-05-31","Nationale 3","174"
"Victor Hennin","C1H","143.77","725.54","776.7","Demi-finale B"
"Alain Ferry","C1H","144.22","596.63","782.12","Demi-finale B"
"Charles Fernandes De Oliveira","C1H","Abs","-","-","Demi-finale B"
"Thomas Denais","C1H","Abs","-","-","Demi-finale B"
"Yann Becker","C1H","Abs","-","-","Demi-finale B"
"Nicolas Gallais","C1H","Abd","-","-","Demi-finale B"
"Loric Bertrand Delorme","C1H","Abd","-","-","Demi-finale B"
"Hugo Latimier-Eludes Houillon","C2H","127.03","504.17","505.45","Demi-finale B"
"Philippe Senechal-Xavier Rat","C2H","136.12","470.29","609.98","Demi-finale B"
"Raphael Olla-Timothee Olla","C2H","142.48","432.96","683.13","Demi-finale B"
"Tom Mazouat-Enzo Mazouat","C2H","165.22","870.01","944.65","Demi-finale B"
"Louis Pein-Samuel Gerard","C2H","203.19","659.14","1381.31","Demi-finale B"
"Meryl Steinmann","K1D","127.48","414.41","471.7","Demi-finale B"
"Juliette Rousset","K1D","131.86","535.18","520.73","Demi-finale B"
"Laure Camozzi","K1D","132.15","407.54","523.98","Demi-finale B"
"Emilie Armani","K1D","136.98","586.89","578.05","Demi-finale B"
"Carla Cerrutti - Bozzola","K1D","138.41","422.9","594.07","Demi-finale B"
"Juliette Ribault","K1D","142.03","571.01","634.59","Demi-finale B"
"Fiona Gille","K1D","144.6","602.65","663.37","Demi-finale B"
"Stassy Legendre","K1D","147.34","545.07","694.03","Demi-finale B"
"Julie Munch","K1D","150.2","597.11","726.05","Demi-finale B"
"Maeva Auriol","K1D","154.6","462.48","775.31","Demi-finale B"
"Tifenn Primet","K1D","178.84","444.15","1046.67","Demi-finale B"
"Estelle Mayer","K1D","180.48","632.26","1065.04","Demi-finale B"
"Emma Vaubourg","K1D","183.48","640.9","1098.63","Demi-finale B"
"Orlane Gauchet","K1D","187.45","576.36","1143.07","Demi-finale B"
"Carole Dolmaire","K1D","Des","-","-","Demi-finale B"
"Anthony Ulrich","K1H","106.75","293.43","394.99","Demi-finale B"
"Victor Beau","K1H","106.79","363.35","395.49","Demi-finale B"
"Boris Rostaing","K1H","108.17","346.07","412.95","Demi-finale B"
"Alain Ferry","K1H","108.4","286.43","415.86","Demi-finale B"
"Dyclan Plessis","K1H","111.52","440.86","455.33","Demi-finale B"
"Victorien Lombard","K1H","112.49","383.02","467.6","Demi-finale B"
"Jules Marchal","K1H","112.98","464.16","473.8","Demi-finale B"
"Teo Bouvier","K1H","113.07","393.93","474.94","Demi-finale B"
"Raphael Olla","K1H","113.22","387.9","476.84","Demi-finale B"
"Paul Gaillard","K1H","114.12","474.31","488.22","Demi-finale B"
"Romain Gayral","K1H","114.85","474.43","497.46","Demi-finale B"
"Oscar Imbault","K1H","115.68","464.51","507.96","Demi-finale B"
"Julien Petit-maire","K1H","115.99","407.77","511.88","Demi-finale B"
"Jules Gastaud","K1H","116.19","529.07","514.41","Demi-finale B"
"Leo Peter","K1H","116.28","496.81","515.55","Demi-finale B"
"Louis Burignat","K1H","116.57","373.37","519.22","Demi-finale B"
"Hugo Gondeaux","K1H","116.69","540.47","520.73","Demi-finale B"
"Adrien Kaiser","K1H","117.48","424.54","530.73","Demi-finale B"
"Erwan Degreve","K1H","117.58","541.17","531.99","Demi-finale B"
"Benjamin Hene","K1H","118.51","432.67","543.76","Demi-finale B"
"Samuel Gerard","K1H","118.73","546.7","546.54","Demi-finale B"
"Alexis Pacholak","K1H","119.15","579.86","551.85","Demi-finale B"
"Yanis Delacour","K1H","120.03","489.2","562.99","Demi-finale B"
"Tristan Le Merour","K1H","120.27","446.03","566.02","Demi-finale B"
"Hugo Martin -laemle","K1H","121.05","531","575.89","Demi-finale B"
"Julian Guglielmo","K1H","122.76","563.67","597.52","Demi-finale B"
"Benjamin Bergin","K1H","124.15","496.33","615.11","Demi-finale B"
"Anthony Rouhier","K1H","124.99","527.49","625.73","Demi-finale B"
"Vincent Chamois","K1H","125.05","729.94","626.49","Demi-finale B"
"Yann Leruste","K1H","125.47","594.23","631.8","Demi-finale B"
"Bastien Caillet","K1H","125.85","572.32","636.61","Demi-finale B"
"Gilles Barthelemy","K1H","126.17","605.95","640.66","Demi-finale B"
"Ulysse Studer","K1H","126.65","618.58","646.73","Demi-finale B"
"Loric Bertrand Delorme","K1H","131.26","658.96","705.05","Demi-finale B"
"Tom Mazouat","K1H","133.05","734.73","727.69","Demi-finale B"
"Enzo Mazouat","K1H","136.23","738.27","767.92","Demi-finale B"
"Victor Hennin","K1H","166.37","585.73","1149.2","Demi-finale B"
"Jules Andrien","K1H","174.37","603.92","1250.41","Demi-finale B"
"Nicolas Gallais","K1H","179.2","641.92","1311.51","Demi-finale B"
"Jeremy Boisgibault","K1H","222.82","280.64","1863.32","Demi-finale B"
"Johann Thevenin","K1H","Abs","-","-","Demi-finale B"
