"SLALOM REGIONAL FONTAINE DE VAUCLUS - Fontaine De Vaucluse - 2002-10-27","Course 1","2002-10-27","Régional","197"
"Falcetta Charlotte","K1D","232.53","-","605",""
"Wadel Aurelia","K1D","240.22","376","656",""
"Sirerol Gaelle","K1D","250.89","-","725",""
"Antonelli Lolita","K1D","272.36","-","865",""
"Salducci Caroline","K1D","280.39","-","917",""
"Carmier Sarah","K1D","290.99","419","986",""
"Deborne Claire","K1D","293.70","-","1004",""
"Coralie Yebenes","K1D","294.42","538","1008",""
"Lefol Emline","K1D","316.91","-","1154",""
"Paverick Catherine","K1D","332.90","-","1258",""
"Nennig Aurelia","K1D","352.39","-","1385",""
"Buchaille Betty","K1D","377.59","1530","1549",""
"Stephanie Bender","K1D","395.09","-","1663",""
"Bachellerie Emilie","K1D","589.12","-","2925",""
"Lutter Valerie","K1D","644.32","-","3284",""
"Julien Billaut","K1H","146.43","25","141",""
"Colliex Olivier","K1H","149.32","111","161",""
"Jeremy Wagner","K1H","155.55","194","206",""
"Astier Perret Vincent","K1H","157.33","235","219",""
"Renaud Metereau","K1H","157.37","228","219",""
"Domingo Benoit","K1H","157.44","261","219",""
"Bertrand Bercon","K1H","157.77","159","222",""
"Ludovic Pinchon","K1H","157.98","289","223",""
"Benoit Fer","K1H","158.12","177","225",""
"Luc Doye","K1H","158.24","195","225",""
"Nivel Cyril","K1H","158.56","167","228",""
"Victor Lamy","K1H","159.35","-","233",""
"Mugnier Julien","K1H","159.73","183","236",""
"Pascal Hunault","K1H","160.23","219","240",""
"Bruno Madier","K1H","160.47","121","241",""
"Sebastien Lepaulard","K1H","161.96","160","252",""
"Pala Mathieu","K1H","162.40","155","255",""
"Remi Wolf","K1H","162.66","228","257",""
"Manoussos Nicolas","K1H","163.58","236","263",""
"Julien Beltrami","K1H","165.67","200","278",""
"Bernhardt Christophe","K1H","166.10","242","281",""
"Guillaume Provost","K1H","166.51","182","285",""
"Olivier Blanc","K1H","166.66","224","286",""
"Keller Paco","K1H","167.69","244","293",""
"Hafiz Ali Hassan","K1H","167.86","-","294",""
"Lisbonne Denis","K1H","167.87","249","294",""
"Thomas Bersinger","K1H","168.27","256","297",""
"Bertrand Lamy","K1H","168.29","190","297",""
"Wadel Florian","K1H","168.38","235","298",""
"Jeanluc Nitard","K1H","168.95","277","302",""
"Carlino Antoine","K1H","169.18","300","304",""
"Girard Adrien","K1H","169.35","167","305",""
"Cavrois Benjamin","K1H","169.49","-","305",""
"Serret Mathieu","K1H","169.97","148","309",""
"Castel Cedric","K1H","170.17","313","311",""
"Sylvain Follenfant","K1H","170.37","345","312",""
"Ysern Renaud","K1H","170.52","201","313",""
"Beltrami Denis","K1H","170.97","233","317",""
"Berthiaud Gregory","K1H","170.97","270","317",""
"Jeremy Moureaux","K1H","171.18","285","318",""
"Ballini Yoann","K1H","172.81","309","330",""
"Pascal Ferry","K1H","175.03","302","346",""
"Alain Ferry","K1H","176.17","300","353",""
"Boris Lutinier","K1H","176.21","195","354",""
"Riou Sebastien","K1H","176.44","247","355",""
"Jose Pereira","K1H","177.48","285","363",""
"Cadene Thierry","K1H","177.54","343","364",""
"Marinot Pascal","K1H","177.59","-","364",""
"Martelet Romain","K1H","177.98","383","366",""
"Falcetta Thomas","K1H","178.10","305","367",""
"Mella Benjamin","K1H","178.38","-","369",""
"Noize Martial","K1H","179.46","-","378",""
"Lebourgeois Alexis","K1H","179.49","309","378",""
"Aupee Eric","K1H","180.50","-","385",""
"Delfs Yann","K1H","180.74","290","386",""
"Russo Stephane","K1H","180.75","-","386",""
"Voltaire Pierre","K1H","180.88","-","387",""
"Delphine Fabrice","K1H","182.60","354","399",""
"Bersinger Sylvain","K1H","182.75","381","401",""
"Michel Yannick","K1H","182.85","331","401",""
"Coulon Jerome","K1H","184.81","417","415",""
"Lalauze Charly","K1H","184.96","355","417",""
"Yannick Besse","K1H","185.72","355","422",""
"Stephane Simonpietri","K1H","187.20","460","433",""
"Gramignan Pierre","K1H","189.02","-","446",""
"Mathieu Cataldo","K1H","189.12","474","446",""
"Jeremiah Mosch","K1H","190.10","402","454",""
"Champeau Laurent","K1H","190.31","519","454",""
"Requena Guillaune","K1H","190.35","452","455",""
"De Vathaire Arthur","K1H","190.50","437","456",""
"Cassin Nathanael","K1H","191.37","548","462",""
"Descharrieres Bruno","K1H","192.99","408","474",""
"Demay Romain","K1H","193.12","505","475",""
"Tissot Fabien","K1H","193.93","-","481",""
"Dorlencourt Richard","K1H","194.44","-","484",""
"Roussel Simon","K1H","194.94","-","488",""
"Benjamin Wagner","K1H","195.73","-","494",""
"Prive Jeremy","K1H","196.00","435","496",""
"Chabot Benjamin","K1H","197.36","581","505",""
"Romain Chabrol","K1H","198.73","447","515",""
"Biglione Guilhem","K1H","199.81","425","523",""
"Alauzet Pierre","K1H","201.91","543","538",""
"Thomas Burnoud","K1H","203.39","578","548",""
"Meissner Pierre","K1H","204.00","-","553",""
"Rech Thomas","K1H","204.18","-","554",""
"Micheau Anthony","K1H","205.73","550","565",""
"Coutaud Jerome","K1H","208.63","-","586",""
"Defayet Steve","K1H","209.96","682","595",""
"Michel Frederic","K1H","211.23","-","604",""
"Belat Yannick","K1H","212.59","-","615",""
"Pommies Cyrille","K1H","214.93","-","631",""
"Huot Florent","K1H","223.01","-","689",""
"Lerussi Ferrari Lionel","K1H","224.60","-","700",""
"Eyme Gilles","K1H","228.86","-","731",""
"Couthouis J2r2mie","K1H","231.26","-","748",""
"Martin Noel","K1H","234.76","-","773",""
"Corbin Yvan","K1H","235.91","-","781",""
"Rety Simon","K1H","239.04","1512","804",""
"Capietto Louis","K1H","241.20","-","819",""
"Baptista Julien","K1H","242.50","-","828",""
"Wintrich Sebastien","K1H","243.00","-","832",""
"Faugeras Quentin","K1H","247.17","1450","862",""
"Bounias-Delacour Aurelien","K1H","249.42","-","878",""
"Delisse Thomas","K1H","250.41","-","885",""
"Bricault Christophe","K1H","257.26","-","934",""
"Liguori Arnaud","K1H","258.54","-","943",""
"Poidevin Loic","K1H","261.22","-","962",""
"Chaix Andre","K1H","264.25","-","984",""
"Gros Mickael","K1H","268.91","-","1018",""
"Dominique Kremer","K1H","269.19","-","1019",""
"Guillaume Wyart","K1H","277.50","-","1079",""
"Lengrand Jeremy","K1H","289.20","-","1163",""
"Lienard Francois","K1H","299.36","-","1235",""
"Ihamouine Eddine","K1H","310.84","-","1317",""
"Llido Olivier","K1H","365.67","-","1710",""
"Leprout Remi","K1H","399.66","-","1953",""
"Canac Helian","K1H","447.26","-","2294",""
"Roche Johann","K1H","500.61","-","2675",""
"Foucher Jean Baptiste","K1H","527.15","-","2865",""
