"SELECTIF REGIONAL ISLE DE LA SERRE - Espace Eau Vive Isle De La Serre - 2003-10-26","Course 1","2003-10-26","Régional","252"
"Hitou Sofiane","K1H","268.24","699","693",""
"Wendling Jean-Mathieu","K1H","270.51","767","708",""
"Eric Louis","K1H","272.65","623","722",""
"Vahine Patrick","K1H","273.67","561","728",""
"Beauce Antoine","K1H","274.14","-","731",""
"Dougoud Adrien","K1H","274.27","600","732",""
"Legrand Adrien","K1H","275.52","-","740",""
"Stefan Stanik","K1H","276.33","-","745",""
"Baptista Julien","K1H","280.47","759","772",""
"Damien Borlet","K1H","282.63","-","785",""
"Bizzo Sebastien","K1H","282.65","-","786",""
"Terryn Gilles","K1H","286.95","-","814",""
"Antoine Vinay","K1H","287.21","-","815",""
"Rety Simon","K1H","289.85","547","832",""
"Gautier Boudat","K1H","293.56","639","856",""
"Thomas Bouquet","K1H","294.40","-","862",""
"Wendling Valentin","K1H","297.00","543","879",""
"Bablonn Arnaud","K1H","300.41","-","900",""
"Arthur Sucker","K1H","300.42","715","900",""
"Friboulet Mickael","K1H","303.06","596","917",""
"Vincent Bajolot","K1H","303.67","745","921",""
"Frering Gilles","K1H","312.08","831","975",""
"Janin Quentin","K1H","316.39","-","1002",""
"Ferrandon Damien","K1H","321.40","-","1035",""
"Drisch Nicolas","K1H","324.82","962","1056",""
"Papoz Bastien","K1H","327.02","-","1071",""
"Vallet Florian","K1H","341.38","868","1163",""
"Marquis Gregory","K1H","358.33","-","1272",""
"Billel Khenchouche","K1H","360.20","998","1284",""
"Villepart Sebastien","K1H","360.81","-","1287",""
"Yoann Aupee","K1H","363.98","-","1309",""
"Munoz Lucas","K1H","370.67","-","1351",""
"Chapellier Pierre Emmanuel","K1H","373.14","605","1367",""
"Japiot Emilien","K1H","394.03","-","1501",""
"Francony Bastien","K1H","396.41","-","1516",""
"Zaki Yassine","K1H","417.35","-","1651",""
"Lagarrigue Damien","K1H","429.61","-","1730",""
"Girardet Julien","K1H","492.10","-","2131",""
"Monteillier Aymeric","K1H","499.45","-","2178",""
"Camart Davy","K1H","501.09","-","2189",""
"Laithier Francois","K1H","512.32","-","2261",""
"Beltzung Gaetan","K1H","517.43","-","2294",""
"Joel Ramillon","K1H","610.13","1250","2889",""
"Arthur Veber","K1H","653.50","-","3168",""
"Guilhem Courduries","K1H","661.38","-","3080",""
"Collard Baptiste","K1H","662.02","-","3223",""
"Cnapelynck Aurélien","K1H","673.91","-","3299",""
"Chaumarat Adrien","K1H","675.16","-","3306",""
"Schifano Jordane","K1H","768.20","-","3904",""
