"Compétition Régionale de Slalom - Guilligomarc'h - Site Des Roches Du Diable - Finale - 2015-02-08","Finale","2015-02-08","Régional","172"
"Anthony Drouhin","K1H","115.35","238.99","199.13","Finale A"
"Luca Dos Santos","K1H","116.23","209.68","208.25","Finale A"
"Matheo Lebaindre","K1H","116.26","221.02","208.56","Finale A"
"Simon Despres","K1H","116.81","173.69","214.26","Finale A"
"Jeremy Lecollinet","K1H","118.66","224.33","233.43","Finale A"
"Melaine Pichard","K1H","118.9","200.4","235.92","Finale A"
"Nicolas Mevel","K1H","118.96","225.56","236.54","Finale A"
"Nicolas Bernardy","K1H","119.79","203.45","245.14","Finale A"
"Malo Le Paih","K1H","120.46","199.17","252.08","Finale A"
"Valentin Le Moignic","K1H","121.02","308.69","257.89","Finale A"
"Paul Gestin","K1H","121.27","217.7","260.48","Finale A"
"Youn Aubry","K1H","121.32","271.9","260.99","Finale A"
"Lionel Tinevez","K1H","122.59","235.75","274.15","Finale A"
"Yves Bourhis","K1H","123.53","287.34","283.89","Finale A"
"Pierre Yves Tanguy","K1H","123.91","261.4","287.83","Finale A"
"Nathan Flageul","K1H","124.42","277.27","293.12","Finale A"
"Alexis Pernelle","K1H","124.42","175.84","293.12","Finale A"
"Ronan Nedelec","K1H","125.62","333.77","305.55","Finale A"
"Maxime Jean","K1H","126.68","391.74","316.53","Finale A"
"Dorian Ollivier","K1H","127.59","308.6","325.96","Finale A"
"Pascal Marrec","K1H","127.67","284.13","326.79","Finale A"
"Julien Dosse","K1H","127.78","213.56","327.93","Finale A"
"Arthur Chaumet","K1H","128.42","258.39","334.56","Finale A"
"Guillaume Payet","K1H","128.61","362.29","336.53","Finale A"
"Simon Seuru","K1H","129.15","264.01","342.13","Finale A"
"Lorin Dumont","K1H","129.8","274.08","348.86","Finale A"
"Nicolas Gestin","K1H","130.1","372.56","351.97","Finale A"
"Emmanuel Cosse","K1H","131.87","304.59","370.31","Finale A"
"Stephane Debliquy","K1H","133.8","349.39","390.31","Finale A"
"Alexandre Jean","K1H","136.21","-","415.28","Finale A"
"Aymeric Poirier","K1H","138.06","364.82","434.45","Finale A"
"Hugo Guilleray","K1H","138.22","313.64","436.11","Finale A"
"Mathys Huvelin","K1H","156.73","60.51","627.91","Finale A"
"Pierre Hellard","K1H","169.81","130.55","763.45","Finale A"
"Ugo Rimbert","K1H","171.29","-","778.78","Finale A"
"Aubry Bertin","K1H","962.86","122.3","8980.99","Finale A"
"Jean Yves Prigent","K1H","Abs","-","-","Finale A"
"Clement Le Collinet","K1H","Abs","-","-","Finale A"
"Gwenael Marquer","K1H","Des","-","-","Finale A"
"Daneric Ollivier","K1HM","216.72","-","1249.52","Finale A"
"Malo Marquet","K1HM","Des","-","-","Finale A"
"Come Le Gal","K1HM","Des","-","-","Finale A"
"Lubin Huet","K1HM","Abs","-","-","Finale A"
"Hugo Robin","C1H","124.02","330.22","232.77","Finale B"
"Luc Hellard","C1H","127.49","236.56","267.02","Finale B"
"Nicolas Bernardy","C1H","130.06","306.16","292.39","Finale B"
"Matheo Lebaindre","C1H","135.28","373.35","343.9","Finale B"
"Brian Pieddefer","C1H","138.09","303.7","371.62","Finale B"
"Lorin Dumont","C1H","138.86","-","379.23","Finale B"
"Jeremie Gouello","C1H","139.1","411.15","381.59","Finale B"
"Valentin Feroc","C1H","150.28","428.86","491.93","Finale B"
"Malo Le Paih","C1H","150.95","379.54","498.54","Finale B"
"Didier Botrel","C1H","180.43","264.11","789.46","Finale B"
"Sylvain Le Roux","C1H","189.26","-","876.6","Finale B"
"Charles Bre","C1H","194.78","300.52","931.08","Finale B"
"Lionel Donias","C1H","203.23","529.12","1014.46","Finale B"
"Melenn Aubry-Alan Dollo","C2H","135.33","312.33","283.68","Finale B"
"Maxance Mongermont-Pierre Guilchet","C2H","234.97","-","1222.29","Finale B"
"Lorin Dumont-Nicolas Le Belleguic","C2H","Abs","-","-","Finale B"
"Laura Nicolas","K1D","141.49","312.08","306.32","Finale B"
"Sylviane Quemerais","K1D","142.1","317.33","311.92","Finale B"
"Marion Grangeon","K1D","150.49","378.37","388.86","Finale B"
"Emma Jacob","K1D","152.8","366.28","410.04","Finale B"
"Lou Renaud","K1D","164.55","311.34","517.78","Finale B"
"Clothilde Le Louarn","K1D","166.74","273.45","537.87","Finale B"
"Alice Azam","K1D","172.74","383.05","592.88","Finale B"
"Lucie Bercon","K1D","208.44","372.35","920.25","Finale B"
"Enora Bronsard","K1D","209.73","420.87","932.08","Finale B"
"Christine Le Gall","K1D","370.49","387.19","2406.22","Finale B"
"Samuel Lhegu","K1H","103.87","84.79","85.18","Finale B"
"Romain Lecrenais-perrel","K1H","111.44","115.01","163.62","Finale B"
"Tristan Bronsard","K1H","120.27","169","255.11","Finale B"
"Malo Legrand","K1H","124.11","395.92","294.9","Finale B"
"Manuel Coquelin","K1H","126.1","317.35","315.52","Finale B"
"Alain Droniou","K1H","128.04","328.57","335.63","Finale B"
"Julien Caillarec","K1H","128.48","308.07","340.19","Finale B"
"Hoel Carnot","K1H","128.71","342.19","342.57","Finale B"
"Sylvain Le Dantec","K1H","130.24","340.59","358.42","Finale B"
"Ronan Gac","K1H","131.13","387.68","367.64","Finale B"
"Yann Le Bourser","K1H","131.33","365.95","369.72","Finale B"
"Pierre Texier","K1H","133.64","367.94","393.65","Finale B"
"Leo Tasset","K1H","134.25","346.07","399.97","Finale B"
"Mathis Daniel","K1H","135.36","429.01","411.48","Finale B"
"Sylvain Le Roux","K1H","137.06","-","429.09","Finale B"
"Samuel Flament","K1H","137.57","409.43","434.38","Finale B"
"Pierre Guilchet","K1H","138.3","457.94","441.94","Finale B"
"Vincent Salmon","K1H","138.37","414","442.67","Finale B"
"Quentin Brillaut","K1H","138.82","397.38","447.33","Finale B"
"Romain Bouillon","K1H","140.47","416.56","464.43","Finale B"
"Lionel Donias","K1H","142.28","517.84","483.18","Finale B"
"Marc-antoine Nannette","K1H","144.11","425.56","502.14","Finale B"
"Luc Le Diouron","K1H","150.22","412.77","565.45","Finale B"
"Lilian Bald","K1H","150.76","-","571.05","Finale B"
"Maxence Guiziou","K1H","154.97","806.68","614.67","Finale B"
"Mathis Busnel","K1H","157.89","534.82","644.93","Finale B"
"Maxime Robin","K1H","158.58","-","652.08","Finale B"
"Theo Rose","K1H","164.52","484.43","713.63","Finale B"
"Thomas Salch","K1H","170.99","-","780.67","Finale B"
"Samuel Le Dean","K1H","207.31","578.27","1157.02","Finale B"
"Maxance Mongermont","K1H","208.09","500.96","1165.1","Finale B"
"David Hamon","K1H","209.44","825.81","1179.09","Finale B"
"Gautier Abiven","K1H","212.59","569.09","1211.73","Finale B"
"Antonin Collobert","K1H","215.77","638.85","1244.68","Finale B"
"Leo Hachair","K1H","242.95","556.29","1526.32","Finale B"
"Guillaume Le Paih","K1H","243.49","863.51","1531.91","Finale B"
"Leo Paillat","K1H","248.21","557.79","1580.82","Finale B"
"Pierre Bellouet Lejour","K1H","257.08","1379.45","1672.73","Finale B"
"Deverig Cardiec","K1H","266.86","-","1774.07","Finale B"
"Valentin Crenn","K1H","Des","-","-","Finale B"
"Killian Flegeau","K1H","Des","-","-","Finale B"
"Jordan Daniel","K1H","Des","-","-","Finale B"
"Nicolas Le Belleguic","K1H","Abs","-","-","Finale B"
"Jonas Flament","K1HM","134.06","-","-","Finale B"
"Steven Henry","K1HM","139.58","-","-","Finale B"
"Louis Forgeard","K1HM","229.16","-","-","Finale B"
"Francois Bonthonnou","K1HM","278.87","-","-","Finale B"
