"Sélectif Régional - Cigné - Finale - 2014-12-07","Finale","2014-12-07","Régional","127"
"Gael Prodeau","K1H","91.31","70.58","143.21","Finale A"
"Matthieu Chauvel","K1H","92.71","196.64","161.19","Finale A"
"Nicolas Rouleaud","K1H","93.11","165.01","166.32","Finale A"
"Thibault Marchand","K1H","93.16","115.25","166.96","Finale A"
"Xavier Jourdain","K1H","93.6","149.07","172.61","Finale A"
"Benjamin Thiboust","K1H","94.51","100.99","184.3","Finale A"
"Remi Vinet","K1H","95.39","214.38","195.59","Finale A"
"Theo Lecomte","K1H","95.93","232.59","202.53","Finale A"
"Axel Meheust","K1H","97.47","276.93","222.3","Finale A"
"Hugues Moret","K1H","98.43","246.74","234.62","Finale A"
"Herve Busson","K1H","98.57","168.4","236.42","Finale A"
"Martin Belliot","K1H","99.18","253.39","244.25","Finale A"
"Gaetan Hamelin","K1H","99.37","227.37","246.69","Finale A"
"Denis Guilmard","K1H","100.26","253.17","258.12","Finale A"
"Timothee Le Mort","K1H","100.3","261.57","258.63","Finale A"
"Manuel Moquet","K1H","101.39","287.66","272.63","Finale A"
"Guillaume De Fierville","K1H","101.4","267.85","272.76","Finale A"
"Erwan Jonin","K1H","102.36","311.67","285.08","Finale A"
"Loic Froissard","K1H","108.61","384.72","365.32","Finale A"
"Thomas Brochard","K1H","109.18","396.64","372.64","Finale A"
"Lucas Godevin","K1H","114.41","376.92","439.79","Finale A"
"Alexis Belkheir","K1H","116.35","395.87","464.7","Finale A"
"Jean Terasas","K1H","120.79","395.69","521.7","Finale A"
"Samuel Lhegu","K1H","141.63","87.45","789.26","Finale A"
"Jonas Godevin","K1HM","103.27","347.85","296.76","Finale A"
"Pierre Bourdet","K1HM","104.78","413.57","316.15","Finale A"
"Florian Busson","K1HM","107.47","-","-","Finale A"
"Romain Branjauneau","K1HM","107.81","-","-","Finale A"
"Vincent Laclide","K1HM","109.53","-","377.13","Finale A"
"Tom Suteau","K1HM","111.63","-","404.1","Finale A"
"Lucas Jacob","K1HM","112.64","479.81","417.06","Finale A"
"Alexis Bobon","K1HM","114.03","468.03","434.91","Finale A"
"Alex Louveau","K1HM","114.97","-","-","Finale A"
"Gaetan Robin","K1HM","117.81","-","-","Finale A"
"Yoan Maillard","K1HM","122.26","-","540.57","Finale A"
"Nicolas Rouleaud","C1H","117.6","-","413.85","Finale B"
"Luc Boisnard","C1H","120.18","534.65","445.39","Finale B"
"Alexis Brule","C1H","122.79","-","477.31","Finale B"
"Olivier Leboeuf","C1H","126.79","-","526.21","Finale B"
"Pierre Huan","C1H","129.92","-","564.48","Finale B"
"Lucas Godevin","C1H","131.22","-","580.38","Finale B"
"Lucas Chancerel","C1H","143.74","-","733.47","Finale B"
"Leo Prel","C1H","242.41","-","1939.95","Finale B"
"Romain Branjauneau","C1HM","129.93","-","-","Finale B"
"Samuel Vallienne","C1HM","136.16","-","-","Finale B"
"Remi Catherine","C1HM","170.16","-","1056.52","Finale B"
"Faustine Grandin","K1D","121.42","594.63","355.44","Finale B"
"Paola Leprat","K1D","137","-","532.46","Finale B"
"Dominique Badie-kallou","K1D","142.35","664.65","593.24","Finale B"
"Caroline Froissard","K1D","152.53","1036.92","708.91","Finale B"
"Garance Dalaine","K1DM","131.96","-","475.2","Finale B"
"Josephine Farges","K1DM","135.47","-","515.08","Finale B"
"Orane Avry","K1DM","138.28","-","-","Finale B"
"GaËlle Bail","K1DM","145.29","-","626.65","Finale B"
"Antonin Leray","K1H","109.52","453.6","382.01","Finale B"
"Jean Aussant","K1H","111.82","-","411.54","Finale B"
"Christophe Gergaud","K1H","113.21","449.98","429.38","Finale B"
"Olivier Brochard","K1H","114.64","417.47","447.74","Finale B"
"Pierre Huan","K1H","115.87","483.79","463.53","Finale B"
"Gilbert Lagneau","K1H","118.18","743.02","493.19","Finale B"
"Francois Biron","K1H","118.49","-","497.17","Finale B"
"Thibault Maniere","K1H","119.3","-","507.57","Finale B"
"Alexis Brule","K1H","120.88","500.06","527.85","Finale B"
"Lucas Chancerel","K1H","120.89","493.33","527.98","Finale B"
"Antoine Repussard","K1H","121.6","605.69","537.1","Finale B"
"Christian Belouin","K1H","123.97","642.86","567.53","Finale B"
"Clement Collardez","K1H","125.62","946.91","588.71","Finale B"
"Alexandre Catherine","K1H","127","652.5","606.43","Finale B"
"Scotty Lacroix","K1H","129.96","1506.14","644.43","Finale B"
"Leo Prel","K1H","132.74","-","680.12","Finale B"
"Jean-christophe Dubois","K1H","136.69","-","730.84","Finale B"
"Lucas Berthelot","K1H","141.9","1126.96","797.73","Finale B"
"Thierry Dugue","K1H","240.23","664.4","2060.16","Finale B"
"Augustin Francois","K1HM","118.65","-","499.22","Finale B"
"Remi Catherine","K1HM","120.33","-","520.79","Finale B"
"Matheo Coquel","K1HM","122.14","-","-","Finale B"
"Samuel Vallienne","K1HM","122.95","-","-","Finale B"
"Louis Prezeau","K1HM","125.04","575.58","581.26","Finale B"
"Mateo Aligon","K1HM","126.44","-","-","Finale B"
"Theo Anton  Heteau","K1HM","131.15","-","-","Finale B"
"Benoit Guernic","K1HM","168.84","-","1143.6","Finale B"
"Regis Navinel-dubois","K1HM","180.57","-","-","Finale B"
"Thibaud Collaert","K1HM","238.36","-","2036.15","Finale B"
