"Sélectif Régional de Slalom - 94500 Champigny Sur Marne - Qualification - 2019-11-24","Qualification","2019-11-24","Régional","195"
"Eden Quevremont","C1H","Abs","-","-",""
"Vincent Delahaye","C1H","Abs","-","-",""
"Yvan Leblond","C1H","Abs","-","-",""
"Loic Dufour","C1HM","100.28","497.82","523.33",""
"Axel Colin","C1HM","102.66","432.85","558.48",""
"Clement Brault","C1HM","112.35","807.95","701.62",""
"Pierric Clipet","C1HM","116.11","607.15","757.17",""
"Pierre-louis Mingasson","C1HM","121.58","818.97","837.96",""
"Enzo Marchand","C1HM","125.91","838.89","901.92",""
"Kavishan Kulatunga","C1HM","131.5","-","984.5",""
"Kyllian Leroux Senac","C1HM","132.72","1218.58","1002.53",""
"Qeis Khalfaoui","C1HM","134.47","-","1028.38",""
"Yohan Marck-Charles Dampeyrou","C2H","115.8","684.32","674.84",""
"Loick Manoury-Antoine Huger","C2H","139.16","1295.2","1004.22",""
"Frederic Henry-Vincent Renaudie","C2H","145.94","-","1099.82",""
"Mathurin Madore-Romane Prigent","C2M","105.92","-","411.06",""
"Florence Marchal-Jacques Nardeau","C2M","132.06","665.17","748.93",""
"Xavier Perreau-Karelle Payen","C2M","147.23","1250.15","945.01",""
"Axel Colin-Nina Pesce-roue","C2MM","116.58","800.37","548.85",""
"Clement Brault-Jade Dendele","C2MM","148.13","1010.51","956.65",""
"Romane Prigent","K1D","85.39","76","214.08",""
"Loan Battistuzzi","K1D","94.25","636.25","335.69",""
"Lucie Cecile","K1D","94.74","469.13","342.41",""
"Clara Delahaye","K1D","96.01","312.83","359.85",""
"Nelia Barbosa","K1D","96.91","395.11","372.2",""
"Lisa Manach","K1D","100.4","506.19","420.1",""
"Eva Dauvergne","K1D","100.87","498.39","426.56",""
"Alexia Bechu","K1D","105.09","438.46","484.48",""
"Souhayla Khattabi","K1D","106.48","435.65","503.56",""
"Charlotte Chauvey","K1D","106.57","473.44","504.79",""
"Julie Dupas","K1D","107.26","360.18","514.26",""
"Elodie Berrot","K1D","108.55","532.84","531.97",""
"Yuna Pernet","K1D","114.32","434.9","611.17",""
"Florence Marchal","K1D","117.39","583.23","653.31",""
"Karelle Payen","K1D","119.38","794.33","680.62",""
"Laura Demuru","K1D","119.84","561.63","686.94",""
"Noemie Tchoua","K1D","121.07","660.45","703.83",""
"Coralie Delmotte","K1D","124.79","805.79","754.89",""
"Sophie Roye","K1D","126.42","539.29","777.25",""
"Maelle Bedoin","K1D","127.47","1064.86","791.66",""
"Celine Garcia","K1D","129.38","-","817.89",""
"Amelie Gonzalez","K1D","129.52","814.8","819.8",""
"Sylvie Devalloir","K1D","167.9","-","1346.61",""
"Sylvie Da Silva","K1D","213.11","-","1967.16",""
"Romane Bedoin","K1D","Abs","-","-",""
"Stephanie Perreau","K1D","Abs","-","-",""
"Nina Pesce-roue","K1DM","100.17","410.31","416.95",""
"Solene Cantet","K1DM","111.89","742.3","577.82",""
"Jade Dendele","K1DM","112.66","749.57","588.38",""
"Coline Regnier","K1DM","114.99","457.81","620.36",""
"Camille Brugvin","K1DM","116.18","632.49","636.7",""
"Enzo Marchand","K1DM","117.22","-","650.98",""
"Jade Cascarino","K1DM","119.35","630.55","680.2",""
"Lou Ann Dabin","K1DM","146.66","-","1055.07",""
"Hanalei Le Du","K1DM","Abs","-","-",""
"Mathurin Madore","K1H","76.83","10.39","233.68",""
"Hector Combes","K1H","81.14","238.38","300.53",""
"Amaury Brucher","K1H","81.33","247.3","303.47",""
"Nathan Huguenin","K1H","83.02","326.91","329.69",""
"Eden Quevremont","K1H","83.87","332.33","342.87",""
"Lucas Correia","K1H","84.52","230.27","352.95",""
"Robin Pilard","K1H","84.91","520.83","359",""
"Yohan Marck","K1H","86.24","356.11","379.63",""
"Basile Drapier","K1H","88.16","431.97","409.41",""
"Thibaut Evrard","K1H","88.48","305.01","414.37",""
"Andreas Dupuy","K1H","88.48","215.76","414.37",""
"Matheo Dupont","K1H","88.84","301.39","419.96",""
"Antoine Huger","K1H","88.85","460.02","420.11",""
"Mathis Piepho","K1H","90.36","347.14","443.53",""
"Pierre Dampeyrou","K1H","92.24","-","472.69",""
"Axel Girard","K1H","93.63","419.8","494.25",""
"Florian Perenchio","K1H","93.85","-","497.66",""
"Samuel Tahaafe","K1H","93.98","459.82","499.68",""
"Robin Le Mazurier","K1H","94.85","559.06","513.17",""
"Loick Manoury","K1H","94.97","433.65","515.03",""
"Francois Durand","K1H","94.98","435.43","515.19",""
"Philippe Piat","K1H","95.67","502.79","525.89",""
"Benjamin Fourmet","K1H","95.75","555.65","527.13",""
"Maxime Kerbrat","K1H","96","567.77","531.01",""
"Erwan Laloux","K1H","97.36","560.51","552.1",""
"Florent Bernard","K1H","97.84","402.79","559.55",""
"Theo Siguret","K1H","99.42","534.05","584.06",""
"Beranger Doulle","K1H","100.34","481.65","598.32",""
"Louis Marvillet","K1H","100.92","574.51","607.32",""
"Gerard Lafargue","K1H","102.57","589.07","632.91",""
"Charles Dampeyrou","K1H","103.15","-","641.91",""
"Theophile Vincent","K1H","103.52","679.61","647.65",""
"Alain Brucher","K1H","103.65","764.47","649.66",""
"Hugo Pereira","K1H","105.03","699.67","671.07",""
"Garvan Boulben","K1H","105.04","685.96","671.22",""
"Mathieu Benkaroun","K1H","105.39","743.37","676.65",""
"Philippe Valeri","K1H","107.55","590.88","710.15",""
"Emrys Meddour","K1H","109.75","594.2","744.28",""
"Remi Hervieux","K1H","110.46","789.76","755.29",""
"Ibrahim Ben-belgacem","K1H","110.86","1025.45","761.49",""
"Michel Joly","K1H","113.28","731.6","799.03",""
"Yves Souchal","K1H","114.07","941.62","811.28",""
"Francois Vuillermot","K1H","115.35","-","831.14",""
"Axel Tempier","K1H","115.74","826.7","837.18",""
"Theo Griffit","K1H","116.76","873.68","853.01",""
"Jacques Nardeau","K1H","116.87","875.46","854.71",""
"Claude Breuzard","K1H","116.93","673.49","855.64",""
"Lucas Franetich","K1H","118.03","1016.5","872.7",""
"Victor Cauet","K1H","118.42","1334.56","878.75",""
"Fabien Lemaitre","K1H","118.46","-","879.37",""
"Bruno Brousselle","K1H","119.6","1141.91","897.05",""
"Barnabe Sennelier","K1H","119.66","946.13","897.99",""
"Martin Vey","K1H","121.77","878.03","930.71",""
"Denis Marrocos","K1H","124.59","892.42","974.45",""
"Othis Dabin","K1H","129.12","1173.73","1044.71",""
"Marc-olivier Dufour","K1H","132.32","1116.87","1094.35",""
"Thibault Wurceldorf","K1H","132.58","1195.73","1098.38",""
"Jorge Govea Martinez","K1H","144.59","-","1284.66",""
"Hugo Favrelle","K1H","148.4","1053.86","1343.75",""
"Paul Cascarino","K1H","149.78","406.68","1365.16",""
"Amir Bouazza","K1H","149.98","1323.43","1368.26",""
"Erik Vallauri","K1H","Abs","-","-",""
"Joseph Simonpietri","K1H","Abs","-","-",""
"Pierre Yves Tempier","K1H","Abs","-","-",""
"Romain Caupin","K1H","Abs","-","-",""
"Noe Vannier","K1H","Abs","-","-",""
"Vincent Renaudie","K1H","Abs","-","-",""
"Gaetan Roux","K1H","Abs","-","-",""
"Ianis Fleury","K1H","Abs","-","-",""
"Yvan Leblond","K1H","Abs","-","-",""
"Vincent Delahaye","K1H","Abs","-","-",""
"Leni Perreau","K1HM","91.14","377.86","455.63",""
"Loic Dufour","K1HM","96.75","576.08","542.64",""
"Pierric Clipet","K1HM","97.73","464.83","557.84",""
"Kavishan Kulatunga","K1HM","100.64","1129.61","602.98",""
"Hugo Hernoux","K1HM","102.12","722.13","625.93",""
"Joris Bonine","K1HM","103.98","1513.23","654.78",""
"Thomas Gaud","K1HM","104.41","606.07","661.45",""
"Clement Brault","K1HM","106.85","715.86","699.3",""
"Nouredine Zerouga","K1HM","107.05","901.11","702.4",""
"Teo Tester","K1HM","113.9","795.96","808.65",""
"Kyllian Leroux Senac","K1HM","114.74","-","821.67",""
"Matis Hernu","K1HM","116.55","1760.89","849.75",""
"Qeis Khalfaoui","K1HM","118.26","686.7","876.27",""
"Axel Linssen","K1HM","119.04","1073.09","888.37",""
"Antonin Costa","K1HM","121.46","885.99","925.9",""
"Eugene Pataut Ghez","K1HM","126.92","1001.09","1010.59",""
"Victor Berland Laporte","K1HM","127.89","1111.85","1025.64",""
"Souleymane Ndoye","K1HM","129.52","1070.81","1050.92",""
"Axel Colin","K1HM","135.64","319.21","1145.84",""
"Marc Sanchez","K1HM","135.96","-","1150.8",""
"Leandre Richard","K1HM","136.36","1050.24","1157.01",""
"Pierre-louis Mingasson","K1HM","145.91","735.71","1305.13",""
"Ziad Ben Bella","K1HM","200.59","-","2153.24",""
"Leo Dupont","K1HM","Abs","-","-",""
"Jules Dagonet","K1HM","Abs","-","-",""
