"SELECTIF REGIONAL SLALOM - Bassin De La Pointerie - 2006-10-29","Course 1","2006-10-29","Régional","173"
"Alexandre Mathis-Pierre Melin","C2H","285.47","895","529",""
"Pischek Jan- Trebosc Mathieu","C2H","293.04","-","569",""
"Bazin Patryce- Noel Jeremie","C2H","299.63","-","604",""
"Jerome Lacire-Jerome Mailfait","C2H","300.22","492","607",""
"Carre Germain- Noiret Aurelien","C2H","322.16","-","723",""
"Saguet Emilie- Bley Julien","C2M","308.32","-","649",""
"Patron Guillaume- Chevalier Gaelle","C2M","743.50","-","2943",""
"Clotilde Miclo","K1D","218.00","36","143",""
"Claire Jacquet","K1D","224.34","55","176",""
"Andrea De Azevedo","K1D","235.71","178","234",""
"Emilie Saguet","K1D","242.85","276","270",""
"Gaelle Tosser-roussey","K1D","248.84","290","301",""
"Cindy Beche","K1D","263.68","359","377",""
"Aubert Laetitia","K1D","263.98","377","379",""
"Maud Thisse","K1D","265.85","389","389",""
"Rosalie Kempf","K1D","267.21","328","395",""
"Giroux Marilyn","K1D","269.22","-","406",""
"Djamila Mihoubi","K1D","270.21","-","411",""
"Blanche Legin","K1D","270.45","456","412",""
"Sophie Balmossiere","K1D","270.68","416","413",""
"Cloe Hun","K1D","271.78","373","419",""
"Julie Mourot","K1D","274.42","392","432",""
"Stephanie Ansot","K1D","275.73","340","439",""
"Tralbaut Flor","K1D","275.79","384","439",""
"Lea Bechereau","K1D","277.21","-","447",""
"Carine Chapuis","K1D","305.26","555","591",""
"Carole Dolmaire","K1D","308.15","581","605",""
"Lauranne Bechereau","K1D","335.08","1010","744",""
"Ladouce Charline","K1D","404.73","-","1101",""
"Sabrina Thomas","K1D","423.42","-","1197",""
"Amalia Mazzilli","K1D","449.45","885","1330",""
"Frederic Walczak","K1H","176.41","18","47",""
"Johan De Mareuil","K1H","183.89","46","90",""
"De Berchen Sebastien","K1H","187.64","93","112",""
"Ronan Lucas","K1H","187.86","100","113",""
"Julien Arribe","K1H","188.33","50","116",""
"Emile Devaux","K1H","195.13","176","156",""
"Jerome Olhagaray","K1H","195.49","132","158",""
"Ragot Laurent","K1H","199.49","-","181",""
"Arthur Georges","K1H","200.84","170","189",""
"Julien Bley","K1H","203.33","185","203",""
"Perrin Alexandre","K1H","204.56","202","210",""
"Remi Thomas","K1H","205.26","230","215",""
"Philippe Daumont","K1H","205.82","158","218",""
"Julien Daumont","K1H","206.17","139","220",""
"Bajolet Julien","K1H","207.21","230","226",""
"Bourgeois Cedric","K1H","207.69","154","229",""
"Kudla Romain","K1H","207.88","147","230",""
"Ganthier Damiens","K1H","208.98","165","236",""
"Beghoura Yoni","K1H","210.54","252","245",""
"Loic Monbel","K1H","211.65","181","251",""
"Stefan Stanik","K1H","211.98","244","253",""
"Louison Tanet","K1H","212.58","246","257",""
"Michel Ragot","K1H","213.55","279","262",""
"Clement Martin","K1H","213.57","301","262",""
"Guillaume Maraquin","K1H","213.80","261","264",""
"Nicolas Mangeolle","K1H","215.84","238","276",""
"Damien Burteaux","K1H","216.29","276","278",""
"Creuza Jeremy","K1H","216.52","345","279",""
"Thibaud Kudla","K1H","216.83","251","281",""
"Billel Khenchouche","K1H","216.96","232","282",""
"Vincent Bajolot","K1H","217.01","290","282",""
"Quentin Moreaux","K1H","217.40","310","285",""
"Florent Tamburini","K1H","218.12","221","289",""
"Stephane Rousse","K1H","219.83","321","299",""
"Romain Viry","K1H","220.55","229","304",""
"David Beyer","K1H","222.03","-","312",""
"Florient Tagnon","K1H","222.05","343","312",""
"Loic Gobert","K1H","223.88","358","323",""
"Olivier Mittler","K1H","224.25","367","325",""
"Xavier Rat","K1H","225.66","327","333",""
"Audren Schiel","K1H","229.43","404","355",""
"Thomas Rollot","K1H","229.74","311","357",""
"Mathys Morgan","K1H","230.49","428","361",""
"Matthieu Walfard","K1H","230.65","337","362",""
"Patrick Gass","K1H","231.70","290","368",""
"Jerome Laflotte","K1H","231.87","386","369",""
"Mael Othenin Girard","K1H","232.24","368","371",""
"Sidney Malgras","K1H","233.92","384","381",""
"Thevenin Johann","K1H","234.43","460","384",""
"Nikolas Stanik","K1H","234.82","373","386",""
"Germain Carre","K1H","234.85","318","386",""
"Parant Fabrice","K1H","235.58","383","390",""
"Romain Chane","K1H","235.72","448","391",""
"Benjamin Fourmet","K1H","237.43","352","401",""
"Paillard Gautier","K1H","237.54","-","402",""
"Hayot Sylvain","K1H","238.70","383","408",""
"Jerome Mailfait","K1H","239.86","383","415",""
"Alexandre Diemert","K1H","241.31","-","423",""
"Anthony Beaudoing","K1H","242.29","-","429",""
"Yann Tosser  Roussey","K1H","242.55","375","431",""
"Frederic Blanrue","K1H","244.79","423","443",""
"Pierre Rat","K1H","246.06","-","451",""
"Bontemps Romain","K1H","246.84","-","455",""
"Lang Valentin","K1H","249.90","415","473",""
"Michel Nicolas","K1H","250.69","468","477",""
"Clement Mangeolle","K1H","251.15","492","480",""
"Quentin Vallee","K1H","255.84","195","508",""
"Leo Capelle","K1H","257.57","-","518",""
"Fournier Paul","K1H","257.92","-","520",""
"Ricci Pierre","K1H","258.73","-","525",""
"Alexandre Peslin","K1H","258.92","404","526",""
"Mickael Faure","K1H","259.79","451","531",""
"Munschina Vincent","K1H","263.06","-","550",""
"Jules Argentini","K1H","265.16","505","562",""
"Demoury Jean Briac","K1H","266.88","-","572",""
"Bernier Julien","K1H","269.46","-","587",""
"Mathieu Faure","K1H","272.18","474","602",""
"Monbel Romain","K1H","274.32","481","615",""
"Thomas Quennehen","K1H","276.09","-","625",""
"Jonathan Matern","K1H","278.65","713","640",""
"Paul Bornier","K1H","279.01","-","642",""
"Ladouce Sebastien","K1H","279.80","-","646",""
"Romain Faurie","K1H","281.27","-","655",""
"Jerome Urbanczyk","K1H","284.85","1167","676",""
"Andre Kempf","K1H","287.85","611","694",""
"Bayle Damien","K1H","300.50","-","767",""
"Luc Rumeau","K1H","302.75","-","780",""
"Brouillard Aurelien","K1H","303.62","773","785",""
"Aimeric Brouillard","K1H","307.83","779","809",""
"Pierre Cassin","K1H","312.49","-","836",""
"Brouillard Thibault","K1H","318.22","649","870",""
"Aurelien Noiret","K1H","319.53","510","877",""
"Remi Fossier","K1H","322.10","1212","892",""
"Pierron Aurelien","K1H","325.34","512","911",""
"Guillaume Cochut","K1H","333.34","833","957",""
"Gilles Lucas","K1H","360.68","433","1116",""
"Anthony Mercier","K1H","364.42","-","1137",""
"Carbillet Pierre","K1H","401.19","-","1350",""
