"Manche de la Coupe de France Nationale 1 slalom - Base Nautique De Nancy - Finale - 2015-04-04","Finale","2015-04-04","Nationale 1","160"
"Thibaut Perroteau","C1H","135.91","143.99","271.15","Finale B"
"Faysal Ali Zazou","C1H","136.36","226.55","274.79","Finale B"
"Thomas Launay","C1H","152.92","215.48","408.89","Finale B"
"Maxime Perron-Lucas Hives - Sorin","C2H","130.67","129.97","180.61","Finale B"
"Pierre Hellard-Malo Quemeneur","C2H","134.38","226.76","209.3","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","136.62","158.44","226.61","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","159.09","240.4","400.3","Finale B"
"Baptiste Delaplace-Renaud Doby","C2H","Abs","-","-","Finale B"
"Louis Bouclier-Martin Mottais","C2H","Abs","-","-","Finale B"
"Margaux Henry","K1D","124.14","90.39","104.66","Finale B"
"Berenice Kolenc","K1D","124.45","61.32","107","Finale B"
"Joana Palermo","K1D","125.4","139.81","114.14","Finale B"
"Claire Gaigeot","K1D","126.42","116.1","121.82","Finale B"
"Romane Prigent","K1D","126.86","125.36","125.12","Finale B"
"Solene Graille","K1D","128.29","102.88","135.89","Finale B"
"Lea Wetzel","K1D","128.52","95.88","137.62","Finale B"
"Flora Huvelin","K1D","130.02","99.43","148.91","Finale B"
"Laura Combot","K1D","132.2","86.64","165.31","Finale B"
"Caroline Bourry","K1D","133.9","82.88","178.11","Finale B"
"Lea Turmeau","K1D","138.48","116.49","212.57","Finale B"
"Camille Fontaine","K1D","144.18","180.91","255.46","Finale B"
"Annaelle Meheut","K1D","147.78","145.66","282.55","Finale B"
"Lea Gaigeot","K1D","149.91","112.51","298.58","Finale B"
"Flora Bove","K1D","182.34","123.9","542.6","Finale B"
"Malo Quemeneur","K1H","106.98","97.94","80.19","Finale B"
"Antoine Launay","K1H","107.94","52.5","88.35","Finale B"
"Ewen Legrand","K1H","108.41","104.55","92.35","Finale B"
"Jonas Turmeau","K1H","108.99","69.23","97.28","Finale B"
"Samuel Lhegu","K1H","109.34","84.48","100.25","Finale B"
"Edgar Prigent","K1H","110.01","154.53","105.95","Finale B"
"Mathurin Madore","K1H","110.05","82.37","106.29","Finale B"
"Thibault Marchand","K1H","110.1","107.4","106.72","Finale B"
"Romain Faurie","K1H","110.6","108.78","110.97","Finale B"
"Frederic Walczak","K1H","111.03","53.15","114.62","Finale B"
"Enrick Cunsolo","K1H","111.35","66.16","117.34","Finale B"
"Paul Cornut-chauvinc","K1H","112.04","161.34","123.21","Finale B"
"Quentin Mignard","K1H","112.09","91.71","123.64","Finale B"
"William Desnos","K1H","112.22","88.72","124.74","Finale B"
"Emmanuel Walczak","K1H","112.4","70.78","126.27","Finale B"
"Guillaume Graille","K1H","112.45","109.99","126.7","Finale B"
"Nicolas Abbal","K1H","113.02","50.02","131.54","Finale B"
"Maxime Bottex","K1H","114.35","121.67","142.85","Finale B"
"Alexandre Lucas","K1H","115.24","135.1","150.42","Finale B"
"Gael Prodeau","K1H","115.51","82.78","152.72","Finale B"
"Tom Scianimanico","K1H","115.76","48.59","154.84","Finale B"
"Mathieu Douillet","K1H","117.87","115.61","172.78","Finale B"
"James Duvernoy","K1H","118.55","85.74","178.57","Finale B"
"Manuel Savels","K1H","119.3","196.56","184.94","Finale B"
"Benjamin Thiboust","K1H","119.52","123.53","186.81","Finale B"
"Louis Philippe Rigal","K1H","120.51","119.81","195.23","Finale B"
"Jonathan Delagnes","K1H","121.72","103.26","205.52","Finale B"
"Sebastien Nouvel","K1H","166.31","143.69","584.67","Finale B"
"Nicolas Feuillard","K1H","172.23","128.66","635.01","Finale B"
"Alan Dollo","K1H","175.97","101.97","666.81","Finale B"
