"Séletif National 3 Slalom Est - Lavancia Epercy - Qualification - 2015-03-08","Qualification","2015-03-08","Nationale 3","211"
"Paul Gaillard","C1H","122.59","564.69","580.54",""
"Anthony Giurlando","C1H","128.38","659.58","653.01",""
"Teo Bouvier","C1H","128.67","585.38","656.63",""
"Jean Philippe Roche","C1H","129.16","631.19","662.77",""
"Victor Beau","C1H","129.32","577.79","664.77",""
"Jules Marchal","C1H","130.13","505.89","674.9",""
"Joseph Risson","C1H","131.18","864.25","688.04",""
"Robin Pottelette","C1H","134.98","858.43","735.59",""
"Christophe Billaud","C1H","136.36","561.84","752.87",""
"Hugo Martin -laemle","C1H","138.48","774.89","779.4",""
"Alain Ferry","C1H","138.99","598.11","785.77",""
"Loric Bertrand Delorme","C1H","144.5","762.26","854.73",""
"Dyclan Plessis","C1H","147.26","721.2","889.28",""
"Antoine Esseric","C1H","166.71","709.04","1132.67",""
"Jules Bernardet","C1H","180.83","538.4","1309.37",""
"Bastien Caillet","C1H","194.44","705.79","1479.69",""
"Lionel Borde","C1H","209.38","544.8","1666.66",""
"Kyle Gelb","C1H","Abs","-","-",""
"Loic Bertoia","C1H","Abs","-","-",""
"Alexis Collin-Alexandre Mathis","C2H","111.79","364.3","381.8",""
"Gilles Schweitzer-Jean Marc Trenchant","C2H","116.3","465.55","435.67",""
"Vincent Morabito-Yohan Wantz","C2H","124.51","432.53","533.75",""
"Philippe Senechal-Xavier Rat","C2H","128.89","470.03","586.07",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","130.97","356.22","610.92",""
"Hugo Latimier-Eludes Houillon","C2H","132.18","551.49","625.37",""
"Olivier Bourgey-Thomas Denais","C2H","136.16","-","672.91",""
"Joseph Risson-Boris Rostaing","C2H","142.2","858","745.07",""
"Louis Pein-Samuel Gerard","C2H","169.51","-","1071.29",""
"Loic Bouvier-Arthur Tebib","C2H","342.78","-","3141.05",""
"Raphaelle Hovine-Matthieu Basset","C2M","125.01","392.14","415.28",""
"Jerome Daille-Sabine Kleinhenz","C2M","132.42","362.34","496.42",""
"Christophe Billaud-Elodie Delavelle","C2M","148.11","371.6","668.22",""
"Stassy Legendre-Antoine Esseric","C2M","153","559.4","721.77",""
"Antonin Dreit-Jade Robin","C2M","200.86","569.89","1245.83",""
"Sandra Carisey-Alexis Caspar","C2M","Abs","-","-",""
"Tassia Konstantinidis","K1D","112.67","348.02","356.59",""
"Sabine Kleinhenz","K1D","114.74","372.15","380.66",""
"Sarah Michel","K1D","114.95","345.78","383.1",""
"Camille Hurez","K1D","115.62","437.82","390.89",""
"Coline Bertin","K1D","115.63","397.52","391",""
"Auregane Philip","K1D","117.23","390.17","409.6",""
"Celia Grandadam","K1D","121.81","391.59","462.86",""
"Laure Camozzi","K1D","124.05","391.62","488.92",""
"Jade Robin","K1D","124.46","422.29","493.69",""
"Thais Francois","K1D","124.52","415.6","494.38",""
"Coline Charel","K1D","125.4","471.76","504.61",""
"Clara Trenchant","K1D","132.94","522.13","592.29",""
"Alice Evlachev","K1D","133.24","565.45","595.78",""
"Marlene Dumoulin","K1D","134.17","396.93","606.6",""
"Julie Munch","K1D","137.68","657.29","647.41",""
"Laurie Bolle - Reddat","K1D","138.4","431.36","655.78",""
"Maeva Auriol","K1D","140","466.95","674.39",""
"Julie Rufet","K1D","142.29","442.94","701.01",""
"Christelle Channac","K1D","146.63","501.29","751.48",""
"Emma Vieira Coelha","K1D","147.86","429.82","765.79",""
"Juliette Ribault","K1D","147.95","571.01","766.83",""
"Oceane Charel","K1D","192.69","988.38","1287.07",""
"Tifenn Primet","K1D","197.52","474.49","1343.23",""
"Juliette Rousset","K1D","197.81","540.19","1346.61",""
"Clotilde Lecoester","K1D","239.72","785.36","1833.95",""
"Fiona Gille","K1D","248.48","959.51","1935.81",""
"Emilie Armani","K1D","254.58","903.34","2006.74",""
"Estelle Mayer","K1D","268.88","632.26","2173.03",""
"Stassy Legendre","K1D","293.85","492.83","2463.38",""
"Orlane Gauchet","K1D","Abs","-","-",""
"Caroline Dias-lopes","K1D","Abs","-","-",""
"Lucas Latimier","K1H","92.66","268.08","263.98",""
"Maxime Di Lauro","K1H","93.9","302.34","280.27",""
"Emilien Kempf","K1H","94.43","285.57","287.23",""
"Charles Fernandes De Oliveira","K1H","95.51","253.76","301.42",""
"Benoit Lecoester","K1H","95.86","264.19","306.02",""
"Robin Pottelette","K1H","96.25","325.35","311.15",""
"Simon Hene","K1H","96.82","398.14","318.64",""
"Lilian Querry","K1H","97.3","284.63","324.94",""
"Thomas Girard","K1H","97.76","263.11","330.99",""
"Alexandre Marin","K1H","97.93","275.34","333.22",""
"Maxime Gaillard","K1H","98.62","321.12","342.29",""
"Sebastien Lepaulard","K1H","99.24","272.31","350.44",""
"Thibaut Chariot","K1H","99.39","282.68","352.41",""
"Julien Signarbieux","K1H","99.65","442.07","355.82",""
"Olivier Urbain","K1H","99.7","288.06","356.48",""
"Olivier Barriere","K1H","99.91","311.84","359.24",""
"Loic Thielen","K1H","100.86","330.21","371.72",""
"Arnaud Jamet","K1H","100.95","358.54","372.91",""
"Samuel Bonella","K1H","100.98","328.7","373.3",""
"Vincent Morabito","K1H","101.47","259.79","379.74",""
"Paul Frommer","K1H","101.59","342.12","381.31",""
"Joris Schaffner","K1H","101.66","354","382.23",""
"Jean Philippe Roche","K1H","101.88","343.27","385.13",""
"Olivier Hardonniere","K1H","102","301.31","386.7",""
"Antoine Saul","K1H","102.06","349.49","387.49",""
"Charles Vallet","K1H","102.13","277.92","388.41",""
"Pierre Grapotte","K1H","102.71","368.83","396.03",""
"Alain Ferry","K1H","103.09","279.22","401.02",""
"Anthony Ulrich","K1H","103.68","304.1","408.78",""
"Yann Zaepffel","K1H","103.82","283.25","410.62",""
"Antoine Leroy","K1H","103.91","354.81","411.8",""
"Damien Burteaux","K1H","103.93","387.09","412.06",""
"Jules Bernardet","K1H","104.19","345.25","415.48",""
"Thomas Stutzmann","K1H","104.25","380.13","416.27",""
"Oscar Imbault","K1H","104.33","480.51","417.32",""
"Eddy Cassard","K1H","104.36","372.53","417.71",""
"Pascal Hunault","K1H","104.65","327.2","421.52",""
"Sebastien Routhier","K1H","104.92","414.26","425.07",""
"Yannick Grizaud","K1H","104.97","312.04","425.73",""
"Vincent Rat","K1H","105.29","343.25","429.93",""
"Olivier Bourgey","K1H","105.32","311.55","430.33",""
"Florent Tamburini","K1H","105.45","379.53","432.03",""
"Adelin Constans","K1H","105.52","344.44","432.95",""
"Damien Siegfried","K1H","105.77","380.26","436.24",""
"Lucas Barriere","K1H","105.99","354.51","439.13",""
"Tomy Ly","K1H","106.96","464.73","451.88",""
"Thomas Denais","K1H","107.3","271.83","456.34",""
"Victorien Lombard","K1H","107.39","384.11","457.53",""
"Victor Beau","K1H","107.51","348.85","459.1",""
"Jules Goutte-toquet","K1H","107.58","351.02","460.02",""
"Louis Pein","K1H","107.83","444.68","463.31",""
"Christophe Billaud","K1H","108.39","308.56","470.67",""
"Raphael Olla","K1H","109.32","410.06","482.89",""
"Adrien Kaiser","K1H","109.46","458.08","484.73",""
"Timothee Olla","K1H","109.58","341.95","486.3",""
"Julien Petit-maire","K1H","109.6","394.58","486.57",""
"Teo Bouvier","K1H","109.92","399.75","490.77",""
"Jules Marchal","K1H","110.58","428.94","499.44",""
"Boris Rostaing","K1H","110.63","346.07","500.1",""
"Patrick Gass","K1H","110.69","376.42","500.89",""
"Romain Gayral","K1H","110.7","475.21","501.02",""
"Kyle Gelb","K1H","111.08","464.48","506.01",""
"Bastien Caillet","K1H","111.15","656.1","506.93",""
"Yanis Delacour","K1H","112.82","502.56","528.88",""
"Dyclan Plessis","K1H","114.28","470.7","548.06",""
"Christopher Lucas","K1H","114.7","476.93","553.58",""
"Leo Peter","K1H","115.57","555.69","565.01",""
"Anthony Rouhier","K1H","115.62","686.96","565.67",""
"David Pierson","K1H","115.88","482.21","569.08",""
"Vincent Herrenberger","K1H","116.2","351.08","573.29",""
"Antoni Zaki","K1H","116.76","406.51","580.65",""
"Tom Benini","K1H","117.2","408.72","586.43",""
"Antoine Esseric","K1H","117.71","374.92","593.13",""
"Benjamin Hene","K1H","118.37","534.7","601.8",""
"William Pawlus","K1H","120.22","538.06","626.11",""
"Xavier Rat","K1H","120.53","399.56","630.18",""
"Louis Sibille","K1H","120.9","500.27","635.05",""
"Julian Guglielmo","K1H","121.11","607.38","637.81",""
"Francois Lecuit","K1H","122.45","523.79","655.41",""
"Hugo Martin -laemle","K1H","123.14","531","664.48",""
"Nicolas Gallais","K1H","123.66","688.75","671.31",""
"Johan Floquet","K1H","123.66","509.79","671.31",""
"Patrick Thevenin","K1H","125.43","547.85","694.57",""
"Augustin Jaujay","K1H","125.89","635.8","700.61",""
"Samuel Gerard","K1H","126.2","577.21","704.69",""
"Andre Kempf","K1H","126.98","610.87","714.94",""
"Alexis Pacholak","K1H","127.2","768.02","717.83",""
"Yann Leruste","K1H","129.86","619.82","752.78",""
"Loric Bertrand Delorme","K1H","130.39","699.36","759.74",""
"Arthur Tebib","K1H","131.83","761.85","778.66",""
"Vincent Chamois","K1H","132.26","758.44","784.31",""
"Erwan Degreve","K1H","136.75","551.24","843.31",""
"Alexandre Lambert","K1H","143.95","571.31","937.92",""
"Florian Herrenberger","K1H","144.29","616.29","942.39",""
"Ulysse Studer","K1H","152.82","618.58","1054.47",""
"Valentin Serrurier","K1H","154.03","291.88","1070.37",""
"Benjamin Gonthier","K1H","156.73","958.37","1105.85",""
"Xavier Richard","K1H","158.61","475.16","1130.55",""
"Paul Gaillard","K1H","167.45","501.01","1246.71",""
"Rafael Pawlus","K1H","177.34","463.56","1376.66",""
"Loic Bouvier","K1H","178.94","681.44","1397.68",""
"Gilles Schweitzer","K1H","Abs","-","-",""
"Pierre Aubry","K1H","Abs","-","-",""
"Esteban Le Coz","K1H","Abs","-","-",""
"Benjamin Dodane","K1H","Abs","-","-",""
"Christophe Harding","K1H","Abs","-","-",""
"Jules Silvin","K1H","Abs","-","-",""
"Hugo Gondeaux","K1H","Abs","-","-",""
