"Sélectif Régional - Lannion - 2010-01-31","Course 1","2010-01-31","Régional","146"
"Anthony Cadoret","K1H","95.66","149","156",""
"Guillaume Huppert","K1H","96.53","157","165",""
"Loic Kervella","K1H","96.85","155","168",""
"Boris Pernelle","K1H","97.26","113","172",""
"Sebastien Kerneis","K1H","97.40","172","174",""
"Tanguy Le Marec","K1H","98.22","170","183",""
"Lionel Tinevez","K1H","98.43","159","185",""
"Nicolas Carduner","K1H","99.12","160","192",""
"Nowan Bertin","K1H","99.20","183","193",""
"Mael Rogard","K1H","100.50","241","207",""
"Riwal Chardon","K1H","101.59","172","218",""
"Gwenael Marquer","K1H","102.31","219","225",""
"Ewen Legrand","K1H","102.33","228","226",""
"Mathys Huvelin","K1H","103.09","255","234",""
"Alain Droniou","K1H","103.65","197","239",""
"Luc Hellard","K1H","105.60","298","260",""
"Guillaume Blin","K1H","106.21","226","267",""
"Mathieu Desnos","K1H","107.24","197","277",""
"Benoit Ricard","K1H","107.56","202","281",""
"Vincent Gourmel","K1H","108.83","-","294",""
"Maxime Lignereux","K1H","110.69","436","314",""
"Tangui Quemeneur","K1H","110.71","303","314",""
"Sebastien Gautier","K1H","111.77","280","325",""
"David Julou","K1H","112.30","287","331",""
"Francois Gillot","K1H","112.73","410","335",""
"Patrick Jegou","K1H","113.40","246","342",""
"Camille L'hostis","K1H","114.30","242","352",""
"Francois Madec","K1H","116.95","345","379",""
"Julien Caillarec","K1H","117.09","301","381",""
"Stann Savels","K1H","117.74","453","388",""
"Cedric Jegouzo","K1H","117.83","319","389",""
"Vincent Rondeau","K1H","119.98","327","412",""
"William Jacopin","K1H","121.27","310","425",""
"Romain Foulon","K1H","124.46","374","458",""
"Emmanuel L'anton","K1H","125.27","337","467",""
"Alan Dollo","K1H","127.12","437","486",""
"Camille Le Merrer","K1H","128.17","358","497",""
"Francois Faguet","K1H","129.09","451","507",""
"Erwan Le Guevel","K1H","131.96","321","537",""
"Nathan Chaumier","K1H","133.54","474","554",""
"Logan Nannette","K1H","135.15","324","571",""
"Christophe Mitchell","K1H","137.11","426","591",""
"Nicolas Le Belleguic","K1H","137.88","600","599",""
"Yann Baradel","K1H","142.71","650","650",""
"Melaine Colin","K1H","143.48","551","658",""
"Sullivan Kingsland","K1H","151.81","592","746",""
"Vincent Mevel","K1H","154.01","539","769",""
"Jordan Mellouet","K1H","159.52","529","827",""
"Joseph Simon","K1H","167.77","-","914",""
"Damien Kerangoarec","K1H","175.76","355","997",""
"Dimitri Etienne","K1H","183.89","433","1082",""
"Lorin Dumont","K1H","184.72","531","1091",""
"Loeiz Descheres","K1H","197.38","-","1224",""
"Raphael Tanguy-ac'h","K1H","249.99","572","1777",""
"Pierre Mikolajczak","K1H","Nt","-","-",""
"Erwan Beyou","K1H","Nt","-","-",""
"Yoann Le Guyader","K1H","Nt","-","-",""
"Yann Lardic","K1H","Nt","-","-",""
"Luke Long","K1H","Nt","-","-",""
"Ferdinand Malard","K1H","Nt","-","-",""
"Guirec Le Guen","K1H","Nt","-","-",""
"Matthieu Laumonier","K1H","Nt","-","-",""
"Pierreyves Renaudin","K1H","Nt","-","-",""
"Hugo Guilleray","K1H","Nt","-","-",""
"Quentin Fleury","K1H","Nt","-","-",""
"Frederi Mahieu","K1H","Nt","-","-",""
"Jeanmarie Le Guyader","K1H","Nt","-","-",""
"Guillaume Djaid","K1H","Nt","-","-",""
"Ludovic Le Cointre","K1H","Nt","-","-",""
"Francois Xavier Robinet","K1H","Nt","-","-",""
