"Sélectif régional - Picquigny - 2010-11-28","Course 2","2010-11-28","Régional","190"
"Anthony Thuillier-Benjamin Thiboust","C2H","125.57","282.33","330.58",""
"Benjamin Soroka-Edouard Gracias","C2H","127.48","307.89","350.23",""
"Guillaume Fatras-Guillaume Doutreix","C2H","128","-","355.59",""
"Adrien Goetink-Theo Vingerder","C2H","150.19","-","583.91",""
"Donatien Lamoureux-Jeremy Bretteville","C2H","161.41","-","699.36",""
"Loic Bourgeois-Thomas Quennehen","C2H","174.66","-","835.71",""
"Julien Brief-Florent Lacroix","C2H","226.25","-","1366.56",""
"Alexis Averlant-Maxime Poupart","C2H","274.22","-","1860.16",""
"Mathieu Fougere-Thomas Fougere","C2H","Nt","-","-",""
"Luc Wojtasiak-Morgan Candas","C2H","Nt","-","-",""
"Benjamin Dubert-Antoine Petit","C2H","Nt","-","-",""
"Thibault Dhennin-Jeanchristophe Laroque","C2H","Nt","-","-",""
"Lea Tobo-Bastien Damiens","C2M","136.76","360.67","350.31",""
"Catherine Boulan-Xavier Jourdain","C2M","155.22","319","527.38",""
"Flora Huvelin-Edouard Gracias","C2M","181.03","-","774.96",""
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","235.01","-","1292.75",""
"Bertrand Avril-Chloe Gatuingt","C2M","Nt","-","-",""
"Arthur Barrachin-Julie Maillot","C2M","Nt","-","-",""
"Emilie Hernandez-brossard","K1D","110.37","123.41","144.02",""
"Flora Huvelin","K1D","118.77","246.13","228.16",""
"Juliette Legendre","K1D","120.24","233.74","242.89",""
"Alize Bachelot","K1D","122.4","246.33","264.53",""
"Lea Tobo","K1D","122.61","275.77","266.62",""
"Marion Laurain","K1D","123.37","222.78","274.24",""
"Marion Gallois","K1D","125.85","179","299.08",""
"Camille Andrieux","K1D","126.36","207.38","304.19",""
"Claire Souchaire","K1D","129.54","354.67","336.04",""
"Marianne Herault","K1D","130.25","324.44","343.15",""
"Celine Roulot","K1D","133.17","294.35","372.41",""
"Lea Gaigeot","K1D","135.31","337.68","393.83",""
"Justine Cougnet","K1D","136.7","346.67","407.76",""
"Juliette Pitrey","K1D","136.91","403.4","409.86",""
"Sophie Busson","K1D","137.08","-","411.57",""
"Alice Rietzmann","K1D","137.2","521.01","412.77",""
"Claire Gaigeot","K1D","137.59","446.78","416.67",""
"Laurene Cougnet","K1D","141.6","446.94","456.84",""
"Elise Rousseau","K1D","144.06","448.79","481.49",""
"Clea Humbert","K1D","148.29","421.36","523.85",""
"Florine Dupont","K1D","165.21","-","693.34",""
"Juliette Vandeville","K1D","169.44","-","735.71",""
"Catherine Boulan","K1D","171.56","612.81","756.94",""
"Julie Maillot","K1D","258.5","592.95","1627.78",""
"Chloe Gatuingt","K1D","Nt","-","-",""
"Bastien Damiens","K1H","92.67","32.67","87.4",""
"Benoit Chantry","K1H","93.68","101.67","98.83",""
"Quentin Bove","K1H","94.78","13","111.28",""
"Xavier Jourdain","K1H","95.19","77.33","115.92",""
"Eric Lamour","K1H","97.28","143.2","139.58",""
"Anthony Thuillier","K1H","97.66","120","143.88",""
"Benjamin Thiboust","K1H","98.32","71.67","151.35",""
"Florian Perenchio","K1H","100.27","184.99","173.42",""
"Vianney Tillier","K1H","101.66","-","189.16",""
"Arnaud Delattre","K1H","102.23","202.09","195.61",""
"Vincent Ablin","K1H","102.6","205.16","199.8",""
"Tristan Lejot","K1H","102.73","146.88","201.27",""
"Nizar Samlal","K1H","103.17","151.36","206.25",""
"Gael Wassmer","K1H","103.61","165.61","211.23",""
"Bertrand Avril","K1H","105.21","150","229.34",""
"Didier Niel","K1H","105.77","157","235.68",""
"Quentin Dheilly","K1H","107.19","270.14","251.75",""
"Rodolphe Rodrigue","K1H","107.45","241.67","254.69",""
"Faycal Adel","K1H","108.53","-","266.92",""
"Guillaume Pourre","K1H","109.23","-","274.84",""
"Valentin Casse","K1H","109.79","189.3","281.18",""
"Teddy Poulard","K1H","109.88","239.67","282.2",""
"Matthieu Walfard","K1H","110.15","182.08","285.25",""
"Thomas Lesage","K1H","111.74","-","303.25",""
"Nicolas Dupres","K1H","111.82","215.67","304.15",""
"Gerard Lafargue","K1H","112.33","327.92","309.93",""
"Romain Di Majo","K1H","112.5","323.55","311.85",""
"Francois Palant","K1H","113.23","304.27","320.11",""
"Adrien Goetink","K1H","113.82","309.67","326.79",""
"Gaspard Gindt","K1H","114.06","209.64","329.51",""
"Morgan Candas","K1H","115.01","303.29","340.26",""
"Adrien Dacruz","K1H","115.44","344.91","345.13",""
"Bastien Belembert","K1H","115.72","120.33","348.3",""
"Clement Sannier","K1H","115.9","361.75","350.33",""
"Florian El Assali","K1H","115.97","348.84","351.13",""
"Mathurin Madore","K1H","116.32","353.82","355.09",""
"Hugo Chauvary","K1H","116.5","-","357.13",""
"Stephane Sagnier","K1H","116.83","316.55","360.86",""
"Remi Robin","K1H","116.97","380.33","362.45",""
"Johann Beldame","K1H","117.03","-","363.13",""
"Robin Pilard","K1H","117.03","405.18","363.13",""
"Thibault Dhennin","K1H","119.01","365.36","385.54",""
"Thomas Quennehen","K1H","119.05","415.99","385.99",""
"Maxime Poupart","K1H","119.06","357.47","386.1",""
"Louis Savart","K1H","119.18","336.11","387.46",""
"Thomas Andrieux","K1H","119.6","-","392.21",""
"Loic Bourgeois","K1H","119.7","-","393.35",""
"Olivier Dulouard","K1H","125.07","376.93","454.13",""
"Theo Vingerder","K1H","125.63","-","460.47",""
"Fabien Perruchet","K1H","125.82","300.6","462.62",""
"Clement Bekaert","K1H","125.83","-","462.73",""
"Clement Carbonnel","K1H","125.99","509.52","464.54",""
"Maxime Boisgontier","K1H","127.96","314.02","486.84",""
"Alexis Averlant","K1H","129.09","-","499.63",""
"Kenzi Djoudi","K1H","129.85","701.14","508.23",""
"Laurent Dupuis","K1H","131.04","616.79","521.7",""
"Thomas Postaire","K1H","131.75","524.42","529.74",""
"Charles Parmentier","K1H","131.88","472.55","531.21",""
"Jean Rassez","K1H","132.41","-","537.21",""
"Romain Denoeuveglise","K1H","134.75","506.33","563.69",""
"Robin Dheilly","K1H","135.2","471.66","568.79",""
"Alban Duboc","K1H","137.18","-","591.2",""
"Pascal Andrieux","K1H","138.51","-","606.25",""
"Alexandre Tison","K1H","143.23","803.29","659.68",""
"Adrien Barlier","K1H","144.13","526.57","669.86",""
"Salim Raye","K1H","149.52","928.15","730.87",""
"Arthur Barrachin","K1H","152.46","813.66","764.15",""
"Loic Durand","K1H","153.79","575.69","779.2",""
"Florent Lacroix","K1H","154.75","929.67","790.07",""
"Alexy Wengler","K1H","156.81","-","813.39",""
"Antoine Petit","K1H","159.79","781.97","847.12",""
"Arman Karimi","K1H","163.75","739.2","891.94",""
"Bastien Meslet","K1H","174.11","367.42","1009.2",""
"Maxime Pilard","K1H","184.78","646.07","1129.97",""
"Marvin Tinchon","K1H","186.38","-","1148.08",""
"Julien Brief","K1H","220.63","-","1535.75",""
"Simon Bonte","K1H","231.57","-","1659.58",""
"Victor Laurent","K1H","303.4","-","2472.6",""
"Karl Silvie","K1H","312.81","-","2579.11",""
"Gabriel Souet","K1H","335.41","-","2834.92",""
"Alexandre Rasse","K1H","447.51","-","4103.75",""
"Sebastien Racault","K1H","Nt","-","-",""
"Elliot Gest","K1H","Nt","-","-",""
"Emmanuel Queven","K1H","Nt","-","-",""
"Jeremy Lafoy","K1H","Nt","-","-",""
"Christophe Simonin","K1H","Nt","-","-",""
"Benjamin Dubert","K1H","Nt","-","-",""
"Samuel Bonvalet","K1H","Nt","-","-",""
"Pierre Dampeyrou","K1H","Nt","-","-",""
"Camille Simonin","K1H","Nt","-","-",""
"Thomas Argenson","K1H","Nt","-","-",""
"Jeanchristophe Laroque","K1H","Nt","-","-",""
"Nicolas Castryck","K1H","Nt","-","-",""
"Mathieu Piermay","K1H","Nt","-","-",""
"Luc Wojtasiak","K1H","Nt","-","-",""
"Franck Dessaint","K1H","Nt","-","-",""
"Guillaume Doutreix","K1H","Nt","-","-",""
"Alexandre Perrin Mortier","K1H","Nt","-","-",""
"Emmanuel Moreau","K1H","Nt","-","-",""
"Mikael Maupin","K1H","Nt","-","-",""
"Romain Bove","K1H","Nt","-","-",""
