"Sélectif Régional de Slalom - St Benoit - Finale - 2018-03-04","Finale","2018-03-04","Régional","112"
"Henri Chenu","K1H","112.79","332.57","410.21","Finale A"
"Gaetan Coat","K1H","113.21","343.82","415.27","Finale A"
"Thibault Beneteau","K1H","117.15","495.13","462.73","Finale A"
"Maxime Texier","K1H","117.62","298.26","468.4","Finale A"
"Benjamin Georges","K1H","117.99","447.19","472.85","Finale A"
"Tom Delens","K1H","120.61","422.7","504.41","Finale A"
"Louis Rathier","K1H","120.72","494.42","505.74","Finale A"
"Maxime Dubois","K1H","122.87","483.51","531.64","Finale A"
"Clement Riera","K1H","124.22","470.86","547.9","Finale A"
"Romain Bouby","K1H","124.84","466.79","555.37","Finale A"
"Clement Gillaizeau","K1H","125.84","499.69","567.42","Finale A"
"Theo Jeanlouis","K1H","127.25","471.94","584.4","Finale A"
"Tom Charles","K1H","130.08","449.65","618.49","Finale A"
"Antoine Corler","K1H","130.76","579.12","626.69","Finale A"
"Adrien Roux","K1H","130.89","541.4","628.25","Finale A"
"Thibault Marque","K1H","132.58","601.96","648.61","Finale A"
"Titouan Doreau","K1H","133.93","436.07","664.87","Finale A"
"Florentin Saumon","K1H","Nt","-","-","Finale A"
"Maxime Blondeau","K1HM","131.48","530.11","635.36","Finale A"
"Clement Brotier","K1HM","139.07","772.8","726.79","Finale A"
"Aurele Neveu","K1HM","165.06","854.22","1039.88","Finale A"
"Malo Fevin","K1HM","352.6","1559.06","3299.07","Finale A"
"Maxime Blondeau","OUV","148.85","-","-","Finale A"
"Julien Beneteau","C1H","124.33","440.64","482.91","Finale B"
"Killyan Moreau","C1H","136.02","646.22","617.03","Finale B"
"Gaspard Trichard","C1H","149.56","1159.46","772.36","Finale B"
"Matthias Reviron","C1H","157.26","1365.51","860.7","Finale B"
"Adrien Favennec","C1H","178.84","846.79","1108.29","Finale B"
"Tom Charles","C1H","201.72","615.1","1370.78","Finale B"
"Dylan Renneteau","C1H","235","864.98","1752.61","Finale B"
"Lucas Deleplancque","C1H","237.39","1214.89","1780.03","Finale B"
"Martin Thermidor","C1H","Abd","-","-","Finale B"
"Marie Charbonneau","K1D","150.04","453.55","656.01","Finale B"
"Alice Bureau","K1D","152.1","602.46","677.97","Finale B"
"Cindy Poupaert","K1D","156.22","1218.09","721.89","Finale B"
"Laurine Meslong","K1D","161.69","568.58","780.21","Finale B"
"Sophielaure BÉnÉteau","K1D","164.64","615.4","811.65","Finale B"
"Elise Doreau","K1D","177.11","535.8","944.59","Finale B"
"Clemence Zago","K1D","214.8","1384.99","1346.39","Finale B"
"Tanguy Zaninotto","K1H","100.65","213.76","268.97","Finale B"
"Thilbault Rucher","K1H","127.07","409.27","587.23","Finale B"
"Titouan Conseil","K1H","127.95","561.24","597.84","Finale B"
"Pierre Gaydier","K1H","130.72","535.78","631.2","Finale B"
"Arthur Caillaud-gault","K1H","135.43","715.5","687.94","Finale B"
"Julien Beneteau","K1H","138.56","568.64","725.65","Finale B"
"Adrien Baty","K1H","142.43","672.78","772.27","Finale B"
"Adrien Favennec","K1H","143.01","728.41","779.25","Finale B"
"Pascal Willano","K1H","143.9","756.94","789.98","Finale B"
"Lucas Deleplancque","K1H","144.35","949.32","795.4","Finale B"
"Pierre Chollet","K1H","146.91","991.87","826.24","Finale B"
"Martin Thermidor","K1H","151.95","1069.44","886.95","Finale B"
"Thierry Le Bonniec","K1H","159.94","848.04","983.2","Finale B"
"Matthias Reviron","K1H","163.16","971.22","1021.99","Finale B"
"Jean Luc Pessoni","K1H","176.28","762.78","1180.04","Finale B"
"Dylan Renneteau","K1H","180.41","699.95","1229.79","Finale B"
"Noe Joseph","K1H","187.71","3816.76","1317.73","Finale B"
"Benoit Mandon","K1H","188.42","655.57","1326.28","Finale B"
"Lucas Mesquita","K1H","203.15","655.05","1503.73","Finale B"
"Leo Arriau","K1H","203.52","855.43","1508.19","Finale B"
"Natan Bignaud","K1H","204.99","1136.87","1525.89","Finale B"
"Gaspard Trichard","K1H","215.75","802.63","1655.51","Finale B"
"Ludovic Phan Dang","K1H","217.75","1800.64","1679.61","Finale B"
"Pierre Maupetit","K1H","217.9","632.54","1681.41","Finale B"
"Clement Drillaud","K1H","322.04","998.91","2935.93","Finale B"
"Thierry Dugue","K1H","Abs","-","-","Finale B"
"Enzo Badaire","K1H","Abs","-","-","Finale B"
"Guillaume Malere","K1H","Abd","-","-","Finale B"
"Hicham Domti","K1HM","154.74","1857.84","920.56","Finale B"
"Amil Kourdoughli","K1HM","180.26","1055.35","1227.98","Finale B"
"Baptiste Vinet","K1HM","189.56","1763.17","1340.02","Finale B"
"Noah Pajot","K1HM","208.83","1478.51","1572.15","Finale B"
