"Sélectif Régional - Champs Sur Marne - Finale - 2014-09-28","Finale","2014-09-28","Régional","259"
"Samuel Lhegu-Terence Granger","C2H","115.89","-","295.76","Finale A"
"Pierre-yves Bernard-Charles Dampeyrou","C2H","117.73","263.75","315.83","Finale A"
"Julien Fougeron-Edouard Gracias","C2H","120.08","359.84","341.49","Finale A"
"Benoit Le Mazurier-Mathurin Madore","C2H","135.93","-","514.46","Finale A"
"Andreas Dupuy-Aaron Penning","C2HM","145.7","-","621.08","Finale A"
"Vincent Delahaye-Mathis Perreau","C2HM","152.98","-","700.53","Finale A"
"Thibault Gigan-Valentin Fleury","C2HM","155.09","-","723.56","Finale A"
"Eloi Brunet-texier-Yoan Le Goff","C2HM","225.6","-","1493.05","Finale A"
"Benoit Chantry-Stephanie Bender","C2M","121.96","291.32","251.08","Finale A"
"Tom Maffeis-Camille Fontaine","C2M","133.48","-","366.32","Finale A"
"Benoit Letellier-Melina Letellier","C2M","138.94","-","420.94","Finale A"
"Samuel Lhegu-Marion Gallois","C2M","143.41","-","465.66","Finale A"
"Julien Fougeron-Lea Feuillard","C2M","146.36","383.53","495.18","Finale A"
"Camille Fontaine","K1D","111.22","198.77","212.57","Finale A"
"Manon Durand","K1D","112.41","233.61","225.21","Finale A"
"Lisa Robin","K1D","115.79","241.8","261.12","Finale A"
"Lucie Cecile","K1D","116.68","299.1","270.57","Finale A"
"Tiphaine Duboc","K1D","116.7","311.34","270.78","Finale A"
"Emilie Delahaye","K1D","116.79","249.97","271.74","Finale A"
"Adele Charlaigre","K1D","117.94","333.69","283.96","Finale A"
"Marion Gallois","K1D","118.3","292.34","287.78","Finale A"
"Lea Feuillard","K1D","118.67","302.13","291.71","Finale A"
"Alina Rassel","K1D","123.15","449.06","339.3","Finale A"
"Stephanie Bender","K1D","124.55","302.26","354.17","Finale A"
"Emilie Hernandez-brossard","K1D","125.8","369.58","367.45","Finale A"
"Marion Laurain","K1D","126.67","325.88","376.7","Finale A"
"Natacha Giraud","K1D","128.71","378.23","398.38","Finale A"
"Ilhame Siraj","K1D","130.69","389.72","419.41","Finale A"
"Mallaury Bour","K1D","204.62","423.42","1204.81","Finale A"
"Gaelle Verbyst","K1DM","125.4","-","363.2","Finale A"
"Lucie Robin","K1DM","140.98","-","528.72","Finale A"
"Meryl Vion","K1DM","144.2","-","562.93","Finale A"
"Kelly Capitaine","K1DM","146.31","-","-","Finale A"
"Elina Gigan","K1DM","152.29","-","-","Finale A"
"Lea Kieffer","K1DM","196.31","-","1116.53","Finale A"
"Mathurin Madore","K1H","91.12","74.33","124.87","Finale A"
"Nicolas Feuillard","K1H","91.4","115.09","128.24","Finale A"
"Benoit Chantry","K1H","92.14","94.89","137.12","Finale A"
"Romain Faurie","K1H","92.47","107.64","141.08","Finale A"
"Quentin Bove","K1H","95.08","103.68","172.41","Finale A"
"Loic Monbel","K1H","95.37","134.4","175.89","Finale A"
"Andy Pajani","K1H","95.43","91.23","176.61","Finale A"
"Jerome Olhagaray","K1H","95.88","154.11","182.02","Finale A"
"Samuel Lhegu","K1H","96.07","76.69","184.3","Finale A"
"Louis Philippe Rigal","K1H","96.7","116.23","191.86","Finale A"
"David Mingasson","K1H","99.63","227.7","227.03","Finale A"
"Tristan Lejot","K1H","99.98","183.85","231.24","Finale A"
"Tom Maffeis","K1H","100.21","-","234","Finale A"
"Romain Bertrand","K1H","100.26","167.17","234.6","Finale A"
"Ludovic Ngo","K1H","100.36","231.15","235.8","Finale A"
"Thomas Durand","K1H","100.44","256.31","236.76","Finale A"
"Jules Guilbaud","K1H","100.91","173.72","242.4","Finale A"
"Mathieu Godin","K1H","101.54","309.28","249.96","Finale A"
"Bastien Meslet","K1H","102.46","211.81","261.01","Finale A"
"Vincent Reiter","K1H","103.04","179.41","267.97","Finale A"
"Tom Barthelemy","K1H","103.17","240.17","269.53","Finale A"
"Florent Rambaud","K1H","104.13","246.37","281.05","Finale A"
"Adrien Suardana","K1H","104.27","255.03","282.74","Finale A"
"Bastien Darcillon","K1H","104.3","308.71","283.1","Finale A"
"Jeremy Boisgibault","K1H","104.68","261.79","287.66","Finale A"
"Lucas Gillet","K1H","104.93","320.52","290.66","Finale A"
"Thomas Postaire","K1H","105.09","272.4","292.58","Finale A"
"Edouard Gracias","K1H","105.28","263.63","294.86","Finale A"
"Benoit Monvoisin","K1H","105.81","317.23","301.22","Finale A"
"Francois Durand","K1H","106.56","245.63","310.23","Finale A"
"Julien Fougeron","K1H","106.69","225.39","311.79","Finale A"
"Alexandre Perrin Mortier","K1H","106.76","251.8","312.63","Finale A"
"Yohan Marck","K1H","107.56","278.21","322.23","Finale A"
"Guillaume Doutreix","K1H","109.58","224.3","346.48","Finale A"
"Pierre Dampeyrou","K1H","109.64","259.62","347.2","Finale A"
"Florian Perenchio","K1H","110.06","252.84","352.24","Finale A"
"Corentin Desenclos","K1H","110.16","327.74","353.44","Finale A"
"Teddy Poulard","K1H","110.67","353.05","359.56","Finale A"
"Beranger Doulle","K1H","113.09","375.51","388.62","Finale A"
"Issam Chakir","K1H","113.89","415.04","398.22","Finale A"
"Alexandre Jardin","K1H","114.3","370.11","403.14","Finale A"
"Yoann Turowsky","K1H","115.57","330.87","418.39","Finale A"
"Maxime Cousin","K1H","117.23","-","438.31","Finale A"
"Luca Dos Santos","K1H","155.51","244.34","897.85","Finale A"
"Michel Gombert","K1H","160.77","347.3","960.99","Finale A"
"Vincent Delahaye","K1HM","107.55","-","322.11","Finale A"
"Andreas Dupuy","K1HM","109.45","-","344.92","Finale A"
"Aaron Penning","K1HM","112.38","-","380.09","Finale A"
"Thomas Descotes","K1HM","115.69","-","419.83","Finale A"
"Valentin Fleury","K1HM","123.3","-","511.18","Finale A"
"Thibault Gigan","K1HM","123.98","-","519.35","Finale A"
"Eden Quevremont","K1HM","124.57","-","-","Finale A"
"Alban Morel","K1HM","125.26","-","-","Finale A"
"Marceau Decarsin","K1HM","126.23","-","546.36","Finale A"
"Louis Prezeau","K1HM","132.56","-","622.35","Finale A"
"Aymeric Theatre","K1HM","134.8","-","649.24","Finale A"
"Romain Bezies","K1HM","134.92","-","-","Finale A"
"Augustin Francois","K1HM","139.72","-","708.3","Finale A"
"Marion Laurain","C1D","146.87","-","505.28","Finale B"
"Lea Feuillard","C1D","163.12","796.54","667.84","Finale B"
"Melina Letellier","C1D","165.85","-","695.15","Finale B"
"Natacha Giraud","C1D","166.6","639.71","702.65","Finale B"
"Marie-line Waille","C1D","239.46","-","1431.53","Finale B"
"Marion Taviaux","C1D","Abs","-","-","Finale B"
"Stephanie Bender","C1D","Des","-","-","Finale B"
"Nicolas Feuillard","C1H","110.29","366.67","296.95","Finale B"
"Loic Bourgeois","C1H","111.44","375.32","310.1","Finale B"
"Etienne Nardeau","C1H","113.54","-","334.11","Finale B"
"Alexy Wengler","C1H","115.19","352.84","352.98","Finale B"
"Tristan Lejot","C1H","115.35","383.88","354.8","Finale B"
"Andy Pajani","C1H","116.18","-","364.3","Finale B"
"Pierre-yves Bernard","C1H","116.21","330.51","364.64","Finale B"
"Alexandre Perrin Mortier","C1H","116.44","430.09","367.27","Finale B"
"Vincent Reiter","C1H","116.65","-","369.67","Finale B"
"Guillaume Picavet","C1H","119","452.71","396.53","Finale B"
"Jean-michel Senechault","C1H","121.66","-","426.95","Finale B"
"Julien Saliba","C1H","122.31","-","434.38","Finale B"
"Jacques Nardeau","C1H","125.16","485.79","466.96","Finale B"
"Francois Pech","C1H","128.87","-","509.38","Finale B"
"Yoann Turowsky","C1H","134.74","-","576.49","Finale B"
"Alexis Pierlot","C1H","136.59","481.13","597.65","Finale B"
"Adrien Barlier","C1H","137.92","564.88","612.84","Finale B"
"Antoine Martin","C1H","138.09","517.5","614.79","Finale B"
"Mickael Dubois","C1H","150.95","792.21","761.82","Finale B"
"Nicolas Castagnetti","C1H","152.23","864.82","776.45","Finale B"
"Lucas Correia","C1HM","155.32","-","811.78","Finale B"
"Quentin Arnoult","C1HM","158.01","-","842.54","Finale B"
"Angelino Castagnetti","C1HM","170.1","-","-","Finale B"
"Anthony Dubois","C1HM","170.36","-","-","Finale B"
"Romain Bezies","C1HM","205.48","-","-","Finale B"
"Vincent Delahaye","C1HM","300.47","-","2471.27","Finale B"
"Benoit Letellier-Mathieu Godin","C2H","123.32","-","381.84","Finale B"
"Thomas Postaire-Adrien Suardana","C2H","134.06","-","499.05","Finale B"
"Thibault Bigeon-Bastien Darcillon","C2H","135.55","-","515.31","Finale B"
"Yves Souchal-Adrien Barlier","C2H","186.14","-","1067.41","Finale B"
"Emilie Delahaye-Martin Rohaut","C2M","141.58","-","452.35","Finale B"
"Ilhame Siraj-Guillaume Picavet","C2M","153.01","-","566.7","Finale B"
"Nicolas Feuillard-Emilie Hernandez-brossard","C2M","153.21","526.97","568.7","Finale B"
"Jacques Nardeau-Sandrine Arnal","C2M","169.13","804.08","727.97","Finale B"
"Quentin Arnoult-Tiphaine Duboc","C2M","173.81","-","774.79","Finale B"
"Eva Dauvergne","K1D","120.2","349.93","312.97","Finale B"
"Agathe Sananikone","K1D","131.51","463.82","433.12","Finale B"
"Sandrine Arnal","K1D","133.74","469.88","456.81","Finale B"
"Florence Marchal","K1D","138.62","644.81","508.66","Finale B"
"Manon Borde","K1D","139.31","566.87","515.98","Finale B"
"Agnes Gigan","K1D","141.83","493.52","542.75","Finale B"
"Marion Taviaux","K1D","144.36","508.78","569.63","Finale B"
"Catherine Boulan","K1D","145.67","479.52","583.54","Finale B"
"Shererazade Ayadi","K1D","147.53","565.39","603.31","Finale B"
"Manon Zanelli","K1D","152.6","-","657.16","Finale B"
"Maryse Viseur","K1D","154.84","628.24","680.97","Finale B"
"Claire Fournier","K1D","155.18","-","684.57","Finale B"
"Lea Lauer","K1D","164.7","-","785.71","Finale B"
"Marie-line Waille","K1D","176.64","-","912.56","Finale B"
"Perrine Venot","K1D","181.98","1040.6","969.28","Finale B"
"Nelia Barbosa","K1D","189.05","-","1044.4","Finale B"
"Sophie Dupas","K1DM","140.47","-","528.31","Finale B"
"Anna Lecuret","K1DM","153.71","-","668.97","Finale B"
"Angelique Leleu","K1DM","158.45","-","719.31","Finale B"
"Lea Roger","K1DM","160.22","-","738.12","Finale B"
"Clemence Schnirer","K1DM","167.04","-","810.57","Finale B"
"Angel Bepoix","K1DM","189.09","-","1044.82","Finale B"
"Yani Ferhaoui","K1H","108.31","292.34","336.23","Finale B"
"Laurent Dupuis","K1H","108.39","265.11","337.19","Finale B"
"Loic Bourgeois","K1H","110.3","390.66","360.12","Finale B"
"Romain Huguenin","K1H","112.43","352.52","385.69","Finale B"
"Charles Dampeyrou","K1H","115.69","-","424.83","Finale B"
"Gilles Lucas","K1H","117.65","495.21","448.36","Finale B"
"Adrien Barlier","K1H","117.97","441.59","452.2","Finale B"
"Valentin Bonnot","K1H","118.49","395.98","458.44","Finale B"
"Nicolas Chainay","K1H","119.1","457.71","465.76","Finale B"
"Theo Zilber","K1H","119.84","395.08","474.65","Finale B"
"Theo Loury","K1H","120.14","420.45","478.25","Finale B"
"Nicolas Castagnetti","K1H","120.44","454.73","481.85","Finale B"
"Vincent Amisse","K1H","120.75","531.51","485.57","Finale B"
"Philippe Valeri","K1H","121.8","400.29","498.18","Finale B"
"Baptiste Duboc","K1H","124.67","-","532.63","Finale B"
"Fabien De Almeida","K1H","124.84","592.62","534.67","Finale B"
"Melvin Queudeville","K1H","127.99","-","572.48","Finale B"
"Antoine Martin","K1H","129.19","462.89","586.89","Finale B"
"Alexis Pierlot","K1H","130.28","542.53","599.97","Finale B"
"Mickael Dubois","K1H","131.62","546.52","616.06","Finale B"
"Nicolas Lalliot","K1H","131.76","623.05","617.74","Finale B"
"Antoine Pas","K1H","132.89","658.24","631.31","Finale B"
"Gauthier Maillot","K1H","137.17","563.55","682.69","Finale B"
"Alexandre Ponnelle","K1H","137.28","-","684.01","Finale B"
"Lucas De Wever","K1H","142.11","-","741.99","Finale B"
"Florent Lacroix","K1H","144.74","-","773.56","Finale B"
"Remi Blaud","K1H","145.86","712.7","787.01","Finale B"
"Remy Daumont","K1H","148.7","784.09","821.1","Finale B"
"Franz Barth","K1H","149.63","-","832.26","Finale B"
"Denis Marrocos","K1H","150.16","917.64","838.63","Finale B"
"Blaise Villien","K1H","150.32","834.18","840.55","Finale B"
"Aurelien Coste","K1H","150.86","-","847.03","Finale B"
"Yves Souchal","K1H","151.17","706.17","850.75","Finale B"
"Florent Dubois","K1H","156.64","-","916.42","Finale B"
"Cyril Pottier","K1H","162.19","-","983.04","Finale B"
"Antoine Sabrie","K1H","162.49","-","986.64","Finale B"
"Alexis Agent","K1H","165.61","-","1024.1","Finale B"
"Ludovic Leprevost","K1H","169.35","-","1068.99","Finale B"
"Axel Tempier","K1H","170.01","-","1076.92","Finale B"
"Loic Durand","K1H","177.58","649.65","1167.79","Finale B"
"Clement De Rouze","K1H","208.51","1429.72","1539.09","Finale B"
"Paul Seguigne","K1H","214.6","-","1612.2","Finale B"
"Sebastien Evrard","K1H","230.35","-","1801.27","Finale B"
"Arnaud Allibert","K1H","233.53","-","1839.45","Finale B"
"Lucas Jacob","K1HM","132.09","-","621.7","Finale B"
"Erhan Bayram","K1HM","142.4","-","745.47","Finale B"
"Lucas Correia","K1HM","142.49","-","746.55","Finale B"
"Leonard Painteaux","K1HM","145.1","-","-","Finale B"
"Quentin Arnoult","K1HM","146.1","-","789.89","Finale B"
"Anthony Dubois","K1HM","148.84","-","-","Finale B"
"Ianis Fleury","K1HM","152.13","-","-","Finale B"
"Eloi Brunet-texier","K1HM","157.21","-","923.26","Finale B"
"Angelino Castagnetti","K1HM","164.83","-","-","Finale B"
"Vladimir Krsmanovic","K1HM","168.29","-","1056.27","Finale B"
"Yoan Le Goff","K1HM","173.77","-","1122.05","Finale B"
"Hippolyte Lavie","K1HM","246.7","-","-","Finale B"
"Victor Mougin","K1HM","300.28","-","-","Finale B"
