"Manche 4 de la Coupe de France Nationale 1 Slalom - Cergy - Finale - 2018-04-01","Finale","2018-04-01","Nationale 1","179"
"Gireg Hamoniaux","C1H","112.7","147.99","187.09","Finale B"
"Erwan Marchais","C1H","114.33","113.33","202.17","Finale B"
"Baptiste Le Poncin","C1H","114.62","141.06","204.85","Finale B"
"Yann Rivallant","C1H","114.93","160.75","207.72","Finale B"
"Julien Pajaud","C1H","115.18","194.94","210.03","Finale B"
"Anthony Roux","C1H","115.3","158.07","211.15","Finale B"
"Nathan Hossin","C1H","116.35","151.74","220.86","Finale B"
"Thomas Rosset","C1H","117.8","153.24","234.26","Finale B"
"Nicolas Ducrocq","C1H","118.74","162.06","242.97","Finale B"
"Thibault Blaise","C1H","119.94","96.98","254.07","Finale B"
"Yohann Senechault","C1H","157.73","160.47","603.63","Finale B"
"Jean Freri","C1H","160.41","205.61","628.42","Finale B"
"Theo Roisin","C1H","168.2","104.54","700.48","Finale B"
"Galaad Pereyron","C1H","176.14","186.15","773.92","Finale B"
"Jerome Blanchet","C1H","216.75","150.45","1149.58","Finale B"
"Tom Maffeis","C1H","227.5","131.78","1249.02","Finale B"
"Cedric Joly","C1H","368.2","105.8","2550.53","Finale B"
"Benjamin Reig-Cyril Boulet","C2H","131.61","307.89","306.67","Finale B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","135.27","321.63","339","Finale B"
"Nicolas Detheve-Nil Georgel","C2H","147.46","326.63","446.63","Finale B"
"Eloi Seemann-Quentin Mannier","C2H","180.94","310.07","742.25","Finale B"
"Jean Charles Hacquart-Marvin Tulpin","C2H","197.2","330.97","885.83","Finale B"
"Silvere Desongins-Angelique Guilcher","C2M","226.94","355.77","981.44","Finale B"
"Thibault Blaise-Julia Budzinski","C2M","344.28","337.83","1931.18","Finale B"
"Yann Rivallant-Lea Wetzel","C2M","Abs","-","-","Finale B"
"Lucie Prioux","K1D","110.47","107.18","94.12","Finale B"
"Estelle Mangin","K1D","111.88","56.49","106.24","Finale B"
"Joana Palermo","K1D","114.82","89.72","131.51","Finale B"
"Marjorie Delassus","K1D","118.32","83.7","161.59","Finale B"
"Anais Bernardy","K1D","118.35","149.33","161.86","Finale B"
"Lisa Mouffle","K1D","122.85","124.29","200.53","Finale B"
"Marine Leveque","K1D","123.81","154.88","208.78","Finale B"
"Claire Jacquet","K1D","125.34","175.09","221.93","Finale B"
"Viviana Daille","K1D","127.76","150.56","242.73","Finale B"
"Angele Hug","K1D","129.98","103.65","261.82","Finale B"
"Tiphaine Duboc","K1D","130.04","151.21","262.33","Finale B"
"Emeline Oudet","K1D","130.32","132.01","264.73","Finale B"
"Doriane Delassus","K1D","132.58","160.99","284.16","Finale B"
"Eva Pietracha","K1D","143.4","185.44","377.17","Finale B"
"Julie Neime","K1D","165.88","70.83","570.38","Finale B"
"Solene Graille","K1D","166.66","95.15","577.1","Finale B"
"Lea Wetzel","K1D","171.43","108.47","618.09","Finale B"
"Cecile Tixier","K1D","173.52","180.47","636.06","Finale B"
"Emma Vuitton","K1D","174.32","151.99","642.93","Finale B"
"Agathe Chaumet","K1D","190.45","158.67","781.58","Finale B"
"Charline Berger Martin","K1D","254.54","185.94","1332.46","Finale B"
"Lukas Werro","K1H","93.69","67.63","54.58","Finale B"
"Ludovic Di Nisi","K1H","93.75","67.92","55.16","Finale B"
"Guillaume Graille","K1H","93.94","59.78","57.01","Finale B"
"Pierre Bourliaud","K1H","94.8","52.26","65.36","Finale B"
"Charlie Barbier","K1H","94.83","68.64","65.65","Finale B"
"Simon Hene","K1H","95.47","99.71","71.87","Finale B"
"Pierre Giudicelli","K1H","95.7","73.35","74.1","Finale B"
"Martin Daviet","K1H","96.4","69.15","80.9","Finale B"
"Mathieu Desnos","K1H","96.48","49.7","81.68","Finale B"
"Malo Quemeneur","K1H","96.81","45.59","84.88","Finale B"
"Antoine Launay","K1H","97.03","66.18","87.02","Finale B"
"Manuel Munsch","K1H","97.2","78.54","88.67","Finale B"
"Tom Scianimanico","K1H","97.21","70.66","88.77","Finale B"
"Robin Pottelette","K1H","97.4","115.76","90.61","Finale B"
"Quentin Bove","K1H","97.43","103.62","90.9","Finale B"
"Yves Prigent","K1H","97.58","33.32","92.36","Finale B"
"Thomas Schmitt","K1H","97.79","71.55","94.4","Finale B"
"Theo Desvignes","K1H","97.92","103.85","95.66","Finale B"
"Mathieu Doby","K1H","98.92","62.97","105.38","Finale B"
"Benoit Guillaume","K1H","99.05","49.44","106.64","Finale B"
"Theo Foucher","K1H","99.07","109.3","106.83","Finale B"
"Mathis Soudi","K1H","99.12","90.59","107.32","Finale B"
"Gurgen Brun","K1H","99.64","75.7","112.37","Finale B"
"Alan Dollo","K1H","99.66","81.8","112.56","Finale B"
"Mathieu Monier","K1H","99.95","142.4","115.38","Finale B"
"Gregoire Guerin","K1H","100.14","129.69","117.23","Finale B"
"Louison Turmeau","K1H","100.2","91.59","117.81","Finale B"
"William Desnos","K1H","100.52","103.52","120.92","Finale B"
"Lucas Latimier","K1H","100.77","81.45","123.34","Finale B"
"Hugo Crepeau","K1H","100.86","104.9","124.22","Finale B"
"Sami Rocher","K1H","101.16","80.53","127.13","Finale B"
"Thibault Marchand","K1H","101.54","87.38","130.82","Finale B"
"Enrick Cunsolo","K1H","102.25","81.75","137.72","Finale B"
"Yanis Rainaud","K1H","102.31","131.21","138.3","Finale B"
"Thomas Rosset","K1H","103.03","88.54","145.3","Finale B"
"Edgar Prigent","K1H","103.12","70.38","146.17","Finale B"
"Renaud Doby","K1H","103.31","98.7","148.02","Finale B"
"Mathys Huvelin","K1H","103.78","135.89","152.58","Finale B"
"Pierre Grapotte","K1H","104.08","121.06","155.49","Finale B"
"Nicolas Abbal","K1H","105","81.19","164.43","Finale B"
"Loic Bertoia","K1H","105.33","83.15","167.63","Finale B"
"Benjamin Travostino","K1H","105.55","58.05","169.77","Finale B"
"Paul Cornut-chauvinc","K1H","105.94","97.62","173.56","Finale B"
"Florian Busson","K1H","107.09","125.39","184.73","Finale B"
"Anatole Delassus","K1H","107.69","61.03","190.56","Finale B"
"Kendaor Le Huitou","K1H","109.03","93.8","203.57","Finale B"
"Pierre Hellard","K1H","109.7","154.9","210.08","Finale B"
"Isaac Dufrene","K1H","111.2","93.48","224.65","Finale B"
"Pierre Marie Roussel","K1H","114.73","138.42","258.93","Finale B"
"Hugo Regnier","K1H","119.82","109.33","308.37","Finale B"
"Titouan Dupras","K1H","146.61","74.03","568.58","Finale B"
"Hugo Cailhol","K1H","147.94","107.05","581.5","Finale B"
"Julien Pajaud","K1H","149.91","81.64","600.63","Finale B"
"Aaron Penning","K1H","150.53","97.9","606.65","Finale B"
"Nicolas Baudoin","K1H","150.59","97.76","607.23","Finale B"
"Maxime Bottex","K1H","150.97","92.19","610.92","Finale B"
"Vincent Delahaye","K1H","150.98","89.95","611.02","Finale B"
"Pol Euzenes","K1H","171.85","162.71","813.73","Finale B"
"Matheo Lebaindre","K1H","175.23","144.13","846.56","Finale B"
