"Sélectif Régional - Montpellier - Course 2 | Finale - 2014-11-23","Course 2 | Finale","2014-11-23","Régional","185"
"Marie-amelie Jullien-Hind Jamili","C2D","154.05","514.26","551.12","Course 2 | Finale A"
"Carla Lacroix-Camille Santa Cruz","C2DM","242.33","-","-","Course 2 | Finale A"
"Baptiste Tappero-Dimitri Durannot","C2H","119.33","362.75","423.49","Course 2 | Finale A"
"Axel Kournwsky-Adrien Maire","C2H","122.51","250.76","460.33","Course 2 | Finale A"
"Clement Bosc-Olivier Cail","C2H","137.66","-","635.78","Course 2 | Finale A"
"Paul Gaillard-Maxime Gaillard","C2H","139.14","-","652.93","Course 2 | Finale A"
"Mathieu Lions-Cyril Audoit","C2H","145.71","787.52","729.03","Course 2 | Finale A"
"Cindy Coat-Gaetan Coat","C2M","120.3","367.02","318.62","Course 2 | Finale A"
"Marine Izac-Galaad Pereyron","C2M","127.16","-","391.45","Course 2 | Finale A"
"Bryan Seiler-Alysson Goyat","C2M","132.42","410.97","447.29","Course 2 | Finale A"
"Elsa Cailhol-Vincent Ardonceau","C2M","147.12","-","603.36","Course 2 | Finale A"
"Francis Gaillard-Pascale Gaillard","C2M","174.09","-","889.69","Course 2 | Finale A"
"Jihane Samlal","K1D","100","141.48","168.87","Course 2 | Finale A"
"Cindy Coat","K1D","107.39","261.34","252.18","Course 2 | Finale A"
"Jade Vassallo","K1D","107.78","-","256.58","Course 2 | Finale A"
"Emilie Lhomme","K1D","108.83","185.87","268.42","Course 2 | Finale A"
"Hind Jamili","K1D","112.78","270.38","312.95","Course 2 | Finale A"
"Melanie Konig","K1D","114.05","-","327.27","Course 2 | Finale A"
"Nais Zanfini","K1D","114.39","-","331.1","Course 2 | Finale A"
"Marie-amelie Jullien","K1D","115.84","335.32","347.45","Course 2 | Finale A"
"Elsa Cailhol","K1D","116.88","307.67","359.18","Course 2 | Finale A"
"Julie Fauroux","K1D","121.5","408.94","411.26","Course 2 | Finale A"
"Melanie Connes-lessard","K1D","122.6","505.28","423.67","Course 2 | Finale A"
"Lorene Scalbert","K1D","123.77","457.15","436.86","Course 2 | Finale A"
"Lucie Adisson","K1D","127.65","422.34","480.61","Course 2 | Finale A"
"Helene Merlet","K1D","127.86","474.48","482.96","Course 2 | Finale A"
"Anais Boucher","K1DM","126.69","336.64","469.78","Course 2 | Finale A"
"Camille Santa Cruz","K1DM","129.11","-","-","Course 2 | Finale A"
"Eva Pietracha","K1DM","135.19","-","-","Course 2 | Finale A"
"Eglantine Coustellier","K1DM","139.64","-","-","Course 2 | Finale A"
"Nicolas Caussanel","K1H","88.04","167.45","163.06","Course 2 | Finale A"
"Bryan Seiler","K1H","88.75","114.1","172.11","Course 2 | Finale A"
"Antoine Gaillard","K1H","89.96","155.2","187.52","Course 2 | Finale A"
"Dimitri Durannot","K1H","94.17","256.81","241.16","Course 2 | Finale A"
"Olivier Cain","K1H","94.99","208.35","251.61","Course 2 | Finale A"
"Jonathan Delagnes","K1H","95.62","103.26","259.63","Course 2 | Finale A"
"Leo Fournier","K1H","96.22","197.75","267.28","Course 2 | Finale A"
"Vincent Garcia","K1H","96.48","257.91","270.59","Course 2 | Finale A"
"Virgile Pigache-donnet","K1H","97.34","-","281.54","Course 2 | Finale A"
"Hippolyte Cail","K1H","97.4","256.26","282.31","Course 2 | Finale A"
"Hugo Crepeau","K1H","98.92","234.75","301.67","Course 2 | Finale A"
"Axel Kournwsky","K1H","100.51","223.24","321.93","Course 2 | Finale A"
"Gaetan Coat","K1H","101.07","299.69","329.06","Course 2 | Finale A"
"Corentin Quignard","K1H","101.36","-","332.76","Course 2 | Finale A"
"Tom Deconchy","K1H","101.84","300.43","338.87","Course 2 | Finale A"
"Jolan Konig","K1H","102.8","-","351.11","Course 2 | Finale A"
"Olivier Cail","K1H","104.38","321.11","371.23","Course 2 | Finale A"
"Mathias Levy","K1H","104.81","-","376.71","Course 2 | Finale A"
"Clement Bosc","K1H","106.47","336.05","397.86","Course 2 | Finale A"
"Maxime Gaillard","K1H","107.27","321.12","408.05","Course 2 | Finale A"
"Jean Philippe Roche","K1H","108.16","343.27","419.39","Course 2 | Finale A"
"Vincent Ardonceau","K1H","109.06","370.04","430.86","Course 2 | Finale A"
"Alexis Reigne","K1H","110.42","-","448.18","Course 2 | Finale A"
"Galaad Pereyron","K1H","110.95","-","454.94","Course 2 | Finale A"
"Hugo Andre","K1H","111.78","363.23","465.51","Course 2 | Finale A"
"Olivier Bachelot","K1H","112.92","409.4","480.03","Course 2 | Finale A"
"Lionel Aguilhon","K1H","113.69","497.03","489.84","Course 2 | Finale A"
"Seraphin Margot","K1H","116.07","-","520.17","Course 2 | Finale A"
"Mahe Dersoir","K1H","116.44","373.65","524.88","Course 2 | Finale A"
"Cyril Audoit","K1H","116.54","397.28","526.15","Course 2 | Finale A"
"Sebastien Dupuis","K1H","117.44","-","537.62","Course 2 | Finale A"
"Nathaniel Levy","K1H","121.44","532.11","588.58","Course 2 | Finale A"
"Louis Pein","K1HM","109.11","454.53","431.5","Course 2 | Finale A"
"Jules Cresp","K1HM","109.86","353.38","441.05","Course 2 | Finale A"
"Jack Nattrass","K1HM","110.82","607.93","453.28","Course 2 | Finale A"
"Jeremie Palazy","K1HM","111.58","-","-","Course 2 | Finale A"
"Adrien Fischer","K1HM","115.66","-","-","Course 2 | Finale A"
"Paul Gaillard","K1HM","120.94","501.01","582.21","Course 2 | Finale A"
"Leam Auffret","K1HM","121.8","1154.6","593.17","Course 2 | Finale A"
"Louis Scalbert","K1HM","124.7","503.74","630.11","Course 2 | Finale A"
"Julian Guglielmo","K1HM","125.04","612.24","634.44","Course 2 | Finale A"
"Brishan O'brien","K1HM","125.27","572.42","637.37","Course 2 | Finale A"
"Thomas Courtois","K1HM","125.65","495.77","642.22","Course 2 | Finale A"
"Gael Villar","K1HM","127.24","-","662.47","Course 2 | Finale A"
"Samuel Gerard","K1HM","130.72","577.21","706.81","Course 2 | Finale A"
"Joshua Bourgeois","K1HM","137.21","-","-","Course 2 | Finale A"
"Clement Cubizolle","K1HM","137.43","-","792.29","Course 2 | Finale A"
"Lucile Gangloff","C1D","142.51","571.17","559.41","Course 2 | Finale B"
"Lorene Scalbert","C1D","146.04","679.48","596.89","Course 2 | Finale B"
"Marine Izac","C1D","146.38","582.84","600.5","Course 2 | Finale B"
"Marie-amelie Jullien","C1D","156.84","584.89","711.55","Course 2 | Finale B"
"Melanie Connes-lessard","C1D","173.57","-","889.18","Course 2 | Finale B"
"Laure Poux","C1D","216.89","-","1349.09","Course 2 | Finale B"
"Maxime Gaillard","C1H","121.81","513.78","524.4","Course 2 | Finale B"
"Axel Kournwsky","C1H","123.2","338.82","541.26","Course 2 | Finale B"
"Gregoire Pouille","C1H","123.63","543.08","546.48","Course 2 | Finale B"
"Mathieu Lions","C1H","124.63","546.2","558.61","Course 2 | Finale B"
"Olivier Bachelot","C1H","128.52","-","605.81","Course 2 | Finale B"
"Francois Mouttou","C1H","129.98","624.02","623.52","Course 2 | Finale B"
"Mathias Levy","C1H","130.27","-","627.05","Course 2 | Finale B"
"Jean Philippe Roche","C1H","135.39","1003.87","689.17","Course 2 | Finale B"
"Leo Fournier","C1H","143.09","-","782.59","Course 2 | Finale B"
"Louis Foissac","C1H","149.32","-","858.19","Course 2 | Finale B"
"Thomas Bisetto","C1H","150.08","-","867.4","Course 2 | Finale B"
"Teo Deconchy","C1H","Abs","-","-","Course 2 | Finale B"
"Louis Scalbert","C1HM","147.39","-","834.76","Course 2 | Finale B"
"Guilhem Viguier","C1HM","170.21","-","-","Course 2 | Finale B"
"Samuel De Severac-Guillaume Viguier","C2H","159.35","-","892","Course 2 | Finale B"
"Clemence Zago-Olivier Cain","C2M","153.33","-","674.29","Course 2 | Finale B"
"Marine Izac","K1D","123.11","336","434.42","Course 2 | Finale B"
"Lucile Gangloff","K1D","123.14","425.67","434.75","Course 2 | Finale B"
"Alysson Goyat","K1D","130.64","549.14","519.32","Course 2 | Finale B"
"Zelda Konig","K1D","130.7","-","519.99","Course 2 | Finale B"
"Manon Zago","K1D","134.32","-","560.8","Course 2 | Finale B"
"Orlane Gauchet","K1D","135.67","595.45","576.02","Course 2 | Finale B"
"Juliette Rousset","K1D","137.87","540.19","600.83","Course 2 | Finale B"
"Estelle Mayer","K1D","140.36","-","628.9","Course 2 | Finale B"
"Clemence Zago","K1D","146.93","787.7","702.98","Course 2 | Finale B"
"Laure Poux","K1D","152.13","-","761.6","Course 2 | Finale B"
"Clementine Colle","K1D","192.68","-","1218.77","Course 2 | Finale B"
"Sylvie Foulquier","K1D","201.64","-","1319.79","Course 2 | Finale B"
"Maeva Bachelot","K1DM","137.94","-","-","Course 2 | Finale B"
"Lucile Cans","K1DM","151.33","-","-","Course 2 | Finale B"
"Cleo Santini","K1DM","Abs","-","-","Course 2 | Finale B"
"Adrien Maire","K1H","93.71","184.09","240.3","Course 2 | Finale B"
"Matthieu Demarty","K1H","110.64","357.92","455.99","Course 2 | Finale B"
"Eric Cazalis","K1H","111.71","518.56","469.62","Course 2 | Finale B"
"Guillaume Viguier","K1H","113.08","491.52","487.07","Course 2 | Finale B"
"Valentin Affortit","K1H","115.38","540.44","516.38","Course 2 | Finale B"
"Marc Cailhol","K1H","115.5","507.69","517.9","Course 2 | Finale B"
"Paul Roubaud","K1H","116.19","435.64","526.69","Course 2 | Finale B"
"Lucas Maurin","K1H","116.6","586.8","531.92","Course 2 | Finale B"
"Alexis Mercoirol","K1H","117.84","402.65","547.72","Course 2 | Finale B"
"Marco Rodrigues","K1H","118.63","528.26","557.78","Course 2 | Finale B"
"Baptiste Clerc","K1H","119.94","501.34","574.47","Course 2 | Finale B"
"Ulysse Studer","K1H","120.99","635.62","587.85","Course 2 | Finale B"
"Louis Foissac","K1H","121","496.11","587.97","Course 2 | Finale B"
"Samuel De Severac","K1H","121.12","689.17","589.5","Course 2 | Finale B"
"Robin Plancade","K1H","121.27","630.57","591.41","Course 2 | Finale B"
"Gilles Lovera","K1H","121.34","506.2","592.31","Course 2 | Finale B"
"Raphael Warot","K1H","122.95","530.81","612.82","Course 2 | Finale B"
"Mathieu Lions","K1H","123.55","332.26","620.46","Course 2 | Finale B"
"Enzo Briffa","K1H","123.61","-","621.23","Course 2 | Finale B"
"Thomas Bisetto","K1H","131.66","798.29","723.78","Course 2 | Finale B"
"Eric Vuiet","K1H","136.16","-","781.11","Course 2 | Finale B"
"Emmanuel Andre","K1H","137.64","-","799.97","Course 2 | Finale B"
"Vincent Chamois","K1H","142.73","758.44","864.82","Course 2 | Finale B"
"Valentin Pujos","K1H","147.01","-","919.34","Course 2 | Finale B"
"Gregoire Pouille","K1H","160.34","322.95","1089.17","Course 2 | Finale B"
"Gauthier Fiorentino","K1H","165.91","-","1160.13","Course 2 | Finale B"
"Pioerre-calixte Gaydon-ohl","K1H","178.55","528.74","1321.17","Course 2 | Finale B"
"Yves Meslet","K1H","182.35","-","1369.58","Course 2 | Finale B"
"Jeremy Barraut","K1H","191.61","-","1487.55","Course 2 | Finale B"
"Teo Deconchy","K1H","Abs","-","-","Course 2 | Finale B"
"Marceau Hugues","K1HM","122.33","704.26","604.92","Course 2 | Finale B"
"Nour Ait Kaddour","K1HM","124.73","-","-","Course 2 | Finale B"
"Valentin Lacor","K1HM","126.15","-","-","Course 2 | Finale B"
"Paul Lebrasseur","K1HM","129.82","736.07","700.34","Course 2 | Finale B"
"Guilhem Viguier","K1HM","132.04","-","-","Course 2 | Finale B"
"Antoine Lerat Pytlak","K1HM","134.86","-","764.55","Course 2 | Finale B"
"Baptiste Bounekir","K1HM","139.58","798.47","824.69","Course 2 | Finale B"
"Felix Praderie","K1HM","140.33","-","-","Course 2 | Finale B"
"Noah Dufenieux","K1HM","141.82","-","-","Course 2 | Finale B"
"Samuel Taillefer","K1HM","179.09","-","-","Course 2 | Finale B"
"Fabien Zagni","K1HM","182.7","-","1374.04","Course 2 | Finale B"
"Kian Pinzon","K1HM","266.6","-","-","Course 2 | Finale B"
