"Coupe Jeunes et sléectif régional slalom - Etangs de Cergy Neuville - Rivière Artificielle - 2003-11-16","Course 1","2003-11-16","Régional","182"
"Bastien Darcillon","K1H","195.20","344","316",""
"Lebreton Simon","K1H","195.31","380","317",""
"Viellard Amaury","K1H","195.72","302","320",""
"Yves Moreno","K1H","197.45","334","333",""
"Maignan Adrien","K1H","198.73","443","342",""
"Dupont Emmanuel","K1H","199.16","418","345",""
"Philippe Valeri","K1H","200.35","358","354",""
"Alliaume Antoine","K1H","200.71","397","356",""
"Viratelle Vincent","K1H","202.43","407","368",""
"Sebastien Delaunay","K1H","202.81","-","372",""
"Dubu Alain","K1H","203.47","379","376",""
"Sergent Sylvain","K1H","204.58","333","384",""
"Eric Marmet","K1H","204.78","466","385",""
"Thibaud Vielliard","K1H","205.48","346","390",""
"Douillot Nicolas","K1H","205.51","414","390",""
"Thenon Gregori","K1H","206.14","443","395",""
"Di Majo Romain","K1H","206.71","444","399",""
"Falcetta Thomas","K1H","206.75","336","399",""
"Payet Sylvain","K1H","206.87","-","400",""
"Loic Monbel","K1H","208.15","450","409",""
"Benard Fabien","K1H","209.68","490","420",""
"Mathieu Faure","K1H","210.97","-","429",""
"Nicolas Dupres","K1H","211.00","378","429",""
"Vincent Richard","K1H","211.46","417","433",""
"Legrand Adrien","K1H","212.15","433","438",""
"Diemert Maxime","K1H","212.33","560","439",""
"Hamann Damien","K1H","212.40","505","439",""
"Bigeon Thibault","K1H","212.83","446","443",""
"Pierre Baux","K1H","213.41","630","447",""
"Noury Maxime","K1H","215.50","465","462",""
"Antoine Decambon","K1H","216.89","430","472",""
"Benjamin Defrocourt","K1H","218.96","530","487",""
"Tourte Etienne","K1H","224.20","-","524",""
"Drisch Nicolas","K1H","227.61","778","548",""
"Quentin Bove","K1H","227.76","233","550",""
"Gangloff Alexandre","K1H","229.14","587","560",""
"Gaetan Dheilly","K1H","229.58","-","563",""
"Decaux Louis","K1H","232.28","546","582",""
"Hetier Louis","K1H","234.33","446","597",""
"Barnavon Guillaume","K1H","237.05","674","616",""
"Fievez Guillaume","K1H","239.64","391","635",""
"Thomas Monvoisin","K1H","239.86","-","636",""
"Le Berte Maxime","K1H","243.05","-","660",""
"Mickael Faure","K1H","243.46","-","662",""
"Lagache Jean Christophe","K1H","245.71","-","679",""
"Brachi Benjamin","K1H","248.80","715","701",""
"Kevin Burgi","K1H","249.99","379","709",""
"Gerard Lafargue","K1H","253.91","-","738",""
"Soria Amaury","K1H","264.68","-","814",""
"Fontaine Vincent","K1H","268.94","487","845",""
"Fagnere Anthony","K1H","273.60","1113","879",""
"Jolivet Pierre","K1H","274.31","-","883",""
"Averlant Etienne","K1H","276.79","433","901",""
"Barnavon Nicolas","K1H","282.30","662","941",""
"Lefeure Thomas","K1H","290.02","-","996",""
"Lefebvre Ludovic","K1H","309.26","-","1134",""
"Olivier Cornu","K1H","313.13","489","1161",""
"Houdant Batiste","K1H","328.56","661","1273",""
"Sellier Aurelien","K1H","346.82","-","1403",""
"Houdard Josselin","K1H","347.31","542","1406",""
"Tonnelle Gregoire","K1H","357.78","-","1482",""
"Gautier Boudat","K1H","369.47","637","1565",""
"Laurent Ernou","K1H","399.05","-","1778",""
"Georgeaud Tristan","K1H","443.51","-","2096",""
"Nicolas Girault","K1H","501.90","-","2514",""
"Joubier Aurelien","K1H","547.81","-","2844",""
"Duparcq Romain","K1H","575.79","620","3044",""
"Lacourcelle Maurice","K1H","591.59","-","3157",""
"Abrahmi Charles Edouard","K1H","781.55","-","4519",""
