"CHAMPIONNAT REGIONAL RUELLE - Ruelle - 2007-04-15","Course 1","2007-04-15","Régional","150"
"Francois Giudicelli","K1H","265.76","-","552",""
"Delorme Vincent","K1H","267.64","-","564",""
"Hugo Dagois","K1H","268.21","-","567",""
"Etienne Chauvin","K1H","269.75","-","577",""
"Charlie Baron","K1H","274.15","868","605",""
"Damien Guyonnet","K1H","278.59","711","634",""
"Thierry Dugue","K1H","279.24","-","638",""
"Gaetan Robin","K1H","284.93","1212","675",""
"Valentin Marin","K1H","287.10","-","688",""
"Gerard Folle","K1H","287.66","966","693",""
"Jeanchristophe Pelletant","K1H","289.09","-","701",""
"Julien Neymond","K1H","293.27","955","729",""
"Dallet Antoine","K1H","298.72","1799","763",""
"Guillaume Crochet","K1H","313.85","-","860",""
"Bernard Guillaume","K1H","318.49","-","891",""
"Niall Woulfe","K1H","318.93","-","893",""
"Antoine Delcourt","K1H","350.67","-","1097",""
"Guillaume Chainier","K1H","403.16","-","1434",""
"Bayle Damien","K1H","415.34","490","1513",""
"Redien Benjamin","K1H","445.62","-","1707",""
"Guillaume Boullault","K1H","492.71","2704","2009",""
"Maussion Remi","K1H","521.33","-","2195",""
