"CHAMPIONNAT DE BRETAGNE SLALOM - Cesson Sevigne - 2001-04-01","Course 1","2001-04-01","Régional","160"
"Piton Samuel","K1H","230.69","-","468",""
"Denays Sylvain","K1H","231.11","-","471",""
"Guillaume Coroller","K1H","232.81","-","481",""
"Sene Damien","K1H","235.04","-","494",""
"Lepage Pierre","K1H","236.34","-","502",""
"Teiti Arnaud","K1H","236.51","-","503",""
"Olivier Brillaut","K1H","236.83","-","505",""
"Philippe Ronan","K1H","236.96","-","505",""
"Louet Gwenael","K1H","237.36","-","508",""
"Le Coq Sebastien","K1H","237.62","-","509",""
"Prigent Mathieu","K1H","240.04","-","524",""
"Tual Jacky","K1H","244.81","-","552",""
"Deportzamparc David","K1H","249.19","-","578",""
"Le Feuvre Nicolas","K1H","251.69","-","593",""
"Didier Rouet","K1H","252.32","-","597",""
"Jeanmarie Le Guyader","K1H","253.25","-","602",""
"Guichard Jonathan","K1H","253.56","-","604",""
"Madec Christophe","K1H","254.44","-","610",""
"Le Sausse Paul","K1H","258.71","-","635",""
"Le Corvaisier Fabien","K1H","259.52","-","640",""
"Louet Steven","K1H","260.31","-","644",""
"Le Bris Pierrick","K1H","261.24","-","650",""
"Couedic Aurelien","K1H","262.26","-","656",""
"Laly Nicolas","K1H","263.39","-","663",""
"Blesteau Jerome","K1H","264.37","-","669",""
"Herfray Francois","K1H","264.43","-","669",""
"Le Vourch Alexandre","K1H","265.89","-","678",""
"Yann Lardic","K1H","268.48","-","693",""
"Maze Ronan","K1H","268.66","-","694",""
"Deffay Axel","K1H","286.75","-","802",""
"Lebret Matthieu","K1H","291.45","-","830",""
"Le Troadec Brendan","K1H","296.48","-","860",""
"Hoel Carnot","K1H","306.97","-","922",""
"Georgin Nicolas","K1H","312.23","-","954",""
"Nado Julien","K1H","313.98","-","964",""
"Chiffoleau Stephane","K1H","326.83","-","1041",""
"Sevaux Adrien","K1H","334.48","-","1086",""
"Josse Nicolas","K1H","336.74","-","1100",""
"Colombert Yann","K1H","366.88","-","1279",""
"Champfailly Sebastien","K1H","369.29","-","1294",""
"Rivallain Ludovic","K1H","372.38","-","1312",""
"Berree Guillaume","K1H","406.27","-","1514",""
"Chapel Mikael","K1H","421.53","-","1605",""
"Flageul Pierre","K1H","734.74","-","3470",""
