"Sélectif Régional de slalom - Sev L'argentiere La Bessee - Course n°1 | Finale - 2015-09-19","Course n°1 | Finale","2015-09-19","Régional","130"
"Tiphanie Borlet","K1D","111.91","476.05","406.82","Course n°1 | Finale A"
"Lucie Adisson","K1D","115.25","388.86","448.02","Course n°1 | Finale A"
"Laurine Grandadam","K1D","122.96","-","543.13","Course n°1 | Finale A"
"Eva Pietracha","K1DM","105.14","-","323.31","Course n°1 | Finale A"
"Elena Hugues","K1DM","111.08","-","396.58","Course n°1 | Finale A"
"Louane Chenal","K1DM","111.52","-","402.01","Course n°1 | Finale A"
"Marie Juquelier","K1DM","115.1","-","446.17","Course n°1 | Finale A"
"Lea Ferraris","K1DM","117.53","-","476.15","Course n°1 | Finale A"
"Loic Bertoia","K1H","85.93","165.25","224.13","Course n°1 | Finale A"
"Bertrand Bercon","K1H","87.97","241.87","252.57","Course n°1 | Finale A"
"Baptiste Granger","K1H","88.25","219.71","256.47","Course n°1 | Finale A"
"Alexandre Lismonde","K1H","88.34","230.61","257.73","Course n°1 | Finale A"
"Pierre Grapotte","K1H","90.79","346.56","291.88","Course n°1 | Finale A"
"Laurent Poncelet","K1H","91.84","-","306.52","Course n°1 | Finale A"
"Armand Rakowski","K1H","92.36","-","313.77","Course n°1 | Finale A"
"Hugo Andre","K1H","92.73","335.41","318.92","Course n°1 | Finale A"
"Thomas Thieblemont","K1H","93.35","314.54","327.57","Course n°1 | Finale A"
"Emeric Vibert","K1H","93.73","271.28","332.86","Course n°1 | Finale A"
"Gilles Lovera","K1H","94.33","470.28","341.23","Course n°1 | Finale A"
"Jules Cresp","K1H","94.41","313.26","342.34","Course n°1 | Finale A"
"Sebastien Routhier","K1H","95.2","354.01","353.36","Course n°1 | Finale A"
"Ronan Cordier","K1H","95.66","354.56","359.77","Course n°1 | Finale A"
"Mathieu Lions","K1H","96.65","324.23","373.57","Course n°1 | Finale A"
"Matteo Licoine","K1H","97.22","389.67","381.51","Course n°1 | Finale A"
"Teo Bouvier","K1H","97.68","393.93","387.93","Course n°1 | Finale A"
"Yann Tabone","K1H","98.42","434.11","398.24","Course n°1 | Finale A"
"Mahe Dersoir","K1H","98.62","344.11","401.03","Course n°1 | Finale A"
"Nayl Tazi-sidqui","K1H","99.6","424.51","414.69","Course n°1 | Finale A"
"Quentin Duhamel","K1H","100.06","373.13","421.1","Course n°1 | Finale A"
"Jean Baptiste Lismonde","K1H","103.25","420.76","465.57","Course n°1 | Finale A"
"Cyril Audoit","K1H","106.75","368.66","514.36","Course n°1 | Finale A"
"Fabien Leist","K1H","114.61","367.32","623.93","Course n°1 | Finale A"
"Dimitri Durannot","K1H","141.36","237.03","996.82","Course n°1 | Finale A"
"Gawaine Chikh","K1HM","96.29","-","368.55","Course n°1 | Finale A"
"Guillaume Belet","K1HM","105.52","-","-","Course n°1 | Finale A"
"Robin Andre","K1HM","111.45","-","-","Course n°1 | Finale A"
"Maxence Jehan","K1HM","113.94","-","-","Course n°1 | Finale A"
"Adrien Fischer","K1HM","114.71","-","625.32","Course n°1 | Finale A"
"Djendy Simeant","K1HM","162.02","-","-","Course n°1 | Finale A"
"Gael Fauroux","K1HM","162.68","-","1294.02","Course n°1 | Finale A"
"Alexandre Goujon","K1HM","172.06","-","1424.77","Course n°1 | Finale A"
"Antonin Dustou","K1HM","285","-","2999.15","Course n°1 | Finale A"
"Julie Fauroux","C1D","Abd","-","-","Course n°1 | Finale B"
"Etienne Klatt","C1H","108.13","358.9","466.82","Course n°1 | Finale B"
"Jules Silvin","C1H","110.85","554.46","502.93","Course n°1 | Finale B"
"Lucas Di Martino","C1H","111.22","369.79","507.85","Course n°1 | Finale B"
"Thomas Thieblemont","C1H","113.21","476.12","534.26","Course n°1 | Finale B"
"Kawan Thomas","C1H","116.13","588.57","573.03","Course n°1 | Finale B"
"Alexis Mercoirol","C1H","Abs","-","-","Course n°1 | Finale B"
"Antonin Dustou","C1HM","284.09","-","2802.88","Course n°1 | Finale B"
"Pierre Courtois-Enzo Briffa","C2H","322.17","1492.82","3114.02","Course n°1 | Finale B"
"Mahe Dersoir-Lou Lombard","C2M","213.55","-","1511.99","Course n°1 | Finale B"
"Charlotte Issagarre","K1D","104.56","331.54","321.15","Course n°1 | Finale B"
"Julie Fauroux","K1D","110.69","342.22","396.77","Course n°1 | Finale B"
"Meryl Steinmann","K1D","115.25","414.41","453.02","Course n°1 | Finale B"
"Lorene Scalbert","K1D","124.87","430.79","571.69","Course n°1 | Finale B"
"Emma Vieira Coelha","K1D","134.85","429.82","694.81","Course n°1 | Finale B"
"Amandine CrÉgut","K1D","146.47","-","838.15","Course n°1 | Finale B"
"Juliette Ribault","K1D","184.13","568.03","1302.74","Course n°1 | Finale B"
"Lou Lombard","K1D","235.62","-","1937.93","Course n°1 | Finale B"
"Marion Pasquali","K1DM","165.92","-","1078.1","Course n°1 | Finale B"
"Elke Saragas","K1DM","514.2","-","5374.54","Course n°1 | Finale B"
"Clara Jannic","K1DM","Abd","-","-","Course n°1 | Finale B"
"Mila Vikroff","K1DM","Des","-","-","Course n°1 | Finale B"
"Kawan Thomas","K1H","92.47","317.55","320.3","Course n°1 | Finale B"
"Valentin Vibert","K1H","93.42","246.32","333.54","Course n°1 | Finale B"
"Paul Roubaud","K1H","99.72","446.82","421.36","Course n°1 | Finale B"
"Jules Silvin","K1H","104.25","304.52","484.51","Course n°1 | Finale B"
"Pierre Louis Debuigne","K1H","104.82","626.96","492.46","Course n°1 | Finale B"
"Hugo Martin -laemle","K1H","105.14","520.21","496.92","Course n°1 | Finale B"
"Thomas Courtois","K1H","105.65","457.9","504.03","Course n°1 | Finale B"
"Hugo Polard","K1H","105.8","514.62","506.12","Course n°1 | Finale B"
"Antoni Zaki","K1H","112.36","406.51","597.56","Course n°1 | Finale B"
"Mikael Clanchin","K1H","113.63","412.66","615.27","Course n°1 | Finale B"
"Luca Barone","K1H","114.84","621.8","632.13","Course n°1 | Finale B"
"Pierre Courtois","K1H","115.41","596.59","640.08","Course n°1 | Finale B"
"Paul Badache","K1H","117.89","579.85","674.65","Course n°1 | Finale B"
"Enzo Briffa","K1H","118.71","645.32","686.08","Course n°1 | Finale B"
"Philippe Bigard","K1H","120.8","737.86","715.22","Course n°1 | Finale B"
"William Griffiths","K1H","121.75","-","728.46","Course n°1 | Finale B"
"Ollivier Paumier","K1H","124.51","502.21","766.93","Course n°1 | Finale B"
"Quentin Laplace","K1H","125.42","-","779.62","Course n°1 | Finale B"
"Enzo Mazouat","K1H","133.93","714.49","898.25","Course n°1 | Finale B"
"Dominique Polard","K1H","137.23","551.24","944.25","Course n°1 | Finale B"
"Louis Scalbert","K1H","163","479.85","1303.48","Course n°1 | Finale B"
"Hugo Nerisson","K1H","166.7","-","1355.06","Course n°1 | Finale B"
"Tom Mazouat","K1H","199.51","715.45","1812.42","Course n°1 | Finale B"
"Alexis Mercoirol","K1H","Abs","-","-","Course n°1 | Finale B"
"Romain Berthon","K1H","Abs","-","-","Course n°1 | Finale B"
"Wolfgang Schulz","K1H","Abs","-","-","Course n°1 | Finale B"
"Paul Graton","K1H","Abs","-","-","Course n°1 | Finale B"
"Aurelien Fualdes","K1H","Abs","-","-","Course n°1 | Finale B"
"Hugo Avril","K1H","Abd","-","-","Course n°1 | Finale B"
"Anton Gille","K1H","Abs","-","-","Course n°1 | Finale B"
"Gael Adisson","K1HM","98.26","-","401.01","Course n°1 | Finale B"
"Maxime Melmont","K1HM","114.44","-","626.56","Course n°1 | Finale B"
"Loan Paumier","K1HM","121.17","-","720.37","Course n°1 | Finale B"
"Gabin Siau","K1HM","121.54","-","-","Course n°1 | Finale B"
"Aymeric Rivier","K1HM","125.82","-","785.19","Course n°1 | Finale B"
"AloÏs Cretier","K1HM","136.78","-","937.98","Course n°1 | Finale B"
"Enzo Guillarme","K1HM","155.34","-","1196.7","Course n°1 | Finale B"
"Simon Del Negro","K1HM","369.78","-","4185.97","Course n°1 | Finale B"
