"Sélectif Régional de Slalom à CLISSON - Clisson - Finale - 2018-02-11","Finale","2018-02-11","Régional","102"
"Romain Branjauneau","K1H","101.56","250.86","355.43","Finale A"
"Thibaud Chevalier","K1H","101.6","322.89","355.94","Finale A"
"Romain Bruneau","K1H","101.64","325.88","356.45","Finale A"
"Jonas Godevin","K1H","104.9","241.42","398.17","Finale A"
"Denis Guilmard","K1H","106.03","282.15","412.63","Finale A"
"Gregory Metayer","K1H","106.23","316.32","415.19","Finale A"
"Anthony Poux","K1H","109.44","353.47","456.27","Finale A"
"Gaston Guilmard","K1H","113.27","385.45","505.28","Finale A"
"Matheo Coquel","K1H","119.29","393.95","582.31","Finale A"
"Stephane Odot","K1H","120.18","366.87","593.7","Finale A"
"Max Derame","K1H","120.4","469.94","596.52","Finale A"
"Tony Leray","K1H","120.52","595.73","598.05","Finale A"
"Yohan Dupont","K1H","120.79","470.96","601.51","Finale A"
"Philippe Rocher","K1H","121.95","479.77","616.35","Finale A"
"Romain Brouard","K1H","123.06","582.91","630.56","Finale A"
"Tanguy Odot","K1H","125.03","465.82","655.77","Finale A"
"Tom Marchand","K1HM","123.41","491.84","635.03","Finale A"
"Romain Margerie","K1HM","128.54","540.4","700.68","Finale A"
"ClÉment Louveau","K1HM","136.1","633.56","797.42","Finale A"
"Matthieu Escolano","K1HM","175.12","634.72","1296.75","Finale A"
"Jonas Godevin","C1H","132.72","643.8","678.3","Finale B"
"Laurent Chiron","C1H","153.25","617.87","928.5","Finale B"
"Pascal Brodiez","C1H","164.45","1044.27","1065","Finale B"
"Armand Fougere","C1H","Abs","-","-","Finale B"
"GaËtan De Greef","C1H","Abs","-","-","Finale B"
"Tanguy Odot","C1H","Des","-","-","Finale B"
"Max Derame-Hubert Heurtel","C2H","Abs","-","-","Finale B"
"Pauline Guenery","K1D","156.36","522.95","831.5","Finale B"
"Anna Gouraud","K1D","179.27","790.28","1090.94","Finale B"
"Blandine Xhemajlji","K1D","197.22","1975.31","1294.21","Finale B"
"Zoe Marchand","K1D","233.58","734.92","1705.97","Finale B"
"Marine Clement","K1D","249.24","1595.06","1883.31","Finale B"
"Carla Leray","K1DM","Des","-","-","Finale B"
"Tom Suteau","K1H","113.31","799","510.79","Finale B"
"Armand Fougere","K1H","118.39","391.9","575.8","Finale B"
"Alexis Carpentey","K1H","119.89","477.68","594.99","Finale B"
"Clement Collardez","K1H","122.22","433.17","624.81","Finale B"
"Erwan Desbordes","K1H","122.92","460.88","633.76","Finale B"
"Hubert Heurtel","K1H","125.11","697.67","661.79","Finale B"
"Bastien Mailly","K1H","128.12","639.5","700.31","Finale B"
"Olivier Brochard","K1H","128.18","547.59","701.07","Finale B"
"Christophe Gergaud","K1H","133.64","557.74","770.94","Finale B"
"Erwan Launay","K1H","134.05","741.72","776.19","Finale B"
"Nathan Gouraud","K1H","136.27","787.28","804.6","Finale B"
"Noe Caillet","K1H","137.3","686.27","817.78","Finale B"
"Alan Stephan","K1H","140.8","2095.59","862.57","Finale B"
"Pascal Brodiez","K1H","142.03","826.92","878.31","Finale B"
"Kilian Berlu","K1H","142.62","615.79","885.86","Finale B"
"Axel Brin","K1H","146.29","1034.11","932.82","Finale B"
"Axel Barre","K1H","147.39","715.09","946.9","Finale B"
"Loic Augereau","K1H","149.37","1192.47","972.24","Finale B"
"Alexis Daniel","K1H","152.48","1117.92","1012.03","Finale B"
"Christian Le Parc","K1H","154.48","792.21","1037.63","Finale B"
"Mallory Brochard","K1H","166.65","781.31","1193.36","Finale B"
"Emilien Gobin","K1H","168.31","2554.12","1214.6","Finale B"
"Nolann Maudet","K1H","168.32","1070.88","1214.73","Finale B"
"Steven Cailleau","K1H","201.01","-","1633.06","Finale B"
"Bertrand Henot","K1H","217.93","844.28","1849.57","Finale B"
"Gerard Lemonnier","K1H","237.98","705.97","2106.15","Finale B"
"Thomas Guerin","K1H","250.71","1491.14","2269.05","Finale B"
"Cyriaque Sorin","K1H","271.82","1275.46","2539.19","Finale B"
"Antoine Decroix","K1H","278.36","2887.53","2622.88","Finale B"
"Mickael Launay","K1H","Des","-","-","Finale B"
"Mael Segaud","K1HM","135.13","633.41","790.01","Finale B"
"Nicolas Stephan","K1HM","154.32","1252.85","1035.58","Finale B"
"Yann Vergelin","K1HM","164.85","-","1170.33","Finale B"
"Martin Letourneau","K1HM","187.3","2413.19","1457.61","Finale B"
"Ulysse Nicouleaud","K1HM","190.49","2472.82","1498.43","Finale B"
"Paul Morisseau","K1HM","342.74","-","3446.73","Finale B"
