"SÈlectif Championnat National 2 Slalom - Nancy - Finale - 2018-05-20","Finale","2018-05-20","Nationale 2","109"
"Yvan Leblond","C1H","111.32","332.95","344.78","Finale B"
"Charles Dampeyrou","C1H","112.79","320.6","362.15","Finale B"
"Jeancharles Reby","C1H","114.36","292.62","380.7","Finale B"
"Frederic Momot","C1H","115.75","351.29","397.13","Finale B"
"Anthony Thuillier","C1H","123.38","354.53","487.31","Finale B"
"Solen Le Bourles","C1H","125.19","293.8","508.7","Finale B"
"Anais Mouhoub","K1D","119.54","382.57","341.91","Finale B"
"Jeanne Bernard","K1D","120.63","370.13","353.87","Finale B"
"Emilie Delahaye","K1D","122.85","299.18","378.26","Finale B"
"Meryl Steinmann","K1D","123.16","242.29","381.66","Finale B"
"Nelia Barbosa","K1D","123.32","382.13","383.42","Finale B"
"Elodie Delavelle","K1D","124.23","318.67","393.41","Finale B"
"Margot Perrin","K1D","125.04","324.97","402.3","Finale B"
"Emma Vaubourg","K1D","130.05","385.71","457.31","Finale B"
"Chloe Gatuingt","K1D","132.64","396.97","485.77","Finale B"
"Jessica Joyau","K1D","134.02","376.12","500.92","Finale B"
"Marilyn Giroux","K1D","203.48","389.85","1263.7","Finale B"
"Alina Rassel","K1D","281","470.61","2114.99","Finale B"
"Jade Robin","K1D","340.29","475.19","2766.08","Finale B"
"Mathilde Guillot-le Goff","K1D","Abd","-","-","Finale B"
"Axelle Armanini","K1D","Abs","-","-","Finale B"
"Laurent Starck","K1H","93.3","202.65","186.94","Finale B"
"Andreas Dupuy","K1H","95.93","196.92","219.58","Finale B"
"Otello Willmann Rosso","K1H","97.56","234.5","239.81","Finale B"
"Emilien Kempf","K1H","97.79","263.16","242.66","Finale B"
"Thibault Blaise","K1H","98.24","228.2","248.25","Finale B"
"Nicolas Mangeolle","K1H","98.38","267.52","249.98","Finale B"
"Nathan Boudaillez","K1H","98.44","228.03","250.73","Finale B"
"Lucas Correia","K1H","98.73","252.51","254.33","Finale B"
"Joris Schaffner","K1H","99.59","211.5","265","Finale B"
"Gawaine Chikh","K1H","100.19","249.26","272.44","Finale B"
"Nicolas Feuillard","K1H","102.29","182.45","298.5","Finale B"
"Yann Zaepffel","K1H","103.88","292.41","318.23","Finale B"
"Maxime Aubertin","K1H","104.25","277.78","322.82","Finale B"
"Loœc Pottier","K1H","106.05","284.99","345.16","Finale B"
"Loic Thielen","K1H","106.22","283.33","347.27","Finale B"
"Maxime Di Lauro","K1H","108.12","291.46","370.85","Finale B"
"Guilhem Douillet","K1H","108.15","285.27","371.22","Finale B"
"Alexis Caspar","K1H","108.76","256.57","378.79","Finale B"
"Fabien De Almeida","K1H","108.85","305.42","379.91","Finale B"
"Damien Ganthier","K1H","109.17","226.56","383.88","Finale B"
"Silvere Desongins","K1H","114.04","237.83","444.31","Finale B"
"Yohan Marck","K1H","116.94","379.7","480.3","Finale B"
"Loric Bertrand Delorme","K1H","158.27","250.31","993.16","Finale B"
"Samuel Lhegu","K1H","Abs","-","-","Finale B"
