"SELECTION REGIONALE 1 - Cesson Sévigné - 2004-12-19","Course 1","2004-12-19","Régional","224"
"Tirel Paul","K1H","284.63","171","487",""
"Olivier Cornu","K1H","284.64","399","487",""
"Eric Lamour","K1H","285.22","443","490",""
"Langlin Romain","K1H","286.41","429","497",""
"Simon Joseph","K1H","287.62","398","503",""
"Alain Droniou","K1H","293.18","191","536",""
"Melen Pilorge","K1H","295.15","473","547",""
"Emmanuel Cosse","K1H","295.60","237","549",""
"Madec Christophe","K1H","296.81","415","556",""
"Julien Daumont","K1H","299.20","230","570",""
"Bertrand Avril","K1H","303.15","286","592",""
"Francois Adam","K1H","306.18","449","610",""
"Patrick Jegou","K1H","312.16","308","644",""
"Le Garrec Julien","K1H","315.39","308","663",""
"Le Rouzic Jeremy","K1H","317.94","454","677",""
"Legout Kevin","K1H","347.82","402","849",""
"Monnier Marc","K1H","369.41","-","973",""
"Marion Guillaume","K1H","408.62","-","1198",""
