"Sélectif Régional de Slalom - Slalom De Troyes (double Sr) - Course n°1 | Qualification - 2016-09-24","Course n°1 | Qualification","2016-09-24","Régional","171"
"Anthony Dubois","C1H","201.41","1260.67","1937.47",""
"Hugo Pierre","C1H","214.38","-","2122.16",""
"Quentin Henri","C1H","Abs","-","-",""
"Romain Bertrand","C1H","Abs","-","-",""
"Terence Saramandif","C1HM","95.62","338.13","430.99",""
"LoÏc Pottier","C1HM","100.68","564.3","503.05",""
"Aurelien Merieux Danneaux","C1HM","109.07","-","622.52",""
"Matheo Dejonghe","C1HM","119.2","905.19","766.78",""
"Loann Delle Dananchet","C1HM","122.12","906.58","808.36",""
"Mattis Orchilles","C1HM","138.22","-","1037.63",""
"Antonin Robert","C1HM","138.57","-","1042.61",""
"Tanguy Malingre","C1HM","153.48","-","1254.93",""
"Baptist Besancon","C1HM","169.62","2921.69","1484.78",""
"Matthew Vuillard","C1HM","Abs","-","-",""
"Jean Charles Hacquart","C1HM","Abs","-","-",""
"Yann Mercier","C1HM","Abd","-","-",""
"Amaurie Guilleret-Margaux Mourlon","C2D","Abs","-","-",""
"Alexis Collin-Alexandre Mathis","C2H","99.26","353.06","418.58",""
"Philippe Thevenin-Patrick Thevenin","C2H","105.33","414.07","501.09",""
"Florian Sauvage-Jules Heurtin","C2H","120.61","-","708.78",""
"Erwan Degreve-Kilian Godart","C2H","123.74","612.13","751.34",""
"Loric Bertrand Delorme-Pierre Biagui","C2H","124.02","-","755.13",""
"Antoine Pas-Thomas Argenson","C2H","131.02","-","850.29",""
"Leo Fresneda-Baptist Besancon","C2H","Des","-","-",""
"Lucas Augu-Terence Saramandif","C2HM","115.54","-","639.87",""
"Tiphaine Drouin-Benjamin Harreau","C2M","116.06","481.64","515.47",""
"Antonin Dreit-Jade Robin","C2M","132.6","460.61","721.57",""
"Gaelle Aumer-Olivier Urbain","C2M","142.68","675.41","847.17",""
"Loann Delle Dananchet-Melyne Jost","C2MM","152.9","-","974.51",""
"Caroline Bourry","K1D","85.72","127.79","203.6",""
"Amaurie Guilleret","K1D","95.68","346.89","335.39",""
"Axelle Armanini","K1D","98.09","251.16","367.28",""
"Athenais Reby","K1D","99.42","347.44","384.88",""
"Alina Rassel","K1D","100.8","312.15","403.14",""
"Jade Robin","K1D","105.21","377.25","461.49",""
"Fiona Gille","K1D","107.29","578.49","489.01",""
"Lea Riera","K1D","117.79","536.8","627.95",""
"Sarah Rothenbuhler","K1D","120.02","543.49","657.45",""
"Heloise Pinon","K1D","130.87","809.11","801.02",""
"Margaux Barbier","K1D","167.67","554.15","1287.97",""
"Ludivine Jeanray","K1D","168.55","-","1299.61",""
"Coralie Delmotte","K1D","240.03","-","2245.44",""
"Margaux Mourlon","K1D","Abs","-","-",""
"Perrine Venot","K1D","Abs","-","-",""
"Loane Foulongani","K1D","Des","-","-",""
"Melyne Jost","K1DM","110.63","-","533.21",""
"Ines Vinet","K1DM","131.99","774.76","815.84",""
"Anais Sourdet","K1DM","151.39","-","1072.54",""
"Maxime Bottex","K1H","73.37","108.72","166.39",""
"Robin Pottelette","K1H","78.02","189.23","235.92",""
"Jean Christophe Boivin","K1H","79.92","-","264.33",""
"Yohan Marck","K1H","81.41","245.11","286.6",""
"Robin Pilard","K1H","81.66","226.53","290.34",""
"Hugo Simon","K1H","83.66","245.22","320.25",""
"Ludovic Ngo","K1H","84.03","270.4","325.78",""
"Florian Sauvage","K1H","84.92","339.22","339.09",""
"Timothee Le Mort","K1H","84.93","254.94","339.24",""
"Victor Paulais","K1H","86.46","294.28","362.11",""
"Benjamin Harreau","K1H","86.81","258.07","367.35",""
"Quentin Robin","K1H","87.09","298.17","371.53",""
"Arthur Lagleyze","K1H","87.69","331.17","380.51",""
"Alexis Pacholak","K1H","88.69","376.64","395.46",""
"Jules Heurtin","K1H","88.78","315.91","396.8",""
"Olivier Urbain","K1H","89.3","304.78","404.58",""
"Collin Pouradier","K1H","89.38","536.46","405.77",""
"Guillaume Maillot","K1H","89.7","313.5","410.56",""
"Matthieu Walfard","K1H","89.79","403.47","411.9",""
"Alexandre Mathis","K1H","89.84","434.76","412.65",""
"Mathurin Garnier","K1H","89.86","321.6","412.95",""
"Arthur Dupont","K1H","91.02","441.1","430.3",""
"Loric Bertrand Delorme","K1H","91.45","432.97","436.73",""
"Djimy Kar","K1H","95.94","371.66","503.86",""
"Pierre Biagui","K1H","96.52","468.67","512.53",""
"Nicolas Castagnetti","K1H","96.76","505.22","516.12",""
"Guerlain Robin","K1H","97.12","430.46","521.51",""
"Louis Labbe","K1H","97.9","426.79","533.17",""
"Antoine Pas","K1H","98.05","460.16","535.41",""
"Kilian Godart","K1H","98.72","385.51","545.43",""
"Erwan Degreve","K1H","99.19","494.01","552.46",""
"Loic Bourgeois","K1H","99.46","422.14","556.49",""
"Thomas Argenson","K1H","99.52","-","557.39",""
"Basile Guerrapin","K1H","100.69","539.8","574.88",""
"Aymeric Dollat","K1H","101.53","454.37","587.44",""
"Guillaume Cochut","K1H","101.66","-","589.39",""
"Lucas Gamain","K1H","104.27","-","628.41",""
"Nicolas Gallais","K1H","104.95","502.44","638.58",""
"Angelino Castagnetti","K1H","105.14","716.58","641.42",""
"Romain Caburol","K1H","105.97","875.27","653.83",""
"Clement Prelot","K1H","108.26","-","688.07",""
"Theo Viallard","K1H","110.51","527.2","721.72",""
"Quentin Henri","K1H","114.58","-","782.57",""
"Gauthier Maillot","K1H","114.82","817.01","786.16",""
"Emrys Meddour","K1H","115.45","-","795.58",""
"Claude Breuzard","K1H","115.78","646.88","800.51",""
"Yann Dhieux","K1H","118.27","675.68","837.75",""
"Philippe Piat","K1H","118.75","477.29","844.92",""
"Leo Fresneda","K1H","118.82","1316.64","845.97",""
"Gerald Oudin","K1H","119.05","-","849.41",""
"Paul Farrugio","K1H","119.62","642.75","857.93",""
"Quentin Henry","K1H","121.21","-","881.71",""
"Eric Pouradier","K1H","122.83","745.24","905.93",""
"Paul Beteille","K1H","122.85","1687.55","906.23",""
"Christophe Come","K1H","124.34","-","928.51",""
"Joshua Ravet","K1H","124.78","818.15","935.09",""
"Mickael Dubois","K1H","125.46","811.91","945.25",""
"Thibault Pereira","K1H","126.67","1488.84","963.34",""
"Antoine Jacquet","K1H","127.28","-","972.47",""
"Marc-olivier Allaria","K1H","129.86","1052.26","1011.04",""
"Thibault Chausson","K1H","131.54","-","1036.16",""
"Anthony Dubois","K1H","143.43","963.7","1213.95",""
"Ilan Foulongani","K1H","146.37","-","1257.9",""
"Barnabe Sennelier","K1H","166.06","-","1552.32",""
"Gaetan Cornu","K1H","191.56","-","1933.6",""
"Julien Michelin","K1H","Abs","-","-",""
"Xavier Rat","K1H","Abs","-","-",""
"Romain Bertrand","K1H","Abs","-","-",""
"Jules Marchal","K1H","Abs","-","-",""
"Timothe Collet","K1H","Abs","-","-",""
"Lucas Augu","K1HM","82.65","284.06","305.15",""
"Jean Charles Hacquart","K1HM","85.71","295.64","350.9",""
"LoÏc Pottier","K1HM","90.68","380.43","425.21",""
"Matheo Dejonghe","K1HM","93.73","580.1","470.82",""
"Aurelien Merieux Danneaux","K1HM","96.3","-","509.24",""
"Theo Douady","K1HM","102.88","597.16","607.63",""
"Antonin Robert","K1HM","105.73","645.03","650.24",""
"Thomas Ukalovic","K1HM","107.59","724.48","678.06",""
"Matthew Vuillard","K1HM","108.08","751.41","685.38",""
"Tanguy Malingre","K1HM","110.52","743.85","721.87",""
"Noah Fresneda","K1HM","112.79","830.29","755.81",""
"Antoine Marion","K1HM","115.08","-","790.05",""
"Victor Lagleyze","K1HM","121.63","1377.14","887.99",""
"Gustave Wuhrlin","K1HM","121.88","-","891.72",""
"Yann Mercier","K1HM","125.31","-","943.01",""
"Romain Brouard","K1HM","125.46","-","945.25",""
"Theophile Vincent","K1HM","127.67","-","978.3",""
"Samuel Tahaafe","K1HM","Abs","-","-",""
