"Nationale 2 - Bassin du Daumail - 2013-04-07","Course 2","2013-04-07","Nationale 2","203"
"Amelie Perier","K1D","122.24","175.6","336.49",""
"Lou Renaud","K1D","122.47","152.15","338.6",""
"Chloe Gatuingt","K1D","123.86","187.19","351.29",""
"Marie-francoise Prigent","K1D","125.51","169.96","366.37",""
"Elodie Delavelle","K1D","127.5","182.66","384.55",""
"Lea Feuillard","K1D","127.74","209.5","386.73",""
"Sarah Desnos","K1D","133.91","159.44","443.09",""
"Jenny Chevalier","K1D","135.02","174.24","453.23",""
"Lucie Prioux","K1D","153.15","121.13","618.84",""
"Barbara Gibert","K1D","168.49","80.59","758.96",""
"Alize Bachelot","K1D","267.39","202.74","1662.37",""
"Cindy Coat","K1D","Nt","-","-",""
"Celia Jodar","K1D","Nt","-","-",""
"Gurgen Brun","K1H","85.38","93.45","101.18",""
"Valentin Brindeau","K1H","85.43","39.7","101.69",""
"Quentin De Fierville","K1H","85.91","61.04","106.66",""
"Nicolas Baudoin","K1H","86.46","70.5","112.33",""
"Benoit Chantry","K1H","86.78","55.75","115.64",""
"Louison Turmeau","K1H","86.91","44.79","116.97",""
"Christophe Marechal","K1H","86.99","34.46","117.81",""
"Alexandre Dherbilly","K1H","87.08","51.48","118.73",""
"Fabien Le Nechet","K1H","87.08","60.13","118.73",""
"Gael Prodeau","K1H","87.09","48.81","118.84",""
"Damien Launay","K1H","87.13","65.52","119.24",""
"Antoine Roux","K1H","87.28","79.51","120.8",""
"Pol Euzenes","K1H","87.46","82","122.65",""
"Virgile Pigache-donnet","K1H","87.63","65.45","124.41",""
"Davy Egraz","K1H","87.69","56.44","125.02",""
"James Duvernoy","K1H","87.72","80.99","125.33",""
"Christophe Augu","K1H","88.14","46.33","129.67",""
"Clement Travert","K1H","88.24","80.6","130.7",""
"Romain Guyomard","K1H","88.77","77.89","136.17",""
"Sami Rocher","K1H","89","67.21","138.55",""
"Alexis Pernelle","K1H","89","103.48","138.55",""
"Nikolas Stanik","K1H","89.01","80.29","138.65",""
"Etienne Carpentier","K1H","89.06","89.89","139.16",""
"Nicolas Caussanel","K1H","89.15","100.14","140.1",""
"Stephane Labouille","K1H","89.17","79.27","140.3",""
"Thibault Blaise","K1H","89.28","52.31","141.43",""
"Boris Sacre","K1H","89.33","56.52","141.96",""
"Anthony Mottais","K1H","89.46","54.49","143.29",""
"Silvere Desongins","K1H","89.78","83.57","146.6",""
"Aubry Bertin","K1H","89.82","81.81","147.01",""
"Benjamin Jacon","K1H","89.84","85.28","147.22",""
"Maxime Foucault","K1H","89.93","99.77","148.15",""
"Benjamin Thouvignon","K1H","89.97","88.37","148.56",""
"Emmanuel Sarazin","K1H","90.35","96.22","152.48",""
"Sylvain Dandel","K1H","90.38","64.65","152.79",""
"Nicolas Coudert","K1H","90.55","66.97","154.54",""
"Pol Oulhen","K1H","90.59","58.23","154.96",""
"Thibault Gibert","K1H","90.62","86.64","155.27",""
"Laurent Le Touze","K1H","90.66","90.34","155.68",""
"Herve Busson","K1H","90.92","66.26","158.37",""
"Tristan Bronsard","K1H","91.13","64.17","160.53",""
"Paul Messialle","K1H","91.82","112.4","167.65",""
"Olivier Cain","K1H","91.92","112.99","168.68",""
"Vincent Ablin","K1H","91.96","84.93","169.1",""
"Pascal Ferry","K1H","91.97","86.32","169.2",""
"Benoit Gaillard","K1H","92.02","110.86","169.72",""
"Francois Gillot","K1H","92.05","94.18","170.03",""
"Cedric Jegouzo","K1H","92.16","70.11","171.17",""
"Caryck Bouladjat","K1H","92.42","70.67","173.84",""
"Nicolas Honzatko","K1H","92.6","97.51","175.71",""
"Theo Quenouillere","K1H","93.06","83.59","180.46",""
"Alan Dollo","K1H","93.26","86.9","182.52",""
"Stann Savels","K1H","93.31","67.13","183.03",""
"Arnaud Gallois","K1H","93.35","90.58","183.45",""
"Remy Cassar","K1H","93.51","92.48","185.1",""
"Franck Delachair","K1H","93.67","126.78","186.76",""
"Kevin Lemenaheze","K1H","93.93","96.8","189.44",""
"Vincent Bocci","K1H","93.94","98.56","189.54",""
"Emeric Vibert","K1H","93.95","101.01","189.64",""
"Pierre Dampeyrou","K1H","94.06","124.31","190.78",""
"Felix Jeanningros","K1H","94.16","98.48","191.81",""
"Antonin Elne","K1H","94.52","111.51","195.53",""
"Matthieu Chauvel","K1H","94.61","110.69","196.45",""
"Leo Le Druillennec","K1H","94.61","107.23","196.45",""
"Aurelien Ballandras","K1H","94.71","107.07","197.49",""
"Lionel Tinevez","K1H","95.55","102.79","206.16",""
"Guillaume Blin","K1H","95.59","103.71","206.57",""
"Remi Thomas","K1H","95.73","93.47","208.02",""
"Denis Guilmard","K1H","95.77","113.2","208.42",""
"Bertrand Bercon","K1H","96.07","100.34","211.52",""
"Antoine Dubost","K1H","96.08","111.49","211.63",""
"Stephane Broute","K1H","96.12","103.39","212.04",""
"Luc Hellard","K1H","96.15","97.74","212.35",""
"Valentin Vibert","K1H","96.3","119.46","213.9",""
"Remi Parayre","K1H","96.6","122.6","217",""
"Lucas Ferraina","K1H","96.72","128.51","218.24",""
"Alexandre Lismonde","K1H","96.95","100.86","220.6",""
"Maxime Bottex","K1H","96.96","88.02","220.71",""
"Romain Bertrand","K1H","97.07","100.54","221.85",""
"Vincent Dubois","K1H","97.33","122.17","224.53",""
"Maxime Texier","K1H","97.69","95.03","228.25",""
"Dimitri Etienne","K1H","98.55","109.59","237.12",""
"Antoine Gaillard","K1H","98.74","111.53","239.08",""
"Maxime Le Morvan","K1H","98.83","118.91","240.01",""
"Liam Jegou","K1H","99.81","78.71","250.13",""
"Yoann Le Guyader","K1H","101.36","122.52","266.12",""
"Kilian Blot","K1H","138.78","66.98","652.38",""
"Loic Monbel","K1H","138.87","59.29","653.31",""
"Enzo Seker","K1H","139.27","70.16","657.44",""
"Nicolas Rouleaud","K1H","141.11","93.62","676.43",""
"Vincent Reiter","K1H","141.28","54.74","678.19",""
"Florient Tagnon","K1H","141.37","83.78","679.12",""
"Maxime Tilhet","K1H","145.62","98.97","722.98",""
"Jonas Le Morvan","K1H","145.82","94.55","725.04",""
"Bertrand Avril","K1H","147.18","101.14","739.09",""
"Hugues Parisse","K1H","153.56","113.93","804.94",""
"Hugo Maher","K1H","Nt","-","-",""
"Sebastien De Kerleau","K1H","Nt","-","-",""
"Jean Messialle","K1H","Nt","-","-",""
"Michel Gombert","K1H","Nt","-","-",""
"Arthur Bernot","K1H","Nt","-","-",""
"Quentin Raissac","K1H","Nt","-","-",""
"Antoine Lebastard","K1H","Nt","-","-",""
"Jean Baptiste Thiel","K1H","Nt","-","-",""
"Florian Campagnole","K1H","Nt","-","-",""
