"Sélectif Régional de Slalom - 55170  Ancerville - Finale - 2018-11-25","Finale","2018-11-25","Régional","157"
"Antonin Robert","K1H","100.16","264.15","410.77","Finale A"
"Victor Henry","K1H","100.4","427.46","414.1","Finale A"
"Bastien Moreaux","K1H","101.81","404.14","433.64","Finale A"
"Denis Parizia","K1H","116.45","275.62","636.56","Finale A"
"Tanguy Adisson","K1H","144.8","354.79","1029.49","Finale A"
"Theo Reby","K1HM","88.21","277.78","245.14","Finale A"
"Oskar Hillion","K1HM","95.88","407.7","351.45","Finale A"
"Arnaud Caillet","K1HM","101.88","489.99","434.61","Finale A"
"Adrien Gaillot","K1HM","106.49","551.6","498.51","Finale A"
"Mathieu Jacquelin","K1HM","109.47","881.96","539.81","Finale A"
"Salim Jemai","K1HM","111.54","423.94","568.5","Finale A"
"Antoine Dusard","K1HM","118.19","722.48","660.67","Finale A"
"Thibaut Boudier","K1HM","118.84","661.15","669.68","Finale A"
"Clement Couvent","K1HM","122.02","785.37","713.76","Finale A"
"Louis Descotes","K1HM","124.77","1832.61","751.87","Finale A"
"Gauthier Lepolard","K1HM","125.88","748.58","767.26","Finale A"
"Romain Moret","K1HM","127.85","772.32","794.56","Finale A"
"Max Cantenot","K1HM","130.01","1200.91","824.5","Finale A"
"Valentin Oudin","K1HM","170.53","699.26","1386.12","Finale A"
"Tanguy Adisson","C1H","101.68","317.4","369.73","Finale B"
"Tanguy Malingre","C1H","110.96","503.79","492.22","Finale B"
"Bastien Moreaux","C1H","112.58","448.12","513.61","Finale B"
"Angelino Castagnetti","C1H","113.45","487.72","525.1","Finale B"
"Lionel Borde","C1H","115.73","536.74","555.19","Finale B"
"Thibault Rouanet","C1H","118.39","540.3","590.3","Finale B"
"Antoine Paumier","C1H","122.23","663.36","641","Finale B"
"Jules Latimier","C1H","122.64","455.72","646.41","Finale B"
"Alexandre L'huillier","C1H","124.06","713.4","665.15","Finale B"
"Paul Gstalter","C1H","131.87","729.39","768.24","Finale B"
"Vivien Stemmelen","C1H","132.25","418.79","773.26","Finale B"
"Antoine Leroy","C1H","150.29","861.8","1011.39","Finale B"
"Pierre Biagui","C1H","Nt","-","-","Finale B"
"Salim Jemai","C1HM","127.97","686.04","716.76","Finale B"
"Maxime Paumier","C1HM","144.48","2240.46","934.7","Finale B"
"Thibaut Boudier","C1HM","152.96","1808.83","1046.64","Finale B"
"Zakaria Radouani","C1HM","160.93","1577.86","1151.85","Finale B"
"Guillaume Cazenave","C1HM","213.4","2844.07","1844.46","Finale B"
"Axel Guilleret-Amaurie Guilleret","C2M","128.36","452.83","510.12","Finale B"
"Carole Dolmaire-Alexandre L'huillier","C2M","142.33","748.49","671.47","Finale B"
"Anais Mouhoub-Victor Henry","C2M","145.6","660.13","709.24","Finale B"
"Pauline Clerc","K1D","113.21","408.14","416.13","Finale B"
"Angelique Beauvais","K1D","115.53","342.68","444.59","Finale B"
"Jade Robin","K1D","116.2","493.13","452.81","Finale B"
"Lucille Meunier-cheyssac","K1D","116.78","458.08","459.92","Finale B"
"Charlotte Doucet","K1D","121.59","568.75","518.92","Finale B"
"Fiona Gille","K1D","124.55","491.47","555.22","Finale B"
"Carole Dolmaire","K1D","133.47","600.93","664.63","Finale B"
"Margaux Cornet","K1D","144.99","773.4","805.94","Finale B"
"Louis Gasser","K1H","98.53","373.1","393.18","Finale B"
"Paul Cascarino","K1H","99","408.18","399.69","Finale B"
"Antoine Leroy","K1H","101.83","451.03","438.92","Finale B"
"Matthieu Walfard","K1H","102.04","390.96","441.83","Finale B"
"Smail Mouhoub","K1H","102.3","452.63","445.43","Finale B"
"Loic Bourgeois","K1H","103.89","462.22","467.47","Finale B"
"Lucas Matkovic","K1H","105.6","637.19","491.17","Finale B"
"Lucas Gamain","K1H","105.87","522.52","494.91","Finale B"
"Jules Ferber","K1H","106.73","586.13","506.83","Finale B"
"Paul Gstalter","K1H","107.01","571.88","510.71","Finale B"
"Alexandre L'huillier","K1H","107.16","512.75","512.79","Finale B"
"Thibault Rouanet","K1H","107.23","746.46","513.76","Finale B"
"Quentin Henri","K1H","107.31","374.17","514.87","Finale B"
"Jules Latimier","K1H","107.82","476.51","521.94","Finale B"
"Emrys Meddour","K1H","109.06","795.56","539.13","Finale B"
"Leo Bayard","K1H","110.74","655.12","562.41","Finale B"
"Leo Hauck","K1H","111.49","743.05","572.81","Finale B"
"Arnaud Cote","K1H","111.66","944.89","575.16","Finale B"
"Dylan Simon","K1H","115.92","696.62","634.21","Finale B"
"Andre Kempf","K1H","121","714.12","704.62","Finale B"
"Paul Beteille","K1H","122.02","1129.28","718.76","Finale B"
"Gerald Oudin","K1H","127.74","806.64","798.04","Finale B"
"Robin Giurlando","K1H","130.68","640.13","838.79","Finale B"
"Kevin Ferrando","K1H","139.25","1677.72","957.57","Finale B"
"Hugo Favrelle","K1H","143.11","1144.97","1011.07","Finale B"
"Loic Merat","K1H","166.49","653.49","1335.12","Finale B"
"Lois Pignon","K1H","Nt","-","-","Finale B"
"Louis Guggenbuhl","K1HM","124.65","641.92","755.21","Finale B"
"Kenzo Garnier","K1HM","125.86","2654.14","771.98","Finale B"
"Mael Thierus","K1HM","126.58","1307.19","781.96","Finale B"
"Leon Beyreuther","K1HM","126.72","1287.84","783.9","Finale B"
"Guillaume Cazenave","K1HM","130.77","749.49","840.03","Finale B"
"Alexandre Paumier","K1HM","134.68","946.12","894.23","Finale B"
"Lilian Bayer","K1HM","136.91","843.29","925.14","Finale B"
"Zakaria Radouani","K1HM","137.56","975.26","934.15","Finale B"
"Victor Appert","K1HM","139.82","816.25","965.47","Finale B"
"Maxime Paumier","K1HM","148.03","997.25","1079.26","Finale B"
"Gabriel Bellaton","K1HM","151.38","1041.23","1125.7","Finale B"
"Fabien Vacelet","K1HM","157.73","1142.45","1213.71","Finale B"
"Antoine Schroetter","K1HM","161.86","2578.39","1270.95","Finale B"
