"Championnat de France Slalom des Clubs - Cesson Sevigne - Course individuelle | Finale - 2018-10-06","Course individuelle | Finale","2018-10-06","Championnats de France","189"
"Tiphaine Drouin","C1D","141.86","-","-","Course individuelle | Finale B"
"Zoe Bruchon","C1D","151.43","-","-","Course individuelle | Finale B"
"Morgane Quemerais","C1D","165.57","-","-","Course individuelle | Finale B"
"Souhayla Khattabi","C1D","166.9","-","-","Course individuelle | Finale B"
"Lison Gautrelet","C1D","179.55","-","-","Course individuelle | Finale B"
"Pauline Soenen","C1D","179.66","-","-","Course individuelle | Finale B"
"Laurie Beaurepere","C1D","200.75","-","-","Course individuelle | Finale B"
"Florence Marchal","C1D","208.92","-","-","Course individuelle | Finale B"
"Veronique Vourch","C1D","216.4","-","-","Course individuelle | Finale B"
"Nelia Barbosa","C1D","222.31","-","-","Course individuelle | Finale B"
"Pauline Richard","C1D","249.48","-","-","Course individuelle | Finale B"
"Johana Caillaud","C1D","286.19","-","-","Course individuelle | Finale B"
"Stephanie Bender","C1D","Abd","-","-","Course individuelle | Finale B"
"Melina Letellier","C1D","Des","-","-","Course individuelle | Finale B"
"Margaux Fabijan","C1D","Abd","-","-","Course individuelle | Finale B"
"Gaspard Perrio","C1H","111.06","-","-","Course individuelle | Finale B"
"Henri Despont","C1H","112.26","-","-","Course individuelle | Finale B"
"Marc Biazizzo","C1H","112.37","-","-","Course individuelle | Finale B"
"Gwenole Noyalet","C1H","114.6","-","-","Course individuelle | Finale B"
"Aaron Penning","C1H","116.92","-","-","Course individuelle | Finale B"
"Simon Le Friec","C1H","117.42","-","-","Course individuelle | Finale B"
"Nicolas Bernardy","C1H","118.82","-","-","Course individuelle | Finale B"
"Melenn Aubry","C1H","119.19","-","-","Course individuelle | Finale B"
"Alan Mahe","C1H","120.27","-","-","Course individuelle | Finale B"
"Andreas Dupuy","C1H","122.5","-","-","Course individuelle | Finale B"
"Guillaume Doutreix","C1H","123.85","-","-","Course individuelle | Finale B"
"Fabien Bonvalet","C1H","124.28","-","-","Course individuelle | Finale B"
"Julien Paulais","C1H","126.57","-","-","Course individuelle | Finale B"
"Antoine Runet","C1H","127.73","-","-","Course individuelle | Finale B"
"Thibaud Lacour","C1H","127.86","-","-","Course individuelle | Finale B"
"Eric Beaumont","C1H","128.84","-","-","Course individuelle | Finale B"
"Youn Aubry","C1H","129.6","-","-","Course individuelle | Finale B"
"Benoit Letellier","C1H","130.45","-","-","Course individuelle | Finale B"
"Jeremy Bretteville","C1H","136.77","-","-","Course individuelle | Finale B"
"Theo Moalic","C1H","138.98","-","-","Course individuelle | Finale B"
"Christophe Bachelot","C1H","139.85","-","-","Course individuelle | Finale B"
"Quentin Mannier","C1H","143.47","-","-","Course individuelle | Finale B"
"Marceau Decarsin","C1H","159.52","-","-","Course individuelle | Finale B"
"Edgar Prigent-Guillaume Graille","C2H","121.97","-","-","Course individuelle | Finale B"
"Theo Siguret-Benoit Chantry","C2H","127.07","-","-","Course individuelle | Finale B"
"Johan Pucheou-Tomy Dandonneau","C2H","133.17","-","-","Course individuelle | Finale B"
"Valentino Le Guesclou-Elouan Le Fournis","C2H","136.02","-","-","Course individuelle | Finale B"
"Johann Loiseau-Medhi Deguil","C2H","137.05","-","-","Course individuelle | Finale B"
"Theo Moalic-Marceau Decarsin","C2H","146.45","-","-","Course individuelle | Finale B"
"Fabien Bonvalet-Eric Beaumont","C2H","150.38","-","-","Course individuelle | Finale B"
"Gurvan Huet-Gwenole Noyalet","C2H","150.96","-","-","Course individuelle | Finale B"
"Ewen Berrest-Yannis Houze","C2H","157.98","-","-","Course individuelle | Finale B"
"Quentin Mannier-Nicolas Candieu","C2H","158.9","-","-","Course individuelle | Finale B"
"Theo Douady-Thomas Ukalovic","C2H","173.47","-","-","Course individuelle | Finale B"
"Arthur Lagleyze-Victor Lagleyze","C2H","176.9","-","-","Course individuelle | Finale B"
"Enzo Claeys-Lucas Correia","C2H","178.04","-","-","Course individuelle | Finale B"
"Amaury Brucher-Jacques Nardeau","C2H","181.88","-","-","Course individuelle | Finale B"
"Simon Dubosc-Quentin Angot","C2H","188.36","-","-","Course individuelle | Finale B"
"Teddy Poulard-Dimitri Houlier","C2H","193.05","-","-","Course individuelle | Finale B"
"Jason Leroy-Jeremy Bretteville","C2H","218.02","-","-","Course individuelle | Finale B"
"Christophe Bachelot-Jacky Bachelot","C2H","227.69","-","-","Course individuelle | Finale B"
"Estephe Decarsin-Kevin Tanay","C2H","240.53","-","-","Course individuelle | Finale B"
"Esteban Olivier-Justin Collemiche","C2H","391.47","-","-","Course individuelle | Finale B"
"Henri Despont-Valentine Jussy","C2M","146.25","-","-","Course individuelle | Finale B"
"Marine Leveque-Timothee Cornu","C2M","146.41","-","-","Course individuelle | Finale B"
"Lucas Augu-Johana Caillaud","C2M","150.64","-","-","Course individuelle | Finale B"
"Lisa Mouffle-Tomy Dandonneau","C2M","151.54","-","-","Course individuelle | Finale B"
"Malo Legrand-Laurie Beaurepere","C2M","152.83","-","-","Course individuelle | Finale B"
"Hortense Alexis-Christophe Marechal","C2M","155.65","-","-","Course individuelle | Finale B"
"Andreas Dupuy-Souhayla Khattabi","C2M","166.03","-","-","Course individuelle | Finale B"
"Youn Aubry-Clara Grangeon","C2M","172.52","-","-","Course individuelle | Finale B"
"Alize Bachelot-Edouard Gracias","C2M","186","-","-","Course individuelle | Finale B"
"Leontine Dubuisson-Nicolas Candieu","C2M","191.52","-","-","Course individuelle | Finale B"
"Florence Marchal-Jacques Nardeau","C2M","197.87","-","-","Course individuelle | Finale B"
"Gurvan Huet-Veronique Vourch","C2M","198.06","-","-","Course individuelle | Finale B"
"Julien Caillarec-Clara Marcovich","C2M","207.3","-","-","Course individuelle | Finale B"
"Geoffroy Lauth-Alexia Evrard","C2M","212.22","-","-","Course individuelle | Finale B"
"Teddy Poulard-Sandra Poulard","C2M","284.87","-","-","Course individuelle | Finale B"
"Damien Jacques-Laetitia Pelcat","C2M","309.32","-","-","Course individuelle | Finale B"
"Marion Matura-Mathis Andrieu","C2M","326.78","-","-","Course individuelle | Finale B"
"Brice Derrien-Nagwa Lanchec El Desouki","C2M","Des","-","-","Course individuelle | Finale B"
"Esteban Olivier-Angele Sottolefevre","C2M","Des","-","-","Course individuelle | Finale B"
"Eloise Riviere-Kevin Tanay","C2M","Des","-","-","Course individuelle | Finale B"
"Estelle Hellard","K1D","117.06","-","-","Course individuelle | Finale B"
"Nagwa Lanchec El Desouki","K1D","119.66","-","-","Course individuelle | Finale B"
"Zoe Bruchon","K1D","122.68","-","-","Course individuelle | Finale B"
"Nelia Barbosa","K1D","124.22","-","-","Course individuelle | Finale B"
"Margaux Fabijan","K1D","126.21","-","-","Course individuelle | Finale B"
"Morgane Quemerais","K1D","127.12","-","-","Course individuelle | Finale B"
"Sylviane Quemerais","K1D","135.69","-","-","Course individuelle | Finale B"
"Pauline Richard","K1D","138.07","-","-","Course individuelle | Finale B"
"Chloe Gatuingt","K1D","139.68","-","-","Course individuelle | Finale B"
"Alize Bachelot","K1D","141.19","-","-","Course individuelle | Finale B"
"Tiphaine Drouin","K1D","142.34","-","-","Course individuelle | Finale B"
"Lison Gautrelet","K1D","146.24","-","-","Course individuelle | Finale B"
"Melina Letellier","K1D","150.5","-","-","Course individuelle | Finale B"
"Leontine Dubuisson","K1D","156.45","-","-","Course individuelle | Finale B"
"Pauline Soenen","K1D","160.97","-","-","Course individuelle | Finale B"
"Valentine Jussy","K1D","168.19","-","-","Course individuelle | Finale B"
"Alexia Evrard","K1D","192.49","-","-","Course individuelle | Finale B"
"Sandrine Arnal","K1D","198.53","-","-","Course individuelle | Finale B"
"Clara Marcovich","K1D","Abd","-","-","Course individuelle | Finale B"
"Matheo Lebaindre","K1H","97.91","-","-","Course individuelle | Finale B"
"Clement Travert","K1H","98.07","-","-","Course individuelle | Finale B"
"Thibaud Lacour","K1H","98.79","-","-","Course individuelle | Finale B"
"Aaron Penning","K1H","100.68","-","-","Course individuelle | Finale B"
"Lucas Correia","K1H","101.38","-","-","Course individuelle | Finale B"
"Malo Legrand","K1H","105.41","-","-","Course individuelle | Finale B"
"Valentino Le Guesclou","K1H","108.56","-","-","Course individuelle | Finale B"
"Simon Dubosc","K1H","108.74","-","-","Course individuelle | Finale B"
"Pierre Hellard","K1H","110.68","-","-","Course individuelle | Finale B"
"Brice Derrien","K1H","111.9","-","-","Course individuelle | Finale B"
"Nicolas Ducrocq","K1H","112.63","-","-","Course individuelle | Finale B"
"Benoit Letellier","K1H","112.86","-","-","Course individuelle | Finale B"
"Bertrand Avril","K1H","116.31","-","-","Course individuelle | Finale B"
"Estephe Decarsin","K1H","116.47","-","-","Course individuelle | Finale B"
"Gaspard Perrio","K1H","117.25","-","-","Course individuelle | Finale B"
"Quentin Angot","K1H","119.09","-","-","Course individuelle | Finale B"
"Fabien Beaudoin","K1H","119.58","-","-","Course individuelle | Finale B"
"Edouard Gracias","K1H","120.08","-","-","Course individuelle | Finale B"
"Michael Philibert","K1H","121.13","-","-","Course individuelle | Finale B"
"Thomas Martinet","K1H","121.37","-","-","Course individuelle | Finale B"
"Florian Sauvage","K1H","123.95","-","-","Course individuelle | Finale B"
"Edgar Prigent","K1H","142.96","-","-","Course individuelle | Finale B"
"Lucas Augu","K1H","160.3","-","-","Course individuelle | Finale B"
"Brieuc Reucheron","OUVM","140.41","-","-","Course individuelle | Finale B"
