"Championnat Interrégional Slalom Sud-Ouest (finale N3) - Bassin Adison Forgues - Qualification - Manche 1 - 2016-06-04","Qualification - Manche 1","2016-06-04","Nationale 3","236"
"Tino Forgues-Vincent Sophian","C2H","174.31","719.24","1064.71",""
"Celia Jodar-Cedric Forgit","C2M","123.86","376.33","363.43",""
"Clemence Zago-Olivier Cain","C2M","221.16","621.54","1392.66",""
"Elian Giondini-Clemence Lartigue","C2M","257.41","658.23","1776.1",""
"Doriane Delassus","K1D","114.82","275.51","343.04",""
"Elorri Erdois","K1D","115.52","328.93","350.9",""
"Clemence Lartigue","K1D","115.84","331.58","354.49",""
"Margot Beziat","K1D","119.35","374.7","393.92",""
"Oceane Baylacq","K1D","119.5","409.94","395.6",""
"Emma Lars","K1D","120.68","280.17","408.86",""
"Laurence Pessoni","K1D","122.66","393.29","431.11",""
"Agathe Gewiss","K1D","125.52","400.74","463.24",""
"Lea Baldoni","K1D","127.15","426.78","481.54",""
"Axelle Degremont","K1D","127.38","427.52","484.13",""
"Camille Santa Cruz","K1D","129.17","423.84","504.24",""
"Maeva Bachelot","K1D","129.34","423.23","506.14",""
"Emmanuelle Monguillet","K1D","130.5","460.04","519.18",""
"CÉcilia Bourgeois","K1D","131.6","376.36","531.53",""
"Carla Lacroix","K1D","134.11","376.84","559.72",""
"Carla Voineau","K1D","136.09","556.3","581.97",""
"Jocelyne Roupioz","K1D","136.54","509.91","587.02",""
"Emma Angladette","K1D","138.72","553.93","611.51",""
"Cleo Santini","K1D","145.97","557.99","692.95",""
"Lyse Brichet","K1D","147.54","834.15","710.58",""
"Manon Zago","K1D","148.16","556.24","717.55",""
"Annie Ughetto","K1D","148.42","559.94","720.47",""
"Oceane Dorval","K1D","149.04","490.72","727.44",""
"Lea Pages","K1D","151.59","519.93","756.08",""
"Marie Charbonneau","K1D","151.69","379.88","757.21",""
"Helene Courtel","K1D","152.52","636.11","766.52",""
"Jeanne Pecot","K1D","153.83","471.84","781.25",""
"Helene Merlet","K1D","163.63","546.8","891.33",""
"Lea Hubert","K1D","170.06","728.37","963.56",""
"Clea Tasserit","K1D","171.64","561.3","981.31",""
"Blandine Larbouillat","K1D","173.37","600.68","1000.74",""
"Alice Pradalie","K1D","185.6","734.17","1138.13",""
"Clemence Zago","K1D","226.93","622.37","1602.39",""
"Celine De La Morinerie","K1D","242.07","510.96","1772.46",""
"Emma Pardoux","K1D","243.3","520.81","1786.28",""
"Ismaella Khattou","K1D","274.25","772.28","2133.95",""
"Julie Paris","K1D","Abs","-","-",""
"Sebastien Mouyen Bie","K1H","97.51","323.52","290.98",""
"Guillaume Affortit","K1H","97.51","370.32","290.98",""
"Thibault Lefebvre","K1H","97.95","332.34","296.57",""
"Zeph Scamps","K1H","98.04","272.85","297.71",""
"Leo Vuitton","K1H","99.36","330.32","314.47",""
"Florentin Saumon","K1H","99.41","286.93","315.1",""
"Valentin Courtiade","K1H","100.1","287.68","323.86",""
"Jeanmichel Bibes","K1H","100.13","308.21","324.24",""
"Tom Bouchardon","K1H","100.33","325.08","326.78",""
"Guillaume Fletcher","K1H","100.94","316.79","334.52",""
"Jean Christophe Erdois","K1H","100.96","342.67","334.78",""
"Sebastien Martel","K1H","101.24","339.84","338.33",""
"Theau Le Loch","K1H","101.37","301.65","339.98",""
"Maxence Merpillat","K1H","101.46","282.45","341.12",""
"Vincent Menager","K1H","101.58","296.44","342.65",""
"Herve Clerc","K1H","101.99","336.9","347.85",""
"Dylan Sourbe","K1H","102.02","245.72","348.23",""
"Antoine Laye","K1H","102.69","310.01","356.74",""
"Maxime Garcia","K1H","102.7","303.06","356.86",""
"Matheo Gillaizeau","K1H","103.09","329.46","361.81",""
"Gaetan Coat","K1H","103.43","281.56","366.13",""
"Thomas Riviere","K1H","103.62","394.16","368.54",""
"Pierrealain Clerc","K1H","103.69","297.12","369.43",""
"Denis Delaleux","K1H","103.89","275.19","371.97",""
"Paul Luquet","K1H","104.01","362.35","373.49",""
"Alexis Dorey","K1H","104.18","284.46","375.65",""
"Dimitri Thauvin","K1H","104.38","315.77","378.19",""
"Louis Foissac","K1H","104.94","348.98","385.3",""
"Flavien San Augustin","K1H","105.18","227.8","388.34",""
"Sam Traquet","K1H","105.21","413.49","388.72",""
"Natan Brule","K1H","105.44","298.29","391.64",""
"Pierre Campagne","K1H","105.52","277.96","392.66",""
"Valentin Berland","K1H","105.6","330.95","393.68",""
"Kevin Sponem","K1H","105.64","317.44","394.18",""
"Jeremie Palazy","K1H","105.89","310.67","397.36",""
"Julien Delaleux","K1H","106.02","305.15","399.01",""
"Gregoire Pouille","K1H","106.03","284.53","399.13",""
"Nathan Pavot","K1H","106.04","407.45","399.26",""
"Nathan Hossin","K1H","106.52","232.02","405.35",""
"Clement Caillard","K1H","106.62","349.4","406.62",""
"Marc Cordier","K1H","106.76","341.9","408.4",""
"Yannick Besse","K1H","106.81","347.91","409.03",""
"Nicolas Saurat","K1H","107.06","349.49","412.21",""
"Adrien Mesmoudi","K1H","107.55","413.32","418.43",""
"Clement Ravoteur","K1H","107.69","376.96","420.2",""
"Patrick Clerc","K1H","108.06","357.05","424.9",""
"Thibault Alcaras","K1H","108.24","423.11","427.19",""
"Raoul Colin","K1H","108.5","347.79","430.49",""
"Manuel Legros","K1H","108.59","350.92","431.63",""
"Theo Ducasse","K1H","108.63","373.51","432.14",""
"Eric Vidou","K1H","108.8","417.12","434.29",""
"Elliot Perez","K1H","109.44","407.26","442.42",""
"Vincent Garcia","K1H","109.81","320.12","447.12",""
"Swann Collin","K1H","110.05","458.75","450.16",""
"NaËl Rajoub","K1H","110.16","406.55","451.56",""
"Romain Poirier","K1H","110.31","326.86","453.46",""
"Frederic Debons","K1H","110.35","426.63","453.97",""
"Ludovic Gaignon","K1H","110.35","446.33","453.97",""
"Marc Sarramea","K1H","110.4","465.62","454.6",""
"Arthur Cousty","K1H","110.46","373.68","455.37",""
"Fabien Paleau","K1H","110.46","389.95","455.37",""
"Guilhem Viguier","K1H","111.07","442.07","463.11",""
"Tino Forgues","K1H","111.28","413.11","465.77",""
"Yanis Clerc","K1H","111.4","465.81","467.3",""
"Sylvain Decombe","K1H","111.59","435.37","469.71",""
"Elian Giondini","K1H","111.72","498.12","471.36",""
"Paul Pradalie","K1H","111.9","296.94","473.64",""
"Arnaud Verrons","K1H","112.26","450.29","478.21",""
"Thibault Clerc","K1H","112.44","443.26","480.5",""
"Etienne Chauvin","K1H","112.63","331.38","482.91",""
"Thimon Didier","K1H","112.77","620.75","484.69",""
"Nour Ait Kaddour","K1H","112.9","406.73","486.34",""
"Stephane Perilhou","K1H","113.09","461.8","488.75",""
"Jean Bernard Lacave","K1H","113.36","403.13","492.18",""
"Mathias Pannetier","K1H","113.37","496.33","492.3",""
"Jack Nattrass","K1H","113.46","362.43","493.45",""
"Nicolas Neveu","K1H","114.15","442.64","502.21",""
"Samuel De Severac","K1H","114.21","468.92","502.97",""
"Bastien Daniel","K1H","114.33","371.45","504.49",""
"Aven Gilham","K1H","114.37","484.35","505",""
"Ulysse Giel","K1H","114.94","432.22","512.23",""
"Florian Giraud","K1H","115.1","395.16","514.26",""
"Martin Jouves","K1H","115.24","385.96","516.04",""
"Marceau Hugues","K1H","115.36","509","517.56",""
"Theo Dunie","K1H","115.71","488.9","522.01",""
"Kenae Brassier","K1H","115.78","444.21","522.9",""
"Baptiste Riviere","K1H","116.2","506.71","528.23",""
"Felix Sperandio","K1H","116.47","514.46","531.65",""
"Thibault Beneteau","K1H","116.5","483.77","532.03",""
"Thair Benzougar","K1H","117.21","440.86","541.05",""
"Gedeon Cothias-faure","K1H","117.66","723.46","546.76",""
"Jean Yves Courtiade","K1H","117.93","592.85","550.19",""
"Robin Genty","K1H","118.79","526.92","561.1",""
"Seraphin Margot","K1H","118.85","532.16","561.86",""
"Axel Delage","K1H","120.16","374.98","578.49",""
"Robin Mougel","K1H","120.18","479.6","578.75",""
"Julien Brice","K1H","120.25","541.16","579.64",""
"Michel Daupeux","K1H","121.45","564.74","594.87",""
"Thilbault Rucher","K1H","121.48","530.32","595.25",""
"Tom Zanfini","K1H","122.82","349.59","612.26",""
"Antonin Maystre","K1H","122.94","402.79","613.78",""
"Alois Bertrand","K1H","123.43","440.15","620",""
"Vincent Gardere","K1H","124.88","329.02","638.41",""
"Bruno Beneteau","K1H","125","546.54","639.93",""
"Timothee Megard","K1H","125.32","484.99","643.99",""
"Leam Auffret","K1H","125.49","514.55","646.15",""
"Tom Baillon","K1H","125.54","538.64","646.78",""
"Yanis Koubaiti","K1H","125.93","410.79","651.74",""
"Baptiste Lauroua","K1H","126.17","411.13","654.78",""
"Steeve Fillastre","K1H","126.27","537.02","656.05",""
"Alexandre Dubrous","K1H","126.62","591.2","660.49",""
"Cyril Launay","K1H","128.04","462.2","678.52",""
"Theophile Prunetfoch","K1H","129.39","621.48","695.65",""
"Maxime Pourret","K1H","129.56","563.32","697.81",""
"Tom Gonzales","K1H","130.99","653.93","715.96",""
"Damien Caillard","K1H","134.41","578.95","759.38",""
"Antonin Beyneix","K1H","135.97","551.98","779.18",""
"Jean Cougul","K1H","136.78","810.4","789.46",""
"Clement Sempe","K1H","141.79","800.24","853.05",""
"Pierre Adrien Plantion","K1H","142.22","501.41","858.51",""
"Anatole Fourcade","K1H","144.27","814.46","884.53",""
"Tom Babin","K1H","166.43","458.88","1165.82",""
"Maurice Pubert","K1H","170.29","1016.39","1214.82",""
"Felix Praderie","K1H","173.75","467.44","1258.74",""
"Benjamin Georges","K1H","174.35","414.08","1266.36",""
"Luca Gri","K1H","178.42","887.36","1318.02",""
"Thierry Le Bonniec","K1H","179.05","675.87","1326.02",""
"Franck Vanhoutteghem","K1H","183.27","892.99","1379.58",""
"Etienne Lewkowiez","K1H","185.09","598.81","1402.69",""
"Tomy Dandonneau","K1H","186.69","537.12","1423",""
"Adrien Ricaud","K1H","188.32","776.37","1443.69",""
"Eric Vuiet","K1H","189.5","732.18","1458.66",""
"Jeremy Rouchereau","K1H","190.45","400.8","1470.72",""
"GrÉgory Navail","K1H","199.03","573.97","1579.63",""
"Luc Monpouillan","K1H","226.19","810.46","1924.39",""
"Noah Dufenieux","K1H","249.5","629.13","2220.28",""
"Stewen Sourbe","K1H","295.3","669.12","2801.64",""
"Marc Lalande","K1H","Abd","-","-",""
"Renaud Clerc","K1H","Des","-","-",""
"Franck Le Coz","K1H","Abs","-","-",""
"Raphael Jean","K1H","Abs","-","-",""
"Gilles Tricard","K1H","Abs","-","-",""
"Loan Jioux","K1H","Abs","-","-",""
"Lucas Lavit","K1H","Abs","-","-",""
"Jonathan Bourdier","K1H","Abs","-","-",""
