"Sélectif Régional - Beaumontel - 2010-01-17","Course 1","2010-01-17","Régional","177"
"Sebastien Masseline-Donatien Lamoureux","C2H","169.82","-","824",""
"Jean Noel Degraeve-Samuel Bonvalet","C2H","181.21","-","949",""
"Quentin Anfrey-Victor Duhamel","C2H","243.99","987","1637",""
"Wilhelm Heimburger-Marc Laurent","C2H","Nt","-","-",""
"Antoine Martin-Sylvain Barrois","C2H","Nt","-","-",""
"Nicolas Guerin-Arman Karimi","C2H","Nt","-","-",""
"Oriane Rebours-Yoann Rebours","C2M","127.77","239","269",""
"Catherine Boulan-Xavier Jourdain","C2M","141.46","412","409",""
"Teddy Poulard-Alize Bachelot","C2M","142.54","389","419",""
"Lea Tobo-Bastien Damiens","C2M","146.54","789","461",""
"Melanie Dupres-Nicolas Dupres","C2M","152.30","-","519",""
"Evelyne Lambert-Yves Dulouard","C2M","169.71","-","698",""
"Geoffroy Lauth-Rachel Broin","C2M","210.63","613","1115",""
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","Nt","-","-",""
"Flora Bove","K1D","108.48","103","121",""
"Anne Sophie Le Bailly","K1D","109.70","79","133",""
"Oriane Rebours","K1D","112.49","47","163",""
"Pauline Soenen","K1D","115.32","160","194",""
"Chloe Gatuingt","K1D","120.45","291","249",""
"Alize Bachelot","K1D","125.55","280","303",""
"Camille Simon","K1D","132.00","1427","371",""
"Lea Tobo","K1D","135.01","368","403",""
"Melina Letellier","K1D","135.03","-","404",""
"Juliette Legendre","K1D","138.10","263","436",""
"Flora Huvelin","K1D","140.37","-","461",""
"Charlotte Hay","K1D","141.48","436","473",""
"Juliette Pitrey","K1D","149.21","514","556",""
"Dominique Badie-kallou","K1D","164.03","631","713",""
"Marion Leriche","K1D","165.09","-","724",""
"Jennifer Faure","K1D","169.37","496","770",""
"Emilie Raux","K1D","182.69","750","912",""
"Louise Legros","K1D","215.08","-","1257",""
"Catherine Boulan","K1D","242.40","1679","1549",""
"Margot Broute","K1D","299.90","741","2163",""
"Benoit Letellier","K1H","92.90","65","83",""
"Yoann Hautecloche","K1H","94.08","42","97",""
"Goulwen Chapelier","K1H","94.45","45","103",""
"Benjamin Thiboust","K1H","95.60","101","116",""
"Anthony Mottais","K1H","96.52","100","127",""
"Nicolas Rebours","K1H","96.73","71","129",""
"Xavier Jourdain","K1H","96.74","95","129",""
"Stephane Broute","K1H","99.49","161","163",""
"Didier Niel","K1H","100.62","158","176",""
"Bertrand Avril","K1H","101.00","188","181",""
"Florian Pean","K1H","101.02","218","181",""
"Mehdi Rouich","K1H","101.08","172","182",""
"Anthony Thuillier","K1H","101.43","141","186",""
"Bastien Damiens","K1H","101.60","126","188",""
"Bastien Belembert","K1H","102.37","162","197",""
"Mathieu Godin","K1H","103.64","174","212",""
"Jeansebastien Simonklein","K1H","103.68","212","213",""
"Simon Boulan","K1H","103.87","185","216",""
"Yoann Rebours","K1H","104.16","137","219",""
"Maxime Raux","K1H","106.88","232","252",""
"Jeremy Bretteville","K1H","107.76","262","262",""
"Nicolas Dupres","K1H","107.87","218","264",""
"Axel Marais","K1H","107.98","147","266",""
"Christophe Gosselin","K1H","108.14","244","267",""
"Mickael Louchard","K1H","108.28","187","269",""
"Quentin Mannier","K1H","108.34","-","270",""
"Jeremy Harel","K1H","108.46","276","271",""
"Clement Robet","K1H","108.90","272","276",""
"Francois Bonnet","K1H","108.90","256","276",""
"Jean-luc Mottais","K1H","110.27","273","292",""
"Yoann Deschemaeker","K1H","110.50","322","296",""
"Jess Masson","K1H","111.06","295","302",""
"Teddy Poulard","K1H","111.39","234","306",""
"Damien Jacques","K1H","112.34","273","318",""
"Sebastien Delaunay","K1H","114.73","303","347",""
"Philippe Valeri","K1H","115.25","286","353",""
"Martin Mottais","K1H","115.34","335","354",""
"Matthieu Rousseau","K1H","115.43","327","355",""
"Maxime Huvelin","K1H","115.80","404","359",""
"Lancelot Meillier","K1H","116.21","310","365",""
"Pierrick Tanguy","K1H","116.50","464","368",""
"Louis Bouclier","K1H","117.49","528","380",""
"Adrien Goetink","K1H","117.65","357","382",""
"Raphael Vignaux","K1H","118.55","-","393",""
"Florian Vandenhende","K1H","119.43","-","403",""
"Loic Ozeray","K1H","119.64","390","405",""
"Sylvain Barrois","K1H","119.94","387","410",""
"Julien Audren","K1H","120.64","528","418",""
"Benjamin Soroka","K1H","121.16","474","423",""
"Xavier Montenoise","K1H","121.74","408","431",""
"Landry Piquet","K1H","122.03","-","434",""
"Denis Martin","K1H","122.55","482","441",""
"Antoine Martin","K1H","122.80","452","444",""
"Quentin Anfrey","K1H","124.54","660","465",""
"Remi Lengagne","K1H","124.85","500","468",""
"Wilhelm Heimburger","K1H","126.57","507","490",""
"Edouard Gracias","K1H","126.57","383","490",""
"Julien Grandin","K1H","126.97","465","494",""
"Julien Palier","K1H","128.05","-","507",""
"Samuel Bonvalet","K1H","128.84","453","516",""
"Pierre Lecorre","K1H","129.08","463","519",""
"Victor Duhamel","K1H","129.45","433","524",""
"Olivier Cornu","K1H","129.93","442","530",""
"Quentin Charles","K1H","130.00","620","530",""
"Sebastien Masseline","K1H","133.84","493","577",""
"Jonathan Rapp","K1H","137.48","-","621",""
"Marc Laurent","K1H","139.21","1497","642",""
"Pierre-marie Droit","K1H","142.24","-","678",""
"Florian El Assali","K1H","145.46","-","717",""
"Leo Letort","K1H","150.02","-","772",""
"Nicolas Guerin","K1H","154.26","779","823",""
"Donatien Lamoureux","K1H","158.16","-","870",""
"Jordan Chretien","K1H","163.84","-","938",""
"Jacky Bachelot","K1H","174.81","719","1071",""
"Francois Palant","K1H","179.78","753","1130",""
"Arman Karimi","K1H","186.44","851","1210",""
"Jean Noel Degraeve","K1H","197.11","-","1339",""
"Raphael Lemonnier","K1H","200.49","1758","1380",""
"Johann Sacleux","K1H","234.46","557","1789",""
"Nicolas Verger","K1H","272.37","1132","2247",""
"Alexis Bouteloup","K1H","284.27","-","2390",""
"Arnaud Robert","K1H","322.02","-","2845",""
"Guillaume Morin","K1H","326.46","-","2898",""
"Kevin Tetrel","K1H","398.18","-","3763",""
"Fabrice Amar","K1H","Nt","-","-",""
"Lambert Huet","K1H","Nt","-","-",""
"Jose Santos","K1H","Nt","-","-",""
"Yves Lecointe","K1H","Nt","-","-",""
