"Championnat National 2 - Chateauneuf sur Cher - Demi - 2014-06-07","Demi","2014-06-07","Nationale 2","279"
"Matthieu Chauvel","K1H","109.69","173.59","202.56","Demi A"
"Quentin Chauvin","K1H","110.82","225.37","213.73","Demi A"
"Florian Campagnole","K1H","110.89","141.33","214.43","Demi A"
"Arthur Favennec","K1H","110.93","215.27","214.82","Demi A"
"Luc Hellard","K1H","111.08","174.01","216.31","Demi A"
"Nicolas Caussanel","K1H","111.59","158.83","221.35","Demi A"
"Loic Monbel","K1H","111.64","132.75","221.85","Demi A"
"Edgar Prigent","K1H","111.67","140.1","222.14","Demi A"
"Remy Cassar","K1H","114.17","175.85","246.87","Demi A"
"Titouan Dupras","K1H","114.29","139.18","248.06","Demi A"
"Maxime Foucault","K1H","116.87","157.63","273.58","Demi A"
"Olivier Cain","K1H","117","170.64","274.87","Demi A"
"Gregoire Guerin","K1H","155.21","188.42","652.84","Demi A"
"Remi Vinet","K1H","156.32","179.5","663.82","Demi A"
"Nowan Bertin","K1H","156.88","126.89","669.36","Demi A"
"Laurent Starck","K1H","157.45","141.22","675","Demi A"
"Herve Busson","K1H","Nt","-","-","Demi A"
"Hind Jamili","C1D","224.09","397.33","969.75","Demi B"
"Romane Prigent","C1D","252.14","414.91","1200.97","Demi B"
"Fanchon Janssen","C1D","306.48","356.38","1648.91","Demi B"
"Manon Caveribere","C1D","318.18","267.54","1745.36","Demi B"
"Lea Grison","C1D","348.34","459.6","1993.97","Demi B"
"Eva Dauvergne","C1D","Nt","-","-","Demi B"
"Joris Santoro","C1H","118.16","183.48","235.68","Demi B"
"Charles Dampeyrou","C1H","122.01","156.4","271.95","Demi B"
"Philippe Thevenin","C1H","123.93","194.47","290.04","Demi B"
"Nathan Hossin","C1H","124.41","157.3","294.57","Demi B"
"Xavier Jourdain","C1H","127.46","233.62","323.29","Demi B"
"Mathieu Dutendas","C1H","129.72","218.95","344.59","Demi B"
"Ronan Gouzien","C1H","129.75","260.03","344.87","Demi B"
"Joe-marie Abousleiman","C1H","129.97","260.36","346.94","Demi B"
"Martin Rohaut","C1H","131.13","256.26","357.87","Demi B"
"Melenn Aubry","C1H","131.58","179.66","362.11","Demi B"
"Nicolas Coudert","C1H","131.96","288.57","365.69","Demi B"
"Quentin Desouche","C1H","132","239.82","366.06","Demi B"
"Martin Daviet","C1H","133.55","254.13","380.67","Demi B"
"Nathan Rene Corail","C1H","133.72","198.46","382.27","Demi B"
"Xavier Sucker","C1H","136.12","181.68","404.88","Demi B"
"Romain Lecrenais-perrel","C1H","137.11","-","414.21","Demi B"
"Nathan Robert","C1H","141.95","306.48","459.8","Demi B"
"Jerome Lacire","C1H","142.84","254.41","468.19","Demi B"
"Guillaume Doutreix","C1H","152.23","240.44","556.65","Demi B"
"Theo Lefetey","C1H","176.37","273.07","784.07","Demi B"
"Tom Barthelemy","C1H","180.47","305.41","822.7","Demi B"
"Armand Rakowski","C1H","249.76","166.11","1475.48","Demi B"
"Romain Bertrand","C1H","272.67","255.95","1691.31","Demi B"
"Remi Parayre","C1H","375.76","280.4","2662.51","Demi B"
"Pierre Marie Roussel","C1H","Nt","-","-","Demi B"
"Natacha Giraud-Eva Dauvergne","C2D","363.41","574.57","1887.76","Demi B"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","138.29","221.06","366.1","Demi B"
"Armand Rakowski-Emmanuel Sarazin","C2H","140.46","-","385.62","Demi B"
"Dimitri Etienne-Francois Gillot","C2H","140.84","195.88","389.03","Demi B"
"Claude Menissier-Gerard Menissier","C2H","146.55","318.96","440.38","Demi B"
"Herve Clerc-Pierrealain Clerc","C2H","147.01","282.65","444.52","Demi B"
"Lorin Dumont-Nicolas Le Belleguic","C2H","195.42","337.76","879.86","Demi B"
"Julien Fougeron-Edouard Gracias","C2H","218.16","359.84","1084.35","Demi B"
"Axel Kournwsky-Adrien Maire","C2H","288.97","250.76","1721.12","Demi B"
"Philippe Thevenin-Patrick Thevenin","C2H","Nt","-","-","Demi B"
"Julien Fougeron-Lea Feuillard","C2M","171.84","385.93","539.04","Demi B"
"Catherine Boulan-Xavier Jourdain","C2M","Nt","-","-","Demi B"
"Anthony Thuillier-Camille Andrieux","C2M","Nt","-","-","Demi B"
"Flora Bove","K1D","120.19","118.52","174.65","Demi B"
"Azenor Philip","K1D","121.6","253","186.99","Demi B"
"Camille Fontaine","K1D","130.91","203.31","268.49","Demi B"
"Zoe Huet","K1D","131.51","268.98","273.74","Demi B"
"Suzon Broute","K1D","131.81","136.78","276.36","Demi B"
"Raphaelle Hovine","K1D","133.39","220.24","290.19","Demi B"
"Tiphaine Drouin","K1D","136.33","356.19","315.93","Demi B"
"Emilie Chamouleau","K1D","139.08","233.18","340.01","Demi B"
"Emilie Lhomme","K1D","142.29","229.61","368.1","Demi B"
"Manon Caveribere","K1D","142.4","177.04","369.07","Demi B"
"Manon Durand","K1D","142.53","248.01","370.21","Demi B"
"Sarah Lyphout","K1D","145.21","214.25","393.66","Demi B"
"Zelie Wendling","K1D","145.53","258.15","396.47","Demi B"
"Alicia Gallot","K1D","146.93","261.66","408.73","Demi B"
"Armelle Canali","K1D","147.19","262.94","411","Demi B"
"Hind Jamili","K1D","148.07","291.89","418.7","Demi B"
"Elsa Cailhol","K1D","150.43","316.92","439.36","Demi B"
"Noa Bouchardon","K1D","154.43","266.63","474.38","Demi B"
"Caroline Scherer","K1D","154.99","336.26","479.28","Demi B"
"Jenny Chevalier","K1D","162.78","293.94","547.47","Demi B"
"Lea Feuillard","K1D","164.18","302.13","559.73","Demi B"
"Lucie Cecile","K1D","168.79","318.59","600.09","Demi B"
"Adele Charlaigre","K1D","196.56","333.69","843.18","Demi B"
"Laura Nicolas","K1D","196.92","277.11","846.33","Demi B"
"Rozenn Le Page","K1D","197.75","284.07","853.6","Demi B"
"Laurence Pessoni","K1D","204.27","346.91","910.68","Demi B"
"Emma Lars","K1D","205.55","295.81","921.88","Demi B"
"Clothilde Le Louarn","K1D","205.98","244.57","925.64","Demi B"
"Violaine Vennin","K1D","215.52","235.16","1009.16","Demi B"
"Chloe Gatuingt","K1D","243.89","324.91","1257.51","Demi B"
"Sarah Desnos","K1D","306.88","283.88","1808.91","Demi B"
"Cindy Coat","K1D","Nt","-","-","Demi B"
"Camille Andrieux","K1D","Nt","-","-","Demi B"
"Damien Launay","K1H","100.08","105.03","112.49","Demi B"
"Thibault Dufour","K1H","107.22","196.08","183.12","Demi B"
"Anthony Thuillier","K1H","107.38","118.83","184.71","Demi B"
"Theo Quenouillere","K1H","107.85","131.14","189.35","Demi B"
"Antoine Gaillard","K1H","108.67","149.42","197.47","Demi B"
"Vincent Dubois","K1H","109.17","179.15","202.41","Demi B"
"Felix Jeanningros","K1H","109.19","152.37","202.61","Demi B"
"Silvere Desongins","K1H","109.45","113.34","205.18","Demi B"
"Adrien Maire","K1H","109.5","151.17","205.68","Demi B"
"Michael Guyon","K1H","109.54","230.11","206.07","Demi B"
"Florient Tagnon","K1H","109.9","129.54","209.63","Demi B"
"Bastien Meslet","K1H","110.01","212.13","210.72","Demi B"
"Boris Pernelle","K1H","110.04","134.91","211.02","Demi B"
"Dimitri Etienne","K1H","110.45","165.34","215.07","Demi B"
"Aurelien Ballandras","K1H","110.67","212.91","217.25","Demi B"
"Malo Le Paih","K1H","111.23","189.73","222.79","Demi B"
"Francois Gillot","K1H","111.38","172.23","224.27","Demi B"
"Morgan Le Friec","K1H","111.42","189.95","224.67","Demi B"
"Manuel Savels","K1H","112.36","163.27","233.97","Demi B"
"Maxence Grandadam","K1H","112.43","199.05","234.66","Demi B"
"Benjamin Thouvignon","K1H","112.81","154.49","238.42","Demi B"
"Leo Fournier","K1H","113.08","175.09","241.09","Demi B"
"Alexandre Lucas","K1H","113.51","209.09","245.34","Demi B"
"Emmanuel Sarazin","K1H","113.71","142.83","247.32","Demi B"
"Guillaume Doutreix","K1H","114.13","211.98","251.48","Demi B"
"Tom Barthelemy","K1H","114.18","234.53","251.97","Demi B"
"Jules Guilbaud","K1H","114.43","160.78","254.44","Demi B"
"Christophe Dalla-zuana","K1H","114.57","241.58","255.83","Demi B"
"Axel Kournwsky","K1H","114.78","215.52","257.91","Demi B"
"Valentin Vibert","K1H","115.24","155.22","262.46","Demi B"
"Nicolas Mangeolle","K1H","115.41","202.37","264.14","Demi B"
"Mikael Maupin","K1H","115.96","195.56","269.58","Demi B"
"Adrien Suardana","K1H","116.03","238.45","270.27","Demi B"
"Pierre Audouin","K1H","117.29","161.44","282.73","Demi B"
"Vincent Garcia","K1H","117.67","226.52","286.49","Demi B"
"Pierre Dampeyrou","K1H","117.76","194.39","287.38","Demi B"
"Loic Bertoia","K1H","118","239.63","289.76","Demi B"
"Arnaud Gallois","K1H","118.06","159.19","290.35","Demi B"
"Pascal Ferry","K1H","118.25","152.32","292.23","Demi B"
"Alexandre Perrin Mortier","K1H","119.23","251.8","301.93","Demi B"
"Gaetan Drouin","K1H","119.52","163.37","304.79","Demi B"
"Remi Parayre","K1H","120.17","240.49","311.22","Demi B"
"Bertrand Avril","K1H","120.69","219.81","316.37","Demi B"
"Denis Guilmard","K1H","120.94","232.21","318.84","Demi B"
"Franck Delachair","K1H","121.58","192.29","325.17","Demi B"
"Philippe Daumont","K1H","122.88","206.9","338.03","Demi B"
"Fabien Lanao","K1H","126.26","130.59","371.47","Demi B"
"Jacques Precigout","K1H","129.11","222.21","399.66","Demi B"
"Romain Bertrand","K1H","132.15","170.03","429.73","Demi B"
"Alexandre Pouille","K1H","136.38","188.83","471.57","Demi B"
"Etienne Carpentier","K1H","158.98","171.02","695.13","Demi B"
"Alexandre Lismonde","K1H","160.87","230.77","713.83","Demi B"
"Paul Gestin","K1H","162.75","217.88","732.42","Demi B"
"Matthieu Basset","K1H","162.82","194.53","733.12","Demi B"
"Mathieu Cheze","K1H","164.55","248.99","750.23","Demi B"
"Julien Fougeron","K1H","164.98","225.39","754.48","Demi B"
"Nizar Samlal","K1H","214.97","194.18","1248.98","Demi B"
"Tristan Lejot","K1H","305.11","188.44","2140.64","Demi B"
"Vincent Froger","K1H","502.74","175.54","4095.59","Demi B"
"Remi Quentin","K1H","Nt","-","-","Demi B"
