"Sélectif Régional Slalom (Double) - 09000 Foix - Course n°2 | Finale - 2018-11-04","Course n°2 | Finale","2018-11-04","Régional","165"
"Benjamin Reig-Cyril Boulet","C2H","120.43","292.72","359.98","Course n°2 | Finale A"
"Baptiste Tappero-Dimitri Durannot","C2H","121.64","378.61","373.58","Course n°2 | Finale A"
"Mathys Michel-Nathan Pasiak","C2HM","218.71","1607.87","1464.93","Course n°2 | Finale A"
"Benjamin Jacon-Lucie Prioux","C2M","119.69","372.84","239.52","Course n°2 | Finale A"
"Angele Hug","K1D","102.47","96.25","127.47","Course n°2 | Finale A"
"Emma Vuitton","K1D","104.26","105.2","147.06","Course n°2 | Finale A"
"Viviana Daille","K1D","105.41","143.92","159.64","Course n°2 | Finale A"
"Joey Bercon","K1D","105.67","160.57","162.49","Course n°2 | Finale A"
"Clemence Lartigue","K1D","106.21","198.17","168.4","Course n°2 | Finale A"
"Solene Graille","K1D","109.08","94.83","199.81","Course n°2 | Finale A"
"Charline Berger Martin","K1D","115.94","166.21","274.89","Course n°2 | Finale A"
"Lise Denat","K1D","127.15","344.11","397.57","Course n°2 | Finale A"
"Lucie Prioux","K1D","Abs","-","-","Course n°2 | Finale A"
"Nahia Oteiza","K1DM","175.95","323.4","931.66","Course n°2 | Finale A"
"Thomas Durand","K1H","87.85","47.14","92.45","Course n°2 | Finale A"
"Antoine Launay","K1H","88.72","90.69","103.21","Course n°2 | Finale A"
"Theo Desvignes","K1H","91.52","83.49","137.84","Course n°2 | Finale A"
"Leo Vuitton","K1H","91.76","143.98","140.81","Course n°2 | Finale A"
"Paul Cornut-chauvinc","K1H","92.51","90.82","150.08","Course n°2 | Finale A"
"Raphael Lassechere","K1H","92.64","121.54","151.69","Course n°2 | Finale A"
"Benjamin Jacon","K1H","92.82","66.75","153.92","Course n°2 | Finale A"
"Tom Bouchardon","K1H","92.84","149.54","154.16","Course n°2 | Finale A"
"Nicolas Baudoin","K1H","93.3","72.69","159.85","Course n°2 | Finale A"
"Thomas Rosset","K1H","95.09","76.41","181.99","Course n°2 | Finale A"
"Romain Chabrol","K1H","95.35","247.3","185.2","Course n°2 | Finale A"
"Jeremie Palazy","K1H","95.57","148.44","187.93","Course n°2 | Finale A"
"Hugo Cailhol","K1H","95.72","60.18","189.78","Course n°2 | Finale A"
"Gurgen Brun","K1H","96.96","80.72","205.12","Course n°2 | Finale A"
"Alexis Dorey","K1H","97.25","289.45","208.7","Course n°2 | Finale A"
"Damien Laborde","K1H","97.45","208.05","211.18","Course n°2 | Finale A"
"Marc Sarramea","K1H","97.89","225.47","216.62","Course n°2 | Finale A"
"Lucas Augu","K1H","98.07","189.15","218.84","Course n°2 | Finale A"
"Elliot Perez","K1H","98.32","223.01","221.94","Course n°2 | Finale A"
"Virgile Pigache-donnet","K1H","98.83","227.63","228.24","Course n°2 | Finale A"
"Luc Doye","K1H","99.73","215.9","239.37","Course n°2 | Finale A"
"Luc Sarramea","K1H","100.73","187.76","251.74","Course n°2 | Finale A"
"Nour Ait Kaddour","K1H","100.96","263","254.58","Course n°2 | Finale A"
"Esteban Illido","K1H","101.54","276.05","261.76","Course n°2 | Finale A"
"Felix Praderie","K1H","101.88","249.15","265.96","Course n°2 | Finale A"
"Edouard Chenal","K1H","101.92","242.05","266.46","Course n°2 | Finale A"
"Arthur Cousty","K1H","102.4","352.33","272.39","Course n°2 | Finale A"
"Antoine Laye","K1H","102.78","255.24","277.09","Course n°2 | Finale A"
"Gawaine Chikh","K1H","102.99","210.5","279.69","Course n°2 | Finale A"
"Fantin Delage-garez","K1H","104.4","317","297.13","Course n°2 | Finale A"
"Bertrand Bercon","K1H","104.51","312.69","298.49","Course n°2 | Finale A"
"Cyprien Cail","K1H","105.05","251.64","305.17","Course n°2 | Finale A"
"Jules Bernardet","K1H","106.95","244.2","328.66","Course n°2 | Finale A"
"Gregoire Pouille","K1H","108.95","346.82","353.4","Course n°2 | Finale A"
"Yannis Dast","K1H","109.38","330.95","358.72","Course n°2 | Finale A"
"Dimitri Durannot","K1H","110.16","286.18","368.36","Course n°2 | Finale A"
"Guilhem Viguier","K1H","111.45","294.48","384.32","Course n°2 | Finale A"
"Karl Bouthegourd","K1H","113.12","298.92","404.97","Course n°2 | Finale A"
"Valentin Berland","K1H","119.68","297.95","486.1","Course n°2 | Finale A"
"Fabien Paleau","K1H","130.52","304.49","620.16","Course n°2 | Finale A"
"Pierre Giudicelli","K1H","142.07","71.74","763","Course n°2 | Finale A"
"Zeph Scamps","K1H","144.43","166.01","792.19","Course n°2 | Finale A"
"Olivier Cail","K1H","151.19","172.48","875.79","Course n°2 | Finale A"
"Hippolyte Cail","K1H","157.06","134.18","948.38","Course n°2 | Finale A"
"Theo Ducasse","K1H","215.17","265.21","1667.04","Course n°2 | Finale A"
"Antton Erdois","K1HM","110.08","414.7","367.37","Course n°2 | Finale A"
"Timeo Canonico","K1HM","113.34","442.56","407.69","Course n°2 | Finale A"
"Edgar Paleaubrasseur","K1HM","114.66","311.76","424.02","Course n°2 | Finale A"
"Matteo Roubaud","K1HM","117.32","501.97","456.91","Course n°2 | Finale A"
"Florian Malaval","K1HM","118.37","461.46","469.9","Course n°2 | Finale A"
"Clement Claret","K1HM","121.37","496.69","507","Course n°2 | Finale A"
"Antoine Raby","K1HM","174.17","533.96","1159.99","Course n°2 | Finale A"
"Charline Berger Martin","C1D","122.87","257.73","277.29","Course n°2 | Finale B"
"Margot Beziat","C1D","132.15","377.5","372.93","Course n°2 | Finale B"
"Elorri Erdois","C1D","185.82","432.95","926.05","Course n°2 | Finale B"
"Thomas Rosset","C1H","102.38","167.98","216.85","Course n°2 | Finale B"
"Theau Le Loch","C1H","111.87","358.38","328.63","Course n°2 | Finale B"
"Terence Saramandif","C1H","114.84","320.66","363.61","Course n°2 | Finale B"
"Hugo Crespo","C1H","115.44","419.93","370.68","Course n°2 | Finale B"
"Robin Andre","C1H","116.28","430.85","380.57","Course n°2 | Finale B"
"Benoit Pacteau","C1H","117.82","365.04","398.72","Course n°2 | Finale B"
"Hugues Lesimple","C1H","120.12","446.96","425.8","Course n°2 | Finale B"
"Arthur Cousty","C1H","125.18","456.04","485.4","Course n°2 | Finale B"
"Karl Bouthegourd","C1H","125.38","384.48","487.76","Course n°2 | Finale B"
"Gaspard Trichard","C1H","126.41","577.55","499.88","Course n°2 | Finale B"
"Baptiste Saul","C1H","133.55","480.73","583.98","Course n°2 | Finale B"
"Pierre Fillinger","C1H","136.08","578.43","613.78","Course n°2 | Finale B"
"Valentin Jossemit","C1H","136.77","721.8","621.91","Course n°2 | Finale B"
"Clement Serres","C1H","139.31","877.56","651.82","Course n°2 | Finale B"
"Loic Leymonerie","C1H","139.78","1012.84","657.36","Course n°2 | Finale B"
"Elorri Erdois","K1D","115.86","324.85","279.01","Course n°2 | Finale B"
"Florianne Gautier","K1D","117.48","302.78","296.75","Course n°2 | Finale B"
"Margot Beziat","K1D","121.85","476.51","344.57","Course n°2 | Finale B"
"Marine Izac","K1D","122.94","348.67","356.49","Course n°2 | Finale B"
"Maeva Bachelot","K1D","124.2","367.84","370.3","Course n°2 | Finale B"
"Amelie Leclercq","K1D","125.25","422.07","381.79","Course n°2 | Finale B"
"Alice Bureau","K1D","134.61","532.23","484.22","Course n°2 | Finale B"
"Pauline Rouilhet","K1D","135.66","604.73","495.71","Course n°2 | Finale B"
"Tom Deconchy","K1H","93.44","137.6","166.58","Course n°2 | Finale B"
"Thomas Ukalovic","K1H","99.3","251.63","239.06","Course n°2 | Finale B"
"Theo Douady","K1H","103.52","322.15","291.24","Course n°2 | Finale B"
"Antoine Saul","K1H","104.25","229.54","300.27","Course n°2 | Finale B"
"Nicolas Saurat","K1H","104.36","305.47","301.63","Course n°2 | Finale B"
"Clement Caillard","K1H","104.73","342.01","306.21","Course n°2 | Finale B"
"Pablo Chaminade","K1H","104.8","302.62","307.07","Course n°2 | Finale B"
"Theau Le Loch","K1H","106.64","301.36","329.83","Course n°2 | Finale B"
"Alexandre Medge","K1H","108.87","458.34","357.41","Course n°2 | Finale B"
"Hugo Crespo","K1H","108.97","292.53","358.65","Course n°2 | Finale B"
"Victor Lagleyze","K1H","110.32","345.55","375.34","Course n°2 | Finale B"
"Robin Andre","K1H","110.71","341.43","380.16","Course n°2 | Finale B"
"Titouan Conseil","K1H","111.52","400.98","390.18","Course n°2 | Finale B"
"Tonin Desmet","K1H","112.03","468.64","396.49","Course n°2 | Finale B"
"Romain Brouard","K1H","112.54","485.45","402.8","Course n°2 | Finale B"
"Etienne Saint Picq","K1H","112.89","313.15","407.13","Course n°2 | Finale B"
"Lohan Wyon","K1H","114.28","500.93","424.32","Course n°2 | Finale B"
"Gabriel Saul","K1H","117.09","429.61","459.07","Course n°2 | Finale B"
"Pierre Escuret","K1H","117.15","503.13","459.81","Course n°2 | Finale B"
"Tom Charles","K1H","117.99","452.41","470.2","Course n°2 | Finale B"
"Benoit Sergent","K1H","118.72","484.23","479.23","Course n°2 | Finale B"
"Pierrick Bresson","K1H","119.15","481.6","484.54","Course n°2 | Finale B"
"Erwan Quellec","K1H","119.51","371.86","489","Course n°2 | Finale B"
"Valentin Affortit","K1H","119.56","477.37","489.61","Course n°2 | Finale B"
"Simon Tourtois","K1H","120.26","498.67","498.27","Course n°2 | Finale B"
"Marin Saint Macary","K1H","120.28","442.13","498.52","Course n°2 | Finale B"
"Baptiste San Nicolas","K1H","120.45","458.36","500.62","Course n°2 | Finale B"
"Remi Dolcin Tillant","K1H","120.61","471.74","502.6","Course n°2 | Finale B"
"Loic Leymonerie","K1H","120.96","504.43","506.93","Course n°2 | Finale B"
"Nicolas Neveu","K1H","121.9","603.19","518.55","Course n°2 | Finale B"
"Vincent Falchi","K1H","124.79","718.09","554.3","Course n°2 | Finale B"
"Baptiste Moret","K1H","125","526.79","556.89","Course n°2 | Finale B"
"Clement Serres","K1H","125.26","915.87","560.11","Course n°2 | Finale B"
"Sylvain Lauth","K1H","126.04","603.61","569.75","Course n°2 | Finale B"
"Jules Maitre","K1H","129.09","817.76","607.47","Course n°2 | Finale B"
"Jean Christophe Erdois","K1H","132.79","346.38","653.23","Course n°2 | Finale B"
"Damien Caillard","K1H","140.24","655.91","745.37","Course n°2 | Finale B"
"Mateo Destruel","K1H","143.8","675.15","789.4","Course n°2 | Finale B"
"Tino Forgues","K1H","149.2","246.44","856.18","Course n°2 | Finale B"
"Quentin Clerc","K1H","157.94","316.92","964.27","Course n°2 | Finale B"
"Quentin Bonniol","K1H","158.79","348.85","974.78","Course n°2 | Finale B"
"Frederic Reus","K1H","182.34","410.1","1266.03","Course n°2 | Finale B"
"Leo Larroque","K1H","192.41","896.76","1390.57","Course n°2 | Finale B"
"Lukas Estanguet-santamaria","K1HM","105.17","317.98","311.65","Course n°2 | Finale B"
"Owen Merpillat","K1HM","115.28","507.43","436.68","Course n°2 | Finale B"
"Arsene Labarthe","K1HM","129.99","687.68","618.6","Course n°2 | Finale B"
"Mathys Michel","K1HM","140.1","608.28","743.64","Course n°2 | Finale B"
"Nicolas Leman","K1HM","151.03","1044.09","878.81","Course n°2 | Finale B"
"Miguel Irungaraylarronde","K1HM","187.36","525","1328.11","Course n°2 | Finale B"
"Antonin Bretecher","K1HM","239.9","853.1","1977.88","Course n°2 | Finale B"
