"Nationale 3 - Chateauneuf sur Cher - 2012-06-02","Course 1","2012-06-02","Nationale 3","185"
"Luc Hellard","K1H","103.97","153.9","121.68",""
"Maxime Beaulieu","K1H","104.04","148.11","122.41",""
"Maxime Texier","K1H","104.14","166.83","123.45",""
"Denis Guilmard","K1H","104.38","151.65","125.96",""
"Lionel Tinevez","K1H","104.48","147.46","127",""
"Leo Le Druillennec","K1H","104.58","181.52","128.04",""
"Manuel Coquelin","K1H","105.09","161.58","133.37",""
"Vincent Dubois","K1H","105.24","155.61","134.93",""
"Florian Lepretre","K1H","106.2","205.77","144.95",""
"Hugo Maher","K1H","106.6","146.8","149.13",""
"Henri Despont","K1H","106.89","246.67","152.15",""
"Yoann Turowsky","K1H","107.26","167.66","156.01",""
"Maxence Auvray","K1H","107.82","215.52","161.86",""
"Arthur Huet","K1H","107.93","242.2","163.01",""
"Gwenael Marquer","K1H","108.19","171.06","165.72",""
"Romain Gaillard","K1H","108.46","173.8","168.54",""
"Francois Madec","K1H","109.41","173.29","178.45",""
"Lorin Dumont","K1H","109.59","167.96","180.33",""
"Nicolas Marcus","K1H","109.6","220.25","180.44",""
"Guillaume Payet","K1H","109.72","217.71","181.69",""
"Maxime Lignereux","K1H","109.83","220.16","182.84",""
"Damien Souville","K1H","109.95","171.44","184.09",""
"Pascal Marrec","K1H","110.12","203.36","185.86",""
"Hugo Le Goff","K1H","110.9","152.33","194.01",""
"Clement Le Moal","K1H","111.06","162.98","195.68",""
"Xavier Le Gallic","K1H","111.17","217.33","196.82",""
"Tom Hibberd","K1H","111.2","286.57","197.14",""
"Adrien Picco","K1H","111.2","200.01","197.14",""
"Simon Seuru","K1H","111.29","160.86","198.08",""
"Martin Belliot","K1H","111.37","170.37","198.91",""
"Etienne Chauvin","K1H","111.52","175.31","200.48",""
"Arthur Chaumet","K1H","111.69","220.76","202.25",""
"Valentin Le Moignic","K1H","111.76","216.13","202.98",""
"Julien Caillarec","K1H","111.79","197.04","203.29",""
"Gijs Zoetbrood","K1H","112.16","283.62","207.16",""
"Clement Dubois","K1H","112.25","192.18","208.1",""
"Sami Rocher","K1H","112.67","172.56","212.48",""
"Cyril Combreau","K1H","112.9","240.2","214.88",""
"Gaetan Drouin","K1H","112.99","191.53","215.82",""
"Jordan Rocdunos","K1H","113.35","197.35","219.58",""
"Valentin Blondel","K1H","113.65","187.14","222.71",""
"Paulin Cachanado","K1H","114.22","265.24","228.66",""
"Vincent Acou","K1H","114.41","330.35","230.64",""
"Pol Hamon","K1H","114.69","210.44","233.56",""
"Quentin Chauvin","K1H","114.73","232.73","233.98",""
"Francois Faguet","K1H","114.8","222.77","234.71",""
"Ugo Rimbert","K1H","114.99","254.96","236.69",""
"Timothee Le Mort","K1H","115.09","212.87","237.74",""
"Hugues Moret","K1H","115.1","234.05","237.84",""
"Eadwin Famechon","K1H","115.47","295.98","241.7",""
"Manuel Savels","K1H","115.53","250.62","242.33",""
"Marc Doreau","K1H","115.61","372.1","243.16",""
"Adrien Verite","K1H","115.86","246.49","245.77",""
"Nathan Chaumier","K1H","116","282.26","247.24",""
"Yoann Le Guyader","K1H","116.19","158.56","249.22",""
"Stephane Debliquy","K1H","116.21","225.11","249.43",""
"Vincent Nicolosi","K1H","116.66","254.74","254.12",""
"Florian Vinet","K1H","117.21","304.72","259.86",""
"Paul Gestin","K1H","117.34","216.21","261.22",""
"Ludovic Gaignon","K1H","117.64","196.83","264.35",""
"Victor Morisset","K1H","117.83","239.48","266.33",""
"Christophe Gergaud","K1H","117.9","296.42","267.07",""
"Remi Vinet","K1H","118.52","237.23","273.54",""
"Jerome Blanchet","K1H","118.67","281.28","275.1",""
"Edouard Anne","K1H","118.69","308.02","275.31",""
"Theo Renaud","K1H","118.77","276.72","276.15",""
"Guillaume Chasseriault","K1H","118.83","315.5","276.77",""
"Nicolas Foulon","K1H","119.09","262.99","279.49",""
"Ludovic Le Cointre","K1H","119.3","252.25","281.68",""
"Jean-noel Avril","K1H","119.37","330.31","282.41",""
"Alexis Brouard","K1H","119.59","261.83","284.7",""
"Philippe Rocher","K1H","119.82","301.77","287.1",""
"Raphael Cuillerdier","K1H","120.17","315.66","290.76",""
"Morgan Le Friec","K1H","120.34","215.06","292.53",""
"Francois Xavier Robinet","K1H","120.35","267.63","292.64",""
"Romain Trotin","K1H","120.46","291.63","293.78",""
"Jules Grolleau","K1H","120.48","293.29","293.99",""
"Nathan Hossin","K1H","120.78","318.93","297.12",""
"Florian Plault","K1H","121.12","371.89","300.67",""
"Maxime Barrault","K1H","121.14","314.62","300.88",""
"Kevin Chalopin","K1H","122.3","316.39","312.99",""
"Swann Vingerder","K1H","123.29","418.35","323.32",""
"Tom Le Goff","K1H","123.51","358.71","325.62",""
"Christophe Mitchell","K1H","125.37","346.51","345.03",""
"Anthony Drouhin","K1H","125.87","342.91","350.25",""
"Ludovic Couture","K1H","126.52","363.01","357.03",""
"Cyril Launay","K1H","127.04","289.47","362.46",""
"Richard Fradin","K1H","127.1","427","363.09",""
"Alexander Lidstrom","K1H","127.39","418.49","366.11",""
"Pierrick Meheust","K1H","129.02","428.2","383.13",""
"Augustin Thomas","K1H","129.71","422.7","390.33",""
"Jerome Saliou","K1H","129.97","387.24","393.04",""
"Nathan Flageul","K1H","130.63","396.47","399.93",""
"Lucas Soudi","K1H","131.37","331.04","407.65",""
"Flavien Portier","K1H","133.5","324.52","429.88",""
"Jules Chaumet","K1H","134.26","291.35","437.82",""
"Jordan Tinevez","K1H","134.28","404.32","438.03",""
"Aurelien Peron","K1H","134.69","437.55","442.3",""
"Gregoire Moury","K1H","136.11","380.96","457.13",""
"Christian Belouin","K1H","137.76","473.3","474.35",""
"Emeryck Guerreiro","K1H","138.54","521.54","482.49",""
"Gerard Lemonnier","K1H","138.98","494.45","487.08",""
"Jordy Davoust","K1H","147.12","655.41","572.04",""
"Antoine Richard","K1H","149.41","541.62","595.94",""
"Simon Guetta","K1H","157.75","257.6","682.98",""
"Julien Richard","K1H","164.15","227.53","749.78",""
"Andy Barat","K1H","164.64","255.21","754.9",""
"Antonin Leray","K1H","171.07","333.56","822.01",""
"Lucas Marchais","K1H","172.18","254.88","833.59",""
"Nathan Dalaine","K1H","188.51","456.48","1004.03",""
"Paul Fauchet","K1H","214.5","257.13","1275.29",""
"Theo Foucher","K1H","Nt","-","-",""
"Steve Bruniquel","K1H","Nt","-","-",""
"Corentin Normand","K1H","Nt","-","-",""
"Nicolas Petipez","K1H","Nt","-","-",""
"Dylan Besson","K1H","Nt","-","-",""
"Paul Meriel","K1H","Nt","-","-",""
"Lucas Godevin","K1H","Nt","-","-",""
"Antoine Fourgeaud","K1H","Nt","-","-",""
"Jerome Georges","K1H","Nt","-","-",""
"Damien Goujard","K1H","Nt","-","-",""
"Clement Praille","K1H","Nt","-","-",""
"Nicolas Le Belleguic","K1H","Nt","-","-",""
"Nicolas Mignon","K1H","Nt","-","-",""
"Antonin Dalaine","K1H","Nt","-","-",""
"Stephane Gallerne","K1H","Nt","-","-",""
"Jean Yves Prigent","K1H","Nt","-","-",""
"Damien Kerangoarec","K1H","Nt","-","-",""
