"Sélectif Régional de Slalom Cergy - 95000 Cergy - Finale - 2018-11-11","Finale","2018-11-11","Régional","295"
"Angelino Castagnetti","C1H","122.18","487.72","495.55","Finale B"
"Victor Lagleyze","C1H","126.18","618.11","544.74","Finale B"
"Theo Douady","C1H","127.22","643.92","557.54","Finale B"
"Estephe Decarsin","C1H","129.65","577.59","587.42","Finale B"
"Louis Debureaux","C1H","131.03","629.11","604.39","Finale B"
"Jacques Nardeau","C1H","132.61","579.83","623.82","Finale B"
"Mathieu Aussant","C1H","136.27","530.97","668.84","Finale B"
"Samuel Tahaafe","C1H","136.59","787.2","672.77","Finale B"
"Nicolas Feuillard","C1H","173.63","417.87","1128.3","Finale B"
"Paul Lecomte","C1H","196.48","670.08","1409.31","Finale B"
"Xavier Perreau","C1H","Dsq","-","-","Finale B"
"Melvin Queudeville","C1H","Abs","-","-","Finale B"
"Loic Dufour","C1HM","130.89","614.4","602.67","Finale B"
"Nathan Huguenin","C1HM","132.44","633.79","621.73","Finale B"
"Erwan Masson","C1HM","138.06","740.97","690.85","Finale B"
"Louison Decarsin","C1HM","141.59","709.73","734.27","Finale B"
"Loan Battistuzzi","K1D","123.96","376.11","409.51","Finale B"
"Julie Dequeant","K1D","123.98","504.28","409.75","Finale B"
"Mathilde Guillot-le Goff","K1D","127.3","474.74","447.68","Finale B"
"Valentine Jussy","K1D","131.46","574.64","495.22","Finale B"
"Florence Marchal","K1D","136.08","532.06","548.02","Finale B"
"Chloe Gatuingt","K1D","139.16","405.54","583.21","Finale B"
"Eloise Riviere","K1D","139.18","571.53","583.44","Finale B"
"Lea Feuillard","K1D","142.75","485.98","624.23","Finale B"
"Pauline Guenery","K1D","143.7","594.21","635.09","Finale B"
"Faustine Grandin","K1D","168.05","382.07","913.36","Finale B"
"Alexia Evrard","K1D","238.62","631.66","1719.8","Finale B"
"Coralie Delmotte","K1D","243.98","744.74","1781.04","Finale B"
"Mylene Despres","K1D","248.43","553.04","1831.91","Finale B"
"Elodie Thomasset","K1D","269.29","2394.29","2070.28","Finale B"
"Zoe Marchand","K1D","305.42","739.35","2483.16","Finale B"
"Sandrine Arnal","K1D","359.91","614.67","3105.84","Finale B"
"Maeva Firon","K1D","370.25","760.36","3224.01","Finale B"
"Emma Pouilly","K1DM","142.54","602.83","621.84","Finale B"
"Nina Pesce-roue","K1DM","188.79","554.47","1150.37","Finale B"
"Chloe Nicolaou","K1DM","233.22","1302.79","1658.08","Finale B"
"Estelle Brodin","K1DM","Des","-","-","Finale B"
"Pauline Lybrecht","K1DM","Des","-","-","Finale B"
"Salome Huet","K1DM","Abs","-","-","Finale B"
"Jeremy Huguenin","K1H","97.77","346.99","255.47","Finale B"
"Paul Dupre","K1H","98.68","437.12","267.22","Finale B"
"Eden Quevremont","K1H","99.46","299.51","277.3","Finale B"
"Bertrand Avril","K1H","100.4","333.46","289.43","Finale B"
"Helwann Rachdi","K1H","101.03","352.83","297.57","Finale B"
"Florent Bernard","K1H","103.69","391.62","331.92","Finale B"
"Guillaume Doutreix","K1H","103.76","381.28","332.82","Finale B"
"Theo Douady","K1H","104.38","315.02","340.83","Finale B"
"Hugo Pidoux","K1H","104.63","343.08","344.06","Finale B"
"Maxime Savalle","K1H","105.52","406.59","355.55","Finale B"
"Gabriel Benoit","K1H","105.77","473.51","358.78","Finale B"
"Noe Vannier","K1H","106.15","567.86","363.69","Finale B"
"Alan Le Goff","K1H","106.47","420.32","367.82","Finale B"
"Fabien Bonvalet","K1H","106.7","435.73","370.79","Finale B"
"Jean Aussant","K1H","107.32","350.31","378.79","Finale B"
"Samuel Tahaafe","K1H","108.44","398.08","393.26","Finale B"
"Charles Dampeyrou","K1H","108.68","494.86","396.36","Finale B"
"Florian Sauvage","K1H","108.96","440.4","399.97","Finale B"
"Mathis Piepho","K1H","109.12","414.21","402.04","Finale B"
"Francois Durand","K1H","109.21","426.8","403.2","Finale B"
"Matteo Figueiredo Alves","K1H","109.69","499.17","409.4","Finale B"
"Benoit Guernic","K1H","110.13","381.7","415.08","Finale B"
"Stephane Debliquy","K1H","110.14","385.66","415.21","Finale B"
"Romain Brouard","K1H","110.22","467.97","416.24","Finale B"
"Antoine Huger","K1H","111.14","488.42","428.12","Finale B"
"David Delavigne","K1H","111.18","467.04","428.64","Finale B"
"Olivier Brochard","K1H","113.22","534.22","454.98","Finale B"
"Marvin Lescourant","K1H","114.39","540.93","470.09","Finale B"
"Philippe Piat","K1H","114.47","498.35","471.12","Finale B"
"Jeremy Bretteville","K1H","114.48","473.31","471.25","Finale B"
"Nicolas Leconte","K1H","114.63","459.98","473.19","Finale B"
"Leo Front","K1H","114.64","708.37","473.32","Finale B"
"Benjamin Chausson","K1H","115.45","417.68","483.78","Finale B"
"Gerard Lafargue","K1H","115.58","530.15","485.46","Finale B"
"Mathis Pomares","K1H","115.76","639.27","487.78","Finale B"
"Valentin Fleury","K1H","116.98","428.62","503.53","Finale B"
"Vincent Amisse","K1H","116.99","535.99","503.66","Finale B"
"Felix Derumigny","K1H","117.17","645.56","505.99","Finale B"
"Philippe Valeri","K1H","120.62","550.24","550.54","Finale B"
"Yann Castryck- -genereux","K1H","121.18","643.38","557.77","Finale B"
"Tony Faria","K1H","121.62","713.69","563.45","Finale B"
"Axel Girard","K1H","122.01","602.95","568.49","Finale B"
"Mathis Andrieu","K1H","122.28","649.92","571.97","Finale B"
"Kilian Berlu","K1H","125.51","544.56","613.68","Finale B"
"Lucas Ferloni","K1H","128.64","673.24","654.1","Finale B"
"Leo Hohler","K1H","129.96","748.65","671.15","Finale B"
"Fabian Loemie","K1H","130.19","689.73","674.12","Finale B"
"Arsene Boyer","K1H","132.79","854.29","707.69","Finale B"
"Loic Merat","K1H","133.5","653.49","716.86","Finale B"
"Thibaut Jumetz","K1H","135.49","696.5","742.56","Finale B"
"Julien Prompt","K1H","139.7","910.03","796.92","Finale B"
"Eric Pouradier","K1H","141.82","790.43","824.3","Finale B"
"Bruno Brousselle","K1H","142.5","869.89","833.08","Finale B"
"Eric Bernard","K1H","144.09","739.24","853.61","Finale B"
"Remi Hervieux","K1H","146.72","882.08","887.57","Finale B"
"Fabien De Almeida","K1H","150.19","348.84","932.38","Finale B"
"Jason Leroy","K1H","159.82","736.07","1056.73","Finale B"
"Mathieu Aussant","K1H","161.28","360.35","1075.59","Finale B"
"Yunus Polat","K1H","171.27","1214.36","1204.59","Finale B"
"Romain Caupin","K1H","180.59","620.16","1324.94","Finale B"
"Alain Brucher","K1H","182.84","790.8","1353.99","Finale B"
"Marc Antoine Gorez","K1H","195.8","902.52","1521.35","Finale B"
"Alexandre Mauger","K1H","202.92","852.8","1613.29","Finale B"
"Nathan Saintobert","K1H","Dsq","-","-","Finale B"
"Christophe Come","K1H","Des","-","-","Finale B"
"Lucas Jamart","K1HM","109.89","656.79","411.98","Finale B"
"Romain Margerie","K1HM","112.95","459.89","451.49","Finale B"
"Paul Pesant","K1HM","119.39","526.23","534.65","Finale B"
"Quentin Podevin","K1HM","121.26","510.07","558.8","Finale B"
"Pierre-louis Mingasson","K1HM","121.98","729.9","568.1","Finale B"
"Marwan Bazot","K1HM","123.42","686.49","586.69","Finale B"
"Clement Brault","K1HM","129.07","853.45","659.65","Finale B"
"Rayan Serrakh","K1HM","129.39","605.51","663.79","Finale B"
"Elias Bouddour","K1HM","133.72","1077.21","719.7","Finale B"
"Lubin Brionne","K1HM","136.86","809.14","760.25","Finale B"
"Nicolas Bougnon","K1HM","174.12","684.4","1241.39","Finale B"
"Loic Dufour","K1HM","186.38","724.79","1399.71","Finale B"
"Romain Moret","K1HM","199.68","971.21","1571.45","Finale B"
"Mathieu Benkaroun","K1HM","201.64","879.12","1596.76","Finale B"
"Nino Lechevallier","K1HM","223.67","1306.06","1881.24","Finale B"
"Enzo Hecquet","K1HM","263.9","754.09","2400.73","Finale B"
"Garvan Boulben","K1HM","Dsq","-","-","Finale B"
"Mathis Havin","K1HM","Des","-","-","Finale B"
"Fadil Serrakh","K1HM","Abs","-","-","Finale B"
