"Championnat Régional de Slalom - Conflans Sur Lanterne - Qualification - 2016-05-15","Qualification","2016-05-15","Régional","149"
"Fiona Gille","K1D","125.82","604.11","593.98",""
"Heloise Pinon","K1D","132.33","-","673.48",""
"Sarah Rothenbuhler","K1D","136.63","543.49","726",""
"Manon Bucher","K1D","146.53","986.76","846.9",""
"Manon Louis","K1D","227.14","1008.26","1831.29",""
"Anneline Triomphe","K1D","Abs","-","-",""
"MaÏa Gombert","K1DM","117.01","742.09","486.4",""
"Pauline Clerc","K1DM","182.04","-","1280.53",""
"Mylene Guilcher","K1DM","226.42","751.2","1822.5",""
"Audrey Masson","K1DM","Abd","-","-",""
"Jonathan Chapatte","K1H","86.95","144.92","257.35",""
"Benjamin Dodane","K1H","88.46","304.48","278.18",""
"Laurent Starck","K1H","88.74","184.88","282.05",""
"Alexis Caspar","K1H","90.51","279.68","306.47",""
"Enzo Seker","K1H","91.49","-","320",""
"Yann Becker","K1H","91.81","332.4","324.41",""
"Baptiste Podor","K1H","92.19","302.76","329.66",""
"Charles Fernandes De Oliveira","K1H","93.09","266.25","342.07",""
"Jules Bernardet","K1H","93.35","271.21","345.66",""
"Loic Thielen","K1H","95.12","313.87","370.09",""
"Olivier Urbain","K1H","95.33","304.27","372.99",""
"Mathieu Douillet","K1H","96.01","-","382.37",""
"Alexis Pacholak","K1H","96.27","390.07","385.96",""
"Florent Tamburini","K1H","96.64","312.57","391.06",""
"Lilian Querry","K1H","96.74","271.82","392.44",""
"Christophe Billaud","K1H","97.88","351.5","408.17",""
"Yann Zaepffel","K1H","98.74","258.9","420.04",""
"Loic Joly","K1H","99.9","313.8","436.05",""
"Eddy Cassard","K1H","99.98","373.13","437.15",""
"Anthony Rouhier","K1H","101.12","410.96","452.88",""
"Vincent Idriss Achaoui","K1H","101.26","453.36","454.82",""
"Hugo Latimier","K1H","101.43","-","457.16",""
"Djimy Kar","K1H","101.51","371.66","458.27",""
"Xavier Rat","K1H","101.94","399.81","464.2",""
"Dyclan Plessis","K1H","103.64","395.16","487.66",""
"Mathurin Garnier","K1H","103.98","308.61","492.35",""
"Yael Leleu","K1H","104.03","469.57","493.04",""
"Armand Lombardot","K1H","104.35","496.25","497.46",""
"Maxime Aubertin","K1H","104.99","510.1","506.29",""
"Arthur Marraro","K1H","105.29","-","510.43",""
"Come Champurney","K1H","106.34","589.06","524.92",""
"Jean Pierre Latimier","K1H","108.64","-","556.65",""
"Louis Labbe","K1H","109.16","426.79","563.83",""
"Julien Carisey","K1H","109.37","519.82","566.73",""
"Titouan Auriol","K1H","109.38","472.58","566.87",""
"Yanis Delacour","K1H","110.8","427.27","586.46",""
"Kevin Vienny","K1H","123.6","776.57","763.09",""
"Charles Billon","K1H","125.43","934.24","788.35",""
"Angelino Castagnetti","K1H","126.71","727.58","806.01",""
"Lucas Latimier","K1H","136.09","158.71","935.45",""
"Romain Faurie","K1H","138.96","76.66","975.05",""
"Alexandre Lambert","K1H","139.12","663.94","977.26",""
"Anthony Dubois","K1H","152.26","995.61","1158.58",""
"David Monnet","K1H","166.8","-","1359.23",""
"Arnaud Guilleret","K1H","171.51","-","1424.22",""
"Anthony Ferreira","K1H","175.92","682.11","1485.08",""
"Martin BraËms","K1H","184.63","-","1605.27",""
"Joshua Ravet","K1H","206.51","818.15","1907.2",""
"Stephane Cassin","K1H","217.82","2000.49","2063.27",""
"JÉrÔme BraËms","K1H","313.15","-","3378.76",""
"Bastien Caillet","K1H","Abs","-","-",""
"Ludovic Mazimann","K1H","Abd","-","-",""
"Alain David","K1H","Abs","-","-",""
"Paul Leviste","K1H","Abs","-","-",""
"Sydney Ninino","K1H","Abs","-","-",""
"Stephane Gacoin","K1H","Abs","-","-",""
"Pierre Aubry","K1H","Abs","-","-",""
"Loic Trenchant","K1HM","107.31","559.98","538.3",""
"Matheo Dejonghe","K1HM","108.31","631.1","552.1",""
"Jules Latimier","K1HM","108.6","634.21","556.1",""
"Anthony Menissier","K1HM","114.65","720.02","639.59",""
"Antonin Robert","K1HM","118.25","690.33","689.27",""
"Luca Gabelli","K1HM","120.75","-","723.77",""
"Constant Jeandon","K1HM","121.6","1153.12","735.49",""
"Matthew Vuillard","K1HM","123.29","787.58","758.82",""
"Oscar Pasteur","K1HM","126.32","910.27","800.63",""
"Jonathan Ferreira","K1HM","132.63","-","887.7",""
"Theophile Vincent","K1HM","150.08","-","1128.5",""
"Hugo Humbrecht","K1HM","154.96","1070.71","1195.84",""
"Pierre Vincent","K1HM","161.98","-","1292.71",""
"Samuel Tahaafe","K1HM","179.07","-","1528.54",""
"Martin Liger","K1HM","272.09","-","2812.16",""
