"SELECTION REGIONALE - LATHUS - Lathus - 2004-12-19","Course 1","2004-12-19","Régional","137"
"Antoine Egreteau","K1H","206.75","154","173",""
"Raphael Reveche","K1H","207.60","42","177",""
"Maelstaf Jeremy","K1H","208.23","196","181",""
"David Riffaud","K1H","211.31","150","198",""
"Stephane Labouille","K1H","213.51","174","209",""
"Remy Faucon","K1H","215.78","185","222",""
"Thibaud Rottier","K1H","216.42","249","225",""
"Jean-francois Souville","K1H","218.39","180","236",""
"Larenaudie Sebastien","K1H","220.61","267","249",""
"Pascal Poitiers","K1H","221.23","191","251",""
"Eric Jolit","K1H","221.50","210","253",""
"Philippe Niquet","K1H","222.43","237","258",""
"Ludovic Di Nisi","K1H","222.47","250","258",""
"Clement Praille","K1H","223.20","235","262",""
"Dubost Antoine","K1H","224.98","255","272",""
"Delahaie Emmanuel","K1H","228.96","270","294",""
"Chasseloup Christophe","K1H","229.34","248","296",""
"Branger Sebastien","K1H","230.13","360","299",""
"Manuel Legros","K1H","230.85","272","303",""
"Herve Launay","K1H","232.23","334","311",""
"Lucas Kelifaoui","K1H","232.40","290","312",""
"Jerome Dorizon","K1H","232.59","248","313",""
"Le Menu Cedric","K1H","235.78","-","331",""
"Come Hebert","K1H","237.62","-","341",""
"Julien Riffaud","K1H","238.96","331","347",""
"Nicolas Cerisier","K1H","239.87","317","352",""
"Damien Caillon","K1H","241.78","307","363",""
"Benoit Morand","K1H","241.79","-","363",""
"Xavier Flatreau","K1H","243.14","377","370",""
"Yohann Courouble","K1H","244.76","341","379",""
"Ricard Joel","K1H","245.23","384","382",""
"David Peigne","K1H","245.38","395","383",""
"Debons Frederic","K1H","246.97","326","392",""
"Jean-luc Mottais","K1H","248.00","299","396",""
"Gerard Nicolas","K1H","248.90","-","401",""
"Rolando Thomas","K1H","249.62","422","405",""
"Guillaume Fletcher","K1H","249.94","271","407",""
"Fallou Etienne","K1H","250.05","438","408",""
"Colin Jean-Etienne","K1H","254.11","346","430",""
"Braud Sylvain","K1H","258.60","-","454",""
"Anthony Gaugain","K1H","259.78","-","461",""
"Philippe Metran","K1H","259.89","357","461",""
"Papot Loick","K1H","261.32","415","469",""
"Garros Samuel","K1H","263.09","376","479",""
"Jean-noel Biteau","K1H","263.45","444","481",""
"Rosiere Arnaud","K1H","264.39","-","486",""
"Romain Caillon","K1H","264.99","-","490",""
"Lone Sang Christian","K1H","266.05","471","494",""
"Demouy Grégoire","K1H","266.66","378","498",""
"Tricot Marinko","K1H","266.66","443","498",""
"Anthony Mottais","K1H","267.84","395","504",""
"Simon Dosiere","K1H","268.20","800","506",""
"Rouet Jeremy","K1H","273.62","496","536",""
"Maxime Perrin","K1H","283.09","-","588",""
"Antoine Michaud","K1H","283.44","-","590",""
"Braesco Adrien","K1H","283.79","-","591",""
"Masseran Pierre","K1H","284.71","624","596",""
"Matthieu Roy","K1H","294.85","580","651",""
"Florian Petit","K1H","297.01","636","663",""
"Yann Drouet","K1H","305.46","528","709",""
"Gatard Pierre","K1H","306.24","-","713",""
"Thibaud Soumagne","K1H","306.42","-","714",""
"Gaetan Guyonnet","K1H","313.14","561","750",""
"Ramos Jerome","K1H","320.58","-","791",""
"Herault Pierre","K1H","323.30","733","806",""
"Michaud Paul","K1H","333.51","647","861",""
"Harris-Jones Robert","K1H","336.42","-","877",""
"Lionel Blank","K1H","337.87","388","884",""
"Turbault Ludwig","K1H","346.11","-","930",""
"Simon Mickael","K1H","349.72","-","949",""
"Chevrier Thomas","K1H","352.12","-","962",""
"Pinet Adrien","K1H","352.17","-","963",""
"Fabien Cambon","K1H","359.93","-","1005",""
"Cerisier Julien","K1H","360.38","-","1007",""
"Stadler Jean Patrick","K1H","362.63","-","1020",""
"Lariviere Michel","K1H","370.84","-","1064",""
"Triaux Simon","K1H","380.83","-","1118",""
"Aubineau Pierre Emmanuel","K1H","392.83","-","1183",""
"Tessier Yann","K1H","410.22","731","1277",""
"Tricoire Manuel","K1H","475.23","-","1631",""
"Hemar Mathieu","K1H","533.32","-","1947",""
