"Sélectif Régional de Slalom - Villersexel - Finale - 2017-10-15","Finale","2017-10-15","Régional","102"
"Sebastien Chapatte","K1H","108.47","529.3","480.93","Finale B"
"Yael Leleu","K1H","110.74","521.81","510.91","Finale B"
"Gerard Menissier","K1H","111.08","480.34","515.4","Finale B"
"Pierre Aubry","K1H","112.96","-","540.23","Finale B"
"Charles Billon","K1H","114.89","525.06","565.72","Finale B"
"Virgile Bessot","K1H","115.86","607.34","578.53","Finale B"
"Jean Guyot","K1H","117.99","584.51","606.66","Finale B"
"Antoine Luchier","K1H","119.41","-","625.42","Finale B"
"Patrick Thevenin","K1H","121.85","723.91","657.64","Finale B"
"Alexandre Lambert","K1H","123.36","-","677.59","Finale B"
"Barnabe Sennelier","K1H","140.64","911.05","905.8","Finale B"
"Mattheo Szkuta","K1H","146.82","1357.3","987.42","Finale B"
"Lilian Porson","K1H","154.32","-","1086.48","Finale B"
"Ludovic Mazimann","K1H","170.58","-","1301.22","Finale B"
"Victoryan Krahenbuhl","K1H","184.57","754.62","1485.99","Finale B"
"Jules Huardel","K1H","199.51","1555.46","1683.3","Finale B"
"Mathieu Jacquelin","K1HM","142.31","-","927.86","Finale B"
"Aloys Morel","K1HM","142.47","1073.57","929.97","Finale B"
"Enzo Laclef","K1HM","145","-","963.39","Finale B"
"Max Cantenot","K1HM","156.88","1888.69","1120.29","Finale B"
"Evan Trenchant","K1HM","169.83","-","1291.32","Finale B"
"Remi Hervieux","K1HM","Abd","-","-","Finale B"
