"Championnats de France N1 - Lannion - 1ère Manche - 2007-03-03","1ère Manche","2007-03-03","Nationale 1","107"
"Renaud Doby","K1H","190.63","19","25",""
"Julien Dekarczyk","K1H","190.90","24","25",""
"Christophe Augu","K1H","191.42","36","27",""
"Quentin Bove","K1H","191.83","42","29",""
"Samuel Hernanz","K1H","192.78","28","33",""
"Benjamin Buys","K1H","193.30","65","34",""
"Johan De Mareuil","K1H","193.43","46","35",""
"Mathieu Doby","K1H","193.73","18","36",""
"Thomas Bersinger","K1H","194.13","67","38",""
"Frederic Walczak","K1H","194.16","18","38",""
"Matthieu Le Gall","K1H","195.30","30","42",""
"Lucien Delfour","K1H","195.77","67","44",""
"Etienne Daille","K1H","195.78","77","44",""
"Vivien Colober","K1H","196.82","70","48",""
"Pierre Devaux","K1H","197.01","23","48",""
"Christophe Marechal","K1H","197.60","23","50",""
"Benjamin Boukpeti","K1H","197.68","26","50",""
"Florian Berail","K1H","197.98","41","52",""
"Raphael Reveche","K1H","198.18","20","53",""
"Davy Egraz","K1H","199.26","47","57",""
"Benoit Rouffet","K1H","199.57","56","58",""
"Julien Arribe","K1H","200.52","50","61",""
"Paul Brier","K1H","200.77","55","62",""
"Yoan Minvielle","K1H","201.66","31","65",""
"Loris Minvielle","K1H","201.72","36","65",""
"Nicolas Labat","K1H","202.55","49","69",""
"Sebastien Halilou","K1H","202.65","35","69",""
"Guillaume Picco","K1H","203.37","55","72",""
"Cedric Bron","K1H","204.94","60","78",""
"Bernis Camille","K1H","210.29","47","98",""
"Benoit Lepage","K1H","210.36","35","98",""
"Julien Tous","K1H","213.00","55","108",""
"Sebastien Combot","K1H","241.05","23","211",""
"Benoit Guillaume","K1H","251.83","45","252",""
"Aurelien Maynadier","K1H","252.38","16","254",""
"Damien Laborde","K1H","264.77","30","299",""
"Hugo Hager","K1H","312.74","84","477",""
"Benoit Molinier","K1H","361.11","30","656",""
"Guillaume Provost","K1H","408.78","60","833",""
"Michael Guyon","K1H","410.74","47","840",""
