"Sélectif Régional Slalom (Double) - Beaumont Le Roger - Course n°2 | Finale - 2017-10-22","Course n°2 | Finale","2017-10-22","Régional","139"
"Theo Moalic-Marceau Decarsin","C2H","115.08","447.7","429.66","Course n°2 | Finale A"
"Eloi Seemann-Quentin Mannier","C2H","118.34","322.67","469.68","Course n°2 | Finale A"
"Antoine Martin-Charles Moalic","C2H","125.58","-","558.55","Course n°2 | Finale A"
"Estephe Decarsin-Kevin Tanay","C2H","135.62","759.4","681.79","Course n°2 | Finale A"
"Mickael Louchard-David Leroy","C2H","137.21","-","701.3","Course n°2 | Finale A"
"Fabien Bonvalet-Mathis Pomares","C2HM","136.14","731.14","688.17","Course n°2 | Finale A"
"Esteban Olivier-Justin Collemiche","C2HM","180.55","1225.16","1233.27","Course n°2 | Finale A"
"Pauline Soenen-Antoine Martin","C2M","128.65","-","464.63","Course n°2 | Finale A"
"Nathalie Guelton-Benoit Letellier","C2M","131.03","-","491.42","Course n°2 | Finale A"
"Geoffroy Lauth-Rachel Broin","C2M","134.43","564.36","529.67","Course n°2 | Finale A"
"Alexandre Marteau-Lea Cabanne","C2M","136.18","-","549.36","Course n°2 | Finale A"
"Chloe Gatuingt-Isidore Dubuisson","C2M","191.53","-","1172.13","Course n°2 | Finale A"
"Margaux Fabijan-Esteban Olivier","C2MM","146.87","-","669.65","Course n°2 | Finale A"
"Fabien Bonvalet-Alexia Evrard","C2MM","164.87","-","872.18","Course n°2 | Finale A"
"Angele Sottolefevre-Justin Collemiche","C2MM","241.65","-","1736.07","Course n°2 | Finale A"
"Chloe Gatuingt","K1D","113.49","333.92","373.17","Course n°2 | Finale A"
"Lison Gautrelet","K1D","117.9","412.23","425.86","Course n°2 | Finale A"
"Pauline Soenen","K1D","120.78","-","460.27","Course n°2 | Finale A"
"Mylene Despres","K1D","121.31","508.82","466.61","Course n°2 | Finale A"
"Coralie Delmotte","K1D","132.24","667.04","597.21","Course n°2 | Finale A"
"Marion Matura","K1D","133.24","654.33","609.16","Course n°2 | Finale A"
"Melanie Brunet","K1D","144.32","727.39","741.54","Course n°2 | Finale A"
"Margaux Fabijan","K1DM","118.45","381.71","432.43","Course n°2 | Finale A"
"Solene Douche","K1DM","146.27","750.31","764.84","Course n°2 | Finale A"
"Angele Sottolefevre","K1DM","160.61","882.25","936.19","Course n°2 | Finale A"
"Alexia Evrard","K1DM","164.34","-","980.76","Course n°2 | Finale A"
"Benoit Letellier","K1H","92.78","213.64","269.83","Course n°2 | Finale A"
"Mathieu Aussant","K1H","98.24","402.4","343.55","Course n°2 | Finale A"
"Theo Moalic","K1H","99.43","383.99","359.62","Course n°2 | Finale A"
"Simon Boulan","K1H","101.01","-","380.95","Course n°2 | Finale A"
"Isidore Dubuisson","K1H","102.3","377.75","398.37","Course n°2 | Finale A"
"Louison Laumondais","K1H","103.84","396.97","419.16","Course n°2 | Finale A"
"Estephe Decarsin","K1H","104.27","436.57","424.97","Course n°2 | Finale A"
"Clement Font-boinel","K1H","104.65","362.14","430.1","Course n°2 | Finale A"
"Alan Le Goff","K1H","105.71","421.62","444.41","Course n°2 | Finale A"
"Romain Bouillon","K1H","110.18","439.47","504.76","Course n°2 | Finale A"
"Thomas Gossieaux","K1H","110.4","583.97","507.73","Course n°2 | Finale A"
"Dante Bourlet De La Vallee","K1H","110.43","550.27","508.14","Course n°2 | Finale A"
"Jeansebastien Simonklein","K1H","110.81","504.79","513.27","Course n°2 | Finale A"
"Thibaut Evrard","K1H","112.08","464.28","530.42","Course n°2 | Finale A"
"Jess Masson","K1H","113.25","571.19","546.21","Course n°2 | Finale A"
"Kevin Tanay","K1H","115.2","550.4","572.54","Course n°2 | Finale A"
"Kevin Langlois","K1H","121.21","593.96","653.69","Course n°2 | Finale A"
"Bertrand Avril","K1H","146.75","280.34","998.53","Course n°2 | Finale A"
"Jean Aussant","K1H","151.52","341.08","1062.93","Course n°2 | Finale A"
"Alexandre Marteau","K1H","160.2","534.84","1180.13","Course n°2 | Finale A"
"Nicolas Candieu","K1H","161.9","332.42","1203.08","Course n°2 | Finale A"
"Fabien Bonvalet","K1HM","111.68","510.54","525.01","Course n°2 | Finale A"
"Mathis Pomares","K1HM","121.05","687.92","651.53","Course n°2 | Finale A"
"Justin Collemiche","K1HM","123.27","846.73","681.5","Course n°2 | Finale A"
"Thomas Brunet","K1HM","172.63","932.9","1347.96","Course n°2 | Finale A"
"Alize Bachelot","C1D","137.71","578.44","571.57","Course n°2 | Finale B"
"Rachel Broin","C1D","151.34","698.31","724.94","Course n°2 | Finale B"
"Marion Matura","C1D","169.37","851.8","927.81","Course n°2 | Finale B"
"Kevin Tanay","C1H","116.6","-","521.48","Course n°2 | Finale B"
"Marceau Decarsin","C1H","119.96","560","564.69","Course n°2 | Finale B"
"Romain Bouillon","C1H","121.68","617.55","586.8","Course n°2 | Finale B"
"Samuel Bonvalet","C1H","123.08","573.45","604.8","Course n°2 | Finale B"
"Axel Kottelanne","C1H","124.34","696.42","621","Course n°2 | Finale B"
"Jeansebastien Simonklein","C1H","126.62","-","650.32","Course n°2 | Finale B"
"Bertrand Avril","C1H","131.18","605.84","708.96","Course n°2 | Finale B"
"Jess Masson","C1H","134.16","-","747.27","Course n°2 | Finale B"
"Thibaut Evrard","C1H","135.84","705.74","768.88","Course n°2 | Finale B"
"Donatien Lamoureux","C1H","136.75","733.71","780.58","Course n°2 | Finale B"
"Mathias Felix","C1H","137.3","-","787.66","Course n°2 | Finale B"
"Kevin Langlois","C1H","143.88","-","872.27","Course n°2 | Finale B"
"Yves Boudon","C1H","198.23","772.53","1571.15","Course n°2 | Finale B"
"Elie Gerault","C1H","199.8","-","1591.35","Course n°2 | Finale B"
"Nicolas Candieu-Niels Beaumont","C2H","134.64","763.95","674.76","Course n°2 | Finale B"
"Jess Masson-Jeansebastien Simonklein","C2H","137.24","-","706.67","Course n°2 | Finale B"
"Pierre Sotto-Benoit Letellier","C2H","149.62","-","858.62","Course n°2 | Finale B"
"Yves Boudon-Kevin Langlois","C2H","154.09","-","913.5","Course n°2 | Finale B"
"Mickael Louchard-Vanessa Louer","C2M","148.55","662.67","693.55","Course n°2 | Finale B"
"Delphine Brunet-Samuel Bonvalet","C2M","149.24","696.57","701.31","Course n°2 | Finale B"
"Marion Matura-Pierre Sotto","C2M","183.96","1011.15","1091.96","Course n°2 | Finale B"
"Dante Bourlet De La Vallee-Albertine Binard","C2M","193.3","-","1197.05","Course n°2 | Finale B"
"Lea Cabanne","K1D","137.4","-","663.86","Course n°2 | Finale B"
"Albertine Binard","K1D","138.62","818.84","678.44","Course n°2 | Finale B"
"Delphine Brunet","K1D","140.24","790.8","697.79","Course n°2 | Finale B"
"Nathalie Guelton","K1D","171.4","1223.46","1070.1","Course n°2 | Finale B"
"Pauline Guellaff","K1D","208.3","-","1511.01","Course n°2 | Finale B"
"Ophelie Lailler","K1D","210.88","-","1541.83","Course n°2 | Finale B"
"Agnes Blanchemain","K1D","311.18","-","2740.29","Course n°2 | Finale B"
"Virgile Bourlet De La Vallee","K1H","102.78","495.15","409.85","Course n°2 | Finale B"
"Charles Moalic","K1H","111.21","578.61","523.67","Course n°2 | Finale B"
"Tom Armand","K1H","114.51","623.88","568.23","Course n°2 | Finale B"
"Enzo Ratrimoharinosy","K1H","117.27","-","605.49","Course n°2 | Finale B"
"Niels Beaumont","K1H","118.4","553.12","620.75","Course n°2 | Finale B"
"Samuel Bonvalet","K1H","119.68","637.05","638.03","Course n°2 | Finale B"
"Mathias Felix","K1H","119.81","798.44","639.79","Course n°2 | Finale B"
"Alexandre Mauger","K1H","120.14","691.93","644.24","Course n°2 | Finale B"
"Axel Kottelanne","K1H","120.75","718.44","652.48","Course n°2 | Finale B"
"Yves Boudon","K1H","122.11","556.04","670.84","Course n°2 | Finale B"
"Geoffroy Lauth","K1H","127.27","682.32","740.51","Course n°2 | Finale B"
"Julien Cabanne","K1H","128.5","-","757.12","Course n°2 | Finale B"
"Aurelien Fleurant","K1H","130.13","717.13","779.12","Course n°2 | Finale B"
"David Leroy","K1H","132.55","-","811.8","Course n°2 | Finale B"
"Killian Errot","K1H","134.68","-","840.56","Course n°2 | Finale B"
"Loic Perennes","K1H","141.46","-","932.1","Course n°2 | Finale B"
"Brice Langlois","K1H","147.24","1092.36","1010.14","Course n°2 | Finale B"
"Teddy Poulard","K1H","156.9","440.18","1140.57","Course n°2 | Finale B"
"GrÉgoire Dorchat","K1H","163.06","-","1223.74","Course n°2 | Finale B"
"Elie Gerault","K1H","171.34","812.25","1335.54","Course n°2 | Finale B"
"Pierre Sotto","K1H","183.05","1580.85","1493.65","Course n°2 | Finale B"
"Esteban Olivier","K1HM","119.43","771.63","634.65","Course n°2 | Finale B"
"Leo Tellier","K1HM","123.9","1145.86","695.01","Course n°2 | Finale B"
"Elias Schieber","K1HM","142.39","1038.5","944.66","Course n°2 | Finale B"
"Tom Raynaud","K1HM","148.5","946.91","1027.16","Course n°2 | Finale B"
