"Sélectif Régional de Slalom - Guingamp - Qualification - 2018-01-14","Qualification","2018-01-14","Régional","109"
"Jules Roos","K1H","112.22","475.64","494.94",""
"Luc Le Diouron","K1H","113.27","507.77","508.52",""
"Romain Foulon","K1H","114.14","657.01","519.77",""
"Cesar Le Berder","K1H","117.54","567.46","563.73",""
"Victor Robert","K1H","118.02","688.29","569.93",""
"Samuel Piton","K1H","118.71","567.12","578.85",""
"Jean Christophe Olivo","K1H","122.48","648.27","627.6",""
"Juan Riu","K1H","124.85","667.18","658.24",""
"Louis Nivet","K1H","126.46","781.59","679.05",""
"Arthur Le Lan","K1H","133.49","1119.42","769.94",""
"Julien Pommerol","K1H","140.14","-","855.92",""
"Alexis Briet","K1H","172.99","-","1280.64",""
"Matteo Herve","K1H","174.51","716.45","1300.29",""
"Riwal Bourdoulous","K1H","177.48","649.17","1338.69",""
"Antoine Demarest","K1H","178.47","638.35","1351.49",""
"Nicolas Bidault","K1HM","102.62","518.72","370.83",""
"Ylan Penvenne","K1HM","108.22","478.61","443.23",""
"Thimotee Letaconnoux","K1HM","119.83","-","593.33",""
"Stevan Chauvel","K1HM","135.08","704.62","790.5",""
"Ewann Hervouet","K1HM","146.26","637.28","935.05",""
"Jonas Le Guen","K1HM","168.56","-","1223.36",""
"Damien Guilloux","K1HM","228.76","-","2001.69",""
"Raphael Herve","K1HM","Abs","-","-",""
"Milio Le Touze","K1HM","Abs","-","-",""
