"CHAMPIONNAT REGIONAL SLALOM DU FIER - ARGONAY - Fier - 2003-04-05","Course 1","2003-04-05","Régional","145"
"Baillon Nicolas","K1H","200.00","40","76",""
"Davy Egraz","K1H","200.19","68","78",""
"Alonso Remy","K1H","201.56","44","87",""
"Julien Tous","K1H","202.72","53","94",""
"Ghidini Jerome","K1H","203.68","60","100",""
"Mathieu Doby","K1H","205.12","52","108",""
"Damien Boudet","K1H","206.84","108","118",""
"Piquard Charles","K1H","207.60","136","123",""
"Bruno Madier","K1H","210.23","114","139",""
"Bertrand Lamy","K1H","211.81","168","148",""
"Dimitriou Alexandre","K1H","212.06","292","150",""
"Colliex Olivier","K1H","212.90","111","155",""
"Bertrand Bercon","K1H","213.66","153","160",""
"Bertrand Dubiez","K1H","215.22","188","169",""
"Olivier Hardonniere","K1H","215.73","173","172",""
"Astier Perret Vincent","K1H","215.88","155","173",""
"Guillaume Provost","K1H","215.94","175","173",""
"Medjeberg Jeremy","K1H","216.34","185","175",""
"Laurent Brissaud","K1H","217.06","-","180",""
"Nivel Cyril","K1H","218.85","156","190",""
"Millet Francois","K1H","219.50","87","195",""
"Yann Gudefin","K1H","220.69","272","202",""
"Saint Girons Thomas","K1H","220.95","191","203",""
"Keller Paco","K1H","222.12","229","211",""
"Thomas Bersinger","K1H","222.27","206","211",""
"Palix Lorin","K1H","222.66","190","213",""
"Remi Wolf","K1H","223.21","201","217",""
"Delfs Yann","K1H","224.47","279","225",""
"Lebourgeois Alexis","K1H","224.96","273","227",""
"Andy Pajani","K1H","225.49","334","231",""
"Renaud Metereau","K1H","225.72","194","232",""
"Pascal Hunault","K1H","225.75","223","232",""
"Lalauze Charly","K1H","225.85","325","233",""
"Hugo Hager","K1H","226.13","325","234",""
"Wadel Florian","K1H","226.50","205","237",""
"Beltrami Denis","K1H","227.22","220","241",""
"Boris Lutinier","K1H","227.73","190","245",""
"Daumas Jeremy","K1H","228.51","311","249",""
"Berthiaud Gregory","K1H","230.56","270","261",""
"Julien Beltrami","K1H","230.75","197","262",""
"Alain Ferry","K1H","231.41","300","267",""
"Hager Yoan","K1H","234.21","373","283",""
"Ferrandon Damien","K1H","234.56","-","285",""
"Pascal Ferry","K1H","235.65","289","292",""
"Ballini Yoann","K1H","235.67","302","292",""
"Martelet Romain","K1H","236.00","346","295",""
"Champmartin Michel","K1H","237.02","329","300",""
"Bersinger Sylvain","K1H","238.47","341","310",""
"Froissard Jonathan","K1H","239.65","361","317",""
"Coulon Jerome","K1H","239.68","397","317",""
"Bornet Timothee","K1H","243.35","398","339",""
"Vadeboin Mathias","K1H","244.40","427","345",""
"Jeremiah Mosch","K1H","246.12","367","355",""
"Felix Balas","K1H","249.16","327","374",""
"Patrice Fischer","K1H","252.40","58","393",""
"Biard Adrien","K1H","253.01","387","397",""
"Aupee Eric","K1H","253.53","354","400",""
"Baude Francois","K1H","254.49","490","406",""
"Adrien Roussel","K1H","255.21","-","411",""
"Descharrieres Bruno","K1H","255.66","399","413",""
"Christophe Lacave","K1H","261.43","-","448",""
"Cottet Gaydon Francois","K1H","261.72","442","450",""
"Chassain Nathael","K1H","262.35","-","454",""
"Benjamin Buys","K1H","265.37","143","472",""
"Bessiere Florian","K1H","268.35","527","490",""
"Teiller Yvan","K1H","269.29","-","495",""
"Renaud Doby","K1H","271.25","137","507",""
"Dietz Charles","K1H","273.90","-","523",""
"Hafiz Ali Hassan","K1H","280.74","260","564",""
"Sebastien Lepaulard","K1H","281.57","189","570",""
"Defayet Steve","K1H","285.18","564","592",""
"Friboulet Mickael","K1H","285.91","652","595",""
"Thomas Burnoud","K1H","287.19","518","603",""
"Dufosse Victor","K1H","289.31","573","616",""
"Tissot Fabien","K1H","292.94","515","638",""
"Vahine Patrick","K1H","295.95","568","657",""
"Lenoir Adrien","K1H","298.15","-","670",""
"Rety Simon","K1H","301.50","655","689",""
"Olivier Bourgey","K1H","303.06","433","700",""
"Manresa Jose","K1H","304.41","980","708",""
"Davias Joel","K1H","305.80","-","716",""
"Ploix Kevin","K1H","306.89","390","723",""
"Baptista Julien","K1H","322.77","-","818",""
"Fatou Clement","K1H","323.75","-","824",""
"David Berthillier","K1H","328.10","-","851",""
"Matthieu Basset","K1H","328.88","-","855",""
"Philippe Jules","K1H","331.03","739","868",""
"Gamet Nicolas","K1H","337.25","-","905",""
"Vallet Florian","K1H","338.34","923","912",""
"Descotes Vincent","K1H","339.98","-","923",""
"Vigneaud Remi","K1H","352.56","-","998",""
"Monteillier Aymeric","K1H","464.12","-","1671",""
"Callet Clement","K1H","575.87","-","2347",""
