"Championnat régional de slalom - Cergy-Neuville - 2004-04-04","Course 1","2004-04-04","Régional","119"
"Ciaran Heurteau","K1H","181.45","138","189",""
"Antoine Lebastard","K1H","182.59","237","198",""
"Coiffe Florion","K1H","182.87","153","199",""
"Michel Gombert","K1H","183.77","159","206",""
"De Berchen Sebastien","K1H","184.23","159","210",""
"Philippe Daumont","K1H","187.19","190","231",""
"Court Germain","K1H","188.95","194","244",""
"Yves Debailleul","K1H","189.13","206","245",""
"Debruyere Benjamin","K1H","189.65","285","248",""
"Ronan Lucas","K1H","189.99","269","251",""
"Julien Daumont","K1H","190.71","292","256",""
"Kudla Romain","K1H","193.04","230","272",""
"Alexandre Guerinet","K1H","194.78","244","285",""
"Bastien Darcillon","K1H","195.51","329","291",""
"Quentin Vallee","K1H","196.05","297","294",""
"Bensabeur Frederic","K1H","196.99","388","301",""
"Piermay Mathieu","K1H","199.82","223","322",""
"Sebastien Serot","K1H","200.25","262","325",""
"Le Berte Maxime","K1H","200.79","354","328",""
"Thibaud Kudla","K1H","201.82","214","335",""
"Noble Aurelien","K1H","202.32","329","340",""
"Viratelle Vincent","K1H","202.88","389","343",""
"Louvet Renaud","K1H","203.28","-","347",""
"Malderez Sebastien","K1H","203.52","325","348",""
"Maignan Adrien","K1H","205.33","342","360",""
"Louison Tanet","K1H","206.56","-","370",""
"Yves Moreno","K1H","206.63","312","371",""
"Soria Amaury","K1H","207.25","458","374",""
"Duchiron Stephane","K1H","207.32","465","375",""
"Thenon Gregori","K1H","208.95","409","387",""
"Gerard Lafargue","K1H","211.29","437","404",""
"Guillaume Maraquin","K1H","212.39","241","412",""
"Di Majo Romain","K1H","212.76","422","414",""
"Antoine Decambon","K1H","212.90","429","415",""
"Behar Vincent","K1H","217.28","-","446",""
"Philippe Valeri","K1H","218.41","347","455",""
"Fievez Guillaume","K1H","218.50","403","455",""
"Hetier Louis","K1H","221.33","446","476",""
"Argenson Thomas","K1H","222.12","476","482",""
"Bechade Olivier","K1H","223.65","-","492",""
"Jolivet Pierre","K1H","233.23","-","562",""
"Venceslas Viseur","K1H","235.94","53","581",""
"Sury Quentin","K1H","238.75","-","601",""
"Benjamin Defrocourt","K1H","240.89","515","617",""
"Thomas Monvoisin","K1H","243.64","629","636",""
"Barnavon Guillaume","K1H","256.39","556","728",""
"Renoux Franck","K1H","279.29","416","892",""
"Barnavon Nicolas","K1H","281.01","548","905",""
"Chantry Xavier","K1H","282.32","-","914",""
"Gaetan Dheilly","K1H","290.98","506","976",""
"Dameron Antoine","K1H","301.41","451","1051",""
"Chanu Cedric","K1H","311.19","-","1121",""
"Meunier Logan","K1H","318.00","594","1170",""
"Drisch Nicolas","K1H","322.69","570","1203",""
"Sassatelli Nicolas","K1H","326.38","630","1231",""
"Bolzani Fabien","K1H","442.97","683","2068",""
"Simon Nathan","K1H","540.62","-","2769",""
"Nicolas Girault","K1H","556.77","1551","2884",""
