"SÈlectif RÈgional Slalom (Double) - Toulouse - Course n∞2 | Qualification - 2018-03-18","Course n∞2 | Qualification","2018-03-18","RÈgional","245"
"Oceane Baylacq","K1D","132.31","298.73","378",""
"Margot Beziat","K1D","132.41","288.78","379.01",""
"Violaine Truche","K1D","134.3","273.57","397.95",""
"Elorri Erdois","K1D","135.07","354.85","405.65",""
"Maeva Bachelot","K1D","140.07","325.45","455.74",""
"Stephanie Kaczmarek","K1D","140.27","259.83","457.74",""
"Laetitia Thueux","K1D","141.57","356.21","470.76",""
"Camille Santa Cruz","K1D","149.85","379.99","553.71",""
"Amelie Leclercq","K1D","150.17","473.07","556.91",""
"Pauline Rouilhet","K1D","158.97","537.45","645.05",""
"Lyse Brichet","K1D","159.69","554.67","652.27",""
"Youlia Estanguet","K1D","160.21","408.18","657.48",""
"Cleo Santini","K1D","167.75","530.02","733",""
"Agathe Benoit","K1D","186.03","464.48","916.1",""
"H…l»ne Gassie","K1D","219.62","1173.17","1252.57",""
"Perrine Dujourd'hui","K1D","299.59","807.24","2053.61",""
"Estelle Baron","K1D","529.24","6162.84","4353.96",""
"Celia Roulleau","K1D","Des","-","-",""
"Solene Lafitte","K1D","Des","-","-",""
"Lea Hubert","K1D","Nt","-","-",""
"Aurore Poirot","K1D","Nt","-","-",""
"Camille Bretecher","K1D","Nt","-","-",""
"Nahia Oteiza","K1DM","135.9","354.46","413.96",""
"Chloe Bonnet","K1DM","333.05","756.36","2388.78",""
"Camille Clerc","K1DM","Nt","-","-",""
"Thomas Durand","K1H","94.2","67.39","118.94",""
"Paul Cornut-chauvinc","K1H","97.36","92.97","154.7",""
"Hugo Cailhol","K1H","97.45","118.42","155.72",""
"Hugo Crepeau","K1H","99.41","103.19","177.91",""
"Thomas Rosset","K1H","102.36","88.54","211.3",""
"Tom Deconchy","K1H","102.67","164.52","214.81",""
"Raphael Lassechere","K1H","102.94","165.2","217.86",""
"Antoine Roux","K1H","103.02","185.51","218.77",""
"Olivier Cail","K1H","104.91","205.44","240.16",""
"Samuel Bonella","K1H","105.18","228.62","243.22",""
"Luc Sarramea","K1H","105.21","211.2","243.56",""
"Damien Laborde","K1H","105.5","215.35","246.84",""
"Natan Brule","K1H","105.51","215.77","246.95",""
"Leo Fournier","K1H","105.93","177.83","251.71",""
"Dylan Sourbe","K1H","106.66","223.12","259.97",""
"Vincent Garcia","K1H","108.12","278.15","276.49",""
"Hippolyte Cail","K1H","108.54","202.18","281.25",""
"Jonathan Delagnes","K1H","108.58","233.11","281.7",""
"Tom Ydoux","K1H","109.28","284.49","289.62",""
"Nicolas Caussanel","K1H","109.43","217.75","291.32",""
"Elliot Perez","K1H","109.99","297.09","297.66",""
"Nour Ait Kaddour","K1H","111.82","305.57","318.37",""
"Theo Ducasse","K1H","111.83","329.02","318.49",""
"Paul Commenges","K1H","112.45","280.17","325.51",""
"Marc Sarramea","K1H","113.96","339.77","342.6",""
"Felix Praderie","K1H","114.58","290.56","349.61",""
"Cyprien Cail","K1H","114.99","374.44","354.26",""
"Quentin Clerc","K1H","115.25","266.51","357.2",""
"Clement Caillard","K1H","115.59","372.87","361.05",""
"Maxime Charron","K1H","115.63","318.79","361.5",""
"Clement Guiraud","K1H","115.69","292.39","362.18",""
"Dimitri Thauvin","K1H","115.72","369.15","362.52",""
"Marceau Faget","K1H","116.38","327.67","369.99",""
"Tino Forgues","K1H","116.86","290.92","375.42",""
"Nicolas Saurat","K1H","117.12","288.21","378.36",""
"Hugo Mouffle","K1H","117.38","282.65","381.31",""
"Adrien Picco","K1H","117.63","252.34","384.14",""
"Paul Pradalie","K1H","117.66","259.63","384.48",""
"Tom Bouchardon","K1H","118.39","212.5","392.74",""
"Arthur Cousty","K1H","119.07","366.74","400.44",""
"Loris Shayam Affre","K1H","119.43","378.03","404.51",""
"Nathaniel Levy","K1H","120.31","364.18","414.47",""
"Etienne Saint Picq","K1H","120.45","415.94","416.06",""
"Jean Philippe Roche","K1H","120.59","314.14","417.64",""
"Bertrand Bercon","K1H","120.75","315.16","419.45",""
"Tom Zanfini","K1H","120.76","302.21","419.57",""
"Mael Hervault","K1H","121.84","382.17","431.79",""
"Paul Gobert","K1H","124.03","434.63","456.58",""
"Alex Baldoni","K1H","124.13","470.99","457.71",""
"Samuel Taillefer","K1H","124.5","327.19","461.9",""
"Esteban Illido","K1H","124.5","324.98","461.9",""
"Fabien Paleau","K1H","125.13","315.43","469.03",""
"Pascal Dongarra","K1H","126.01","356.51","478.99",""
"Louis Bouchiat","K1H","126.37","466.34","483.07",""
"Romain Gresle","K1H","126.52","680.32","484.76",""
"Jules Besson","K1H","127.71","454.62","498.23",""
"Mael Bernes","K1H","127.75","374.05","498.69",""
"Clement Riera","K1H","128.85","460.52","511.14",""
"Thomas Terr…","K1H","129.28","495.24","516",""
"Theo Dunie","K1H","130.68","527.35","531.85",""
"Angus Cruickshank","K1H","130.75","397.09","532.64",""
"Marin Saint Macary","K1H","132.11","505.09","548.04",""
"Laurence Scrimgeour","K1H","132.26","429","549.73",""
"Loic Leymonerie","K1H","134.13","630.19","570.9",""
"Guillaume Malmezac","K1H","134.29","512.04","572.71",""
"Jean Christophe Erdois","K1H","134.86","345.03","579.16",""
"Marc Cordier","K1H","135.65","303.11","588.1",""
"Pierrick Bresson","K1H","135.87","495.65","590.59",""
"Hugo Crespo","K1H","135.91","357.61","591.05",""
"Tristan Ruiz","K1H","138.39","624.03","619.12",""
"Fantin Delage-garez","K1H","140.93","396.36","647.87",""
"Arthur Crueghe","K1H","141.64","796.08","655.91",""
"Simeon Althabegoity","K1H","142.16","496.98","661.79",""
"Arthur Barreteau","K1H","145.2","585.14","696.2",""
"Jean Dayraut","K1H","146.86","577.44","714.99",""
"Alexandre Weiler","K1H","147.26","1039.01","719.52",""
"Baptiste Moret","K1H","149.31","667.1","742.72",""
"Bruno Lamothe","K1H","149.34","891.67","743.06",""
"Damien Caillard","K1H","149.92","685.2","749.63",""
"Loan Jioux","K1H","149.94","822.96","749.85",""
"Vincent Falchi","K1H","150.18","795.25","752.57",""
"Baptiste San Nicolas","K1H","152.12","483.71","774.53",""
"Clement Serres","K1H","153.72","857.92","792.64",""
"Matt Vidou","K1H","154.73","546.14","804.07",""
"Jeremie Palazy","K1H","154.96","177.05","806.67",""
"Remi Dolcin Tillant","K1H","156.4","604.08","822.97",""
"Felix Bedulho","K1H","156.46","1040.25","823.65",""
"Liam Caradec","K1H","156.83","559.43","827.84",""
"Karl Bouthegourd","K1H","166.08","334.86","932.54",""
"Leo Arriau","K1H","167.96","1018.62","953.82",""
"Aurelien Blois","K1H","169.67","808.12","973.17",""
"Quentin Escudero","K1H","169.99","554.68","976.8",""
"Pablo Chaminade","K1H","171.93","361.09","998.76",""
"Thomas Moret","K1H","172.59","498.45","1006.23",""
"Paul Ballery","K1H","173.08","516.94","1011.77",""
"Quentin Rabot","K1H","175.49","1047.27","1039.05",""
"Daniel Lafitte","K1H","180.97","679.11","1101.08",""
"Abel Boidron","K1H","187.51","504.31","1175.1",""
"Jules Maitre","K1H","193.71","1410.74","1245.28",""
"Yoan Dalla Longa","K1H","201.59","725.73","1334.47",""
"Gabriel Felenc","K1H","204.63","609.35","1368.88",""
"Alexis Dorey","K1H","222.32","229.6","1569.12",""
"Julien Ducroq","K1H","237.38","988.38","1739.58",""
"Leo Larroque","K1H","245.15","1070.91","1827.53",""
"Martin Thermidor","K1H","291.38","905.44","2350.8",""
"Tom Huertas","K1H","308.6","1691.57","2545.71",""
"Mat…o Million","K1H","311.02","1713.71","2573.11",""
"Nicolas Alran","K1H","Nt","-","-",""
"Noe Villeneuve","K1H","Nt","-","-",""
"Denis Barkat","K1H","Nt","-","-",""
"Bruno Giovannelli","K1H","Nt","-","-",""
"Thierry Raimbault","K1H","Nt","-","-",""
"Yannis Dast","K1H","Nt","-","-",""
"Felix Sperandio","K1H","Nt","-","-",""
"Elian Giondini","K1H","Nt","-","-",""
"Louis Foissac","K1H","Nt","-","-",""
"Thibault Clerc","K1H","Nt","-","-",""
"Vincent Bocci","K1H","Nt","-","-",""
"Sebastien Mouyen Bie","K1H","Nt","-","-",""
"Antoine Laye","K1H","Nt","-","-",""
"Sam Traquet","K1H","Nt","-","-",""
"Vincent Fondeviole","K1H","Nt","-","-",""
"Theo Viens","K1H","Nt","-","-",""
"Mateo Destruel","K1H","Des","-","-",""
"Angel Campillo","K1H","Des","-","-",""
"Emilien Courtiade","K1HM","111.74","331.25","317.47",""
"Edgar Paleaubrasseur","K1HM","127.87","514.6","500.04",""
"Matheo Nassieu","K1HM","145.12","678","695.29",""
"Florian Malaval","K1HM","145.24","789.69","696.65",""
"K…ziah Lecomte","K1HM","148.33","617.48","731.63",""
"Antton Erdois","K1HM","148.45","482.77","732.99",""
"Timeo Canonico","K1HM","149.57","634.24","745.66",""
"Guillaume Pradalie","K1HM","150.02","537.26","750.76",""
"Clement Claret","K1HM","150.79","686.27","759.47",""
"Maxime Blondeau","K1HM","152.93","530.11","783.7",""
"Antoine Rouaud","K1HM","178.48","3683.74","1072.89",""
"Theo Bertauts","K1HM","179.69","-","1086.59",""
"Arsene Labarthe","K1HM","183.48","839.15","1129.49",""
"Arthur Piqueras","K1HM","207.48","990.42","1401.14",""
"Nicolas Leman","K1HM","209.31","1661.9","1421.86",""
"Antonin Bretecher","K1HM","211.06","779.49","1441.67",""
"Eyquem Martin Skutnik","K1HM","269.98","1311","2108.58",""
"Malo Maitrejean","K1HM","278.9","2232.15","2209.54",""
"Wilfrid Pinto De Magalhaes","K1HM","294.73","857.28","2388.72",""
"Lilian Dujourd'hui","K1HM","353.68","1931.13","3055.97",""
"Quentin Arnaudin","K1HM","443.54","1629.82","4073.09",""
"Martin Grzeskowiak","K1HM","747.7","6513.4","7515.86",""
"Basile Guillermin","K1HM","Nt","-","-",""
"Lukas Estanguet-santamaria","K1HM","Nt","-","-",""
"Miguel Irungaraylarronde","K1HM","Des","-","-",""
"Bilal Robert Caldini","K1HM","Nt","-","-",""
