"Championnat RÈgional de Slalom - Orthez - Finale - 2018-07-01","Finale","2018-07-01","RÈgional","220"
"Thomas Terr…","K1H","136.37","450.28","728","Finale A"
"Tom Babin","K1H","141.91","203.27","797.79","Finale A"
"Hugo Crepeau","K1H","142.55","89.3","805.85","Finale A"
"Matheo Gillaizeau","K1H","144.76","203.98","833.69","Finale A"
"Tom Bouchardon","K1H","144.78","178.74","833.95","Finale A"
"Adrien Mesmoudi","K1H","150.54","288.43","906.51","Finale A"
"Elian Giondini","K1H","165.34","355.43","1092.96","Finale A"
"Paul Gobert","K1H","167.88","378.41","1124.95","Finale A"
"Alexandre Medge","K1H","170.03","503.25","1152.04","Finale A"
"Emilien Courtiade","K1HM","97.45","309.67","237.69","Finale A"
"Edgar Paleaubrasseur","K1HM","104.2","466.1","322.73","Finale A"
"Antton Erdois","K1HM","105.27","446.68","336.21","Finale A"
"Maxime Blondeau","K1HM","107.5","465.1","364.3","Finale A"
"Yon Dandonneau","K1HM","111.83","381.77","418.85","Finale A"
"Matt…o Rainaud","K1HM","115.05","533.5","459.41","Finale A"
"Esteban Bidegain","K1HM","115.82","539.8","469.11","Finale A"
"Antoine Raby","K1HM","121.25","749.95","537.52","Finale A"
"Timeo Canonico","K1HM","121.38","607.36","539.16","Finale A"
"Emeric Nieser","K1HM","124.41","554.55","577.33","Finale A"
"Matheo Nassieu","K1HM","135.72","635.96","719.81","Finale A"
"Nino Langlume","K1HM","136.41","715.13","728.5","Finale A"
"K…ziah Lecomte","K1HM","139.33","625.39","765.29","Finale A"
"Owen Merpillat","K1HM","147.97","896.51","874.13","Finale A"
"Antonin Bretecher","K1HM","155.91","875.58","974.16","Finale A"
"Clement Brotier","K1HM","180.01","651.64","1277.77","Finale A"
"Mathys Maniet","K1HM","201.8","952.56","1552.27","Finale A"
"Isaac Dufrene","C1H","106","306.79","286.81","Finale B"
"Nicolas Labat","C1H","108.04","456.72","311.29","Finale B"
"Marc Sarramea","C1H","109.74","293.86","331.68","Finale B"
"Theo Jeanlouis","C1H","114.79","487.14","392.28","Finale B"
"Theo Desvignes","C1H","115.43","266.33","399.95","Finale B"
"Adrien Picco","C1H","115.54","363.56","401.27","Finale B"
"Alex Baldoni","C1H","119.63","441.12","450.34","Finale B"
"Natan Brule","C1H","119.69","378.23","451.06","Finale B"
"Hugo Crespo","C1H","124.53","477.27","509.14","Finale B"
"Tom Baillon","C1H","125.56","714.81","521.5","Finale B"
"Gaspard Trichard","C1H","138.87","628.64","681.18","Finale B"
"Adrien Favennec","C1H","165.17","939.14","996.73","Finale B"
"Lucas Deleplancque","C1H","173.58","1166.45","1097.63","Finale B"
"Adrien Mesmoudi","C1H","Des","-","-","Finale B"
"Clement Brotier","C1HM","177","722.75","1138.66","Finale B"
"Matt Vidou-Baptiste Delemotte","C2H","149.37","716.94","725.7","Finale B"
"Esteban Bidegain-Noa Lorand","C2H","171.22","949.9","975.95","Finale B"
"Lucas Deleplancque-Adrien Favennec","C2H","185.68","1423.96","1141.54","Finale B"
"Zoe Waeles","K1D","119.84","430.22","351.07","Finale B"
"Juliette Derouineau","K1D","129.23","465.88","455.76","Finale B"
"Oceane Dorval","K1D","130.08","291.05","465.23","Finale B"
"Camille Santa Cruz","K1D","131.34","463.69","479.28","Finale B"
"Charline Berger Martin","K1D","161.14","185.94","811.51","Finale B"
"Alice Bureau","K1D","223.2","559.61","1503.38","Finale B"
"Laurine Meslong","K1D","274.85","577.99","2079.2","Finale B"
"Chloe Bonnet","K1DM","Des","-","-","Finale B"
"Alan Dollo","K1H","89.51","64.37","142.67","Finale B"
"Olivier Cail","K1H","92.14","192.42","175.8","Finale B"
"Bertrand Gourrat","K1H","96.04","204.64","224.93","Finale B"
"Arthur Huet","K1H","106.97","342.31","362.62","Finale B"
"Dylan Renneteau","K1H","107.68","582.25","371.57","Finale B"
"Fabien Paleau","K1H","108.19","318.45","377.99","Finale B"
"Adrien Picco","K1H","108.22","248.68","378.37","Finale B"
"Adrien Ricaud","K1H","108.75","462.19","385.05","Finale B"
"Maxime Charron","K1H","109.72","326.92","397.27","Finale B"
"Antonin Beyneix","K1H","110.08","455.08","401.8","Finale B"
"Titouan Conseil","K1H","112.11","451.87","427.38","Finale B"
"Louis Rathier","K1H","113.02","453.42","438.84","Finale B"
"Adrien Pardoux","K1H","113.91","405.67","450.05","Finale B"
"Lucas Dongarra","K1H","114.32","466.94","455.22","Finale B"
"Thomas Moret","K1H","114.57","457.54","458.37","Finale B"
"Remi Dolcin Tillant","K1H","115.87","519.29","474.74","Finale B"
"NaÀl Rajoub","K1H","115.95","326.89","475.75","Finale B"
"Nicolas Saurat","K1H","116.17","312.97","478.52","Finale B"
"Matt Vidou","K1H","117.39","446.6","493.89","Finale B"
"Lohan Wyon","K1H","118.36","517.67","506.11","Finale B"
"Tom Delens","K1H","118.53","405.31","508.25","Finale B"
"Julien Doumecq","K1H","119.01","487.94","514.3","Finale B"
"Romain Guichet","K1H","122.52","715.04","558.52","Finale B"
"Gauthier Beyneix","K1H","125.44","876.23","595.31","Finale B"
"Marin Saint Macary","K1H","126.75","492.05","611.81","Finale B"
"Eric Vidou","K1H","127.62","435.06","622.77","Finale B"
"Arthur Caillaud-gault","K1H","128.34","565.95","631.84","Finale B"
"Simon Metra","K1H","131.89","482.74","676.56","Finale B"
"Flavien Portier","K1H","133.23","513.99","693.44","Finale B"
"Noa Lorand","K1H","133.93","582.12","702.26","Finale B"
"Thibault Marque","K1H","135.04","594.17","716.24","Finale B"
"Guillaume Lopes","K1H","136.47","555.05","734.26","Finale B"
"Gaspard Trichard","K1H","137.92","692.7","752.53","Finale B"
"Bruno Lamothe","K1H","138","646.65","753.53","Finale B"
"Pierre Gaydier","K1H","138.44","603.73","759.08","Finale B"
"Adrien Favennec","K1H","141.27","638.89","794.73","Finale B"
"Martin Thermidor","K1H","144.77","861.17","838.82","Finale B"
"Baptiste Mondin","K1H","149.73","1236.06","901.31","Finale B"
"Sam Traquet","K1H","151.22","224.47","920.08","Finale B"
"Gr…gory Navail","K1H","181.88","764.35","1306.32","Finale B"
"Leo Dujourd'hui","K1H","185.19","482.92","1348.02","Finale B"
"Aurelien Blois","K1H","191.83","717.87","1431.67","Finale B"
"Tristan Ruiz","K1H","191.9","491.17","1432.55","Finale B"
"Lucas Deleplancque","K1H","195.19","695.33","1474","Finale B"
"Simon Tourtois","K1H","242.7","599.49","2072.52","Finale B"
"Nicolas Peyroux","K1H","323.28","1041.11","3087.65","Finale B"
"Loœck Vidal","K1H","353.13","2289.32","3463.69","Finale B"
"Daniel Lafitte","K1H","Abs","-","-","Finale B"
"Clement Drillaud","K1H","Des","-","-","Finale B"
"Pierre Maupetit","K1H","Abs","-","-","Finale B"
"Abel Boidron","K1H","Des","-","-","Finale B"
"Edouard Patry","K1HM","121.32","744.25","543.4","Finale B"
"Gaetan Rousseau","K1HM","139.78","1081.07","775.96","Finale B"
"Benjamin Peuch","K1HM","154.49","-","961.27","Finale B"
"Theo Bertauts","K1HM","157.94","1356.48","1004.73","Finale B"
"Antoine Carrere","K1HM","158.77","1769.19","1015.19","Finale B"
"Walid Belkoussa","K1HM","163.21","1064.83","1071.12","Finale B"
"Pablo Renis Morales","K1HM","190.32","979.7","1412.65","Finale B"
"Malo Fevin","K1HM","197.8","1661.59","1506.88","Finale B"
"Baptiste Vinet","K1HM","201.44","1233.37","1552.74","Finale B"
"Arsene Labarthe","K1HM","208.66","775.95","1643.69","Finale B"
"Hicham Domti","K1HM","244.93","1409.25","2100.61","Finale B"
"Louison Masse","K1HM","319.71","-","3042.67","Finale B"
"Paul Brochard","K1HM","332.2","2336.74","3200.02","Finale B"
"Amil Kourdoughli","K1HM","Des","-","-","Finale B"
"Axel Plumereau","K1HM","Abs","-","-","Finale B"
"Justin Poupard","K1HM","Des","-","-","Finale B"
