"COUPE D'AQUITAINE - Mont De Marsan - 2002-10-13","Course 1","2002-10-13","Régional","163"
"Maurilieras Laura","K1D","257.00","-","571",""
"Adisson Estelle","K1D","266.00","-","628",""
"Duval Deplanne Aline","K1D","266.00","-","628",""
"Jegouzo Adeline","K1D","278.00","-","703",""
"Bize Freddie","K1D","288.00","-","766",""
"Depierre Martine","K1D","314.00","-","930",""
"Roussel Stephanie","K1D","314.00","-","930",""
"Fontaneau Marion","K1D","426.00","-","1636",""
"Destouesse Elodie","K1D","437.00","-","1704",""
"Musseau Nathalie","K1D","581.00","-","2612",""
"Benoit Peschier","K1H","167.00","17","110",""
"Julien Dekarczyk","K1H","171.00","40","137",""
"Portelli Yoann","K1H","173.00","184","151",""
"Olivier Cain","K1H","176.00","260","172",""
"Sebastien Halilou","K1H","178.00","139","185",""
"Samuel Hernanz","K1H","178.00","125","185",""
"Michael Guyon","K1H","179.00","165","193",""
"Girard Adrien","K1H","179.00","167","193",""
"Bernis Camille","K1H","180.00","72","199",""
"Julien Lenaour","K1H","181.00","208","207",""
"Aurelien Leroy","K1H","189.00","250","262",""
"Gregory Ponassie","K1H","189.00","272","262",""
"Le Menu Cedric","K1H","189.00","-","262",""
"Hayet Julien","K1H","190.00","204","269",""
"Jose Pereira","K1H","190.00","316","269",""
"Boris Lesimple","K1H","191.00","300","276",""
"Duquet Guillaume","K1H","191.00","258","276",""
"Seguin Mickael","K1H","192.00","-","282",""
"Pascal Dongarra","K1H","193.00","250","290",""
"Lucien Delfour","K1H","194.00","-","296",""
"Nicolas Le Provost","K1H","194.00","387","296",""
"Tony Deshayes","K1H","195.00","-","304",""
"Pomies Raphael","K1H","195.00","258","304",""
"Court Germain","K1H","195.00","-","304",""
"Barthes Julien","K1H","198.00","346","324",""
"Clerc Pierrealain","K1H","198.00","-","324",""
"Veronel Patrice","K1H","198.00","236","324",""
"Jeancharles Bernis","K1H","199.00","297","331",""
"Adrien Ponassie","K1H","200.00","331","338",""
"Lafitte Gerard","K1H","201.00","-","345",""
"Hugues Lesimple","K1H","202.00","364","352",""
"Couratier Julien","K1H","202.00","633","352",""
"Kheris Samuel","K1H","204.00","-","366",""
"Lespine Stephane","K1H","204.00","579","366",""
"Mathieu Pouchet","K1H","204.00","522","366",""
"Naves Pierre","K1H","205.00","-","373",""
"Manuel Legros","K1H","205.00","367","373",""
"Louis Georges Lafont","K1H","206.00","-","379",""
"Frederic Descot","K1H","207.00","320","387",""
"Jonot Anthony","K1H","208.00","497","393",""
"Bibonne Kevin","K1H","209.00","442","401",""
"Baude Yves","K1H","210.00","-","407",""
"Saint Jours Olivier","K1H","212.00","-","421",""
"Doat Fabien","K1H","216.00","522","449",""
"Dezes Jeremie","K1H","216.00","-","449",""
"Lassoureille Remi","K1H","217.00","-","456",""
"Roso Emilien","K1H","217.00","421","456",""
"Pourtau Stephane","K1H","220.00","498","476",""
"Sellay Anthony","K1H","224.00","-","504",""
"Lemaire Martin","K1H","225.00","-","512",""
"Jean Luc Pessoni","K1H","226.00","482","518",""
"Desthomas Sylvain","K1H","228.00","707","532",""
"Herry Yohan","K1H","229.00","-","539",""
"Courtiade Jean Yves","K1H","230.00","-","546",""
"Saint Cricq Sebastien","K1H","231.00","614","553",""
"Cabe Anthony","K1H","234.00","-","574",""
"Musseau Yvan","K1H","234.00","-","574",""
"Lafitte Aurelien","K1H","236.00","-","587",""
"Drouet Nicolas","K1H","236.00","-","587",""
"Fourcade Thomas","K1H","238.00","-","601",""
"Dubedat Tommy","K1H","238.00","-","601",""
"Kleim Simon","K1H","238.00","-","601",""
"Casteran Regis","K1H","238.00","940","601",""
"Pradalier Florent","K1H","241.00","797","623",""
"Van Kalsbeek Elwin","K1H","242.00","-","629",""
"Kraemer Nicolas","K1H","242.00","-","629",""
"Jomain Lionel","K1H","243.00","-","636",""
"Rouyrre Guillaume","K1H","243.00","-","636",""
"Martinez Angel","K1H","244.00","-","643",""
"Lafitte Florian","K1H","245.00","-","650",""
"Cornier Aurelien","K1H","245.00","-","650",""
"Laboure Yvain","K1H","246.00","-","657",""
"Van Kalsbeek Guido","K1H","249.00","-","678",""
"Nicolas Neveu","K1H","250.00","-","684",""
"Francois Cauchi","K1H","250.00","-","684",""
"Thomas Wingerter","K1H","253.00","-","706",""
"Doat Francois","K1H","255.00","-","720",""
"Celerier Romain","K1H","255.00","705","720",""
"Maxime Mitaut","K1H","256.00","-","726",""
"Delbes Florian","K1H","257.00","-","733",""
"Brunet Andre","K1H","259.00","-","747",""
"Mallegol Sebastien","K1H","261.00","-","761",""
"Ferbos Jean Baptiste","K1H","262.00","-","768",""
"Lamarque Thomas","K1H","262.00","-","768",""
"Monclus David","K1H","264.00","-","781",""
"Grund Jean-Baptiste","K1H","265.00","-","789",""
"Challot Antoine","K1H","267.00","-","803",""
"Lesimple Marc","K1H","268.00","-","809",""
"De Zorzi Anthony","K1H","270.00","-","823",""
"Lopez Ivo","K1H","273.00","-","844",""
"Navarro Romain","K1H","276.00","-","865",""
"Barbe Erwan","K1H","278.00","-","878",""
"Vidal Gael","K1H","290.00","-","962",""
"Matabos Sylvain","K1H","295.00","-","997",""
"Dufau Laurent","K1H","296.00","-","1003",""
"Jouanolou Remi","K1H","300.00","-","1031",""
"Peyre Maxime","K1H","317.00","-","1148",""
"Netzea Leo","K1H","318.00","-","1156",""
"Prat Olivier","K1H","319.00","-","1162",""
"Labeyrie Mickael","K1H","358.00","-","1433",""
"Peyregne Fabien","K1H","385.00","-","1619",""
"Frederic Lascourreges","K1H","394.00","256","1682",""
"Roux Benjamin","K1H","429.00","-","1924",""
"Leon Sebastien","K1H","454.00","-","2098",""
