"SÈlectif RÈgional Slalom (Double) - Double Slalom De Pau - Course n∞2 | Finale - 2017-10-29","Course n∞2 | Finale","2017-10-29","RÈgional","290"
"Angele Hug","K1D","120","107.73","318.12","Course n∞2 | Finale A"
"Oceane Baylacq","K1D","127","290.12","389.48","Course n∞2 | Finale A"
"Joana Palermo","K1D","163.49","89.72","761.48","Course n∞2 | Finale A"
"Laurine Salesse","K1DM","125.23","314.34","371.44","Course n∞2 | Finale A"
"Romane Regnier","K1DM","140.45","384.57","526.6","Course n∞2 | Finale A"
"Clara Delahaye","K1DM","162.97","387.21","756.18","Course n∞2 | Finale A"
"Quentin Burgi","K1H","84.26","42.87","65.43","Course n∞2 | Finale A"
"Mathurin Madore","K1H","86.28","29.74","88.7","Course n∞2 | Finale A"
"Boris Neveu","K1H","86.38","21.39","89.86","Course n∞2 | Finale A"
"Janos Peterlin","K1H","86.63","89.31","92.74","Course n∞2 | Finale A"
"Mathieu Biazizzo","K1H","86.66","29.92","93.08","Course n∞2 | Finale A"
"Alan Dollo","K1H","88.7","85.45","116.58","Course n∞2 | Finale A"
"Sebastien Combot","K1H","89.01","36.32","120.15","Course n∞2 | Finale A"
"Malo Quemeneur","K1H","89.32","54.83","123.72","Course n∞2 | Finale A"
"Simon Hene","K1H","89.51","108.76","125.91","Course n∞2 | Finale A"
"Benjamin Renia","K1H","89.63","40.7","127.3","Course n∞2 | Finale A"
"Mathieu Doby","K1H","90.46","62.97","136.86","Course n∞2 | Finale A"
"Tom Scianimanico","K1H","90.55","64.43","137.89","Course n∞2 | Finale A"
"Clement Travert","K1H","90.62","80.27","138.7","Course n∞2 | Finale A"
"Yves Prigent","K1H","90.71","30.64","139.74","Course n∞2 | Finale A"
"Guillaume Graille","K1H","90.88","57.56","141.7","Course n∞2 | Finale A"
"Gurgen Brun","K1H","91.06","77.63","143.77","Course n∞2 | Finale A"
"Thomas Durand","K1H","91.13","88.09","144.58","Course n∞2 | Finale A"
"Aaron Penning","K1H","91.19","137.45","145.27","Course n∞2 | Finale A"
"Edgar Prigent","K1H","91.29","69.08","146.42","Course n∞2 | Finale A"
"Thomas Bersinger","K1H","91.32","54.12","146.76","Course n∞2 | Finale A"
"Theo Desvignes","K1H","91.46","116.45","148.38","Course n∞2 | Finale A"
"Pierre Giudicelli","K1H","91.53","77.22","149.18","Course n∞2 | Finale A"
"Thomas Rosset","K1H","91.76","83.81","151.83","Course n∞2 | Finale A"
"Nicolas Baudoin","K1H","92.36","85.88","158.75","Course n∞2 | Finale A"
"Pierre-louis Saussereau","K1H","92.4","173.68","159.21","Course n∞2 | Finale A"
"Pol Oulhen","K1H","92.61","55.16","161.63","Course n∞2 | Finale A"
"Jonas Turmeau","K1H","93.07","76.63","166.92","Course n∞2 | Finale A"
"Martin Daviet","K1H","93.39","73.52","170.61","Course n∞2 | Finale A"
"Vincent Delahaye","K1H","93.61","108.05","173.15","Course n∞2 | Finale A"
"Hugo Cailhol","K1H","93.62","121.25","173.26","Course n∞2 | Finale A"
"Isaac Dufrene","K1H","93.78","96.68","175.1","Course n∞2 | Finale A"
"Enrick Cunsolo","K1H","94.83","76.49","187.2","Course n∞2 | Finale A"
"Jimy Bercon","K1H","95.42","178.27","194","Course n∞2 | Finale A"
"Leo Fournier","K1H","95.48","177.96","194.69","Course n∞2 | Finale A"
"Hugo Regnier","K1H","95.87","139.01","199.18","Course n∞2 | Finale A"
"Yanis Rainaud","K1H","96.11","143.31","201.94","Course n∞2 | Finale A"
"Loan Queffelec","K1H","96.18","233.18","202.75","Course n∞2 | Finale A"
"Valentin Courtiade","K1H","98.88","191.63","233.85","Course n∞2 | Finale A"
"Florian Busson","K1H","99.56","146.61","241.69","Course n∞2 | Finale A"
"Arthur Mizzi","K1H","99.94","200.79","246.07","Course n∞2 | Finale A"
"Adrien Picco","K1H","99.96","287.41","246.3","Course n∞2 | Finale A"
"Nicolas Feuillard","K1H","100.68","186.13","254.59","Course n∞2 | Finale A"
"Pierre Grapotte","K1H","100.82","128.89","256.2","Course n∞2 | Finale A"
"Timothee Cornu","K1H","101.11","195.75","259.54","Course n∞2 | Finale A"
"Dylan Sourbe","K1H","101.37","226.49","262.54","Course n∞2 | Finale A"
"Telmo Olazabal","K1H","102.42","159.15","274.64","Course n∞2 | Finale A"
"Jeanmichel Regnier","K1H","102.99","269.27","281.2","Course n∞2 | Finale A"
"Hippolyte Cail","K1H","103.5","184.84","287.08","Course n∞2 | Finale A"
"Sebastien Mouyen Bie","K1H","104.65","281.27","300.32","Course n∞2 | Finale A"
"Jerome Blanchet","K1H","105.04","283.99","304.82","Course n∞2 | Finale A"
"Jeremie Palazy","K1H","105.27","196.86","307.47","Course n∞2 | Finale A"
"Clement Guiraud","K1H","105.43","331.11","309.31","Course n∞2 | Finale A"
"Arnaud Verrons","K1H","106.35","268.2","319.91","Course n∞2 | Finale A"
"Paul Commenges","K1H","108.11","284.45","340.18","Course n∞2 | Finale A"
"Adrien Mesmoudi","K1H","108.18","283.24","340.99","Course n∞2 | Finale A"
"Vincent Bocci","K1H","110.55","261.1","368.29","Course n∞2 | Finale A"
"Romain Branjauneau","K1H","111.79","256.95","382.58","Course n∞2 | Finale A"
"Thibault Alcaras","K1H","112.18","292.76","387.07","Course n∞2 | Finale A"
"Otello Willmann Rosso","K1H","114.05","205.7","408.61","Course n∞2 | Finale A"
"Elian Giondini","K1H","114.08","372.08","408.96","Course n∞2 | Finale A"
"Matheo Gillaizeau","K1H","116.51","249.78","436.95","Course n∞2 | Finale A"
"Anatole Delassus","K1H","140.73","94.2","715.96","Course n∞2 | Finale A"
"Thomas Schmitt","K1H","141.13","71.55","720.57","Course n∞2 | Finale A"
"Raphael Lassechere","K1H","145.58","178.69","771.83","Course n∞2 | Finale A"
"Tom Bouchardon","K1H","150.27","239.76","825.86","Course n∞2 | Finale A"
"Paul Cornut-chauvinc","K1H","153.5","92.97","863.07","Course n∞2 | Finale A"
"Bertrand Gourrat","K1H","158.58","210.78","921.59","Course n∞2 | Finale A"
"Herve Busson","K1H","158.69","233.11","922.86","Course n∞2 | Finale A"
"Didier Baylacq","K1H","167.53","273.37","1024.69","Course n∞2 | Finale A"
"Alexis Dorey","K1H","220.81","261.85","1638.47","Course n∞2 | Finale A"
"Cyprien Cail","K1HM","108.71","433.42","347.1","Course n∞2 | Finale A"
"Titouan Castryck","K1HM","111.18","341.23","375.55","Course n∞2 | Finale A"
"Mewen Debliquy","K1HM","114.3","424.58","411.49","Course n∞2 | Finale A"
"Loris Shayam Affre","K1HM","116.05","382.65","431.65","Course n∞2 | Finale A"
"Hugo Crespo","K1HM","116.72","437.95","439.37","Course n∞2 | Finale A"
"Mael Bernes","K1HM","125.31","397.79","538.32","Course n∞2 | Finale A"
"Alex Baldoni","K1HM","126.21","471.59","548.69","Course n∞2 | Finale A"
"Adrien Pardoux","K1HM","136.31","451.1","665.04","Course n∞2 | Finale A"
"Emilien Courtiade","K1HM","164.22","440.76","986.56","Course n∞2 | Finale A"
"Antton Erdois","K1HM","195.46","523.43","1346.44","Course n∞2 | Finale A"
"Timeo Canonico","K1HM","215.84","1388.04","1581.22","Course n∞2 | Finale A"
"Thomas Terr…","K1HM","Dsq","-","-","Course n∞2 | Finale A"
"Klara Olazabal","C1D","104.53","313.63","103.25","Course n∞2 | Finale B"
"Marjorie Delassus","C1D","110.57","146.91","161.23","Course n∞2 | Finale B"
"Lea Grison","C1D","134.18","240.93","387.89","Course n∞2 | Finale B"
"Amaurie Guilleret","C1D","169.61","302.33","728.01","Course n∞2 | Finale B"
"Perrine Joubert","C1D","Des","-","-","Course n∞2 | Finale B"
"Elorri Erdois","C1D","Des","-","-","Course n∞2 | Finale B"
"Alexis Bobon","C1H","95.87","162.26","151.59","Course n∞2 | Finale B"
"Quentin Burgi","C1H","100.11","226.39","198.11","Course n∞2 | Finale B"
"Adrien Fischer","C1H","101.92","224.92","217.97","Course n∞2 | Finale B"
"Hector Combes","C1H","102.22","173.01","221.26","Course n∞2 | Finale B"
"Martin Daviet","C1H","103.02","202.14","230.03","Course n∞2 | Finale B"
"Guillaume Graille","C1H","103.73","260.58","237.82","Course n∞2 | Finale B"
"Anthony Roux","C1H","103.83","174.48","238.92","Course n∞2 | Finale B"
"Marc Sarramea","C1H","108.9","330.41","294.54","Course n∞2 | Finale B"
"Galaad Pereyron","C1H","113.97","167.74","350.17","Course n∞2 | Finale B"
"Clement Travert","C1H","116.52","393.73","378.14","Course n∞2 | Finale B"
"Raphael Lassechere","C1H","118.69","355.54","401.95","Course n∞2 | Finale B"
"Tomy Dandonneau","C1H","124.91","346.91","470.2","Course n∞2 | Finale B"
"Dominik Gosset","C1H","127","307.89","493.12","Course n∞2 | Finale B"
"Jonathan Suc","C1H","136.9","447.92","601.74","Course n∞2 | Finale B"
"Thomas Rosset","C1H","161.64","153.24","873.17","Course n∞2 | Finale B"
"Henri Chenu","C1H","162.8","237.76","885.9","Course n∞2 | Finale B"
"Antoine Demateis","C1H","166.71","394.95","928.79","Course n∞2 | Finale B"
"Natan Brule","C1H","205.6","392.67","1355.48","Course n∞2 | Finale B"
"Dyclan Plessis","C1H","224.94","488.07","1567.66","Course n∞2 | Finale B"
"Paul Gobert","C1H","Abs","-","-","Course n∞2 | Finale B"
"Mewen Debliquy","C1HM","123.72","452.48","457.14","Course n∞2 | Finale B"
"Loris Shayam Affre","C1HM","145.31","499.96","694","Course n∞2 | Finale B"
"Theo Jeanlouis","C1HM","201.37","517.68","1309.06","Course n∞2 | Finale B"
"Clement Gillaizeau","C1HM","337.2","561.27","2799.29","Course n∞2 | Finale B"
"Yon Dandonneau","C1HM","Abs","-","-","Course n∞2 | Finale B"
"Herve Clerc-Pierrealain Clerc","C2H","146.49","394.22","633.91","Course n∞2 | Finale B"
"Gedeon Cothias-faure-Cedric Landreau","C2H","159.98","573.5","775.17","Course n∞2 | Finale B"
"Charles Billon-Dyclan Plessis","C2H","161.81","557.52","794.34","Course n∞2 | Finale B"
"Clement Riera-Maxime Blondeau","C2HM","Abs","-","-","Course n∞2 | Finale B"
"Solene Graille","K1D","102.04","95.15","140.02","Course n∞2 | Finale B"
"Claire Jacquet","K1D","105.34","357.69","173.67","Course n∞2 | Finale B"
"Laurene Roisin","K1D","108.32","229.06","204.05","Course n∞2 | Finale B"
"Amaurie Guilleret","K1D","116.32","229.98","285.6","Course n∞2 | Finale B"
"Lea Baldoni","K1D","118.31","289.96","305.89","Course n∞2 | Finale B"
"Carla Lacroix","K1D","119.87","344.37","321.8","Course n∞2 | Finale B"
"Lise Denat","K1D","122.75","281.85","351.15","Course n∞2 | Finale B"
"Eva Pietracha","K1D","127.56","186.44","400.19","Course n∞2 | Finale B"
"Emilie Delahaye","K1D","138.9","256.12","515.79","Course n∞2 | Finale B"
"Oceane Dorval","K1D","141.39","287.41","541.18","Course n∞2 | Finale B"
"Laurence Pessoni","K1D","147.94","410.55","607.95","Course n∞2 | Finale B"
"Clemence Lartigue","K1D","169.38","244.26","826.53","Course n∞2 | Finale B"
"Elena Hugues","K1D","170.17","217.07","834.58","Course n∞2 | Finale B"
"Violaine Truche","K1D","180.07","257.05","935.51","Course n∞2 | Finale B"
"Perrine Joubert","K1D","184.14","357.92","977","Course n∞2 | Finale B"
"Elorri Erdois","K1D","186.06","303.19","996.57","Course n∞2 | Finale B"
"Emma Angladette","K1D","220.61","602.53","1348.79","Course n∞2 | Finale B"
"Solene Lafitte","K1D","248.35","398.75","1631.6","Course n∞2 | Finale B"
"Lyse Brichet","K1D","253.69","599.54","1686.03","Course n∞2 | Finale B"
"Zoe Waeles","K1D","319.98","491.17","2361.83","Course n∞2 | Finale B"
"Helene Courtel","K1D","343","440.94","2596.51","Course n∞2 | Finale B"
"Cleo Santini","K1D","Des","-","-","Course n∞2 | Finale B"
"Lea Hubert","K1D","Des","-","-","Course n∞2 | Finale B"
"Emma Vuitton","K1DM","112.63","177.67","247.99","Course n∞2 | Finale B"
"Amelie Leclercq","K1DM","221.57","459.48","1358.59","Course n∞2 | Finale B"
"Luc Sarramea","K1H","95.11","224.07","195.42","Course n∞2 | Finale B"
"Zeph Scamps","K1H","99.85","203.57","250.03","Course n∞2 | Finale B"
"Samuel Lhegu","K1H","100.58","161.95","258.44","Course n∞2 | Finale B"
"Jonathan Delagnes","K1H","102.08","219.2","275.72","Course n∞2 | Finale B"
"Gael Adisson","K1H","102.17","214.09","276.76","Course n∞2 | Finale B"
"Tino Forgues","K1H","102.6","304.8","281.71","Course n∞2 | Finale B"
"Felix Praderie","K1H","104.29","333.46","301.18","Course n∞2 | Finale B"
"Leo Vuitton","K1H","105","214.96","309.36","Course n∞2 | Finale B"
"Sam Traquet","K1H","106.15","267.93","322.6","Course n∞2 | Finale B"
"Pablo Chaminade","K1H","107.59","392.01","339.19","Course n∞2 | Finale B"
"Tanguy Zaninotto","K1H","108","226.87","343.92","Course n∞2 | Finale B"
"Maxence Merpillat","K1H","108.67","233.25","351.63","Course n∞2 | Finale B"
"Ulysse Giel","K1H","108.72","345.27","352.21","Course n∞2 | Finale B"
"Nour Ait Kaddour","K1H","108.73","328.23","352.33","Course n∞2 | Finale B"
"Herve Clerc","K1H","110.31","348.98","370.53","Course n∞2 | Finale B"
"Nathan Pavot","K1H","110.69","350.54","374.9","Course n∞2 | Finale B"
"Cedric Gerbet","K1H","111.37","650.7","382.74","Course n∞2 | Finale B"
"Cedric Landreau","K1H","111.42","369.47","383.31","Course n∞2 | Finale B"
"Nicolas Saurat","K1H","111.45","293.47","383.66","Course n∞2 | Finale B"
"Arthur Lagleyze","K1H","111.7","256.5","386.54","Course n∞2 | Finale B"
"Theo Ducasse","K1H","112.77","327.95","398.87","Course n∞2 | Finale B"
"Quentin Clerc","K1H","113.12","241.09","402.9","Course n∞2 | Finale B"
"Thibault Clerc","K1H","115.24","359.25","427.32","Course n∞2 | Finale B"
"Tomy Dandonneau","K1H","115.98","380.63","435.84","Course n∞2 | Finale B"
"Alex Louveau","K1H","119.1","180.42","471.79","Course n∞2 | Finale B"
"Valentin Berland","K1H","119.39","335.3","475.13","Course n∞2 | Finale B"
"Marc Cordier","K1H","120.44","331.49","487.22","Course n∞2 | Finale B"
"Natan Brule","K1H","120.95","207.94","493.1","Course n∞2 | Finale B"
"Sebastien Larenaudie","K1H","121.37","528.86","497.94","Course n∞2 | Finale B"
"Tom Zanfini","K1H","122.15","305.92","506.92","Course n∞2 | Finale B"
"Baptiste Riviere","K1H","125.08","444.21","540.68","Course n∞2 | Finale B"
"Ludovic Gaignon","K1H","125.22","365.93","542.29","Course n∞2 | Finale B"
"Jean Yves Courtiade","K1H","125.8","430.25","548.97","Course n∞2 | Finale B"
"Patrick Clerc","K1H","126.14","315.27","552.89","Course n∞2 | Finale B"
"Tom Delens","K1H","126.36","445.13","555.42","Course n∞2 | Finale B"
"Maxime Charron","K1H","126.48","363.24","556.8","Course n∞2 | Finale B"
"Etienne Saint Picq","K1H","126.56","439.54","557.72","Course n∞2 | Finale B"
"Yoan Dalla Longa","K1H","128.37","774.77","578.58","Course n∞2 | Finale B"
"Antoine Bouby","K1H","129.65","657.16","593.32","Course n∞2 | Finale B"
"Benoit Dandonneau","K1H","130.11","871.1","598.62","Course n∞2 | Finale B"
"Gedeon Cothias-faure","K1H","130.94","429.36","608.18","Course n∞2 | Finale B"
"Esteban Illido","K1H","131.03","355.08","609.22","Course n∞2 | Finale B"
"Nathaniel Levy","K1H","135.48","389.24","660.48","Course n∞2 | Finale B"
"Jonathan Suc","K1H","135.66","387.38","662.56","Course n∞2 | Finale B"
"Antonin Maystre","K1H","136.14","362.45","668.09","Course n∞2 | Finale B"
"Eric Vidou","K1H","139.7","402.99","709.1","Course n∞2 | Finale B"
"Carl Rainaud","K1H","141.15","863.49","725.8","Course n∞2 | Finale B"
"Julien Dubarry","K1H","152.71","813.02","858.97","Course n∞2 | Finale B"
"Renaud Clerc","K1H","153.54","542.5","868.53","Course n∞2 | Finale B"
"Tonin Desmet","K1H","158.83","524.78","929.47","Course n∞2 | Finale B"
"Romain Bruneau","K1H","162.52","374.2","971.98","Course n∞2 | Finale B"
"Marc Sarramea","K1H","166.31","365.95","1015.64","Course n∞2 | Finale B"
"Paul Gobert","K1H","171.95","458.13","1080.61","Course n∞2 | Finale B"
"Louis Foissac","K1H","172.05","348.62","1081.76","Course n∞2 | Finale B"
"Quentin Escudero","K1H","179.41","721.47","1166.55","Course n∞2 | Finale B"
"Yannis Dast","K1H","181.39","512.39","1189.36","Course n∞2 | Finale B"
"Charles Billon","K1H","186.79","547.8","1251.57","Course n∞2 | Finale B"
"Thomas Moret","K1H","188.13","526.19","1267","Course n∞2 | Finale B"
"Maxime Reubrez","K1H","201.21","576.15","1417.68","Course n∞2 | Finale B"
"Angus Cruickshank","K1H","263.26","414.97","2132.49","Course n∞2 | Finale B"
"Abel Boidron","K1H","280.83","564.26","2334.89","Course n∞2 | Finale B"
"Nicolas Neveu","K1H","320.71","546","2794.31","Course n∞2 | Finale B"
"Tristan Ruiz","K1H","332.3","666.54","2927.82","Course n∞2 | Finale B"
"Th…o Palumbo","K1H","340.6","979.68","3023.44","Course n∞2 | Finale B"
"Lucas Dongarra","K1H","393.52","534.67","3633.07","Course n∞2 | Finale B"
"Aurelien Blois","K1H","503.53","956.19","4900.37","Course n∞2 | Finale B"
"Baptiste San Nicolas","K1H","Des","-","-","Course n∞2 | Finale B"
"Alexandre Dubrous","K1H","Abs","-","-","Course n∞2 | Finale B"
"Guillaume Viguier","K1H","Abd","-","-","Course n∞2 | Finale B"
"Pascal Dongarra","K1H","Des","-","-","Course n∞2 | Finale B"
"Fantin Delage-garez","K1HM","133.07","418.32","632.72","Course n∞2 | Finale B"
"Guillaume Malmezac","K1HM","139.31","518.67","704.6","Course n∞2 | Finale B"
"K…ziah Lecomte","K1HM","146.21","682.31","784.09","Course n∞2 | Finale B"
"Matt Vidou","K1HM","147.19","550.17","795.38","Course n∞2 | Finale B"
"Lohan Wyon","K1HM","169.92","731.7","1057.23","Course n∞2 | Finale B"
"Baptiste Delemotte","K1HM","218.4","465.99","1615.71","Course n∞2 | Finale B"
"Cl…ment Corbeil","K1HM","247.15","464.58","1946.91","Course n∞2 | Finale B"
"Yon Dandonneau","K1HM","293.7","534.54","2483.16","Course n∞2 | Finale B"
"Matt…o Rainaud","K1HM","317.43","773.81","2756.52","Course n∞2 | Finale B"
"Guillaume Pradalie","K1HM","352.77","700.6","3163.63","Course n∞2 | Finale B"
"Maxime Blondeau","K1HM","390.07","666.32","3593.32","Course n∞2 | Finale B"
"Matheo Nassieu","K1HM","421.31","1037.96","3953.21","Course n∞2 | Finale B"
