"Sélectif Régional de Slalom - Plemet - Finale - 2018-10-14","Finale","2018-10-14","Régional","181"
"Cesar Le Berder","K1H","116.48","536.24","526.68","Finale B"
"Tanguy Rolland","K1H","116.97","610.31","533.01","Finale B"
"Juan Riu","K1H","117.22","644.48","536.24","Finale B"
"Leo Le Mat","K1H","118.16","508.58","548.39","Finale B"
"Clement Ezanno","K1H","118.69","645","555.23","Finale B"
"Simon Beguinel","K1H","121.86","597.17","596.2","Finale B"
"Louis Nivet","K1H","122.13","681.73","599.68","Finale B"
"Victor Robert","K1H","123.88","598.29","622.3","Finale B"
"Titouan Le Jeune","K1H","124.38","681.43","628.76","Finale B"
"Hugo Quistrebert","K1H","124.64","720.84","632.12","Finale B"
"Matheo Courgeon","K1H","125.31","590.04","640.77","Finale B"
"Yves Hellemot","K1H","125.95","620.37","649.04","Finale B"
"Jean Christophe Olivo","K1H","126.4","720.76","654.86","Finale B"
"Pierre Zeo","K1H","127.61","614.36","670.49","Finale B"
"Esteban Perreton","K1H","129.3","887.18","692.33","Finale B"
"Luck Thomas","K1H","130.16","553.13","703.44","Finale B"
"Pierreyves Hellard","K1H","136.67","739.89","787.56","Finale B"
"Bertrand Lajoye","K1H","140.24","2313.18","833.69","Finale B"
"Nathan Bruneau","K1H","142.93","758.39","868.45","Finale B"
"Joris Hello","K1H","150.82","228.87","970.4","Finale B"
"Vincent Delahaye","K1H","191.75","54.83","1499.27","Finale B"
"Mael Maugain","K1H","210.93","890.96","1747.1","Finale B"
"Thomas Heslouis","K1HM","115.51","498.32","514.15","Finale B"
"Brieuc Reucheron","K1HM","117.79","882.1","543.61","Finale B"
"Milio Le Touze","K1HM","127.65","731.97","671.01","Finale B"
"William Mouazan","K1HM","133.07","1110.72","741.04","Finale B"
"Ethan Robert","K1HM","133.99","799.45","752.93","Finale B"
"Roman Souffez","K1HM","137.31","941.16","795.83","Finale B"
"Damien Guilloux","K1HM","137.91","1049.11","803.58","Finale B"
"Ismail Moumin","K1HM","139.5","804.86","824.13","Finale B"
"Maxence Quillere","K1HM","145.29","896.94","898.94","Finale B"
"Axel Duliscouet","K1HM","146.69","1197.13","917.03","Finale B"
"Yvann Bleunven","K1HM","178.48","3186.24","1327.8","Finale B"
