"Manche Coupe de France N1 - Metz - Finale - 2014-04-06","Finale","2014-04-06","Nationale 1","171"
"James Duvernoy","K1H","106.51","81.2","164.82","Finale A"
"Quentin Burgi","K1H","147.82","19.16","566.86","Finale A"
"Thomas Schmitt","K1H","150.53","68.27","593.23","Finale A"
"Laurine Naveau","C1D","127.77","168.85","169.48","Finale B"
"Justine Lorin","C1D","127.85","189.84","170.13","Finale B"
"Charlotte Abba","C1D","129.48","179.02","183.35","Finale B"
"Anne-lise Moisan-ehrwein","C1D","131.16","219.84","196.97","Finale B"
"Margaux Henry","C1D","136.63","188.21","241.33","Finale B"
"Azenor Philip","C1D","142.62","328.16","289.91","Finale B"
"Lisa Robin","C1D","270.34","268.58","1325.75","Finale B"
"Lucie Baudu","C1D","Nt","-","-","Finale B"
"Thibault Blaise","C1H","103.75","44.45","94.88","Finale B"
"Jean Pierre Bourhis","C1H","105.79","98.07","113.78","Finale B"
"Corentin Oulhen","C1H","108.74","136.03","141.13","Finale B"
"Yann Rivallant","C1H","108.88","107.11","142.42","Finale B"
"Charles Dampeyrou","C1H","109.28","167.33","146.13","Finale B"
"Jean Freri","C1H","110.06","78.52","153.36","Finale B"
"Julian Othenin-girard","C1H","110.85","96.9","160.68","Finale B"
"Kevin Marquais","C1H","110.97","130.59","161.8","Finale B"
"Antoine Gaillard","C1H","111.37","165.5","165.51","Finale B"
"Lucas Roisin","C1H","112.11","128.27","172.36","Finale B"
"Lucas Vancon","C1H","112.12","125.93","172.46","Finale B"
"Thibaut Perroteau","C1H","112.36","105.05","174.68","Finale B"
"Florian Joly","C1H","112.49","144.74","175.88","Finale B"
"Gael Le Noc","C1H","113.5","185.93","185.24","Finale B"
"Guillaume Le Bourdonnec","C1H","114.43","128.53","193.87","Finale B"
"Nathan Rene Corail","C1H","114.65","201.55","195.9","Finale B"
"Antoine Roux","C1H","116.2","105.85","210.28","Finale B"
"Anice Benhacine","C1H","128.61","159.26","325.3","Finale B"
"Yann Basille","C1H","159.31","147.09","609.85","Finale B"
"Baptiste Le Poncin","C1H","Nt","-","-","Finale B"
"Louis Bouclier-Martin Mottais","C2H","110.16","134.29","107.87","Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","114.27","133.82","144.24","Finale B"
"Lucas Roisin-Guillaume Graille","C2H","114.45","188.04","145.83","Finale B"
"Antoine Gaillard-Sebastien Nouvel","C2H","118.08","254.66","177.94","Finale B"
"Axel Kournwsky-Adrien Maire","C2H","121.39","288.79","207.24","Finale B"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","122.1","109.8","213.52","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","122.49","254.06","216.97","Finale B"
"Thomas Schmitt-Yann Rivallant","C2H","178.93","118.98","716.32","Finale B"
"Nicolas Coudert-Yann Le Govic","C2H","Nt","-","-","Finale B"
"Jonathan Chapatte-Sebastien De Kerleau","C2H","Nt","-","-","Finale B"
"Laura Combot","K1D","111.01","71.44","89.32","Finale B"
"Marine Leveque","K1D","111.17","127","90.7","Finale B"
"Julie Neime","K1D","111.33","70.82","92.08","Finale B"
"Flora Huvelin","K1D","111.96","97.86","97.5","Finale B"
"Suzon Broute","K1D","113.39","148.48","109.82","Finale B"
"Melanie Ragaru","K1D","113.43","77.02","110.17","Finale B"
"Lea Turmeau","K1D","114.35","206.54","118.09","Finale B"
"Joey Bercon","K1D","115.11","143.06","124.63","Finale B"
"Joana Palermo","K1D","116.22","116.86","134.2","Finale B"
"Claire Gaigeot","K1D","119.09","84.75","158.91","Finale B"
"Heloise Geffray","K1D","119.95","166.55","166.31","Finale B"
"Nelly Tornare","K1D","124.05","128.95","201.63","Finale B"
"Marine Schmitt","K1D","125.19","135.07","211.45","Finale B"
"Lucie Prioux","K1D","126.48","101.38","222.56","Finale B"
"Marjorie Delassus","K1D","150.28","195.63","427.54","Finale B"
"Renaud Doby","K1H","94.52","27.74","53.13","Finale B"
"Antoine Launay","K1H","94.86","38.7","56.44","Finale B"
"Bertrand Gutierrez","K1H","95.03","65","58.09","Finale B"
"Boris Chenal","K1H","96.1","68.72","68.51","Finale B"
"Nicolas Abbal","K1H","97.85","52.94","85.54","Finale B"
"Samuel Lhegu","K1H","98.02","72.72","87.19","Finale B"
"Mathys Huvelin","K1H","98.75","61.68","94.3","Finale B"
"Enrick Cunsolo","K1H","98.86","38.97","95.37","Finale B"
"Jonathan Chapatte","K1H","98.96","105.07","96.34","Finale B"
"Goulwen Chapelier","K1H","99.12","52.81","97.9","Finale B"
"Andy Pajani","K1H","99.71","84.8","103.64","Finale B"
"Clement Travert","K1H","99.76","97.53","104.13","Finale B"
"Bryan Seiler","K1H","100.4","104.35","110.35","Finale B"
"Nicolas Baudoin","K1H","100.67","90.08","112.98","Finale B"
"Benjamin Jacon","K1H","101.43","117.47","120.38","Finale B"
"Benjamin Thiboust","K1H","101.88","90.2","124.76","Finale B"
"Quentin Bove","K1H","101.88","66.77","124.76","Finale B"
"Pol Euzenes","K1H","102.79","113.97","133.61","Finale B"
"Fabien Tournadre","K1H","103.48","129.61","140.33","Finale B"
"Maxime Tilhet","K1H","103.68","116.6","142.28","Finale B"
"Aubry Bertin","K1H","104.05","89.74","145.88","Finale B"
"Theo Quenouillere","K1H","104.34","131.14","148.7","Finale B"
"Gurgen Brun","K1H","104.51","73.01","150.35","Finale B"
"Vincent Ablin","K1H","104.8","139.46","153.18","Finale B"
"Jonathan Delagnes","K1H","104.91","81.24","154.25","Finale B"
"Jeremy Cremonesi","K1H","105.04","88.68","155.51","Finale B"
"Alexandre Dherbilly","K1H","106.07","72.96","165.54","Finale B"
"Mathieu Douillet","K1H","111.05","112.06","214","Finale B"
"Malo Quemeneur","K1H","113.12","115.77","234.15","Finale B"
"Gael Prodeau","K1H","147.79","80.88","571.57","Finale B"
"Sami Rocher","K1H","156.82","114.02","659.45","Finale B"
