"Manche de la Coupe de France National 2 Slalom - 29300 Guilligomarc H - Qualification - 2022-02-27","29300 Guilligomarc H","Qualification","qualif","2022-02-27","Nationale 2","170"
"Athl�te","Cat�gorie","Score","Valeur","Points course","Finale A/B"
"Laurie Beaurepere","K1D","151.17","468.51","454.29",""
"Sylviane Quemerais","K1D","151.34","1126.9","455.91",""
"Emilie Moret","K1D","151.39","632.87","456.38",""
"Marion Grangeon","K1D","151.64","443.87","458.77",""
"Mattea Hannequin","K1D","151.96","510.93","461.82",""
"Alina Rassel","K1D","152.92","398.05","470.96",""
"Honorine Pichard","K1D","158.53","523.4","524.44",""
"Marine Primet","K1D","158.87","649.64","527.69",""
"Maelys Talbot","K1D","159.39","719.11","532.64",""
"Lucille Meunier-cheyssac","K1D","159.68","538.83","535.41",""
"Romane Bronchet","K1D","160.98","591.97","547.79",""
"Estelle Brodin","K1D","161.98","510.99","557.33",""
"Elise Masseline","K1D","162.23","936.12","559.71",""
"Justine Haton","K1D","162.68","637.95","564.01",""
"Pauline Lybrecht","K1D","168.15","1004.42","616.14",""
"Zoe Dronne","K1D","170.52","666.65","638.73",""
"S�r�na Guibane","K1D","171.07","698.12","643.97",""
"Laurine Meslong","K1D","179.02","768.58","719.75",""
"Anne Boixel","K1D","184.66","311.33","773.51",""
"Leila Ladjici","K1D","194.0","555.94","862.54",""
"Zoe Bruchon","K1D","194.08","370.16","863.3",""
"Gwendoline Hall","K1D","213.08","673.42","1044.41",""
"Elza Horlock","K1D","242.14","585.21","1321.41",""
"Fany Marck","K1D","277.5","808.28","1658.45",""
"Rafael Lerusse","K1H","113.85","216.04","239.63",""
"Yvan Leblond","K1H","114.35","1133.07","245.02",""
"Collin Pouradier","K1H","114.54","266.99","247.07",""
"Thibaud Lacour","K1H","115.02","419.93","252.24",""
"Ga�tan De Greef","K1H","115.26","528.31","254.82",""
"Maxime Devis","K1H","115.28","350.54","255.04",""
"Matheo Dupont","K1H","115.99","249.83","262.68",""
"Axel Colin","K1H","116.13","242.73","264.19",""
"Louison Decarsin","K1H","116.45","344.56","267.64",""
"Benjamin Harreau","K1H","117.9","270.38","283.26",""
"Nathan Huguenin","K1H","117.93","265.45","283.58",""
"Anthony Drouhin","K1H","118.83","419.85","293.27",""
"Jonas Le Guen","K1H","118.95","344.1","294.57",""
"Romain Margerie","K1H","119.24","323.87","297.69",""
"Thibaut Boudier","K1H","119.24","361.33","297.69",""
"Loan Queffelec","K1H","119.4","437.59","299.41",""
"Leni Perreau","K1H","119.45","278.21","299.95",""
"Anthony Thuillier","K1H","120.09","578.76","306.85",""
"Amaury Brucher","K1H","120.2","255.91","308.03",""
"Melvin Queudeville","K1H","120.46","350.2","310.83",""
"Baptiste Podor","K1H","120.67","326.83","313.09",""
"Nicolas Coudert","K1H","120.82","382.42","314.71",""
"Pierre Biagui","K1H","121.05","430.47","317.19",""
"Lorin Dumont","K1H","121.1","342.25","317.72",""
"Joao Normand","K1H","121.12","324.58","317.94",""
"Tom Marchand","K1H","121.49","377.65","321.93",""
"Timothee Cornu","K1H","121.74","347.6","324.62",""
"Cl�ment Tamion","K1H","121.87","412.78","326.02",""
"Jules Brisson","K1H","122.13","337.6","328.82",""
"Simon Le Nevez","K1H","122.3","480.61","330.65",""
"Nicolas Rouleaud","K1H","122.83","350.52","336.36",""
"Tao Petit","K1H","122.86","397.4","336.68",""
"Alois Brucher","K1H","123.08","381.96","339.05",""
"Cl�ment Davy","K1H","123.1","411.38","339.27",""
"Fabien Tournadre","K1H","123.14","318.05","339.7",""
"Salim Jemai","K1H","123.49","299.77","343.47",""
"Vincent Laclide","K1H","123.51","354.87","343.68",""
"Loric Bertrand Delorme","K1H","123.58","304.71","344.44",""
"Herve Busson","K1H","123.58","348.85","344.44",""
"Helwann Rachdi","K1H","123.81","403.24","346.91",""
"Nicolas Mevel","K1H","123.97","307.86","348.64",""
"Valerian Descot","K1H","123.97","395.18","348.64",""
"Nathan Frison","K1H","124.31","327.51","352.3",""
"Romain Moret","K1H","124.39","294.57","353.16",""
"Liam Le Touze","K1H","124.45","468.01","353.81",""
"Tom Dolle","K1H","124.83","344.08","357.9",""
"Fabien Bonvalet","K1H","125.03","356.4","360.05",""
"Matteo Weinegaessel","K1H","125.1","422.47","360.81",""
"Mathis Colin","K1H","125.14","432.04","361.24",""
"Loic Monbel","K1H","125.33","341.15","363.29",""
"Julien Fougeron","K1H","126.39","402.04","374.7",""
"Antoine Guerne","K1H","126.42","376.31","375.03",""
"Anthony Rouhier","K1H","126.43","451.1","375.13",""
"Cl�ment Louveau","K1H","126.56","326.48","376.53",""
"Titouan Aussant","K1H","126.57","356.79","376.64",""
"Benjamin Thiboust","K1H","126.6","557.04","376.97",""
"Franck Delachair","K1H","128.14","387.23","393.55",""
"Melaine Pichard","K1H","128.19","446.39","394.09",""
"Theodore Favreau","K1H","128.47","457.35","397.11",""
"Noe Gorvo","K1H","129.18","305.62","404.75",""
"Yohan Marck","K1H","129.34","459.08","406.48",""
"Pierric Clipet","K1H","129.71","329.38","410.46",""
"Milio Le Touze","K1H","130.12","378.23","414.88",""
"Francois Gillot","K1H","130.97","510.48","424.03",""
"Gaspard Perrio","K1H","131.98","293.57","434.91",""
"Nicolas Mangeolle","K1H","132.35","338.67","438.9",""
"Leo-paul Cassin","K1H","132.83","455.57","444.07",""
"Malo Lajoye","K1H","132.83","935.67","444.07",""
"Silvere Desongins","K1H","133.78","437.4","454.3",""
"Marwan Bazot","K1H","134.39","396.24","460.87",""
"Romain Huguenin","K1H","134.95","562.48","466.9",""
"Corentin Beaumois","K1H","136.58","369.78","484.46",""
"Thibaut Evrard","K1H","137.18","535.54","490.92",""
"Thibaud Chevalier","K1H","138.15","397.51","501.37",""
"Jeremy Huguenin","K1H","138.49","519.64","505.03",""
"Thomas Hado","K1H","139.74","680.15","518.5",""
"Simon Seuru","K1H","140.12","524.78","522.59",""
"Adrien Pierre","K1H","144.19","484.27","566.43",""
"Jean Philippe Roche","K1H","144.98","364.33","574.94",""
"Pol Euzenes","K1H","170.22","508.3","846.8",""
"Jerome Olhagaray","K1H","173.61","343.46","883.31",""
"Theo Loury","K1H","178.08","485.78","931.46",""
