"Championnats d'Alsace - Sélestat - 2009-09-27","Course 1","2009-09-27","Régional","160"
"Marc Jegou-Pascal Philip","C2H","147.29","-","510",""
"Florian Baumann-Maxime Bronner","C2H","201.72","-","1075",""
"Nicolas Ciemniewski-Florianne Gautier","C2M","131.28","325","253",""
"Claire Haab-Pierre Marie Roussel","C2M","147.72","-","411",""
"Nicolas Burgi-Christelle Gilg","C2M","151.59","-","448",""
"Sarah Michel-Nathan Barbier","C2M","162.21","-","551",""
"Alice Bagot-Quentin Burgi","C2M","196.31","-","880",""
"Cecile Meichel-Xavier Meichel","C2M","278.62","-","1676",""
"Anneline Triomphe","K1D","111.60","48","109",""
"Jihane Samlal","K1D","118.28","164","177",""
"Anne Fischer","K1D","121.57","174","211",""
"Florianne Gautier","K1D","122.85","175","223",""
"Jenny Chevalier","K1D","123.50","243","230",""
"Emeline Oudet","K1D","124.02","248","235",""
"Andrea Gratwohl","K1D","124.23","194","237",""
"Lucile Remond","K1D","125.31","341","249",""
"Stephanie Ansot","K1D","126.24","228","258",""
"Sarah Michel","K1D","127.30","-","268",""
"Cecile Meichel","K1D","127.50","260","271",""
"Emmanuelle Gigandet","K1D","127.78","275","274",""
"Maud Caspar","K1D","128.55","241","281",""
"Sylvie Metz","K1D","132.34","302","319",""
"Claire Haab","K1D","133.35","-","329",""
"Sylvaine Louis","K1D","133.52","-","331",""
"Christelle Gilg","K1D","133.86","296","334",""
"Brigitte Marechal","K1D","135.20","-","348",""
"Marion Fischer","K1D","135.64","417","352",""
"Audrey Metz","K1D","137.23","-","369",""
"Alice Bagot","K1D","137.65","-","373",""
"Marie Helye","K1D","138.46","-","381",""
"Ophelia Lopes Marques","K1D","139.37","-","390",""
"Sabrina Boespflug","K1D","139.94","-","396",""
"Jeanne L'orphelin","K1D","139.99","420","396",""
"Sarah Rothenbuhler","K1D","141.87","372","415",""
"Manon Bucher","K1D","145.39","-","450",""
"Morgane Charron","K1D","146.54","-","462",""
"Jennifer Besancon","K1D","155.15","1114","550",""
"Caroline Scherer","K1D","160.12","739","599",""
"Aurelie Rampft","K1D","Nt","-","-",""
"Magali Rampft","K1D","Nt","-","-",""
"Sophie Balmossiere","K1D","Nt","-","-",""
"Quentin Burgi","K1H","98.76","59","109",""
"Jerome Olhagaray","K1H","98.77","106","111",""
"Martin Dougoud","K1H","99.13","85","114",""
"Pierre Marie Roussel","K1H","100.12","40","125",""
"Maxime Di Lauro","K1H","100.73","-","132",""
"Mael Othenin Girard","K1H","104.90","124","180",""
"Nicolas Burgi","K1H","105.35","162","185",""
"Nathan Barbier","K1H","105.50","148","187",""
"Xavier Marie","K1H","105.97","184","192",""
"Nicolas Ciemniewski","K1H","106.51","131","198",""
"Maxime Faivre","K1H","107.88","157","214",""
"Kevin Burgi","K1H","108.53","178","221",""
"Christophe Siffert","K1H","110.57","182","244",""
"Thibaut Chariot","K1H","112.60","194","267",""
"Florent Tamburini","K1H","112.93","222","272",""
"Arthur Bernot","K1H","113.09","244","274",""
"Emmanuel Triomphe","K1H","113.15","253","274",""
"Jeremy Poux","K1H","114.34","206","287",""
"Geoffrey Walczak","K1H","114.89","222","294",""
"Emilien Kempf","K1H","114.95","294","295",""
"William Boutet","K1H","115.56","-","302",""
"Arnaud Jamet","K1H","115.63","262","302",""
"Jonathan Matern","K1H","115.76","304","304",""
"Eddy Cassard","K1H","115.82","293","304",""
"Xavier Sucker","K1H","115.99","369","306",""
"Maxence Grandadam","K1H","116.22","373","309",""
"Jean Roos","K1H","116.36","-","310",""
"Philippe Devillers","K1H","116.99","199","318",""
"Marc Jegou","K1H","117.04","357","319",""
"Matthieu Duval","K1H","117.56","335","324",""
"Xavier Rat","K1H","117.88","315","328",""
"Laurent Starck","K1H","118.58","274","335",""
"Clement Martin","K1H","118.80","389","339",""
"Andre Kempf","K1H","119.97","378","352",""
"Pierre Rat","K1H","120.09","238","353",""
"Audren Schiel","K1H","120.46","321","357",""
"Enzo Seker","K1H","121.23","468","366",""
"Fabien Fritsch","K1H","121.25","276","367",""
"Arnaud Pellizzoni","K1H","121.39","-","368",""
"Julien Rocaboy","K1H","121.61","-","370",""
"Philippe Thevenin","K1H","122.33","338","378",""
"Jules Bagot","K1H","122.75","-","384",""
"Florian Baumann","K1H","123.95","-","397",""
"Nathan Robert","K1H","124.70","423","405",""
"Guillaume Dietrich","K1H","125.26","429","412",""
"Quentin Robert","K1H","125.88","456","419",""
"Maxime Bronner","K1H","126.05","-","421",""
"Jean-baptiste Wolff","K1H","127.43","-","437",""
"Paul Roos","K1H","128.01","-","443",""
"Pascal Philip","K1H","128.13","358","445",""
"Franck Hiffler","K1H","128.60","490","450",""
"Matthieu Becker","K1H","128.82","-","453",""
"Willy Heisel Girard","K1H","130.19","780","468",""
"Patrick Thevenin","K1H","130.67","440","473",""
"Lucas Saudon","K1H","131.01","616","478",""
"Nicolas Dinquer","K1H","131.90","-","488",""
"Mickael Alves","K1H","132.57","-","495",""
"Baptiste Gaspard","K1H","134.47","-","517",""
"Guillaume Angonin","K1H","135.17","578","525",""
"Robin Malenfer","K1H","136.73","-","542",""
"Anthony Oudot","K1H","136.89","-","545",""
"David Pierson","K1H","137.87","385","556",""
"Louison Helye","K1H","143.77","-","623",""
"Tristan Vauchey","K1H","143.90","-","624",""
"Arthur Hitier","K1H","153.88","-","738",""
"Lucas Schwander","K1H","154.17","-","741",""
"Joseph Kieny","K1H","157.69","-","782",""
"Victor Kannemacher","K1H","169.39","-","915",""
"Marco Rodrigues","K1H","186.12","552","1106",""
"Joran Morio","K1H","186.90","-","1115",""
"Anthony Govaerts","K1H","197.90","-","1240",""
"Sebastien Varin","K1H","201.69","-","1283",""
"Quentin Charron","K1H","208.55","-","1361",""
"Ludovic Mazimann","K1H","209.28","-","1370",""
"Victor Dormoy","K1H","214.64","-","1430",""
"Eric Louis","K1H","Nt","-","-",""
"Thomas Michel","K1H","Nt","-","-",""
"Emmanuel Walczak","K1H","Nt","-","-",""
