"2ème manche coupe de Lorraine - Épinal - 2009-10-11","Course 1","2009-10-11","Régional","259"
"Damien Burteaux-Calypso Freichel","C2M","155.61","579","518",""
"Emilie Saguet-Alexis Collin","C2M","157.95","532","542",""
"Julian Othenin-girard-Charlotte Abba","C2M","163.09","-","593",""
"Sarah Michel-Nathan Barbier","C2M","164.33","-","606",""
"Florent Tamburini-Sophie Balmossiere","C2M","165.75","-","619",""
"Marion Hacquart-Louis Melin","C2M","175.87","-","720",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","190.00","-","862",""
"Marc Biazizzo-Lea Martin","C2M","193.22","366","894",""
"Clotilde Miclo","K1D","105.61","30","66",""
"Gaelle Tosser-roussey","K1D","109.83","88","111",""
"Elise Pierron","K1D","111.24","88","125",""
"Lorraine Mathis","K1D","116.25","206","177",""
"Elodie Delavelle","K1D","116.28","181","178",""
"Lea Martin","K1D","118.61","60","202",""
"Charlotte Lubineau","K1D","120.76","246","225",""
"Melanie Ragaru","K1D","120.98","226","227",""
"Blanche Legin","K1D","122.79","262","245",""
"Florianne Gautier","K1D","123.77","189","256",""
"Sarah Michel","K1D","124.42","-","262",""
"Victorine Gerard","K1D","127.17","381","291",""
"Calypso Freichel","K1D","127.21","264","292",""
"Carole Pocard","K1D","127.99","-","299",""
"Morgane Charron","K1D","129.22","-","312",""
"Emma Maujean","K1D","129.27","351","313",""
"Emilie Saguet","K1D","129.97","344","320",""
"Christelle Gilg","K1D","130.61","305","327",""
"Emmanuelle Gigandet","K1D","130.77","268","329",""
"Lucile Remond","K1D","130.82","276","329",""
"Sylvaine Louis","K1D","131.55","-","336",""
"Sophie Balmossiere","K1D","132.43","471","346",""
"Brigitte Marechal","K1D","132.80","-","350",""
"Charlotte Abba","K1D","132.81","-","350",""
"Melodie Aiech","K1D","133.15","347","353",""
"Manon Galmiche","K1D","133.96","-","362",""
"Marlene Dumoulin","K1D","135.35","282","376",""
"Salome Ritter","K1D","136.99","-","394",""
"Carole Dolmaire","K1D","139.78","399","423",""
"Rosalie Kempf","K1D","140.32","399","428",""
"Jeanne L'orphelin","K1D","141.02","407","435",""
"Lucie Bornier","K1D","141.79","439","444",""
"Marion Hacquart","K1D","141.87","918","444",""
"Angelique Guilcher","K1D","142.23","536","448",""
"Sarah Rothenbuhler","K1D","144.13","372","467",""
"Manon Bucher","K1D","145.04","420","477",""
"Ophelia Lopes Marques","K1D","145.27","489","480",""
"Camille Billerach","K1D","145.58","814","483",""
"Adeline Jegouzo","K1D","147.72","-","506",""
"Sandra Carisey","K1D","152.82","444","559",""
"Aurelie Anciaux","K1D","159.23","1521","625",""
"Caroline Scherer","K1D","163.47","666","669",""
"Emmanuelle Barrere","K1D","167.12","-","708",""
"Salome Quirin","K1D","179.14","742","832",""
"Claire Marie Peltier","K1D","179.77","1294","840",""
"Justine Sautre","K1D","193.97","389","988",""
"Mathilde Bouquin","K1D","227.20","-","1333",""
"Camille Counot","K1D","257.99","1423","1655",""
"Manon Lamidet","K1D","Nt","-","-",""
"Sylvie Metz","K1D","Nt","-","-",""
"Frederic Walczak","K1H","91.87","12","48",""
"Emmanuel Walczak","K1H","94.49","36","79",""
"Quentin Burgi","K1H","94.68","59","81",""
"Bertrand Gutierrez","K1H","98.01","109","120",""
"Mathieu Biazizzo","K1H","98.36","60","124",""
"Julien Arribe","K1H","98.98","58","131",""
"Nicolas Ciemniewski","K1H","100.19","131","146",""
"Jerome Olhagaray","K1H","100.58","106","150",""
"Mael Othenin Girard","K1H","101.14","124","157",""
"Nathan Barbier","K1H","101.33","149","159",""
"Paul Aubert","K1H","101.79","120","164",""
"Silvere Desongins","K1H","102.49","179","173",""
"Quentin Moreaux","K1H","102.96","154","178",""
"Florient Tagnon","K1H","103.02","144","179",""
"Romain Faurie","K1H","103.02","147","179",""
"Maxime Di Lauro","K1H","103.29","-","182",""
"Romain Viry","K1H","103.63","158","186",""
"Nicolas Mangeolle","K1H","104.78","190","200",""
"Marc Biazizzo","K1H","105.73","192","211",""
"Nicolas Germay","K1H","106.18","-","216",""
"Stephane Abadie","K1H","107.02","-","226",""
"Alexandre Pocard","K1H","107.54","170","232",""
"Thibault Blaise","K1H","107.82","-","235",""
"Nicolas Burgi","K1H","107.83","170","235",""
"Olivier Urbain","K1H","107.89","204","236",""
"Antoine Germay","K1H","108.18","-","240",""
"Damien Burteaux","K1H","108.29","230","241",""
"Christophe Despres","K1H","109.82","278","259",""
"Geoffrey Walczak","K1H","110.11","222","262",""
"Philippe Devillers","K1H","110.66","199","269",""
"Nikolas Stanik","K1H","110.94","172","273",""
"Paul Bornier","K1H","111.29","278","277",""
"Thibaut Chariot","K1H","111.45","198","278",""
"Stefan Stanik","K1H","111.51","206","279",""
"Patrick Gass","K1H","111.83","312","283",""
"Therence Bernard","K1H","112.49","356","291",""
"Florent Tamburini","K1H","112.50","224","291",""
"Xavier Rat","K1H","113.15","315","298",""
"Thomas Stutzmann","K1H","113.67","232","304",""
"Christophe Billaud","K1H","113.92","213","308",""
"Michael Ullrich","K1H","114.21","291","311",""
"Stephane Rousse","K1H","115.51","296","326",""
"Billel Khenchouche","K1H","115.77","232","329",""
"Mathieu Douillet","K1H","116.10","242","333",""
"Maxime Degesves","K1H","116.40","-","336",""
"Jonathan Matern","K1H","116.53","292","339",""
"Maxence Grandadam","K1H","117.36","333","348",""
"Arthur Veber","K1H","117.47","317","349",""
"Nathan Robert","K1H","117.75","401","352",""
"Vincent Bajolot","K1H","117.97","281","354",""
"Jeanchristophe Laroque","K1H","118.47","361","361",""
"Arnaud Pellizzoni","K1H","118.72","-","364",""
"Matthieu Duval","K1H","118.96","321","366",""
"Andre Kempf","K1H","119.48","357","373",""
"Robin Guebey","K1H","120.33","402","383",""
"Simon Barthelemy","K1H","121.08","371","392",""
"Thomas Barraco","K1H","121.53","339","397",""
"Julian Othenin-girard","K1H","121.62","-","398",""
"Alan Lacan","K1H","121.86","-","401",""
"Jean-baptiste Wolff","K1H","122.63","-","410",""
"Thomas Theunissen","K1H","123.26","-","417",""
"Pierre Baudoin","K1H","123.76","-","424",""
"Mickael Lefuel","K1H","123.99","425","426",""
"Yann Tosser  Roussey","K1H","124.20","412","428",""
"Gabriel Schnetz","K1H","124.31","315","430",""
"Even Perot","K1H","126.03","378","450",""
"Jules Just-mathieu","K1H","126.53","-","456",""
"Laurent Graillot","K1H","127.03","412","462",""
"Gauthier Ruspini","K1H","128.46","480","479",""
"Quentin Robert","K1H","129.63","427","493",""
"Maxime Battaini","K1H","129.75","-","494",""
"Florian Baumann","K1H","130.48","-","502",""
"Vincent Canova","K1H","130.59","-","503",""
"Aurelien Noiret","K1H","131.38","453","513",""
"Riyad Khelil","K1H","131.62","531","516",""
"Amelien Marchal","K1H","132.09","-","522",""
"Guillaume Armbruster","K1H","133.21","655","534",""
"Antoine Leroy","K1H","134.66","599","551",""
"Romain Genestier","K1H","136.87","667","578",""
"Bertrand Bourguignon","K1H","138.48","480","596",""
"Loic Richard","K1H","139.04","735","603",""
"Mathieu Domon","K1H","140.64","-","622",""
"Paul-andre Montemont","K1H","143.31","-","653",""
"Alexandre Lambert","K1H","144.50","700","667",""
"Cyril Danilevski","K1H","145.77","-","682",""
"Guillaume Allegranza","K1H","146.54","-","692",""
"Gauthier Cuny","K1H","146.63","870","693",""
"Alexis Hebinger","K1H","148.33","-","712",""
"Jeremy Peltier","K1H","148.99","-","720",""
"Valentin Maire","K1H","149.66","-","728",""
"Clement Gallois","K1H","151.75","-","752",""
"Michel Ternynck","K1H","152.29","896","759",""
"Sebastien Varin","K1H","158.14","-","828",""
"Guillaume Toret","K1H","163.86","-","895",""
"Pierre Reichert","K1H","168.47","-","949",""
"Pierre Cassin","K1H","168.97","243","956",""
"Cyril Menzin","K1H","169.57","2290","962",""
"Romain Decotte","K1H","201.49","-","1339",""
"Frederic Tinchant","K1H","Nt","-","-",""
"Gaetan Kieffert","K1H","Nt","-","-",""
"Pierre Rat","K1H","Nt","-","-",""
"Fabien Fritsch","K1H","Nt","-","-",""
"Audren Schiel","K1H","Nt","-","-",""
"Clement Martin","K1H","Nt","-","-",""
"Jeremy Marchand","K1H","Nt","-","-",""
"Maxime Bronner","K1H","Nt","-","-",""
"Nathan Bouam","K1H","Nt","-","-",""
