"Coupe de Lorraine - Epinal - 2ème Manche - 2010-10-10","2ème Manche","2010-10-10","Régional","221"
"Erwan Guenier-Emilien Kempf","C2H","120.84","-","378.19",""
"David Marechal-Eddy Cassard","C2H","123.41","-","408.89",""
"Lucas Vancon-Matthieu Duval","C2H","123.96","-","415.46",""
"Christophe Billaud-Philippe Devillers","C2H","127.85","323.19","461.93",""
"Thibaut Evrot-Felix Jeanningros","C2H","130.95","-","498.96",""
"Emilien Kempf-Silvere Desongins","C2H","Nt","-","-",""
"Lorraine Mathis-Yoan Del Rey","C2M","114.75","-","212.48",""
"Christine Poix-Emmanuel Del Rey","C2M","114.78","311","212.82",""
"Stephanie Ansot-Jerome Olhagaray","C2M","133.83","471.77","424.98",""
"Alexandre Lambert-Sarah Rothenbuhler","C2M","164.04","-","761.43",""
"Jihane Samlal-Anthony Goulut","C2M","Nt","-","-",""
"Caroline Scherer-Audren Schiel","C2M","Nt","-","-",""
"Anneline Triomphe","K1D","97.81","35.33","72.02",""
"Clotilde Miclo","K1D","98.59","13.67","81.09",""
"Caroline Bourry","K1D","98.61","56.33","81.33",""
"Jihane Samlal","K1D","99.86","122.81","95.86",""
"Lorraine Mathis","K1D","102.98","196.33","132.15",""
"Anne-sophie Biazizzo","K1D","104.17","251.3","145.99",""
"Elodie Delavelle","K1D","104.2","161.67","146.34",""
"Lea Martin","K1D","105.65","50.33","163.2",""
"Melanie Ragaru","K1D","106.29","201.18","170.64",""
"Stephanie Ansot","K1D","109.35","200","206.23",""
"Morgane Charron","K1D","110.99","274.26","225.3",""
"Blanche Legin","K1D","111.45","236","230.65",""
"Charlotte Abba","K1D","111.75","256.83","234.14",""
"Angelique Guilcher","K1D","113.54","331.33","254.96",""
"Victorine Gerard","K1D","114.39","254.67","264.84",""
"Brigitte Marechal","K1D","115.38","287.93","276.36",""
"Oceane Vienet","K1D","116.16","353.31","285.42",""
"Sarah Rothenbuhler","K1D","117.25","298.33","298.1",""
"Emma Maujean","K1D","118.75","284.27","315.54",""
"Salome Ritter","K1D","119.08","354.67","319.39",""
"Lucile Remond","K1D","121.7","251.67","349.86",""
"Marianne Herault","K1D","123.55","325","371.37",""
"Justine Cougnet","K1D","127.61","334.67","418.59",""
"Clea Humbert","K1D","132.29","481.88","473.02",""
"Carole Dolmaire","K1D","132.75","440.82","478.37",""
"Ophelia Lopes Marques","K1D","133.81","371.95","490.7",""
"Justine Sautre","K1D","134.25","438.67","495.81",""
"Caroline Scherer","K1D","136.01","401.55","516.28",""
"Elise Rousseau","K1D","140.99","447.12","574.2",""
"Jennifer Besancon","K1D","141.03","529.67","574.66",""
"Magali Rampft","K1D","141.06","460.98","575.01",""
"Maurilia Cartier","K1D","142.83","-","595.59",""
"Aurelie Rampft","K1D","144.65","444.71","616.77",""
"Claire Marie Peltier","K1D","147.88","459.67","654.32",""
"Sandra Carisey","K1D","186.66","-","1105.34",""
"Laurene Cougnet","K1D","210.64","522.38","1384.22",""
"Elodie Berrot","K1D","Nt","-","-",""
"Marlene Dumoulin","K1D","Nt","-","-",""
"Marion Hacquart","K1D","Nt","-","-",""
"Mathis Lacan","K1D","Nt","-","-",""
"Frederic Walczak","K1H","83.36","11","30",""
"Mathieu Biazizzo","K1H","86.19","15.67","67.19",""
"Yann Gudefin","K1H","88.41","5","96.37",""
"Romain Faurie","K1H","89.14","87.67","105.96",""
"Jerome Olhagaray","K1H","89.48","69.24","110.43",""
"Julien Arribe","K1H","89.71","90.33","113.45",""
"Florient Tagnon","K1H","89.74","90.67","113.84",""
"Bertrand Gutierrez","K1H","89.99","92.67","117.13",""
"Martin Daviet","K1H","90.64","127.51","125.67",""
"Paul Aubert","K1H","91.05","77.67","131.06",""
"Mael Othenin Girard","K1H","92.89","108.33","155.24",""
"Romain Viry","K1H","93.24","144.33","159.84",""
"Arthur Bernot","K1H","93.72","176.69","166.15",""
"Nikolas Stanik","K1H","94.14","130.22","171.67",""
"Willy Hugedet","K1H","94.76","136.33","179.82",""
"Olivier Urbain","K1H","94.92","182.67","181.92",""
"Antoine Germay","K1H","95.4","182.44","188.23",""
"Billel Khenchouche","K1H","95.57","191.67","190.46",""
"Silvere Desongins","K1H","95.63","133.33","191.25",""
"Enzo Seker","K1H","95.96","191.98","195.59",""
"Alexandre Perrin Mortier","K1H","96.26","189.33","199.53",""
"Jules Just-mathieu","K1H","96.48","230","202.42",""
"Mathieu Douillet","K1H","96.57","154","203.6",""
"Lucas Ferraina","K1H","96.77","141.68","206.23",""
"Nicolas Germay","K1H","96.97","164.95","208.86",""
"Leo Thomas","K1H","97.28","-","212.93",""
"Florent Bronchain","K1H","97.41","1495.75","214.64",""
"Matthieu Duval","K1H","98.05","225.62","223.05",""
"Therence Bernard","K1H","98.54","259.67","229.49",""
"Christophe Billaud","K1H","98.78","209.95","232.65",""
"Thomas Barraco","K1H","99.06","227.43","236.33",""
"Matthieu Walfard","K1H","99.45","182.08","241.45",""
"Eddy Cassard","K1H","99.69","243.33","244.6",""
"Thibaut Bernot","K1H","99.72","220.52","245",""
"Philippe Devillers","K1H","100.14","238.67","250.52",""
"Stefan Stanik","K1H","100.46","260","254.72",""
"Thomas Stutzmann","K1H","100.75","224.67","258.53",""
"Xavier Rat","K1H","101.65","289.67","270.36",""
"Lucas Vancon","K1H","101.92","-","273.91",""
"Maxime Degesves","K1H","102.09","242","276.14",""
"Jonathan Matern","K1H","102.25","262.55","278.25",""
"Emmanuel Triomphe","K1H","102.36","264.76","279.69",""
"Simon Barthelemy","K1H","103.11","260.67","289.55",""
"Christophe Despres","K1H","103.64","285.15","296.51",""
"Clement Martin","K1H","103.78","311.09","298.35",""
"Pierre Rat","K1H","103.83","283.74","299.01",""
"Florian Soulon","K1H","103.83","387.98","299.01",""
"Mathieu Piermay","K1H","104.55","272.67","308.47",""
"Julian Othenin-girard","K1H","104.73","328.19","310.84",""
"Thibaut Dietrich","K1H","105.56","-","321.75",""
"Antoine Leroy","K1H","106","361","327.53",""
"Patrick Gass","K1H","106.05","284.33","328.19",""
"Quentin Robert","K1H","106.48","268.33","333.84",""
"Louis Savart","K1H","107.22","365.01","343.56",""
"Laurent Graillot","K1H","107.45","292.56","346.58",""
"Anice Benhacine","K1H","108.45","-","359.73",""
"Anthony Oudot","K1H","109.38","391.33","371.95",""
"Felix Jeanningros","K1H","109.72","-","376.42",""
"Nathan Robert","K1H","110.89","371.09","391.79",""
"Vincent Rat","K1H","110.96","427.65","392.71",""
"Louison Helye","K1H","111.76","506.33","403.23",""
"Camille Simonin","K1H","111.83","405.67","404.15",""
"Robin Malenfer","K1H","111.84","405.33","404.28",""
"Christophe Harding","K1H","112.02","-","406.64",""
"Pierre Petitjean","K1H","112.22","-","409.27",""
"Thibaut Evrot","K1H","112.22","-","409.27",""
"Robin Pilard","K1H","112.41","433.49","411.77",""
"Vincent Canova","K1H","112.69","383.13","415.45",""
"Thomas Theunissen","K1H","112.91","383.82","418.34",""
"Victor Dormoy","K1H","114.32","1193","436.87",""
"Lionel Ledocq","K1H","114.56","-","440.02",""
"Sebastien Varin","K1H","115.06","462.1","446.59",""
"Pierre Francois","K1H","115.43","654.89","451.46",""
"Loic Joly","K1H","116.53","439.94","465.91",""
"Aurelien Hiroux","K1H","116.54","608","466.04",""
"Valentin Bordenet","K1H","116.56","-","466.31",""
"David Pierson","K1H","117.92","402","484.18",""
"Florent Rambaud","K1H","118.09","-","486.41",""
"Gauthier Ruspini","K1H","119.38","333.28","503.37",""
"Baptiste Maes","K1H","121.42","649.66","530.17",""
"Arthur Hitier","K1H","121.92","583.36","536.75",""
"Alexis Hebinger","K1H","122.06","826.06","538.59",""
"Clement Carbonnel","K1H","123.7","554.51","560.14",""
"Louis Martin","K1H","125.05","-","577.88",""
"Vincent Bajolot","K1H","127.28","351.5","607.19",""
"Jeremy Peltier","K1H","127.36","531.67","608.24",""
"Maxence Vincent","K1H","130.47","-","649.11",""
"Loic Durand","K1H","131.31","575.69","660.15",""
"Lionel Schott","K1H","132.47","843.4","675.39",""
"Erwan Guenier","K1H","132.93","740.36","681.44",""
"Patrick Gangloff","K1H","134.48","-","701.81",""
"Alexandre Lambert","K1H","136.95","528.33","734.27",""
"Vincent Didier","K1H","137.23","560.45","737.95",""
"Julien Oury","K1H","138.89","-","759.76",""
"Kilian Guenier","K1H","147.18","-","868.71",""
"Maxime Pilard","K1H","153.79","631.21","955.57",""
"Cyril Gallezot","K1H","153.94","-","957.54",""
"Alexis Chauville","K1H","175.06","-","1235.1",""
"Corentin Leroy","K1H","175.63","-","1242.59",""
"Romain Pergaud","K1H","190.1","-","1432.75",""
"Clement Paul Dubois Taine","K1H","323.18","-","3181.65",""
"Gary Allemann","K1H","Nt","-","-",""
"Andre Kempf","K1H","Nt","-","-",""
"Marco Rodrigues","K1H","Nt","-","-",""
"Audren Schiel","K1H","Nt","-","-",""
"Bertrand Bourguignon","K1H","Nt","-","-",""
"Emmanuel Queven","K1H","Nt","-","-",""
"Stephane Peltier","K1H","Nt","-","-",""
