"FINALE N3 NORD - St Laurent Blangy - 2007-06-16","Course 1","2007-06-16","Nationale 3","145"
"Charlotte Hay","K1D","280.81","417","465",""
"Kronousek Justine","K1D","286.00","575","492",""
"Alize Bachelot","K1D","321.09","383","671",""
"Dominique Badie-kallou","K1D","321.31","656","672",""
"Ladouce Charline","K1D","340.60","554","770",""
"Astride Tobo","K1D","344.53","495","790",""
"Natacha Richer","K1D","701.68","656","2609",""
"Axel Marais","K1H","198.79","216","180",""
"Quentin Moreaux","K1H","200.30","228","188",""
"Yves Lecointe","K1H","202.35","194","200",""
"Samuel Lhegu","K1H","203.29","200","205",""
"Thomas Monvoisin","K1H","203.53","230","207",""
"Yves Debailleul","K1H","204.64","238","213",""
"Geoffroy Schwentzel","K1H","206.38","261","223",""
"Paul Poulet","K1H","206.92","234","226",""
"Germain Carre","K1H","207.59","311","230",""
"Loic Gobert","K1H","207.92","239","232",""
"Burgard Jean Roch","K1H","210.16","274","245",""
"Valentin Casse","K1H","211.95","305","255",""
"Maxime Cousin","K1H","212.00","315","255",""
"Mannier Quentin","K1H","212.41","300","258",""
"Guillaume Doutreix","K1H","212.53","263","259",""
"Nicolas Feuillard","K1H","213.80","291","265",""
"Viellard Amaury","K1H","213.92","307","266",""
"Matthieu Walfard","K1H","214.40","254","269",""
"Gaetan Dheilly","K1H","214.98","261","273",""
"Bastien Belembert","K1H","215.08","355","273",""
"Jodar Sebastien","K1H","215.57","252","276",""
"Simon Joudou","K1H","216.66","274","282",""
"Jeremy Bretteville","K1H","217.59","271","288",""
"Quentin Dheilly","K1H","218.49","383","293",""
"Simon Boulan","K1H","219.27","310","297",""
"Maxime Raux","K1H","219.83","302","301",""
"Martin Sacleux","K1H","220.22","348","302",""
"Jerome Mailfait","K1H","220.78","408","306",""
"Debliquy Stephane","K1H","221.12","282","308",""
"Benjamin Fourmet","K1H","221.18","324","308",""
"Eric Lamour","K1H","221.21","237","308",""
"Philippe Valeri","K1H","222.16","307","314",""
"Thibault Dhennin","K1H","223.03","360","319",""
"Jess Masson","K1H","223.70","309","323",""
"Teddy Poulard","K1H","223.84","371","324",""
"Nicolas Dupres","K1H","223.92","275","324",""
"Denis Parizia","K1H","224.09","428","325",""
"Florian Lefebvre","K1H","225.26","369","331",""
"Mehdi Rouich","K1H","225.48","356","333",""
"Gerard Lafargue","K1H","225.83","383","335",""
"Stephane Sagnier","K1H","225.90","360","335",""
"Baptiste Anger","K1H","226.43","327","339",""
"Salinie Sylvain","K1H","226.78","389","341",""
"Poupart Maxime","K1H","228.70","376","352",""
"Simon Bonnet","K1H","230.14","370","360",""
"Antoine Deffontaine","K1H","230.20","373","360",""
"Gest Elliot","K1H","231.31","456","367",""
"Romain Lemaire","K1H","232.02","338","370",""
"Remy Daumont","K1H","233.07","416","377",""
"Ludovic Lino","K1H","233.27","370","378",""
"Fatras Guillaume","K1H","233.63","404","380",""
"Logan Nannette","K1H","233.74","470","381",""
"Manteau Jeremy","K1H","233.76","380","381",""
"Johann Beldame","K1H","234.21","355","383",""
"Matthieu Basset","K1H","234.95","316","387",""
"Guillaume Cochut","K1H","236.99","514","399",""
"Thomas Viratelle","K1H","237.11","403","400",""
"Thomas Plomion","K1H","237.16","374","400",""
"Sebastien Delaunay","K1H","237.63","322","403",""
"Gaspard Vivien","K1H","238.03","480","405",""
"Sarazin Jean Benoit","K1H","240.21","432","418",""
"Aurelien Noiret","K1H","240.72","452","421",""
"Calmon Tom","K1H","240.75","330","421",""
"Le Nevanic Gerald","K1H","242.99","401","434",""
"Matthieu Rousseau","K1H","244.04","469","440",""
"Mathieu Dutendas","K1H","244.71","502","444",""
"Thibault Gautherot","K1H","246.08","425","451",""
"Vincent Richard","K1H","249.28","390","470",""
"Domenger Paul","K1H","249.71","453","473",""
"Viratelle Vincent","K1H","252.56","346","488",""
"Thomas Quennehen","K1H","252.59","544","489",""
"Mathieu Faure","K1H","253.49","488","494",""
"Bertrand Avril","K1H","255.28","208","504",""
"Benko Morgan","K1H","256.00","573","509",""
"Olivier Cornu","K1H","257.16","412","515",""
"Valadon Louis","K1H","257.60","225","518",""
"Julien Fougeron","K1H","262.13","246","544",""
"Valentin Cazin","K1H","264.23","248","556",""
"Romain Content","K1H","265.78","264","565",""
"Berenger Bonnard","K1H","266.26","571","567",""
"Cotinet Angelo","K1H","270.70","739","593",""
"Maxime Dubuisson","K1H","273.37","677","608",""
"Renard Guillaume","K1H","276.49","344","627",""
"Jerome Urbanczyk","K1H","276.95","480","629",""
"Quentin Sirven","K1H","277.14","789","631",""
"De Wever Lucas","K1H","282.10","765","659",""
"Deffebvre Pierre","K1H","283.64","522","668",""
"Henry Théophile","K1H","283.79","565","669",""
"Florian Pean","K1H","285.35","401","677",""
"Remi Deblangy","K1H","297.22","480","746",""
"Luc Wojtasiak","K1H","299.15","484","757",""
"Kevin Pantofel","K1H","317.30","747","861",""
"Remi Fossier","K1H","332.00","624","946",""
"Paul Batrel","K1H","332.73","699","951",""
