"SÈlectif RÈgional de Slalom - 07150 Vallon Pont D Arc - Qualification - 2019-02-10","Qualification","2019-02-10","RÈgional","109"
"Jules Sourieau","K1H","124.26","668.89","652.19",""
"Damien Chamblay","K1H","125.95","580.78","673.93",""
"Titouan Gony","K1H","127.54","752.59","694.39",""
"Guillaume Mele","K1H","127.86","746","698.51",""
"Quentin Meilier","K1H","134.3","734.94","781.35",""
"Clement Thiolier-depras","K1H","136.49","967","809.53",""
"Clement Innocenti","K1H","138.48","1049.7","835.13",""
"Maxence Violy","K1H","138.95","827.79","841.18",""
"Thierry Duterage","K1H","142.52","-","887.1",""
"Raphael Wiche","K1H","152.83","-","1019.74",""
"Charlie Bouvier","K1H","188.96","722.87","1484.55",""
"Ethan Vilardell","K1H","203.66","1369.34","1673.66",""
"Alistair Storrar","K1H","219.2","-","1873.58",""
"Guillaume Leturcq","K1H","355.7","-","3629.63",""
"Yann Leruste","K1H","Abs","-","-",""
"Baptiste Tappero","K1H","Abs","-","-",""
"Gino Benini","K1H","Abs","-","-",""
"Jean-marc Suarez","K1H","Abs","-","-",""
"Sebastien Riou","K1H","Abs","-","-",""
"Clement Dancette","K1HM","109.7","434.07","464.88",""
"Arthur Blocquaux","K1HM","121.6","501.97","617.97",""
"Mathieu Hayet","K1HM","128.23","623.87","703.27",""
"Mathys Michel","K1HM","130.57","642.12","733.37",""
"Dorian Oriol","K1HM","131.74","-","748.42",""
"Liam Mabilat","K1HM","133.47","1253.81","770.68",""
"Louis Bouquet","K1HM","135.93","728.44","802.32",""
"Yuha Egraz","K1HM","135.98","-","802.97",""
"Jules Raoul","K1HM","141.79","-","877.71",""
"Victorien Pittion","K1HM","141.89","983.02","879",""
"Gustave Gonseth","K1HM","145.17","-","921.2",""
"Julyan Maitre","K1HM","197.11","1019.02","1589.4",""
"Tinael Yahiaoui","K1HM","307.15","6683.48","3005.04",""
"Axel Brossat","K1HM","Abs","-","-",""
"Baptiste Guillaubez","K1HM","Abs","-","-",""
"Loris Allamachere","K1HM","Abd","-","-",""
