"Championnat Régional de Slalom Bourgogne Franche Comté  - Audincourt - Finale - 2018-05-06","Finale","2018-05-06","Régional","102"
"Alexandre L'huillier","C1H","138.06","913.79","831.77","Finale B"
"David Monnet","C1H","159.16","1026.23","1106.81","Finale B"
"Alexis Pacholak","C1H","Abd","-","-","Finale B"
"Coline Dietrich","K1D","121.1","564.19","498.94","Finale B"
"Sarah Rothenbuhler","K1D","130.85","683.41","617.03","Finale B"
"Carole Dolmaire","K1D","136.77","645.37","688.73","Finale B"
"Heloise Pinon","K1D","138.8","694.43","713.33","Finale B"
"Camille Vion Delphin","K1D","139","713.37","715.75","Finale B"
"Yann Mercier","K1H","107.86","536.32","508.41","Finale B"
"Rafael Pawlus","K1H","108.18","516.58","512.79","Finale B"
"Sebastien Chapatte","K1H","109.9","528.91","536.33","Finale B"
"Samuel Tahaafe","K1H","110.41","469.09","543.31","Finale B"
"Alexandre L'huillier","K1H","111.25","561.4","554.81","Finale B"
"Anthony Menissier","K1H","112.87","512.61","576.98","Finale B"
"Mehdi Moussaid","K1H","113.69","591.8","588.2","Finale B"
"Mattheo Szkuta","K1H","114.68","675.28","601.75","Finale B"
"Philippe Aubertin","K1H","116.35","595.29","624.61","Finale B"
"Kevin Cheval","K1H","116.62","675.07","628.31","Finale B"
"Mattheo Vasseur","K1H","116.77","790.36","630.36","Finale B"
"Damien Chamblay","K1H","118.28","645.86","651.03","Finale B"
"Jean Guyot","K1H","119.47","607.27","667.31","Finale B"
"Theophile Vincent","K1H","120.86","718.53","686.34","Finale B"
"Alexandre Lambert","K1H","122.46","686.8","708.24","Finale B"
"Patrick Thevenin","K1H","122.91","741.75","714.4","Finale B"
"Romain Chambon","K1H","123.5","835.42","722.47","Finale B"
"Kevin Vienny","K1H","125.56","761.38","750.67","Finale B"
"Jules Huardel","K1H","128.6","1193.9","792.27","Finale B"
"Victor Beraud","K1H","131.26","809.23","828.68","Finale B"
"Barnabe Sennelier","K1H","133.1","856.78","853.87","Finale B"
"Maxence Violy","K1H","133.82","872.61","863.72","Finale B"
"David Monnet","K1H","140.84","959.21","959.8","Finale B"
"Ludovic Mazimann","K1H","Abs","-","-","Finale B"
"Maxence Raymond","K1HM","115.95","725.96","619.13","Finale B"
"Evan Trenchant","K1HM","122.77","919.45","712.48","Finale B"
"Nolann Besnard","K1HM","138.96","1040.51","934.07","Finale B"
