"Sélectif Régional - Toulouse - 2010-04-25","Course 1","2010-04-25","Régional","182"
"Remy Cassar-Valentin Pech","C2H","170.09","-","670",""
"Florent Boulet-Simon Cayez","C2H","179.26","-","754",""
"Dimitri Barriere-Lucas Cizey","C2H","332.53","-","2160",""
"Tom Scianimanico-Jean Freri","C2H","Nt","-","-",""
"Pierre Picco-Audrey Picco","C2M","130.92","-","229",""
"Violaine Truche-Stephane Labouille","C2M","140.38","-","310",""
"Armelle Canali-Jonathan Delagnes","C2M","143.77","316","339",""
"Manon Prioux-Antoine Roux","C2M","174.52","-","602",""
"Yoan Bouchardon-Lise Denat","C2M","215.89","-","956",""
"Marc Cailhol-Chantal Crepeau","C2M","Nt","-","-",""
"Caroline Loir","K1D","109.23","2","85",""
"Nouria Newman","K1D","112.82","15","117",""
"Alice Cailhol","K1D","118.73","167","170",""
"Berenice Kolenc","K1D","122.95","122","208",""
"Violaine Truche","K1D","123.36","192","211",""
"Laetitia Thueux","K1D","126.86","169","243",""
"Marie Cassar","K1D","128.56","221","257",""
"Audrey Picco","K1D","129.13","273","263",""
"Harmony Thery","K1D","132.34","265","291",""
"Manon Prioux","K1D","134.82","300","313",""
"Zoe Guillerm","K1D","135.40","250","319",""
"Helena Heysch De La Borde","K1D","135.48","313","319",""
"Justine Baudu","K1D","135.77","-","322",""
"Anouk Desbieys","K1D","136.32","308","327",""
"Armelle Canali","K1D","139.37","260","354",""
"Melanie Roger","K1D","143.66","-","393",""
"Cindy Coat","K1D","154.70","396","491",""
"Athina Monemvasitis","K1D","162.78","886","563",""
"Nina Daridon","K1D","171.69","471","643",""
"Tiphanie Baudorre","K1D","176.82","992","689",""
"Lise Denat","K1D","178.81","504","706",""
"Lolita Ferland","K1D","202.06","799","914",""
"Orlane Anselmoz","K1D","213.88","-","1019",""
"Charlotte Laffargue","K1D","227.53","934","1142",""
"Melanie Yellouz","K1D","366.48","1745","2382",""
"Lucille Labernadie","K1D","472.23","-","3327",""
"Mathilde Pichery","K1D","Nt","-","-",""
"Vivien Colober","K1H","91.21","4","30",""
"Thomas Rosset","K1H","93.04","18","48",""
"Benoit Guillaume","K1H","96.09","14","80",""
"Florian Berail","K1H","96.41","26","82",""
"Aurelien Maynadier","K1H","96.95","23","88",""
"Hugo Cailhol","K1H","97.14","27","90",""
"Benoit Molinier","K1H","98.19","27","101",""
"Jonathan Delagnes","K1H","99.20","40","111",""
"Kendaor Le Huitou","K1H","100.51","74","124",""
"Guillaume Bernis","K1H","100.92","93","128",""
"Florent Boulet","K1H","101.04","130","129",""
"Romain Chabrol","K1H","101.84","72","138",""
"Stephane Labouille","K1H","101.87","126","138",""
"Loic Vynisale","K1H","102.90","-","148",""
"Bertrand Gourrat","K1H","103.00","116","149",""
"Guillaume Picco","K1H","103.12","116","151",""
"Tom Scianimanico","K1H","103.40","119","153",""
"Nicolas Honzatko","K1H","103.66","152","155",""
"Nicolas Caussanel","K1H","103.74","141","156",""
"Adrien Roussel","K1H","103.80","164","157",""
"Jean-francois Souville","K1H","103.81","139","157",""
"Alexis Caspar","K1H","104.04","34","160",""
"Bastien Salame","K1H","104.61","134","165",""
"Stephane Odot","K1H","104.88","146","168",""
"Yannick Besse","K1H","106.63","142","186",""
"Marc Brossard","K1H","108.54","196","205",""
"Thibault Dufour","K1H","108.75","179","207",""
"Antoine Roux","K1H","108.83","168","208",""
"Marc Laborde","K1H","109.56","223","215",""
"Clement Guiraud","K1H","109.69","247","217",""
"Aymeric Maynadier","K1H","110.62","-","226",""
"Valentin Pahon","K1H","110.65","168","226",""
"Nicolas Baudoin","K1H","111.26","194","232",""
"Philippe Esnault","K1H","112.01","203","240",""
"Herve Clerc","K1H","112.98","284","250",""
"Remy Cassar","K1H","113.53","233","255",""
"Quentin Mignard","K1H","113.82","244","258",""
"Gaetan Coat","K1H","113.94","256","259",""
"Caryck Bouladjat","K1H","114.99","237","270",""
"Guillaume Duquet","K1H","115.47","-","275",""
"Regis Bonato","K1H","115.95","-","279",""
"Sebastien Martel","K1H","116.73","291","288",""
"Thibault Le Henaff","K1H","116.74","238","288",""
"Maxime Krzyzyk","K1H","118.08","220","301",""
"Maxime Le Henaff","K1H","118.81","219","309",""
"Jeremy Tindiliere","K1H","119.07","-","311",""
"Romain Medale","K1H","119.17","403","313",""
"Remi Parayre","K1H","119.24","268","313",""
"Lionel Blank","K1H","119.53","-","315",""
"Bruno Martins","K1H","119.60","309","316",""
"Ludovic Delahaye","K1H","119.80","-","318",""
"Guillaume Marmer","K1H","120.31","329","324",""
"Joris Santoro","K1H","121.37","309","335",""
"Dimitri Thauvin","K1H","122.93","-","350",""
"Nasser Belabdi","K1H","124.06","347","361",""
"Marc Cailhol","K1H","126.12","387","382",""
"Jean Salame","K1H","128.85","-","410",""
"Quentin Raissac","K1H","130.24","294","424",""
"Frederic Lascourreges","K1H","130.41","-","426",""
"Alexis Reigne","K1H","130.80","381","429",""
"Komlangan Gassou","K1H","131.27","390","434",""
"Marc Lalande","K1H","132.02","446","441",""
"Jacques Roisin","K1H","133.82","-","460",""
"Thomas Pinel","K1H","134.06","-","463",""
"Erwan Marchais","K1H","134.22","495","464",""
"Paul Mabille","K1H","134.42","595","466",""
"Pierre Berenguel","K1H","136.99","808","492",""
"Pierre Leymonerie","K1H","137.24","-","495",""
"Vincent Garcia","K1H","138.92","-","511",""
"Roman Gastaud","K1H","140.88","448","532",""
"Kevin Alves","K1H","142.39","-","546",""
"Gauthier Vanden  Abeele","K1H","143.12","573","554",""
"Yoan Bouchardon","K1H","145.04","667","573",""
"Arthur Mitaut","K1H","146.14","-","584",""
"Camille Chaper","K1H","146.33","620","586",""
"Tanguy Pineau","K1H","149.74","-","621",""
"Christophe Georget","K1H","151.96","-","643",""
"Enguerran Sers","K1H","152.03","953","644",""
"Yohann Mathieu-daude","K1H","153.48","642","659",""
"Valentin Pech","K1H","155.24","-","676",""
"Dimitri Barriere","K1H","162.96","-","754",""
"Maxime Lefebvre","K1H","166.46","-","789",""
"Farouk Imacht","K1H","167.51","-","800",""
"Lionel Aguilhon","K1H","174.41","1198","869",""
"Lucas Cizey","K1H","190.45","-","1031",""
"Maurice Pubert","K1H","191.17","684","1039",""
"Thomas Viguier","K1H","196.81","-","1096",""
"Dirk Meijer","K1H","196.95","-","1097",""
"Florian Desraches","K1H","222.85","-","1358",""
"Alain Brel","K1H","288.56","-","2022",""
"Julien Mantes","K1H","Nt","-","-",""
"Gilles Sabatier","K1H","Nt","-","-",""
"Thomas Tabarant","K1H","Nt","-","-",""
"Thierry Gaudin","K1H","Nt","-","-",""
"Florian Campagnole","K1H","Nt","-","-",""
"Pierrick Gaudin","K1H","Nt","-","-",""
"Gurgen Brun","K1H","Nt","-","-",""
