"Championnat Régional - Lavancia - Course 2 | Qualification - 2014-10-26","Course 2 | Qualification","2014-10-26","Régional","207"
"Emeric Vibert-Valentin Vibert","C2H","114.11","428.94","338.41",""
"Maxime Bottex-Titouan Dupras","C2H","114.58","386.72","343.97",""
"Gauthier Gonseth-Guillaume Gonseth","C2H","117.76","372.11","381.49",""
"Raphael Olla-Timothee Olla","C2H","117.87","-","382.78",""
"Paul Cornut-chauvinc-Romain Gayral","C2H","120.2","526.67","410.27",""
"Philippe Senechal-Xavier Rat","C2H","121.71","535.94","428.07",""
"Dimitri Lotigie-Thomas Girard","C2H","135.2","-","587.22",""
"Loic Bouvier-Arthur Tebib","C2HM","152.17","-","787.42",""
"Tom Mazouat-Enzo Mazouat","C2HM","158.04","1719.64","856.68",""
"Yann Leruste-Nicolas Meyer","C2HM","158.69","-","864.35",""
"Jerome Daille-Sabine Kleinhenz","C2M","121.42","-","305.28",""
"Viviana Daille-Timothee Olla","C2M","132.98","-","430.31",""
"Chloe Faverjon-Benjamin Gonthier","C2M","206.01","2100.85","1220.07",""
"Mylene Ferry","K1D","103.76","150.36","183.82",""
"Flora Huvelin","K1D","104.02","90.74","186.8",""
"Clementine Geoffray","K1D","104.11","79.58","187.84",""
"Emilie Lhomme","K1D","107.43","191.63","225.97",""
"Fanchon Janssen","K1D","107.65","206.29","228.49",""
"Fanny Mino-vercellio","K1D","111.59","283.37","273.74",""
"Viviana Daille","K1D","111.76","210.73","275.69",""
"Louise Bichet","K1D","111.92","246.21","277.53",""
"Sabine Kleinhenz","K1D","112.24","-","281.2",""
"Carine Chapuis","K1D","114.18","294.78","303.48",""
"Hind Jamili","K1D","115.89","279.43","323.13",""
"Marie-amelie Jullien","K1D","116.48","346.34","329.9",""
"Leonie Gachon","K1D","120.47","361.83","375.72",""
"Emma Vieira Coelha","K1D","120.88","595.51","380.42",""
"Carla Cerrutti - Bozzola","K1D","125.04","429.01","428.2",""
"Coline Bertin","K1D","126.4","432.04","443.81",""
"Sarah Monod","K1D","127.03","615.84","451.06",""
"Pauline Desmaris","K1D","127.59","1004.47","457.49",""
"Deborah Bouchenot","K1D","131.08","543.4","497.57",""
"Juliette Rousset","K1D","133.65","686.39","527.08",""
"Manon Scotto","K1D","136.81","642.87","563.37",""
"Chloe Faverjon","K1D","140.66","1688.31","607.59",""
"Lea Obadia","K1D","143.39","-","638.94",""
"Orlane Gauchet","K1D","144.56","1949.57","652.37",""
"Raphaelle Hovine","K1D","163.77","267.83","872.98",""
"Candice Brondel","K1D","164.74","256.95","884.13",""
"Lucie Bichet","K1D","Abs","-","-",""
"Jihane Samlal","K1D","Abs","-","-",""
"Nelly Tornare","K1D","Abs","-","-",""
"Angele Hug","K1DM","113.24","331.45","292.68",""
"Anais Boucher","K1DM","118.78","401.26","356.31",""
"Alice Evlachev","K1DM","126.38","1045.04","443.59",""
"Tifenn Primet","K1DM","127.03","537.52","451.06",""
"Capucine Dubut","K1DM","131.98","982.07","507.9",""
"Emilie Armani","K1DM","135.37","-","546.83",""
"Eva Bard","K1DM","135.62","717.13","549.71",""
"Juliette Ribault","K1DM","139.04","-","588.98",""
"Victoire Guerin","K1DM","144.62","-","-",""
"Meryl Steinmann","K1DM","Abs","-","-",""
"Zoe Bruchon","K1DM","Abs","-","-",""
"Martin Dougoud","K1H","87.43","79.31","126.81",""
"Titouan Dupras","K1H","90.83","141.09","170.93",""
"Sebastien De Kerleau","K1H","92.22","247.67","188.97",""
"Robin Pilard","K1H","92.4","152.76","191.31",""
"Mathieu Monier","K1H","94.17","208.91","214.28",""
"Adrien Maire","K1H","94.17","184.37","214.28",""
"Gregoire Guerin","K1H","95.69","166.05","234",""
"Maxime Bottex","K1H","95.91","118.9","236.86",""
"Pascal Ferry","K1H","96.25","191.44","241.27",""
"Jean Philippe Winiarski","K1H","96.74","217.52","247.63",""
"Erwan Cadio","K1H","96.75","203.71","247.76",""
"Paul Cornut-chauvinc","K1H","97.55","184.06","258.14",""
"Louis Masson","K1H","98.66","199.97","272.54",""
"Axel Kournwsky","K1H","99.1","223.15","278.25",""
"Alain Ferry","K1H","99.17","277.18","279.16",""
"Aubry Bertin","K1H","99.78","122.3","287.08",""
"Nathan Boudaillez","K1H","99.89","252.95","288.5",""
"Emeric Vibert","K1H","100.43","251.55","295.51",""
"Charles Fernandes De Oliveira","K1H","101.09","250.45","304.08",""
"Bertrand Bercon","K1H","101.15","245.47","304.86",""
"Tristan Bronsard","K1H","101.69","169","311.86",""
"Valentin Vibert","K1H","101.81","233.58","313.42",""
"Alexandre Marin","K1H","102.57","270.09","323.28",""
"Thomas Girard","K1H","103.86","276.55","340.02",""
"Louis Burignat","K1H","104.77","410.03","351.83",""
"Boris Rostaing","K1H","105.44","358.76","360.53",""
"Maxime Gaillard","K1H","106.39","332","372.86",""
"Emerick Billon","K1H","106.58","368.97","375.32",""
"Xavier Rat","K1H","106.83","418.37","378.57",""
"Charles Vallet","K1H","107.08","277.92","381.81",""
"Marc Janeriat","K1H","107.36","-","385.44",""
"Adelin Constans","K1H","107.56","356.36","388.04",""
"Jean Philippe Roche","K1H","107.64","351.5","389.08",""
"Antoni Zaki","K1H","108.07","434.19","394.66",""
"Sebastien Routhier","K1H","108.94","431.78","405.95",""
"Lucas Barriere","K1H","109.42","354.51","412.18",""
"Florian Jarousse","K1H","111.1","-","433.98",""
"Valentin Dancette","K1H","113.47","-","464.73",""
"Christopher Lucas","K1H","113.83","830.82","469.41",""
"Romain Gayral","K1H","114.23","534.27","474.6",""
"Adrien Jacquemet","K1H","114.57","570.15","479.01",""
"Yanis Delacour","K1H","116.76","531.38","507.43",""
"Stephane Gacoin","K1H","118.28","580.14","527.15",""
"Erwan Degreve","K1H","119.28","-","540.13",""
"Olivier Mercier","K1H","119.98","596.72","549.21",""
"Benjamin Bergin","K1H","120.12","508.96","551.03",""
"Francois Lecuit","K1H","120.28","576.08","553.11",""
"Louis Collin","K1H","120.66","-","558.04",""
"Jeff Caron","K1H","122.17","400.57","577.63",""
"Jerome Burignat","K1H","123.44","720.12","594.12",""
"Timothe Fontaine","K1H","131.15","-","694.17",""
"Damien Borlet","K1H","131.83","1063.74","702.99",""
"Emilien Senneret","K1H","133.52","629.25","724.92",""
"Ulysse Studer","K1H","135.95","895.11","756.46",""
"Patrice Campioni","K1H","152.31","285.56","968.76",""
"Loic Bertoia","K1H","159.82","180.91","1066.22",""
"Benjamin Gonthier","K1H","183.85","1099.2","1378.06",""
"Jeremy Boisgibault","K1H","Abs","-","-",""
"Damien Guillon","K1H","Abs","-","-",""
"Loic Joly","K1H","Abs","-","-",""
"Pierre Poizat","K1H","Abs","-","-",""
"Sebastien Lepaulard","K1H","Abs","-","-",""
"Pascal Hunault","K1H","Abs","-","-",""
"Nicolas Detheve","K1H","Abs","-","-",""
"Benjamin Dodane","K1H","Abs","-","-",""
"Olivier Barriere","K1H","Abs","-","-",""
"Yann Zaepffel","K1H","Abs","-","-",""
"Julien Petit-maire","K1H","Abs","-","-",""
"Matthieu Le Gall","K1H","Abs","-","-",""
"Hugo Gondeaux","K1H","Abs","-","-",""
"Remy Beal","K1H","Abs","-","-",""
"Antoine Bianco","K1H","Abs","-","-",""
"Esteban Le Coz","K1H","Abs","-","-",""
"Henri Bergognon","K1HM","105.25","-","-",""
"Jules Bernardet","K1HM","105.91","362.47","366.63",""
"Samuel Bonella","K1HM","106.26","338.29","371.17",""
"Dimitri Lotigie","K1HM","106.91","340.61","379.6",""
"Pierre Grapotte","K1HM","107.67","399.12","389.47",""
"Tristan Le Merour","K1HM","111.71","-","441.89",""
"Teo Bouvier","K1HM","112.07","404.93","446.57",""
"Raphael Olla","K1HM","113.87","659.65","469.92",""
"Armand Lombardot","K1HM","117.74","-","-",""
"Loic Bouvier","K1HM","118.29","-","527.28",""
"Paul Gaillard","K1HM","118.36","538.23","528.19",""
"Hugo Martin -laemle","K1HM","118.97","554.99","536.11",""
"Enzo Mazouat","K1HM","126.98","904.57","640.05",""
"Yann Leruste","K1HM","127.09","634.81","641.48",""
"Arthur Tebib","K1HM","129.86","957.27","677.43",""
"Nino Chailan","K1HM","130.14","-","-",""
"Tom Mazouat","K1HM","130.66","1188.87","687.81",""
"Maxime Melmont","K1HM","134.03","-","-",""
"Maxime Vieira Coelha","K1HM","137.47","-","-",""
"Joshua Bourgeois","K1HM","149.53","-","-",""
"Jules Silvin","K1HM","157.2","335.73","1032.22",""
"Corentin Sabaut","K1HM","Abs","-","-",""
"Jules Djellab","K1HM","Abs","-","-",""
"Louis Pein","K1HM","Abs","-","-",""
"Charles Culine","K1HM","Abs","-","-",""
"Oscar Lombardot","K1HM","Abs","-","-",""
"Baptiste Gallo","K1HM","Abs","-","-",""
