"Double SÈlectif Slalom Pont Des Grottes de Betharram - Pont Des Grottes De Betharram - Course n∞1 | Qualification - 2016-11-12","Course n∞1 | Qualification","2016-11-12","RÈgional","224"
"Julien Delaleux","K1H","157.61","305.15","1032.61",""
"Matthieu Desbons","K1H","157.71","1135.73","1033.89",""
"Daniel Lafitte","K1H","163.09","786.73","1102.58",""
"Antonin Beyneix","K1H","165.47","528.38","1132.97",""
"Baptiste Riviere","K1H","170.88","452.78","1202.04",""
"Bastien Darmayan","K1H","171.21","755.62","1206.26",""
"Denis Vintrou","K1H","171.94","661.88","1215.58",""
"Alexandre Dubrous","K1H","175.12","603.49","1256.18",""
"David Acero Blondin","K1H","183.17","1112.64","1358.97",""
"Goulwen Chapelier","K1H","Abs","-","-",""
"Vincent Lagrange","K1H","Abs","-","-",""
"Nicolas Neveu","K1H","Abs","-","-",""
"Loic Gueydon","K1H","Abs","-","-",""
"Bruno Oteiza","K1H","Abs","-","-",""
"Tom Bouchardon","K1HM","103.74","280.67","344.78",""
"Tomy Dandonneau","K1HM","112.75","474.21","459.83",""
"Angus Cruickshank","K1HM","114.26","480.49","479.11",""
"Mael Bernes","K1HM","114.91","472","487.41",""
"Esteban Illido","K1HM","115.03","568.94","488.94",""
"Gedeon Cothias-faure","K1HM","116.99","507.82","513.96",""
"Tonin Desmet","K1HM","117.69","566.25","522.9",""
"Loris Shayam Affre","K1HM","119.4","501.51","544.73",""
"Cedric Landreau","K1HM","120.21","541.14","555.08",""
"Fantin Delage-garez","K1HM","122.96","535.19","590.19",""
"Maxime Reubrez","K1HM","124.38","616.03","608.32",""
"Baptiste San Nicolas","K1HM","125.43","612.57","621.73",""
"Etienne Saint Picq","K1HM","125.77","508.66","626.07",""
"Pablo Chaminade","K1HM","126.2","507.42","631.56",""
"Abel Boidron","K1HM","126.37","1098.9","633.73",""
"Paul Gobert","K1HM","127.94","638.91","653.78",""
"Matt Vidou","K1HM","129.97","699.52","679.69",""
"Hugo Crespo","K1HM","130.27","1028.34","683.53",""
"Julien Dubarry","K1HM","131.35","629.87","697.32",""
"Julian Luce","K1HM","138.73","854.5","791.54",""
"Baptiste Delemotte","K1HM","138.76","570.34","791.93",""
"Alex Baldoni","K1HM","138.99","1147.32","794.86",""
"Lohan Wyon","K1HM","148.41","962.74","915.14",""
"Thomas Terr…","K1HM","149.08","781.3","923.7",""
"Romain Guichet","K1HM","149.51","1311.33","929.19",""
"Baptiste Mondin","K1HM","151.23","823.79","951.15",""
"Fran«ois Binh-cirlot","K1HM","153.44","-","979.37",""
"Adrien Mesmoudi","K1HM","154.69","336.09","995.33",""
"Julien Coric","K1HM","155.24","790.26","1002.35",""
"Cyprien Cail","K1HM","155.29","904.27","1002.99",""
"Th…o Palumbo","K1HM","167.12","-","1154.03",""
"Pierre Arsuffi","K1HM","276.38","1825.91","2549.09",""
"Jules Maitre","K1HM","292.2","-","2751.09",""
"Guillaume Malmezac","K1HM","Abs","-","-",""
"Solal Gaudin","K1HM","Abs","-","-",""
"Thomas Fernandez","K1HM","Abd","-","-",""
