"Grand Prix de PAU - Pau - 2005-11-27","Course 1","2005-11-27","Régional","243"
"Samuel Hernanz","K1H","160.14","41","98",""
"Damien Laborde","K1H","160.16","36","98",""
"Benjamin Boukpeti","K1H","160.47","17","100",""
"Loris Minvielle","K1H","161.11","17","104",""
"Pierre Bourliaud","K1H","162.62","14","112",""
"Frederic Walczak","K1H","162.97","28","114",""
"Benoit Peschier","K1H","163.47","15","117",""
"Pierre Devaux","K1H","165.49","22","128",""
"Boris Neveu","K1H","166.94","16","136",""
"Lucien Delfour","K1H","167.89","111","141",""
"Benoit Lepage","K1H","168.59","34","145",""
"Bertrand Gourrat","K1H","169.27","152","149",""
"Florian Gosselin","K1H","169.43","145","150",""
"Louis Georges Lafont","K1H","170.14","121","154",""
"Sebastien Combot","K1H","171.29","44","160",""
"Bernis Camille","K1H","171.53","35","162",""
"Raphael Reveche","K1H","171.68","29","162",""
"Sebastien Halilou","K1H","172.92","30","169",""
"Florian Berail","K1H","173.01","53","170",""
"Antoine Egreteau","K1H","174.74","138","180",""
"Aurelien Leroy","K1H","177.34","116","194",""
"Bibron Florian","K1H","177.37","160","194",""
"Langlade Denis","K1H","177.43","-","194",""
"Chirez Pierre","K1H","177.96","211","198",""
"Michael Guyon","K1H","178.20","40","199",""
"Jeremy Wagner","K1H","178.35","140","199",""
"Bernard Babi","K1H","178.80","80","202",""
"Pascal Poitiers","K1H","180.50","206","212",""
"Jeremy Moureaux","K1H","181.81","175","219",""
"Sylvain Mendez","K1H","181.83","295","219",""
"Axel Mulle","K1H","181.94","269","219",""
"Baylacq Dominique","K1H","182.16","-","221",""
"Maelstaf Jeremy","K1H","183.45","148","228",""
"Fabrice Poueyto","K1H","184.10","150","231",""
"Herve Launay","K1H","186.35","237","244",""
"Jonathan Delagnes","K1H","186.85","192","247",""
"Marc Laborde","K1H","187.53","188","250",""
"Benjamin Renia","K1H","188.00","192","253",""
"Christophe Gosselin","K1H","188.19","226","255",""
"Adrien Ponassie","K1H","188.19","-","255",""
"Lucas Kelifaoui","K1H","188.62","196","257",""
"David Riffaud","K1H","188.86","128","258",""
"Dardilhac Anthony","K1H","189.16","107","259",""
"Canovas Cedric","K1H","191.59","-","273",""
"Nicolas Masson","K1H","192.62","197","279",""
"Chirez Frederic","K1H","194.69","246","291",""
"Bastien Dantin","K1H","194.77","224","291",""
"Christophe Billaud","K1H","195.53","249","295",""
"Baylacq Didier","K1H","195.86","-","297",""
"Laurent Urvois","K1H","195.99","-","298",""
"Nicolas Durand","K1H","196.08","223","298",""
"Julien Riffaud","K1H","197.72","255","307",""
"Stephane Labouille","K1H","197.86","178","308",""
"Jerome Dorizon","K1H","198.33","279","310",""
"Frederic Descot","K1H","199.08","283","315",""
"Sergent Sylvain","K1H","199.51","277","317",""
"Remy Guerinet","K1H","200.36","222","322",""
"Olivier Cain","K1H","200.48","258","323",""
"Jeancharles Bernis","K1H","200.66","-","324",""
"Boris Lesimple","K1H","200.68","237","324",""
"Larenaudie Sebastien","K1H","200.87","259","325",""
"Paul Storez","K1H","201.43","244","328",""
"Tony Deshayes","K1H","201.92","305","331",""
"Manuel Legros","K1H","202.94","284","337",""
"Ludovic Di Nisi","K1H","204.52","194","345",""
"Thomas Dauvet","K1H","205.30","312","349",""
"Fabien Lefevre","K1H","205.30","4","349",""
"Cassagne Geoffroy","K1H","205.87","331","352",""
"Valerian Boulet","K1H","206.14","278","354",""
"Salame Jean","K1H","206.58","328","356",""
"Dubray Mathieu","K1H","207.45","296","361",""
"Branger Sebastien","K1H","207.46","288","361",""
"Franck Guarderia","K1H","207.70","-","363",""
"Martinez-Arconada Armel","K1H","207.96","250","364",""
"Hugues Lesimple","K1H","208.05","421","365",""
"Julien Lenaour","K1H","210.20","195","377",""
"Damien Mareau","K1H","211.50","334","384",""
"Terryn Gilles","K1H","212.27","312","389",""
"Francois Cauchi","K1H","213.22","358","393",""
"Eric Lamour","K1H","213.55","340","395",""
"Aurelien Maynadier","K1H","216.11","31","410",""
"Frederic Saint Agne","K1H","217.49","328","417",""
"Lois Desroches","K1H","218.10","274","421",""
"Mathieu Pouchet","K1H","218.29","352","421",""
"Pierre Dehaudt","K1H","220.71","-","435",""
"Tayeel Aymeric","K1H","225.70","423","463",""
"Marc Darribere","K1H","225.73","-","463",""
"Kraemer Nicolas","K1H","225.97","410","464",""
"Pomies Raphael","K1H","226.07","-","465",""
"Maxime Perrin","K1H","226.12","371","465",""
"Gregory Ponassie","K1H","226.58","-","467",""
"Ciaran Heurteau","K1H","228.36","62","477",""
"Bastien Salame","K1H","228.73","-","480",""
"Benoit Rouffet","K1H","230.41","59","489",""
"Quentin Lyphout","K1H","232.64","380","501",""
"Rossato Bastien","K1H","232.70","473","502",""
"Van Kalsbeek Elwin","K1H","233.73","490","508",""
"Petre-Bordenave Romain","K1H","233.83","413","508",""
"Pelletier Jonas","K1H","235.50","418","518",""
"Jonot Anthony","K1H","235.92","342","520",""
"Eric Vidou","K1H","238.05","-","532",""
"Hugo Cailhol","K1H","240.32","256","544",""
"Peyre Maxime","K1H","240.90","430","547",""
"Jean-daniel Bost","K1H","248.48","432","590",""
"Mauriet Sylvain","K1H","248.80","-","592",""
"Lionel Blank","K1H","248.81","384","592",""
"Herve Mars","K1H","263.17","-","671",""
"Jean Francois Bry","K1H","263.46","713","673",""
"Cauwet Pierre","K1H","272.88","-","726",""
"Lafitte Vincent","K1H","273.34","434","728",""
"Simon Dosiere","K1H","280.10","403","765",""
"Nicolas Le Provost","K1H","281.23","333","772",""
"Lafitte Florian","K1H","288.82","-","814",""
"Thirouard Renaud","K1H","292.92","-","837",""
"Nicolas Neveu","K1H","298.38","572","867",""
"Marc Cailhol","K1H","299.22","565","872",""
"Lafitte Aurelien","K1H","299.78","-","875",""
"Herry Yohan","K1H","300.93","-","881",""
"Pierrick Gaudin","K1H","302.89","-","892",""
"Alexandre Di Nisi","K1H","304.57","-","902",""
"Manuel Dolie","K1H","310.66","-","935",""
"Theo Levy-lozata","K1H","312.52","1013","946",""
"Labadie Alexandre","K1H","316.90","614","970",""
"Jean Luc Pessoni","K1H","323.97","660","1009",""
"Pourtau Stephane","K1H","327.14","346","1027",""
"Sebastien Peres","K1H","331.61","592","1052",""
"Nasser Belabdi","K1H","335.14","-","1072",""
"Crespin Guillaume","K1H","336.63","-","1080",""
"Masseran Pierre","K1H","341.04","492","1105",""
"Cardon Kevin","K1H","356.48","-","1190",""
"Delbreil Clement","K1H","373.34","-","1284",""
"Jouanolou Yann","K1H","376.05","-","1299",""
"Thomas Ducoms","K1H","376.84","-","1304",""
"Destouesse Aurelien","K1H","382.60","-","1336",""
"Florian Fargier","K1H","388.11","-","1366",""
"Leterme Dorian","K1H","397.89","-","1421",""
"Olivier Pegaz","K1H","410.26","-","1490",""
"Claparede Jonas","K1H","434.00","1883","1621",""
"De Teyssiere Thomas","K1H","448.75","-","1703",""
"Labarthe Valentin","K1H","452.17","-","1722",""
"Palacin Jeremy","K1H","493.14","-","1950",""
"Proust Thibault","K1H","505.62","-","2020",""
"Halluin Baptiste","K1H","514.63","-","2070",""
"Benjamin Martin","K1H","520.37","712","2102",""
"Guillaume Marmer","K1H","526.64","-","2137",""
"Denis Christopher","K1H","601.78","-","2555",""
"Mathieu Laroze","K1H","615.33","-","2630",""
"Martin Erik","K1H","675.51","-","2965",""
"Julien Neymond","K1H","727.47","1373","3254",""
"Jouanneau Guilhem","K1H","984.53","-","4684",""
"Antony Alves","K1H","1186.44","-","5806",""
"Dugast Mathieu","K1H","1214.42","1290","5962",""
"Besse Antoine","K1H","1359.45","-","6768",""
"Colin Nerestan","K1H","1511.39","-","7614",""
