"Compétition Régionale de Slalom - Saint-pierre De Boeuf - Course n°2 | Finale - 2015-10-11","Course n°2 | Finale","2015-10-11","Régional","349"
"Romain Faurie","C1H","106.91","298.14","282.27","Course n°2 | Finale A"
"Guillaume Carbon","C1H","110.69","408.14","326.56","Course n°2 | Finale A"
"Theo Roisin","C1H","110.97","223.66","329.85","Course n°2 | Finale A"
"David Besancon","C1H","111.65","367.87","337.81","Course n°2 | Finale A"
"Adrien Fischer","C1HM","116.92","475.97","399.55","Course n°2 | Finale A"
"Terence Saramandif","C1HM","119.68","-","-","Course n°2 | Finale A"
"Maxime Kabir","C1HM","124.03","487","482.86","Course n°2 | Finale A"
"Arthur Viallard","C1HM","151.21","-","801.33","Course n°2 | Finale A"
"Coralie Yebenes-Marion Delorme","C2D","147.06","438.76","421.34","Course n°2 | Finale A"
"Elise Escourrou-Julie Labarelle","C2D","148.39","-","433.93","Course n°2 | Finale A"
"Marie Juquelier-Lea Ferraris","C2DM","157.68","624.35","521.84","Course n°2 | Finale A"
"Frank Adisson-Sandra Forgues","C2H","105.79","155.18","212.81","Course n°2 | Finale A"
"Stephane Abadie-Sebastien De Kerleau","C2H","106.36","260.48","219.19","Course n°2 | Finale A"
"Alexandre Lismonde-Jean Baptiste Lismonde","C2H","111.79","263.02","279.91","Course n°2 | Finale A"
"Gauthier Gonseth-Guillaume Gonseth","C2H","113.67","354.56","300.94","Course n°2 | Finale A"
"Olivier Barriere-Davy Egraz","C2H","116.02","380.32","327.23","Course n°2 | Finale A"
"Nicolas Detheve-Nil Georgel","C2H","120.41","-","376.33","Course n°2 | Finale A"
"Mathieu Lions-Cyril Audoit","C2H","126.37","533.84","442.98","Course n°2 | Finale A"
"Emeric Vibert-Valentin Vibert","C2H","Abs","-","-","Course n°2 | Finale A"
"Enki Georgel-LoÏc Winiarski","C2HM","Abd","-","-","Course n°2 | Finale A"
"Boris Chenal-Laurine Naveau","C2M","116.53","258.23","224.32","Course n°2 | Finale A"
"Julie Labarelle-Pierre Labarelle","C2M","117.17","-","230.88","Course n°2 | Finale A"
"Benjamin Jacon-Lucie Prioux","C2M","120.34","-","263.38","Course n°2 | Finale A"
"Laure Castel-Alexandre Lismonde","C2M","131.74","-","380.25","Course n°2 | Finale A"
"Davy Egraz-Fanny Mino-vercellio","C2M","Abs","-","-","Course n°2 | Finale A"
"Julie Neime","K1D","100.11","111.11","119.56","Course n°2 | Finale A"
"Caroline Bourry","K1D","100.66","127.48","125.55","Course n°2 | Finale A"
"Claire Landrin","K1D","101.35","249.99","133.06","Course n°2 | Finale A"
"Anneline Triomphe","K1D","102.43","131.78","144.82","Course n°2 | Finale A"
"Lea Wetzel","K1D","102.48","127.68","145.36","Course n°2 | Finale A"
"Lucie Prioux","K1D","102.52","90.3","145.8","Course n°2 | Finale A"
"Annaelle Meheut","K1D","103.64","156.45","157.99","Course n°2 | Finale A"
"Viviana Daille","K1D","104.72","206.39","169.75","Course n°2 | Finale A"
"Emeline Oudet","K1D","105.28","141.18","175.85","Course n°2 | Finale A"
"Natacha Delassus","K1D","105.42","153.15","177.37","Course n°2 | Finale A"
"Manon Prioux","K1D","107.08","320.29","195.44","Course n°2 | Finale A"
"Marjorie Delassus","K1D","107.95","153.83","204.92","Course n°2 | Finale A"
"Julie Labarelle","K1D","108.71","151.67","213.19","Course n°2 | Finale A"
"Marie-amelie Jullien","K1D","112.04","279.6","249.44","Course n°2 | Finale A"
"Marion Delorme","K1D","112.31","274.89","252.38","Course n°2 | Finale A"
"Hind Jamili","K1D","112.73","218.25","256.96","Course n°2 | Finale A"
"Angele Hug","K1D","114.49","250.47","276.12","Course n°2 | Finale A"
"Coline Charel","K1D","118.14","395.5","315.86","Course n°2 | Finale A"
"Fanny Mino-vercellio","K1D","119.86","285.24","334.58","Course n°2 | Finale A"
"Louise Bichet","K1D","121.2","248.58","349.17","Course n°2 | Finale A"
"Charlotte Issagarre","K1D","121.4","281.31","351.35","Course n°2 | Finale A"
"Zoe Bruchon","K1D","121.57","324.06","353.2","Course n°2 | Finale A"
"Coralie Yebenes","K1D","122.83","314.05","366.91","Course n°2 | Finale A"
"Meryl Steinmann","K1D","124.22","302.55","382.05","Course n°2 | Finale A"
"Tifenn Primet","K1D","124.55","422.37","385.64","Course n°2 | Finale A"
"Laurene Roisin","K1DM","113.73","328.24","267.84","Course n°2 | Finale A"
"Eva Pietracha","K1DM","118.65","312.45","321.41","Course n°2 | Finale A"
"Elena Hugues","K1DM","118.96","334.77","324.78","Course n°2 | Finale A"
"Marie Hilger","K1DM","119.2","388.37","327.4","Course n°2 | Finale A"
"Louane Chenal","K1DM","123.66","398.58","375.96","Course n°2 | Finale A"
"Marion Pasquali","K1DM","146.72","424.9","627.01","Course n°2 | Finale A"
"Marie Juquelier","K1DM","182.94","440.79","1021.34","Course n°2 | Finale A"
"Lea Ferraris","K1DM","299.05","433.66","2285.44","Course n°2 | Finale A"
"Kevin Schultz","K1H","88.94","74.81","123.83","Course n°2 | Finale A"
"Renaud Doby","K1H","89.07","39.19","125.43","Course n°2 | Finale A"
"Martin Daviet","K1H","90.22","64.54","139.58","Course n°2 | Finale A"
"Leo Fournier","K1H","90.77","179.75","146.34","Course n°2 | Finale A"
"Benjamin Travostino","K1H","90.82","55.13","146.96","Course n°2 | Finale A"
"Nicolas Abbal","K1H","91.46","66.78","154.83","Course n°2 | Finale A"
"William Desnos","K1H","91.61","85.44","156.68","Course n°2 | Finale A"
"Boris Chenal","K1H","91.99","68.19","161.35","Course n°2 | Finale A"
"Benjamin Jacon","K1H","92.7","113.46","170.09","Course n°2 | Finale A"
"Christophe Augu","K1H","92.89","147.32","172.43","Course n°2 | Finale A"
"Titouan Dupras","K1H","92.94","126.2","173.04","Course n°2 | Finale A"
"Antoine Roux","K1H","93.89","130.06","184.73","Course n°2 | Finale A"
"Sebastien Nouvel","K1H","94.07","145.95","186.94","Course n°2 | Finale A"
"Louis Masson","K1H","94.33","181.57","190.14","Course n°2 | Finale A"
"Gregoire Guerin","K1H","94.33","168.82","190.14","Course n°2 | Finale A"
"Maxime Bottex","K1H","94.96","89.24","197.89","Course n°2 | Finale A"
"Nicolas Caussanel","K1H","95.26","145.86","201.58","Course n°2 | Finale A"
"Davy Egraz","K1H","95.5","183.12","204.53","Course n°2 | Finale A"
"Mathieu Monier","K1H","95.95","199.37","210.07","Course n°2 | Finale A"
"Pierre Grapotte","K1H","96.33","260.24","214.75","Course n°2 | Finale A"
"Stephane Boulanger","K1H","96.35","-","214.99","Course n°2 | Finale A"
"Paul Cornut-chauvinc","K1H","96.53","127.45","217.21","Course n°2 | Finale A"
"Antoine Gaillard","K1H","97.35","163.41","227.29","Course n°2 | Finale A"
"Matthieu Le Gall","K1H","97.52","165.78","229.39","Course n°2 | Finale A"
"Erwan Cadio","K1H","97.81","227.15","232.95","Course n°2 | Finale A"
"Thibaud Lacour","K1H","98.17","-","237.38","Course n°2 | Finale A"
"Thomas Thieblemont","K1H","98.68","296.51","243.66","Course n°2 | Finale A"
"Alexandre Lismonde","K1H","99.44","232.04","253.01","Course n°2 | Finale A"
"Luc Doye","K1H","99.45","218.17","253.13","Course n°2 | Finale A"
"Jeremy Wagner","K1H","99.99","-","259.77","Course n°2 | Finale A"
"Vincent Gerdeaux","K1H","100.48","255.7","265.8","Course n°2 | Finale A"
"Julien Coudert","K1H","100.56","-","266.78","Course n°2 | Finale A"
"Jeonghyeon Lee","K1H","100.8","348.45","269.74","Course n°2 | Finale A"
"Hafiz Ali Hassan","K1H","101.33","-","276.26","Course n°2 | Finale A"
"Raphael Olla","K1H","101.94","332.01","283.76","Course n°2 | Finale A"
"Bertrand Bercon","K1H","102.08","237.07","285.48","Course n°2 | Finale A"
"Antoine Dubost","K1H","102.15","298.02","286.35","Course n°2 | Finale A"
"Emeric Vibert","K1H","102.27","271.33","287.82","Course n°2 | Finale A"
"Samuel Bonella","K1H","102.35","259.32","288.81","Course n°2 | Finale A"
"Jules Cresp","K1H","102.44","277.83","289.91","Course n°2 | Finale A"
"Thomas Durand","K1H","102.68","131.74","292.87","Course n°2 | Finale A"
"Alexandre Marin","K1H","102.7","279.45","293.11","Course n°2 | Finale A"
"Cedric Mace","K1H","102.93","-","295.94","Course n°2 | Finale A"
"Jules Bernardet","K1H","103.25","273.21","299.88","Course n°2 | Finale A"
"Loic Joly","K1H","103.78","309.83","306.4","Course n°2 | Finale A"
"Jean Philippe Roche","K1H","103.97","300.61","308.74","Course n°2 | Finale A"
"Kawan Thomas","K1H","104.21","279.64","311.69","Course n°2 | Finale A"
"Valentin Vibert","K1H","104.23","257.28","311.93","Course n°2 | Finale A"
"Pierre Labarelle","K1H","104.24","-","312.06","Course n°2 | Finale A"
"Julien Beltrami","K1H","104.52","-","315.5","Course n°2 | Finale A"
"Nicolas Detheve","K1H","105.05","-","322.02","Course n°2 | Finale A"
"Jae Hyeong Bak","K1H","105.08","418.98","322.39","Course n°2 | Finale A"
"Olivier Hardonniere","K1H","105.48","317.05","327.31","Course n°2 | Finale A"
"Maxime Gaillard","K1H","105.57","275.24","328.42","Course n°2 | Finale A"
"Sebastien Lepaulard","K1H","105.89","271.19","332.36","Course n°2 | Finale A"
"Corentin Douady","K1H","106.11","195.54","335.06","Course n°2 | Finale A"
"Sebastien Routhier","K1H","106.23","337.54","336.54","Course n°2 | Finale A"
"Gauthier Vanden  Abeele","K1H","106.25","359.53","336.79","Course n°2 | Finale A"
"Benjamin Dodane","K1H","106.31","329.58","337.52","Course n°2 | Finale A"
"Raphael Ricci Miege","K1H","106.84","328.11","344.04","Course n°2 | Finale A"
"Lilian Querry","K1H","107.26","261.33","349.21","Course n°2 | Finale A"
"Antonin Barraud","K1H","107.88","300.14","356.84","Course n°2 | Finale A"
"Quentin Sablayrolles","K1H","108.24","282.45","361.27","Course n°2 | Finale A"
"Lucas Barriere","K1H","109.09","382.96","371.72","Course n°2 | Finale A"
"Teo Bouvier","K1H","109.26","343.54","373.82","Course n°2 | Finale A"
"Mathieu Lions","K1H","109.55","318.01","377.38","Course n°2 | Finale A"
"Olivier Barriere","K1H","109.57","339.59","377.63","Course n°2 | Finale A"
"Raphael Lassechere","K1H","110.25","252.01","386","Course n°2 | Finale A"
"Pascal Hunault","K1H","111.15","324.65","397.07","Course n°2 | Finale A"
"Maxence Merpillat","K1H","111.8","325.38","405.06","Course n°2 | Finale A"
"Lucien Goulet","K1H","150.59","365.37","882.28","Course n°2 | Finale A"
"Benjamin Harreau","K1H","154.25","340.52","927.3","Course n°2 | Finale A"
"Yann Zaepffel","K1H","154.48","259.61","930.13","Course n°2 | Finale A"
"Emmanuel Triomphe","K1H","164.39","335.92","1052.05","Course n°2 | Finale A"
"Charles Fernandes De Oliveira","K1H","Abd","-","-","Course n°2 | Finale A"
"Henri Bergognon","K1HM","99.4","-","252.51","Course n°2 | Finale A"
"Lucas Augu","K1HM","101.41","-","-","Course n°2 | Finale A"
"Adrien Fischer","K1HM","111.24","370.1","398.17","Course n°2 | Finale A"
"LoÏc Winiarski","K1HM","111.48","-","-","Course n°2 | Finale A"
"Florian Sauvage","K1HM","113.67","-","428.07","Course n°2 | Finale A"
"Djendy Simeant","K1HM","114.36","-","-","Course n°2 | Finale A"
"Maxime Melmont","K1HM","116.35","500.19","461.04","Course n°2 | Finale A"
"Nicolas Meyer","K1HM","119.76","-","-","Course n°2 | Finale A"
"Thijs Duvillard","K1HM","122.01","572.16","530.67","Course n°2 | Finale A"
"Armand Lombardot","K1HM","122.73","-","539.53","Course n°2 | Finale A"
"Etienne Wiche","K1HM","123.77","-","-","Course n°2 | Finale A"
"Lucas Dominguez","K1HM","124.08","-","-","Course n°2 | Finale A"
"Alexandre Goujon","K1HM","124.94","516.78","566.72","Course n°2 | Finale A"
"Kilian Cottet","K1HM","130.15","-","-","Course n°2 | Finale A"
"Arthur Viallard","K1HM","137.28","-","718.53","Course n°2 | Finale A"
"Gael Adisson","K1HM","156.25","341.81","951.91","Course n°2 | Finale A"
"Guillaume Belet","K1HM","172.61","-","-","Course n°2 | Finale A"
"Aymeric Rivier","K1HM","175.46","780.49","1188.24","Course n°2 | Finale A"
"Yazid Koraichi","K1HM","Abd","-","-","Course n°2 | Finale A"
"Hind Jamili","C1D","127.35","384.66","340.25","Course n°2 | Finale B"
"Tifenn Primet","C1D","129.6","364.15","363.32","Course n°2 | Finale B"
"Chloe Faverjon","C1D","212.14","-","1209.51","Course n°2 | Finale B"
"Heloise Pinon","C1D","Abd","-","-","Course n°2 | Finale B"
"Margot Blanc","C1D","Abd","-","-","Course n°2 | Finale B"
"Aurelie Le Fee","C1D","Abd","-","-","Course n°2 | Finale B"
"Fanny Margot","C1D","Abd","-","-","Course n°2 | Finale B"
"Solen Friconneau","C1DM","279.74","-","-","Course n°2 | Finale B"
"Benjamin Jacon","C1H","105.02","255.28","265.13","Course n°2 | Finale B"
"Maxime Bottex","C1H","107.28","313.28","291.6","Course n°2 | Finale B"
"Nicolas Eymaron","C1H","109.36","275.17","315.98","Course n°2 | Finale B"
"Jules Bernardet","C1H","109.76","300.93","320.66","Course n°2 | Finale B"
"Laurent Coudurier","C1H","109.93","371.03","322.66","Course n°2 | Finale B"
"Guillaume Gonseth","C1H","112.5","364.69","352.77","Course n°2 | Finale B"
"Olivier Barriere","C1H","112.9","317.32","357.46","Course n°2 | Finale B"
"Jean Baptiste Lismonde","C1H","114.65","445.49","377.95","Course n°2 | Finale B"
"Yechan Oh","C1H","115.51","425.46","388.04","Course n°2 | Finale B"
"Philippe Senechal","C1H","119.31","393.54","432.57","Course n°2 | Finale B"
"Raphael Olla","C1H","121","-","452.36","Course n°2 | Finale B"
"Julien Paulais","C1H","123.85","347.61","485.75","Course n°2 | Finale B"
"Cedric Mace","C1H","123.88","-","486.11","Course n°2 | Finale B"
"Jules Silvin","C1H","130.19","479.19","560.03","Course n°2 | Finale B"
"Eric Archambault","C1H","131.7","-","577.73","Course n°2 | Finale B"
"Beomsoo Kim","C1H","132.06","409.01","581.94","Course n°2 | Finale B"
"Loic Burlet","C1H","138.13","632.97","653.06","Course n°2 | Finale B"
"Boris Rostaing","C1H","153.43","570.13","832.33","Course n°2 | Finale B"
"Cyril Audoit","C1H","171.61","468.35","1045.34","Course n°2 | Finale B"
"Kawan Thomas","C1H","193.11","471.63","1297.24","Course n°2 | Finale B"
"Lucas Barriere","C1H","201.25","-","1392.62","Course n°2 | Finale B"
"Paul Gaillard","C1H","240.17","514.85","1848.63","Course n°2 | Finale B"
"Arthur Tebib","C1H","257.7","-","2054.03","Course n°2 | Finale B"
"Nil Georgel","C1H","297.34","315.78","2518.47","Course n°2 | Finale B"
"Vincent Sophian","C1HM","153.65","906.9","834.9","Course n°2 | Finale B"
"Enki Georgel","C1HM","174.47","-","-","Course n°2 | Finale B"
"Antonin Dustou","C1HM","213.31","1210.41","1533.92","Course n°2 | Finale B"
"Gabin Siau","C1HM","236.79","-","-","Course n°2 | Finale B"
"Eric Archambault-Loic Burlet","C2H","128.95","-","476.83","Course n°2 | Finale B"
"Maxence Merpillat-Raphael Lassechere","C2H","129.53","421.37","483.33","Course n°2 | Finale B"
"Teo Bouvier-Hugo Martin -laemle","C2H","135.72","634.95","552.55","Course n°2 | Finale B"
"Philippe Senechal-Xavier Rat","C2H","137.36","481.9","570.89","Course n°2 | Finale B"
"Erwan Degreve-Kilian Godart","C2H","148.41","840.83","694.47","Course n°2 | Finale B"
"Tom Mazouat-Enzo Mazouat","C2H","165.72","778.52","888.08","Course n°2 | Finale B"
"Pierre Courtois-Enzo Briffa","C2H","174.4","983.39","985.14","Course n°2 | Finale B"
"Candice Brondel","K1D","108.78","210.43","218.95","Course n°2 | Finale B"
"Raphaelle Hovine","K1D","115.23","276.25","289.17","Course n°2 | Finale B"
"Tiphanie Borlet","K1D","120.6","397.51","347.64","Course n°2 | Finale B"
"Elise Escourrou","K1D","123.04","-","374.2","Course n°2 | Finale B"
"Julie Fauroux","K1D","123.14","335.7","375.29","Course n°2 | Finale B"
"Juliette Rousset","K1D","124.63","484","391.51","Course n°2 | Finale B"
"Carine Chapuis","K1D","131.27","288.87","463.8","Course n°2 | Finale B"
"Amelie Perier","K1D","134.72","363.59","501.36","Course n°2 | Finale B"
"Emilie Armani","K1D","135.91","505.46","514.32","Course n°2 | Finale B"
"Laure Castel","K1D","138.05","-","537.62","Course n°2 | Finale B"
"Carla Cerrutti - Bozzola","K1D","140.87","427.93","568.32","Course n°2 | Finale B"
"Estelle Friconneau","K1D","140.94","-","569.09","Course n°2 | Finale B"
"Annie Ughetto","K1D","141.3","570.1","573","Course n°2 | Finale B"
"Chloe Faverjon","K1D","145.16","629.73","615.02","Course n°2 | Finale B"
"Juliette Ribault","K1D","148.81","585.46","654.76","Course n°2 | Finale B"
"Christelle Channac","K1D","161.16","501.29","789.21","Course n°2 | Finale B"
"Sabine Kleinhenz","K1D","163.6","294.12","815.79","Course n°2 | Finale B"
"Alessandra Villa","K1D","169.7","-","882.2","Course n°2 | Finale B"
"Lucie Adisson","K1D","182.75","382","1024.28","Course n°2 | Finale B"
"Emma Miton","K1D","183.12","-","1028.3","Course n°2 | Finale B"
"Lison Soullier","K1D","195.12","-","1158.95","Course n°2 | Finale B"
"Elise Carbon","K1D","213.52","1010.83","1359.27","Course n°2 | Finale B"
"Sarah Monod","K1D","245.59","484.77","1708.41","Course n°2 | Finale B"
"Marine Brenet","K1D","331.13","-","2639.7","Course n°2 | Finale B"
"Margot Blanc","K1D","Abd","-","-","Course n°2 | Finale B"
"Victoire Guerin","K1DM","148.98","-","656.62","Course n°2 | Finale B"
"Elke Saragas","K1DM","173.67","1462.06","925.41","Course n°2 | Finale B"
"Camille Berson","K1DM","200.06","1107.94","1212.72","Course n°2 | Finale B"
"Solen Friconneau","K1DM","212.07","-","-","Course n°2 | Finale B"
"Clara Jannic","K1DM","347.28","3843.15","2815.52","Course n°2 | Finale B"
"Lea Hubert","K1DM","392.02","-","3302.61","Course n°2 | Finale B"
"Solene Grenier","K1DM","Abd","-","-","Course n°2 | Finale B"
"Carla Voineau","K1DM","Abd","-","-","Course n°2 | Finale B"
"Adrien Maire","K1H","94.8","158.57","200.92","Course n°2 | Finale B"
"Minhyeong Song","K1H","96.98","274.8","227.74","Course n°2 | Finale B"
"Maxime Le Morvan","K1H","98.65","-","248.29","Course n°2 | Finale B"
"Baptiste Granger","K1H","99.47","268.65","258.38","Course n°2 | Finale B"
"Pierrealain Clerc","K1H","100.81","317.37","274.86","Course n°2 | Finale B"
"Florent Iraundegui","K1H","101.35","244.47","281.5","Course n°2 | Finale B"
"Flavien San Augustin","K1H","101.55","270.27","283.96","Course n°2 | Finale B"
"Victor Paulais","K1H","104.59","295.08","321.36","Course n°2 | Finale B"
"Tom Benini","K1H","104.72","362.53","322.96","Course n°2 | Finale B"
"Bertrand Dubiez","K1H","105.46","-","332.07","Course n°2 | Finale B"
"Paul Gaillard","K1H","107.04","405.38","351.5","Course n°2 | Finale B"
"Florent Bernard","K1H","107.24","375.72","353.97","Course n°2 | Finale B"
"Emeric Bussonnais","K1H","108.45","272.03","368.85","Course n°2 | Finale B"
"Xavier Rat","K1H","108.54","382.53","369.96","Course n°2 | Finale B"
"Julien Signarbieux","K1H","108.8","303.59","373.16","Course n°2 | Finale B"
"Xavier Le Gallic","K1H","109.3","455.72","379.31","Course n°2 | Finale B"
"Jules Silvin","K1H","109.35","293.7","379.92","Course n°2 | Finale B"
"Boris Rostaing","K1H","109.91","346.48","386.81","Course n°2 | Finale B"
"Florent Cossou","K1H","112.03","-","412.89","Course n°2 | Finale B"
"Arthur Lagleyze","K1H","112.14","472.29","414.25","Course n°2 | Finale B"
"Yanis Delacour","K1H","112.97","452.27","424.46","Course n°2 | Finale B"
"Valentin Bonnot","K1H","113.46","490.64","430.49","Course n°2 | Finale B"
"Thomas Courtois","K1H","113.7","448.82","433.44","Course n°2 | Finale B"
"Nathan Pavot","K1H","114.15","470.75","438.98","Course n°2 | Finale B"
"Hugo Polard","K1H","114.58","471.02","444.27","Course n°2 | Finale B"
"Nayl Tazi-sidqui","K1H","115.72","393.04","458.29","Course n°2 | Finale B"
"Alexis Mercoirol","K1H","116.36","428.37","466.16","Course n°2 | Finale B"
"Oscar Lombardot","K1H","116.37","610.93","466.29","Course n°2 | Finale B"
"Quentin Robin","K1H","116.57","372.25","468.75","Course n°2 | Finale B"
"Kilian Godart","K1H","116.58","616.41","468.87","Course n°2 | Finale B"
"Louis Burignat","K1H","116.72","373.37","470.59","Course n°2 | Finale B"
"Marc Le Morvan","K1H","116.9","-","472.81","Course n°2 | Finale B"
"Yann Tabone","K1H","117.39","402.86","478.83","Course n°2 | Finale B"
"Loic Bouvier","K1H","117.39","528.9","478.83","Course n°2 | Finale B"
"Pierre Louis Debuigne","K1H","118.77","427.99","495.81","Course n°2 | Finale B"
"Erwan Degreve","K1H","118.84","530.04","496.67","Course n°2 | Finale B"
"Lucas Maurin","K1H","119.85","533.28","509.1","Course n°2 | Finale B"
"Jeremie Devillers","K1H","120.19","387.58","513.28","Course n°2 | Finale B"
"Hugo Martin -laemle","K1H","121.07","471.99","524.11","Course n°2 | Finale B"
"Yves Masson","K1H","123.02","-","548.1","Course n°2 | Finale B"
"Enzo Briffa","K1H","123.92","588.02","559.17","Course n°2 | Finale B"
"Yann Leruste","K1H","124.51","564.14","566.43","Course n°2 | Finale B"
"Francois Lecuit","K1H","125.1","558.79","573.69","Course n°2 | Finale B"
"Paul Badache","K1H","126.94","579.85","596.32","Course n°2 | Finale B"
"Philippe Bigard","K1H","127.62","633.73","604.69","Course n°2 | Finale B"
"Tom Mazouat","K1H","129.93","695.43","633.11","Course n°2 | Finale B"
"Anton Gille","K1H","131.79","554.39","655.99","Course n°2 | Finale B"
"Alexei Evlachev","K1H","132.39","735.06","663.37","Course n°2 | Finale B"
"Flavien Portier","K1H","134.13","459.48","684.78","Course n°2 | Finale B"
"Jerome Burignat","K1H","138.28","619.57","735.83","Course n°2 | Finale B"
"Arthur Tebib","K1H","138.35","693.06","736.69","Course n°2 | Finale B"
"Olivier Mercier","K1H","144.09","580.44","807.31","Course n°2 | Finale B"
"Enzo Mazouat","K1H","146.45","649.29","836.34","Course n°2 | Finale B"
"Fabien Bezut","K1H","147.97","1044.23","855.04","Course n°2 | Finale B"
"Seraphin Margot","K1H","150.28","554.05","883.46","Course n°2 | Finale B"
"Benjamin Gonthier","K1H","152.87","854.75","915.33","Course n°2 | Finale B"
"Quentin Laplace","K1H","153.02","769.09","917.17","Course n°2 | Finale B"
"Marc Jungling","K1H","154.74","897.55","938.33","Course n°2 | Finale B"
"Remy Beal","K1H","156.21","1342.4","956.42","Course n°2 | Finale B"
"Dominique Polard","K1H","157.24","551.24","969.09","Course n°2 | Finale B"
"Matteo Licoine","K1H","164.3","370.12","1055.94","Course n°2 | Finale B"
"Djimy Kar","K1H","165.04","373.22","1065.05","Course n°2 | Finale B"
"Thomas Galbrun","K1H","173.02","-","1163.22","Course n°2 | Finale B"
"Adrien Jacquemet","K1H","173.2","479.96","1165.43","Course n°2 | Finale B"
"Charles Coulon","K1H","188.04","1626.94","1348","Course n°2 | Finale B"
"Gilles Lovera","K1H","188.91","432.02","1358.71","Course n°2 | Finale B"
"Jules Azelie","K1H","204.79","696.01","1554.07","Course n°2 | Finale B"
"Pierre Courtois","K1H","209.84","530.41","1616.2","Course n°2 | Finale B"
"Hugo Nerisson","K1H","210.98","782.77","1630.22","Course n°2 | Finale B"
"Yasin Gulay","K1H","233.06","-","1901.86","Course n°2 | Finale B"
"Corentin Sabaut","K1H","343.21","-","3256.97","Course n°2 | Finale B"
"Pascal Genereux","K1H","Abd","-","-","Course n°2 | Finale B"
"Kilian Hervault","K1H","Abs","-","-","Course n°2 | Finale B"
"Yanis Clerc","K1HM","127.84","618.85","607.4","Course n°2 | Finale B"
"Simon Louchard","K1HM","131.16","-","648.24","Course n°2 | Finale B"
"Nino Chailan","K1HM","133.99","-","683.06","Course n°2 | Finale B"
"Charles Culine","K1HM","139.17","-","746.78","Course n°2 | Finale B"
"Batiste Ansaldi","K1HM","141.79","-","-","Course n°2 | Finale B"
"Aymeric Fumex","K1HM","159.24","-","-","Course n°2 | Finale B"
"Julien Lambert","K1HM","159.98","-","-","Course n°2 | Finale B"
"Erwann Buthod","K1HM","160.63","-","-","Course n°2 | Finale B"
"Tino Forgues","K1HM","167.08","543.34","1090.14","Course n°2 | Finale B"
"Sander Duvillard","K1HM","185.18","832.8","1312.82","Course n°2 | Finale B"
"Ronan Emery","K1HM","188.63","-","1355.26","Course n°2 | Finale B"
"AloÏs Cretier","K1HM","192.24","921","1399.67","Course n°2 | Finale B"
"Raphael Massot","K1HM","197.55","-","-","Course n°2 | Finale B"
"Antonin Dustou","K1HM","233.83","833.51","1911.33","Course n°2 | Finale B"
"Valentin Capel","K1HM","316.24","-","2925.17","Course n°2 | Finale B"
"Florent Vallier","K1HM","358.91","-","3450.12","Course n°2 | Finale B"
"Zacharie Trinquet","K1HM","Abd","-","-","Course n°2 | Finale B"
"Yanniss Aghanine","K1HM","Abs","-","-","Course n°2 | Finale B"
