"Championnats de France Séniors N1 - Cergy Pontoise - Course de qualification - 2004-10-01","Course de qualification","2004-10-01","Nationale 1","111"
"Piquard Gregoire","K1H","197.03","66","57",""
"Yoan Minvielle","K1H","197.30","64","59",""
"Roger Jeremie","K1H","197.62","69","59",""
"Jean Charles Creusot Walter","K1H","197.69","69","60",""
"Cheutin Jean-Yves","K1H","198.54","27","63",""
"Boulesteix Ludovic","K1H","199.07","-","66",""
"Benjamin Boukpeti","K1H","200.33","35","71",""
"Lambert Guillaume","K1H","201.20","75","75",""
"Thomas Jean Pascal","K1H","202.56","64","81",""
"Thibaud Delaunay","K1H","203.30","62","84",""
"Nicolas Coudert","K1H","205.77","78","95",""
"Riwal Le Berre","K1H","206.08","99","96",""
"Bernard Babi","K1H","209.80","77","112",""
"Lesquer David","K1H","210.14","79","114",""
"Piquard Charles","K1H","234.98","80","222",""
"Benoit Lepage","K1H","248.71","47","282",""
"Arnaud Lapeze","K1H","251.75","51","296",""
"Benoit Rouffet","K1H","253.98","60","305",""
"Mathieu Le Gal","K1H","260.81","80","335",""
"Loris Minvielle","K1H","295.07","34","484",""
"Damien Boudet","K1H","314.20","67","568",""
